"STATISTIC Label","Month","Direction","Type of Passenger Movement","UNIT","VALUE"
"Passenger Movement","1968M03","Departing Eire","Passenger Movement by Air from Shannon Airport","Number","6081"
"Passenger Movement","1968M03","Departing Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","2018"
"Passenger Movement","1968M03","Departing Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","4063"
"Passenger Movement","1968M04","Arriving in Eire","Passenger Movement by Sea to All Countries","Number","47434"
"Passenger Movement","1968M04","Arriving in Eire","Passenger Movement by Sea to Great Britain","Number","47348"
"Passenger Movement","1968M04","Arriving in Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","86"
"Passenger Movement","1968M04","Arriving in Eire","Passenger Movement Cross-Border Rail","Number","22240"
"Passenger Movement","1968M04","Arriving in Eire","Passenger Movement Cross-Border Bus","Number","43229"
"Passenger Movement","1968M04","Arriving in Eire","Passenger Movement by Air from All Airports","Number","73610"
"Passenger Movement","1968M04","Arriving in Eire","Passenger Movement by Air from Dublin Airport","Number","57393"
"Passenger Movement","1968M04","Arriving in Eire","Passenger Movement by Air from Cork Airport","Number","5269"
"Passenger Movement","1968M04","Arriving in Eire","Passenger Movement by Air from Shannon Airport","Number","10948"
"Passenger Movement","1968M04","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","7256"
"Passenger Movement","1968M04","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","3692"
"Passenger Movement","1968M04","Departing Eire","Passenger Movement by Sea to All Countries","Number","46742"
"Passenger Movement","1968M04","Departing Eire","Passenger Movement by Sea to Great Britain","Number","46730"
"Passenger Movement","1968M04","Departing Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","12"
"Passenger Movement","1968M04","Departing Eire","Passenger Movement Cross-Border Rail","Number","21909"
"Passenger Movement","1968M04","Departing Eire","Passenger Movement Cross-Border Bus","Number","42222"
"Passenger Movement","1968M04","Departing Eire","Passenger Movement by Air from All Airports","Number","71856"
"Passenger Movement","1968M04","Departing Eire","Passenger Movement by Air from Dublin Airport","Number","56155"
"Passenger Movement","1968M04","Departing Eire","Passenger Movement by Air from Cork Airport","Number","5314"
"Passenger Movement","1968M04","Departing Eire","Passenger Movement by Air from Shannon Airport","Number","10387"
"Passenger Movement","1968M04","Departing Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","3582"
"Passenger Movement","1968M04","Departing Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","6805"
"Passenger Movement","1968M05","Arriving in Eire","Passenger Movement by Sea to All Countries","Number","53964"
"Passenger Movement","1968M05","Arriving in Eire","Passenger Movement by Sea to Great Britain","Number","53030"
"Passenger Movement","1968M05","Arriving in Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","934"
"Passenger Movement","1968M05","Arriving in Eire","Passenger Movement Cross-Border Rail","Number","29934"
"Passenger Movement","1968M05","Arriving in Eire","Passenger Movement Cross-Border Bus","Number","49597"
"Passenger Movement","1968M05","Arriving in Eire","Passenger Movement by Air from All Airports","Number","78465"
"Passenger Movement","1968M05","Arriving in Eire","Passenger Movement by Air from Dublin Airport","Number","54800"
"Passenger Movement","1968M05","Arriving in Eire","Passenger Movement by Air from Cork Airport","Number","5984"
"Passenger Movement","1968M05","Arriving in Eire","Passenger Movement by Air from Shannon Airport","Number","17681"
"Passenger Movement","1968M05","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","13402"
"Passenger Movement","1968M05","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","4279"
"Passenger Movement","1968M05","Departing Eire","Passenger Movement by Sea to All Countries","Number","42436"
"Passenger Movement","1968M05","Departing Eire","Passenger Movement by Sea to Great Britain","Number","42099"
"Passenger Movement","1968M05","Departing Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","337"
"Passenger Movement","1968M05","Departing Eire","Passenger Movement Cross-Border Rail","Number","29299"
"Passenger Movement","1968M05","Departing Eire","Passenger Movement Cross-Border Bus","Number","49149"
"Passenger Movement","1968M05","Departing Eire","Passenger Movement by Air from All Airports","Number","70752"
"Passenger Movement","1968M05","Departing Eire","Passenger Movement by Air from Dublin Airport","Number","52127"
"Passenger Movement","1968M05","Departing Eire","Passenger Movement by Air from Cork Airport","Number","4999"
"Passenger Movement","1968M05","Departing Eire","Passenger Movement by Air from Shannon Airport","Number","13626"
"Passenger Movement","1968M05","Departing Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","3818"
"Passenger Movement","1968M05","Departing Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","9808"
"Passenger Movement","1968M06","Arriving in Eire","Passenger Movement by Sea to All Countries","Number","98523"
"Passenger Movement","1968M06","Arriving in Eire","Passenger Movement by Sea to Great Britain","Number","96042"
"Passenger Movement","1968M06","Arriving in Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","2481"
"Passenger Movement","1968M06","Arriving in Eire","Passenger Movement Cross-Border Rail","Number","30522"
"Passenger Movement","1968M06","Arriving in Eire","Passenger Movement Cross-Border Bus","Number","52175"
"Passenger Movement","1968M06","Arriving in Eire","Passenger Movement by Air from All Airports","Number","110373"
"Passenger Movement","1968M06","Arriving in Eire","Passenger Movement by Air from Dublin Airport","Number","72077"
"Passenger Movement","1968M06","Arriving in Eire","Passenger Movement by Air from Cork Airport","Number","7601"
"Passenger Movement","1968M06","Arriving in Eire","Passenger Movement by Air from Shannon Airport","Number","30695"
"Passenger Movement","1968M06","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","24079"
"Passenger Movement","1968M06","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","6616"
"Passenger Movement","1968M06","Departing Eire","Passenger Movement by Sea to All Countries","Number","91524"
"Passenger Movement","1968M06","Departing Eire","Passenger Movement by Sea to Great Britain","Number","89638"
"Passenger Movement","1968M06","Departing Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","1886"
"Passenger Movement","1968M06","Departing Eire","Passenger Movement Cross-Border Rail","Number","30607"
"Passenger Movement","1968M06","Departing Eire","Passenger Movement Cross-Border Bus","Number","50156"
"Passenger Movement","1968M06","Departing Eire","Passenger Movement by Air from All Airports","Number","104458"
"Passenger Movement","1968M06","Departing Eire","Passenger Movement by Air from Dublin Airport","Number","72575"
"Passenger Movement","1968M06","Departing Eire","Passenger Movement by Air from Cork Airport","Number","7627"
"Passenger Movement","1968M06","Departing Eire","Passenger Movement by Air from Shannon Airport","Number","24256"
"Passenger Movement","1968M06","Departing Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","6251"
"Passenger Movement","1968M06","Departing Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","18005"
"Passenger Movement","1968M07","Arriving in Eire","Passenger Movement by Sea to All Countries","Number","213446"
"Passenger Movement","1968M07","Arriving in Eire","Passenger Movement by Sea to Great Britain","Number","210033"
"Passenger Movement","1968M07","Arriving in Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","3413"
"Passenger Movement","1968M07","Arriving in Eire","Passenger Movement Cross-Border Rail","Number","33909"
"Passenger Movement","1968M07","Arriving in Eire","Passenger Movement Cross-Border Bus","Number","75276"
"Passenger Movement","1968M07","Arriving in Eire","Passenger Movement by Air from All Airports","Number","157833"
"Passenger Movement","1968M07","Arriving in Eire","Passenger Movement by Air from Dublin Airport","Number","102009"
"Passenger Movement","1968M07","Arriving in Eire","Passenger Movement by Air from Cork Airport","Number","12537"
"Passenger Movement","1968M07","Arriving in Eire","Passenger Movement by Air from Shannon Airport","Number","43287"
"Passenger Movement","1968M07","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","33154"
"Passenger Movement","1968M07","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","10133"
"Passenger Movement","1968M07","Departing Eire","Passenger Movement by Sea to All Countries","Number","145433"
"Passenger Movement","1968M07","Departing Eire","Passenger Movement by Sea to Great Britain","Number","142612"
"Passenger Movement","1968M07","Departing Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","2821"
"Passenger Movement","1968M07","Departing Eire","Passenger Movement Cross-Border Rail","Number","33628"
"Passenger Movement","1968M07","Departing Eire","Passenger Movement Cross-Border Bus","Number","74212"
"Passenger Movement","1968M07","Departing Eire","Passenger Movement by Air from All Airports","Number","131476"
"Passenger Movement","1968M07","Departing Eire","Passenger Movement by Air from Dublin Airport","Number","88914"
"Passenger Movement","1968M07","Departing Eire","Passenger Movement by Air from Cork Airport","Number","9659"
"Passenger Movement","1968M07","Departing Eire","Passenger Movement by Air from Shannon Airport","Number","32903"
"Passenger Movement","1968M07","Departing Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","8493"
"Passenger Movement","1968M07","Departing Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","24410"
"Passenger Movement","1968M08","Arriving in Eire","Passenger Movement by Sea to All Countries","Number","242369"
"Passenger Movement","1968M08","Arriving in Eire","Passenger Movement by Sea to Great Britain","Number","239782"
"Passenger Movement","1968M08","Arriving in Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","2587"
"Passenger Movement","1968M08","Arriving in Eire","Passenger Movement Cross-Border Rail","Number","35072"
"Passenger Movement","1968M08","Arriving in Eire","Passenger Movement Cross-Border Bus","Number","63029"
"Passenger Movement","1968M08","Arriving in Eire","Passenger Movement by Air from All Airports","Number","145628"
"Passenger Movement","1968M08","Arriving in Eire","Passenger Movement by Air from Dublin Airport","Number","99401"
"Passenger Movement","1968M08","Arriving in Eire","Passenger Movement by Air from Cork Airport","Number","12444"
"Passenger Movement","1968M08","Arriving in Eire","Passenger Movement by Air from Shannon Airport","Number","33783"
"Passenger Movement","1968M08","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","22925"
"Passenger Movement","1968M08","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","10858"
"Passenger Movement","1968M08","Departing Eire","Passenger Movement by Sea to All Countries","Number","275257"
"Passenger Movement","1968M08","Departing Eire","Passenger Movement by Sea to Great Britain","Number","272379"
"Passenger Movement","1968M08","Departing Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","2878"
"Passenger Movement","1968M08","Departing Eire","Passenger Movement Cross-Border Rail","Number","35617"
"Passenger Movement","1968M08","Departing Eire","Passenger Movement Cross-Border Bus","Number","63268"
"Passenger Movement","1968M08","Departing Eire","Passenger Movement by Air from All Airports","Number","162907"
"Passenger Movement","1968M08","Departing Eire","Passenger Movement by Air from Dublin Airport","Number","105365"
"Passenger Movement","1968M08","Departing Eire","Passenger Movement by Air from Cork Airport","Number","14046"
"Passenger Movement","1968M08","Departing Eire","Passenger Movement by Air from Shannon Airport","Number","43496"
"Passenger Movement","1968M08","Departing Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","9731"
"Passenger Movement","1968M08","Departing Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","33765"
"Passenger Movement","1968M09","Arriving in Eire","Passenger Movement by Sea to All Countries","Number","91635"
"Passenger Movement","1968M09","Arriving in Eire","Passenger Movement by Sea to Great Britain","Number","89234"
"Passenger Movement","1968M09","Arriving in Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","2401"
"Passenger Movement","1968M09","Arriving in Eire","Passenger Movement Cross-Border Rail","Number","24892"
"Passenger Movement","1968M09","Arriving in Eire","Passenger Movement Cross-Border Bus","Number","50761"
"Passenger Movement","1968M09","Arriving in Eire","Passenger Movement by Air from All Airports","Number","104296"
"Passenger Movement","1968M09","Arriving in Eire","Passenger Movement by Air from Dublin Airport","Number","74997"
"Passenger Movement","1968M09","Arriving in Eire","Passenger Movement by Air from Cork Airport","Number","7542"
"Passenger Movement","1968M09","Arriving in Eire","Passenger Movement by Air from Shannon Airport","Number","21757"
"Passenger Movement","1968M09","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","15823"
"Passenger Movement","1968M09","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","5934"
"Passenger Movement","1968M09","Departing Eire","Passenger Movement by Sea to All Countries","Number","154439"
"Passenger Movement","1968M09","Departing Eire","Passenger Movement by Sea to Great Britain","Number","151797"
"Passenger Movement","1968M09","Departing Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","2642"
"Passenger Movement","1968M09","Departing Eire","Passenger Movement Cross-Border Rail","Number","24695"
"Passenger Movement","1968M09","Departing Eire","Passenger Movement Cross-Border Bus","Number","51502"
"Passenger Movement","1968M09","Departing Eire","Passenger Movement by Air from All Airports","Number","130651"
"Passenger Movement","1968M09","Departing Eire","Passenger Movement by Air from Dublin Airport","Number","85433"
"Passenger Movement","1968M09","Departing Eire","Passenger Movement by Air from Cork Airport","Number","10626"
"Passenger Movement","1968M09","Departing Eire","Passenger Movement by Air from Shannon Airport","Number","34592"
"Passenger Movement","1968M09","Departing Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","6667"
"Passenger Movement","1968M09","Departing Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","27925"
"Passenger Movement","1968M10","Arriving in Eire","Passenger Movement by Sea to All Countries","Number","35177"
"Passenger Movement","1968M10","Arriving in Eire","Passenger Movement by Sea to Great Britain","Number","34842"
"Passenger Movement","1968M10","Arriving in Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","335"
"Passenger Movement","1968M10","Arriving in Eire","Passenger Movement Cross-Border Rail","Number","18517"
"Passenger Movement","1968M10","Arriving in Eire","Passenger Movement Cross-Border Bus","Number","47742"
"Passenger Movement","1968M10","Arriving in Eire","Passenger Movement by Air from All Airports","Number","75198"
"Passenger Movement","1968M10","Arriving in Eire","Passenger Movement by Air from Dublin Airport","Number","55863"
"Passenger Movement","1968M10","Arriving in Eire","Passenger Movement by Air from Cork Airport","Number","4715"
"Passenger Movement","1968M10","Arriving in Eire","Passenger Movement by Air from Shannon Airport","Number","14620"
"Passenger Movement","1968M10","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","10025"
"Passenger Movement","1968M10","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","4595"
"Passenger Movement","1968M10","Departing Eire","Passenger Movement by Sea to All Countries","Number","39731"
"Passenger Movement","1968M10","Departing Eire","Passenger Movement by Sea to Great Britain","Number","39579"
"Passenger Movement","1968M10","Departing Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","152"
"Passenger Movement","1968M10","Departing Eire","Passenger Movement Cross-Border Rail","Number","18363"
"Passenger Movement","1968M10","Departing Eire","Passenger Movement Cross-Border Bus","Number","47216"
"Passenger Movement","1968M10","Departing Eire","Passenger Movement by Air from All Airports","Number","77199"
"Passenger Movement","1968M10","Departing Eire","Passenger Movement by Air from Dublin Airport","Number","54294"
"Passenger Movement","1968M10","Departing Eire","Passenger Movement by Air from Cork Airport","Number","4875"
"Passenger Movement","1968M10","Departing Eire","Passenger Movement by Air from Shannon Airport","Number","18030"
"Passenger Movement","1968M10","Departing Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","4003"
"Passenger Movement","1968M10","Departing Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","14027"
"Passenger Movement","1968M11","Arriving in Eire","Passenger Movement by Sea to All Countries","Number","17939"
"Passenger Movement","1968M11","Arriving in Eire","Passenger Movement by Sea to Great Britain","Number","17853"
"Passenger Movement","1968M11","Arriving in Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","86"
"Passenger Movement","1968M11","Arriving in Eire","Passenger Movement Cross-Border Rail","Number","16822"
"Passenger Movement","1968M11","Arriving in Eire","Passenger Movement Cross-Border Bus","Number","48426"
"Passenger Movement","1968M11","Arriving in Eire","Passenger Movement by Air from All Airports","Number","43176"
"Passenger Movement","1968M11","Arriving in Eire","Passenger Movement by Air from Dublin Airport","Number","34329"
"Passenger Movement","1968M11","Arriving in Eire","Passenger Movement by Air from Cork Airport","Number","2725"
"Passenger Movement","1968M11","Arriving in Eire","Passenger Movement by Air from Shannon Airport","Number","6122"
"Passenger Movement","1968M11","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","3980"
"Passenger Movement","1968M11","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","2142"
"Passenger Movement","1968M11","Departing Eire","Passenger Movement by Sea to All Countries","Number","18939"
"Passenger Movement","1968M11","Departing Eire","Passenger Movement by Sea to Great Britain","Number","18851"
"Passenger Movement","1968M11","Departing Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","88"
"Passenger Movement","1968M11","Departing Eire","Passenger Movement Cross-Border Rail","Number","16355"
"Passenger Movement","1968M11","Departing Eire","Passenger Movement Cross-Border Bus","Number","47710"
"Passenger Movement","1968M11","Departing Eire","Passenger Movement by Air from All Airports","Number","44815"
"Passenger Movement","1968M11","Departing Eire","Passenger Movement by Air from Dublin Airport","Number","34805"
"Passenger Movement","1968M11","Departing Eire","Passenger Movement by Air from Cork Airport","Number","2961"
"Passenger Movement","1968M11","Departing Eire","Passenger Movement by Air from Shannon Airport","Number","7049"
"Passenger Movement","1968M11","Departing Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","2340"
"Passenger Movement","1968M11","Departing Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","4709"
"Passenger Movement","1968M12","Arriving in Eire","Passenger Movement by Sea to All Countries","Number","43385"
"Passenger Movement","1968M12","Arriving in Eire","Passenger Movement by Sea to Great Britain","Number","43379"
"Passenger Movement","1968M12","Arriving in Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","6"
"Passenger Movement","1968M12","Arriving in Eire","Passenger Movement Cross-Border Rail","Number","13079"
"Passenger Movement","1968M12","Arriving in Eire","Passenger Movement Cross-Border Bus","Number","49730"
"Passenger Movement","1968M12","Arriving in Eire","Passenger Movement by Air from All Airports","Number","68886"
"Passenger Movement","1968M12","Arriving in Eire","Passenger Movement by Air from Dublin Airport","Number","52974"
"Passenger Movement","1968M12","Arriving in Eire","Passenger Movement by Air from Cork Airport","Number","5474"
"Passenger Movement","1968M12","Arriving in Eire","Passenger Movement by Air from Shannon Airport","Number","10438"
"Passenger Movement","1968M12","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","6714"
"Passenger Movement","1968M12","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","3724"
"Passenger Movement","1968M12","Departing Eire","Passenger Movement by Sea to All Countries","Number","28892"
"Passenger Movement","1968M12","Departing Eire","Passenger Movement by Sea to Great Britain","Number","28845"
"Passenger Movement","1968M12","Departing Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","47"
"Passenger Movement","1968M12","Departing Eire","Passenger Movement Cross-Border Rail","Number","13529"
"Passenger Movement","1968M12","Departing Eire","Passenger Movement Cross-Border Bus","Number","48920"
"Passenger Movement","1968M12","Departing Eire","Passenger Movement by Air from All Airports","Number","56579"
"Passenger Movement","1968M12","Departing Eire","Passenger Movement by Air from Dublin Airport","Number","46055"
"Passenger Movement","1968M12","Departing Eire","Passenger Movement by Air from Cork Airport","Number","4408"
"Passenger Movement","1968M12","Departing Eire","Passenger Movement by Air from Shannon Airport","Number","6116"
"Passenger Movement","1968M12","Departing Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","2632"
"Passenger Movement","1968M12","Departing Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","3484"
"Passenger Movement","1969M01","Arriving in Eire","Passenger Movement by Sea to All Countries","Number","17295"
"Passenger Movement","1969M01","Arriving in Eire","Passenger Movement by Sea to Great Britain","Number","17293"
"Passenger Movement","1969M01","Arriving in Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","2"
"Passenger Movement","1969M01","Arriving in Eire","Passenger Movement Cross-Border Rail","Number","11126"
"Passenger Movement","1969M01","Arriving in Eire","Passenger Movement Cross-Border Bus","Number","35100"
"Passenger Movement","1969M01","Arriving in Eire","Passenger Movement by Air from All Airports","Number","44606"
"Passenger Movement","1969M01","Arriving in Eire","Passenger Movement by Air from Dublin Airport","Number","36409"
"Passenger Movement","1969M01","Arriving in Eire","Passenger Movement by Air from Cork Airport","Number","2551"
"Passenger Movement","1969M01","Arriving in Eire","Passenger Movement by Air from Shannon Airport","Number","5646"
"Passenger Movement","1969M01","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","2972"
"Passenger Movement","1969M01","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","2674"
"Passenger Movement","1969M01","Departing Eire","Passenger Movement by Sea to All Countries","Number","33135"
"Passenger Movement","1969M01","Departing Eire","Passenger Movement by Sea to Great Britain","Number","33134"
"Passenger Movement","1969M01","Departing Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","1"
"Passenger Movement","1969M01","Departing Eire","Passenger Movement Cross-Border Rail","Number","10123"
"Passenger Movement","1969M01","Departing Eire","Passenger Movement Cross-Border Bus","Number","34633"
"Passenger Movement","1969M01","Departing Eire","Passenger Movement by Air from All Airports","Number","56756"
"Passenger Movement","1969M01","Departing Eire","Passenger Movement by Air from Dublin Airport","Number","43207"
"Passenger Movement","1969M01","Departing Eire","Passenger Movement by Air from Cork Airport","Number","3891"
"Passenger Movement","1969M01","Departing Eire","Passenger Movement by Air from Shannon Airport","Number","9658"
"Passenger Movement","1969M01","Departing Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","2970"
"Passenger Movement","1969M01","Departing Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","6688"
"Passenger Movement","1969M02","Arriving in Eire","Passenger Movement by Sea to All Countries","Number","15811"
"Passenger Movement","1969M02","Arriving in Eire","Passenger Movement by Sea to Great Britain","Number","15811"
"Passenger Movement","1969M02","Arriving in Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","0"
"Passenger Movement","1969M02","Arriving in Eire","Passenger Movement Cross-Border Rail","Number","11386"
"Passenger Movement","1969M02","Arriving in Eire","Passenger Movement Cross-Border Bus","Number","35429"
"Passenger Movement","1969M02","Arriving in Eire","Passenger Movement by Air from All Airports","Number","40052"
"Passenger Movement","1969M02","Arriving in Eire","Passenger Movement by Air from Dublin Airport","Number","33107"
"Passenger Movement","1969M02","Arriving in Eire","Passenger Movement by Air from Cork Airport","Number","2353"
"Passenger Movement","1969M02","Arriving in Eire","Passenger Movement by Air from Shannon Airport","Number","4592"
"Passenger Movement","1969M02","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","2501"
"Passenger Movement","1969M02","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","2091"
"Passenger Movement","1969M02","Departing Eire","Passenger Movement by Sea to All Countries","Number","15806"
"Passenger Movement","1969M02","Departing Eire","Passenger Movement by Sea to Great Britain","Number","15806"
"Passenger Movement","1969M02","Departing Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","0"
"Passenger Movement","1969M02","Departing Eire","Passenger Movement Cross-Border Rail","Number","11670"
"Passenger Movement","1969M02","Departing Eire","Passenger Movement Cross-Border Bus","Number","34677"
"Passenger Movement","1969M02","Departing Eire","Passenger Movement by Air from All Airports","Number","40870"
"Passenger Movement","1969M02","Departing Eire","Passenger Movement by Air from Dublin Airport","Number","33407"
"Passenger Movement","1969M02","Departing Eire","Passenger Movement by Air from Cork Airport","Number","2437"
"Passenger Movement","1969M02","Departing Eire","Passenger Movement by Air from Shannon Airport","Number","5026"
"Passenger Movement","1969M02","Departing Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","1869"
"Passenger Movement","1969M02","Departing Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","3157"
"Passenger Movement","1969M03","Arriving in Eire","Passenger Movement by Sea to All Countries","Number","25455"
"Passenger Movement","1969M03","Arriving in Eire","Passenger Movement by Sea to Great Britain","Number","25454"
"Passenger Movement","1969M03","Arriving in Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","1"
"Passenger Movement","1969M03","Arriving in Eire","Passenger Movement Cross-Border Rail","Number","16004"
"Passenger Movement","1969M03","Arriving in Eire","Passenger Movement Cross-Border Bus","Number","39561"
"Passenger Movement","1969M03","Arriving in Eire","Passenger Movement by Air from All Airports","Number","54748"
"Passenger Movement","1969M03","Arriving in Eire","Passenger Movement by Air from Dublin Airport","Number","43290"
"Passenger Movement","1969M03","Arriving in Eire","Passenger Movement by Air from Cork Airport","Number","3476"
"Passenger Movement","1969M03","Arriving in Eire","Passenger Movement by Air from Shannon Airport","Number","7982"
"Passenger Movement","1969M03","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","4580"
"Passenger Movement","1969M03","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","3402"
"Passenger Movement","1969M03","Departing Eire","Passenger Movement by Sea to All Countries","Number","22609"
"Passenger Movement","1969M03","Departing Eire","Passenger Movement by Sea to Great Britain","Number","22606"
"Passenger Movement","1969M03","Departing Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","3"
"Passenger Movement","1969M03","Departing Eire","Passenger Movement Cross-Border Rail","Number","14975"
"Passenger Movement","1969M03","Departing Eire","Passenger Movement Cross-Border Bus","Number","38885"
"Passenger Movement","1969M03","Departing Eire","Passenger Movement by Air from All Airports","Number","52797"
"Passenger Movement","1969M03","Departing Eire","Passenger Movement by Air from Dublin Airport","Number","41792"
"Passenger Movement","1969M03","Departing Eire","Passenger Movement by Air from Cork Airport","Number","3150"
"Passenger Movement","1969M03","Departing Eire","Passenger Movement by Air from Shannon Airport","Number","7855"
"Passenger Movement","1969M03","Departing Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","2960"
"Passenger Movement","1969M03","Departing Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","4895"
"Passenger Movement","1969M04","Arriving in Eire","Passenger Movement by Sea to All Countries","Number","44763"
"Passenger Movement","1969M04","Arriving in Eire","Passenger Movement by Sea to Great Britain","Number","44586"
"Passenger Movement","1969M04","Arriving in Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","177"
"Passenger Movement","1969M04","Arriving in Eire","Passenger Movement Cross-Border Rail","Number","17333"
"Passenger Movement","1969M04","Arriving in Eire","Passenger Movement Cross-Border Bus","Number","41684"
"Passenger Movement","1969M04","Arriving in Eire","Passenger Movement by Air from All Airports","Number","75153"
"Passenger Movement","1969M04","Arriving in Eire","Passenger Movement by Air from Dublin Airport","Number","56626"
"Passenger Movement","1969M04","Arriving in Eire","Passenger Movement by Air from Cork Airport","Number","5764"
"Passenger Movement","1969M04","Arriving in Eire","Passenger Movement by Air from Shannon Airport","Number","12763"
"Passenger Movement","1969M04","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","8665"
"Passenger Movement","1969M04","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","4098"
"Passenger Movement","1969M04","Departing Eire","Passenger Movement by Sea to All Countries","Number","45924"
"Passenger Movement","1969M04","Departing Eire","Passenger Movement by Sea to Great Britain","Number","45906"
"Passenger Movement","1969M04","Departing Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","18"
"Passenger Movement","1969M04","Departing Eire","Passenger Movement Cross-Border Rail","Number","17645"
"Passenger Movement","1969M04","Departing Eire","Passenger Movement Cross-Border Bus","Number","40914"
"Passenger Movement","1969M04","Departing Eire","Passenger Movement by Air from All Airports","Number","74272"
"Passenger Movement","1969M04","Departing Eire","Passenger Movement by Air from Dublin Airport","Number","57119"
"Passenger Movement","1969M04","Departing Eire","Passenger Movement by Air from Cork Airport","Number","5636"
