"STATISTIC Label","Month","Direction","Type of Passenger Movement","UNIT","VALUE"
"Passenger Movement","1961M03","Departing Eire","Passenger Movement by Sea to Great Britain","Number","27522"
"Passenger Movement","1961M03","Departing Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","227"
"Passenger Movement","1961M03","Departing Eire","Passenger Movement Cross-Border Rail","Number","16116"
"Passenger Movement","1961M03","Departing Eire","Passenger Movement Cross-Border Bus","Number","39821"
"Passenger Movement","1961M03","Departing Eire","Passenger Movement by Air from All Airports","Number","23420"
"Passenger Movement","1961M03","Departing Eire","Passenger Movement by Air from Dublin Airport","Number","20344"
"Passenger Movement","1961M03","Departing Eire","Passenger Movement by Air from Cork Airport","Number","0"
"Passenger Movement","1961M03","Departing Eire","Passenger Movement by Air from Shannon Airport","Number","3076"
"Passenger Movement","1961M03","Departing Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","706"
"Passenger Movement","1961M03","Departing Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","2370"
"Passenger Movement","1961M04","Arriving in Eire","Passenger Movement by Sea to All Countries","Number","36575"
"Passenger Movement","1961M04","Arriving in Eire","Passenger Movement by Sea to Great Britain","Number","36006"
"Passenger Movement","1961M04","Arriving in Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","569"
"Passenger Movement","1961M04","Arriving in Eire","Passenger Movement Cross-Border Rail","Number","15345"
"Passenger Movement","1961M04","Arriving in Eire","Passenger Movement Cross-Border Bus","Number","39702"
"Passenger Movement","1961M04","Arriving in Eire","Passenger Movement by Air from All Airports","Number","30443"
"Passenger Movement","1961M04","Arriving in Eire","Passenger Movement by Air from Dublin Airport","Number","27338"
"Passenger Movement","1961M04","Arriving in Eire","Passenger Movement by Air from Cork Airport","Number","0"
"Passenger Movement","1961M04","Arriving in Eire","Passenger Movement by Air from Shannon Airport","Number","3105"
"Passenger Movement","1961M04","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","1747"
"Passenger Movement","1961M04","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","1358"
"Passenger Movement","1961M04","Departing Eire","Passenger Movement by Sea to All Countries","Number","43877"
"Passenger Movement","1961M04","Departing Eire","Passenger Movement by Sea to Great Britain","Number","43441"
"Passenger Movement","1961M04","Departing Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","436"
"Passenger Movement","1961M04","Departing Eire","Passenger Movement Cross-Border Rail","Number","14874"
"Passenger Movement","1961M04","Departing Eire","Passenger Movement Cross-Border Bus","Number","40823"
"Passenger Movement","1961M04","Departing Eire","Passenger Movement by Air from All Airports","Number","32752"
"Passenger Movement","1961M04","Departing Eire","Passenger Movement by Air from Dublin Airport","Number","29677"
"Passenger Movement","1961M04","Departing Eire","Passenger Movement by Air from Cork Airport","Number","0"
"Passenger Movement","1961M04","Departing Eire","Passenger Movement by Air from Shannon Airport","Number","3075"
"Passenger Movement","1961M04","Departing Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","964"
"Passenger Movement","1961M04","Departing Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","2111"
"Passenger Movement","1961M05","Arriving in Eire","Passenger Movement by Sea to All Countries","Number","46212"
"Passenger Movement","1961M05","Arriving in Eire","Passenger Movement by Sea to Great Britain","Number","44710"
"Passenger Movement","1961M05","Arriving in Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","1502"
"Passenger Movement","1961M05","Arriving in Eire","Passenger Movement Cross-Border Rail","Number","19112"
"Passenger Movement","1961M05","Arriving in Eire","Passenger Movement Cross-Border Bus","Number","43598"
"Passenger Movement","1961M05","Arriving in Eire","Passenger Movement by Air from All Airports","Number","38424"
"Passenger Movement","1961M05","Arriving in Eire","Passenger Movement by Air from Dublin Airport","Number","33839"
"Passenger Movement","1961M05","Arriving in Eire","Passenger Movement by Air from Cork Airport","Number","0"
"Passenger Movement","1961M05","Arriving in Eire","Passenger Movement by Air from Shannon Airport","Number","4585"
"Passenger Movement","1961M05","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","3085"
"Passenger Movement","1961M05","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","1500"
"Passenger Movement","1961M05","Departing Eire","Passenger Movement by Sea to All Countries","Number","43925"
"Passenger Movement","1961M05","Departing Eire","Passenger Movement by Sea to Great Britain","Number","43512"
"Passenger Movement","1961M05","Departing Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","413"
"Passenger Movement","1961M05","Departing Eire","Passenger Movement Cross-Border Rail","Number","18953"
"Passenger Movement","1961M05","Departing Eire","Passenger Movement Cross-Border Bus","Number","43981"
"Passenger Movement","1961M05","Departing Eire","Passenger Movement by Air from All Airports","Number","35922"
"Passenger Movement","1961M05","Departing Eire","Passenger Movement by Air from Dublin Airport","Number","32088"
"Passenger Movement","1961M05","Departing Eire","Passenger Movement by Air from Cork Airport","Number","0"
"Passenger Movement","1961M05","Departing Eire","Passenger Movement by Air from Shannon Airport","Number","3834"
"Passenger Movement","1961M05","Departing Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","1174"
"Passenger Movement","1961M05","Departing Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","2660"
"Passenger Movement","1961M06","Arriving in Eire","Passenger Movement by Sea to All Countries","Number","74702"
"Passenger Movement","1961M06","Arriving in Eire","Passenger Movement by Sea to Great Britain","Number","72629"
"Passenger Movement","1961M06","Arriving in Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","2073"
"Passenger Movement","1961M06","Arriving in Eire","Passenger Movement Cross-Border Rail","Number","25233"
"Passenger Movement","1961M06","Arriving in Eire","Passenger Movement Cross-Border Bus","Number","46216"
"Passenger Movement","1961M06","Arriving in Eire","Passenger Movement by Air from All Airports","Number","58312"
"Passenger Movement","1961M06","Arriving in Eire","Passenger Movement by Air from Dublin Airport","Number","47790"
"Passenger Movement","1961M06","Arriving in Eire","Passenger Movement by Air from Cork Airport","Number","0"
"Passenger Movement","1961M06","Arriving in Eire","Passenger Movement by Air from Shannon Airport","Number","10522"
"Passenger Movement","1961M06","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","8298"
"Passenger Movement","1961M06","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","2224"
"Passenger Movement","1961M06","Departing Eire","Passenger Movement by Sea to All Countries","Number","70414"
"Passenger Movement","1961M06","Departing Eire","Passenger Movement by Sea to Great Britain","Number","69431"
"Passenger Movement","1961M06","Departing Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","983"
"Passenger Movement","1961M06","Departing Eire","Passenger Movement Cross-Border Rail","Number","25444"
"Passenger Movement","1961M06","Departing Eire","Passenger Movement Cross-Border Bus","Number","46917"
"Passenger Movement","1961M06","Departing Eire","Passenger Movement by Air from All Airports","Number","51208"
"Passenger Movement","1961M06","Departing Eire","Passenger Movement by Air from Dublin Airport","Number","45493"
"Passenger Movement","1961M06","Departing Eire","Passenger Movement by Air from Cork Airport","Number","0"
"Passenger Movement","1961M06","Departing Eire","Passenger Movement by Air from Shannon Airport","Number","5715"
"Passenger Movement","1961M06","Departing Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","1791"
"Passenger Movement","1961M06","Departing Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","3924"
"Passenger Movement","1961M07","Arriving in Eire","Passenger Movement by Sea to All Countries","Number","165664"
"Passenger Movement","1961M07","Arriving in Eire","Passenger Movement by Sea to Great Britain","Number","163158"
"Passenger Movement","1961M07","Arriving in Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","2506"
"Passenger Movement","1961M07","Arriving in Eire","Passenger Movement Cross-Border Rail","Number","40096"
"Passenger Movement","1961M07","Arriving in Eire","Passenger Movement Cross-Border Bus","Number","70956"
"Passenger Movement","1961M07","Arriving in Eire","Passenger Movement by Air from All Airports","Number","89183"
"Passenger Movement","1961M07","Arriving in Eire","Passenger Movement by Air from Dublin Airport","Number","76993"
"Passenger Movement","1961M07","Arriving in Eire","Passenger Movement by Air from Cork Airport","Number","0"
"Passenger Movement","1961M07","Arriving in Eire","Passenger Movement by Air from Shannon Airport","Number","12190"
"Passenger Movement","1961M07","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","9163"
"Passenger Movement","1961M07","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","3027"
"Passenger Movement","1961M07","Departing Eire","Passenger Movement by Sea to All Countries","Number","109457"
"Passenger Movement","1961M07","Departing Eire","Passenger Movement by Sea to Great Britain","Number","108576"
"Passenger Movement","1961M07","Departing Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","881"
"Passenger Movement","1961M07","Departing Eire","Passenger Movement Cross-Border Rail","Number","40313"
"Passenger Movement","1961M07","Departing Eire","Passenger Movement Cross-Border Bus","Number","67955"
"Passenger Movement","1961M07","Departing Eire","Passenger Movement by Air from All Airports","Number","71713"
"Passenger Movement","1961M07","Departing Eire","Passenger Movement by Air from Dublin Airport","Number","61556"
"Passenger Movement","1961M07","Departing Eire","Passenger Movement by Air from Cork Airport","Number","0"
"Passenger Movement","1961M07","Departing Eire","Passenger Movement by Air from Shannon Airport","Number","10157"
"Passenger Movement","1961M07","Departing Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","2301"
"Passenger Movement","1961M07","Departing Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","7856"
"Passenger Movement","1961M08","Arriving in Eire","Passenger Movement by Sea to All Countries","Number","174562"
"Passenger Movement","1961M08","Arriving in Eire","Passenger Movement by Sea to Great Britain","Number","173631"
"Passenger Movement","1961M08","Arriving in Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","931"
"Passenger Movement","1961M08","Arriving in Eire","Passenger Movement Cross-Border Rail","Number","45630"
"Passenger Movement","1961M08","Arriving in Eire","Passenger Movement Cross-Border Bus","Number","81442"
"Passenger Movement","1961M08","Arriving in Eire","Passenger Movement by Air from All Airports","Number","90853"
"Passenger Movement","1961M08","Arriving in Eire","Passenger Movement by Air from Dublin Airport","Number","81379"
"Passenger Movement","1961M08","Arriving in Eire","Passenger Movement by Air from Cork Airport","Number","0"
"Passenger Movement","1961M08","Arriving in Eire","Passenger Movement by Air from Shannon Airport","Number","9474"
