"Statistic Label","Type of Accommodation Used","Reason for Journey","Year","UNIT","VALUE"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other reason for journey","2017","Thousand","11101"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other reason for journey","2018","Thousand","10460"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","All types of accommodation","Other reason for journey","2019","Thousand","10713"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All reasons for journey","2009","Thousand","11187"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All reasons for journey","2010","Thousand","11265"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All reasons for journey","2011","Thousand","12552"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All reasons for journey","2012","Thousand","14180"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All reasons for journey","2013","Thousand","14272"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All reasons for journey","2014","Thousand","14707"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All reasons for journey","2015","Thousand","17375"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All reasons for journey","2016","Thousand","18522"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All reasons for journey","2017","Thousand","19183"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All reasons for journey","2018","Thousand","20060"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All reasons for journey","2019","Thousand","20890"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Holiday/leisure/recreation","2009","Thousand","7231"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Holiday/leisure/recreation","2010","Thousand","7135"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Holiday/leisure/recreation","2011","Thousand","8259"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Holiday/leisure/recreation","2012","Thousand","9190"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Holiday/leisure/recreation","2013","Thousand","9380"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Holiday/leisure/recreation","2014","Thousand","9603"
