"Statistic Label","Type of Accommodation Used","Reason for Journey","Year","UNIT","VALUE"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Holiday/leisure/recreation","2009","Thousand","2856"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Holiday/leisure/recreation","2010","Thousand","2572"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Holiday/leisure/recreation","2011","Thousand","2783"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Holiday/leisure/recreation","2012","Thousand","2340"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Holiday/leisure/recreation","2013","Thousand","2996"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Holiday/leisure/recreation","2014","Thousand","3445"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Holiday/leisure/recreation","2015","Thousand","4645"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Holiday/leisure/recreation","2016","Thousand","5549"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Holiday/leisure/recreation","2017","Thousand","6101"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Holiday/leisure/recreation","2018","Thousand","6955"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Holiday/leisure/recreation","2019","Thousand","6301"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Visit to friends/relatives","2009","Thousand","780"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Visit to friends/relatives","2010","Thousand","509"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Visit to friends/relatives","2011","Thousand","514"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Visit to friends/relatives","2012","Thousand","455"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Visit to friends/relatives","2013","Thousand","454"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Visit to friends/relatives","2014","Thousand","578"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Visit to friends/relatives","2015","Thousand","663"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Visit to friends/relatives","2016","Thousand","795"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Visit to friends/relatives","2017","Thousand","864"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Visit to friends/relatives","2018","Thousand","927"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Visit to friends/relatives","2019","Thousand","1018"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Business","2009","Thousand","304"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Business","2010","Thousand","399"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Business","2011","Thousand","258"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Business","2012","Thousand","370"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Business","2013","Thousand","284"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Business","2014","Thousand","347"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Business","2015","Thousand","401"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Business","2016","Thousand","507"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Business","2017","Thousand","618"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Business","2018","Thousand","735"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Business","2019","Thousand","544"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other reason for journey","2009","Thousand","544"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other reason for journey","2010","Thousand","509"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other reason for journey","2011","Thousand","613"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other reason for journey","2012","Thousand","909"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other reason for journey","2013","Thousand","717"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other reason for journey","2014","Thousand","801"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other reason for journey","2015","Thousand","1021"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other reason for journey","2016","Thousand","1003"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other reason for journey","2017","Thousand","1010"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other reason for journey","2018","Thousand","958"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other reason for journey","2019","Thousand","1068"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All reasons for journey","2009","Thousand","9553"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All reasons for journey","2010","Thousand","9261"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All reasons for journey","2011","Thousand","10324"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All reasons for journey","2012","Thousand","10311"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All reasons for journey","2013","Thousand","10992"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All reasons for journey","2014","Thousand","11051"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All reasons for journey","2015","Thousand","11900"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All reasons for journey","2016","Thousand","12417"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All reasons for journey","2017","Thousand","13082"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All reasons for journey","2018","Thousand","13018"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All reasons for journey","2019","Thousand","12567"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Holiday/leisure/recreation","2009","Thousand","4242"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Holiday/leisure/recreation","2010","Thousand","3839"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Holiday/leisure/recreation","2011","Thousand","3206"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Holiday/leisure/recreation","2012","Thousand","3648"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Holiday/leisure/recreation","2013","Thousand","4135"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Holiday/leisure/recreation","2014","Thousand","4290"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Holiday/leisure/recreation","2015","Thousand","4812"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Holiday/leisure/recreation","2016","Thousand","5025"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Holiday/leisure/recreation","2017","Thousand","5539"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Holiday/leisure/recreation","2018","Thousand","5882"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Holiday/leisure/recreation","2019","Thousand","5358"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Visit to friends/relatives","2009","Thousand","1130"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Visit to friends/relatives","2010","Thousand","1053"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Visit to friends/relatives","2011","Thousand","1029"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Visit to friends/relatives","2012","Thousand","1439"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Visit to friends/relatives","2013","Thousand","1655"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Visit to friends/relatives","2014","Thousand","2058"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Visit to friends/relatives","2015","Thousand","1959"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Visit to friends/relatives","2016","Thousand","2198"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Visit to friends/relatives","2017","Thousand","2232"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Visit to friends/relatives","2018","Thousand","2196"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Visit to friends/relatives","2019","Thousand","2191"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Business","2009","Thousand","631"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Business","2010","Thousand","627"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Business","2011","Thousand","758"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Business","2012","Thousand","759"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Business","2013","Thousand","1120"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Business","2014","Thousand","1182"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Business","2015","Thousand","1109"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Business","2016","Thousand","1218"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Business","2017","Thousand","1437"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Business","2018","Thousand","1346"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Business","2019","Thousand","1269"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other reason for journey","2009","Thousand","3550"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other reason for journey","2010","Thousand","3741"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other reason for journey","2011","Thousand","5331"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other reason for journey","2012","Thousand","4464"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other reason for journey","2013","Thousand","4082"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other reason for journey","2014","Thousand","3521"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other reason for journey","2015","Thousand","4020"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other reason for journey","2016","Thousand","3975"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other reason for journey","2017","Thousand","3874"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other reason for journey","2018","Thousand","3595"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other reason for journey","2019","Thousand","3749"
