"Reason for Journey","Year","Statistic Label","UNIT","VALUE"
"Business","2011","Trips with at Least One Overnight in Ireland","Thousand","928"
"Business","2011","Same-Day Trips, No Overnight in Ireland","Thousand","170"
"Business","2012","Trips with at Least One Overnight in Ireland","Thousand","1018"
"Business","2012","Same-Day Trips, No Overnight in Ireland","Thousand","165"
"Business","2013","Trips with at Least One Overnight in Ireland","Thousand","1068"
"Business","2013","Same-Day Trips, No Overnight in Ireland","Thousand","174"
"Business","2014","Trips with at Least One Overnight in Ireland","Thousand","1089"
"Business","2014","Same-Day Trips, No Overnight in Ireland","Thousand","193"
"Business","2015","Trips with at Least One Overnight in Ireland","Thousand","1252"
"Business","2015","Same-Day Trips, No Overnight in Ireland","Thousand","189"
"Business","2016","Trips with at Least One Overnight in Ireland","Thousand","1318"
"Business","2016","Same-Day Trips, No Overnight in Ireland","Thousand","220"
"Business","2017","Trips with at Least One Overnight in Ireland","Thousand","1273"
"Business","2017","Same-Day Trips, No Overnight in Ireland","Thousand","205"
"Business","2018","Trips with at Least One Overnight in Ireland","Thousand","1226"
"Business","2018","Same-Day Trips, No Overnight in Ireland","Thousand","206"
"Business","2019","Trips with at Least One Overnight in Ireland","Thousand","1297"
"Business","2019","Same-Day Trips, No Overnight in Ireland","Thousand","188"
"Other reason for journey","2009","Trips with at Least One Overnight in Ireland","Thousand","368"
"Other reason for journey","2009","Same-Day Trips, No Overnight in Ireland","Thousand","93"
"Other reason for journey","2010","Trips with at Least One Overnight in Ireland","Thousand","440"
"Other reason for journey","2010","Same-Day Trips, No Overnight in Ireland","Thousand","148"
"Other reason for journey","2011","Trips with at Least One Overnight in Ireland","Thousand","515"
"Other reason for journey","2011","Same-Day Trips, No Overnight in Ireland","Thousand","190"
"Other reason for journey","2012","Trips with at Least One Overnight in Ireland","Thousand","488"
"Other reason for journey","2012","Same-Day Trips, No Overnight in Ireland","Thousand","197"
"Other reason for journey","2013","Trips with at Least One Overnight in Ireland","Thousand","350"
"Other reason for journey","2013","Same-Day Trips, No Overnight in Ireland","Thousand","320"
"Other reason for journey","2014","Trips with at Least One Overnight in Ireland","Thousand","316"
"Other reason for journey","2014","Same-Day Trips, No Overnight in Ireland","Thousand","473"
"Other reason for journey","2015","Trips with at Least One Overnight in Ireland","Thousand","352"
"Other reason for journey","2015","Same-Day Trips, No Overnight in Ireland","Thousand","552"
"Other reason for journey","2016","Trips with at Least One Overnight in Ireland","Thousand","383"
"Other reason for journey","2016","Same-Day Trips, No Overnight in Ireland","Thousand","721"
"Other reason for journey","2017","Trips with at Least One Overnight in Ireland","Thousand","393"
"Other reason for journey","2017","Same-Day Trips, No Overnight in Ireland","Thousand","784"
"Other reason for journey","2018","Trips with at Least One Overnight in Ireland","Thousand","395"
"Other reason for journey","2018","Same-Day Trips, No Overnight in Ireland","Thousand","899"
"Other reason for journey","2019","Trips with at Least One Overnight in Ireland","Thousand","411"
"Other reason for journey","2019","Same-Day Trips, No Overnight in Ireland","Thousand","1028"
