"Reason for Journey","Year","Statistic Label","UNIT","VALUE"
"All reasons for journey","2009","Trips with at Least One Overnight in Ireland","Thousand","6470"
"All reasons for journey","2009","Same-Day Trips, No Overnight in Ireland","Thousand","437"
"All reasons for journey","2010","Trips with at Least One Overnight in Ireland","Thousand","5700"
"All reasons for journey","2010","Same-Day Trips, No Overnight in Ireland","Thousand","439"
"All reasons for journey","2011","Trips with at Least One Overnight in Ireland","Thousand","6023"
"All reasons for journey","2011","Same-Day Trips, No Overnight in Ireland","Thousand","482"
"All reasons for journey","2012","Trips with at Least One Overnight in Ireland","Thousand","6039"
"All reasons for journey","2012","Same-Day Trips, No Overnight in Ireland","Thousand","478"
"All reasons for journey","2013","Trips with at Least One Overnight in Ireland","Thousand","6396"
"All reasons for journey","2013","Same-Day Trips, No Overnight in Ireland","Thousand","590"
"All reasons for journey","2014","Trips with at Least One Overnight in Ireland","Thousand","6828"
"All reasons for journey","2014","Same-Day Trips, No Overnight in Ireland","Thousand","776"
"All reasons for journey","2015","Trips with at Least One Overnight in Ireland","Thousand","7749"
"All reasons for journey","2015","Same-Day Trips, No Overnight in Ireland","Thousand","894"
"All reasons for journey","2016","Trips with at Least One Overnight in Ireland","Thousand","8428"
"All reasons for journey","2016","Same-Day Trips, No Overnight in Ireland","Thousand","1157"
"All reasons for journey","2017","Trips with at Least One Overnight in Ireland","Thousand","8726"
"All reasons for journey","2017","Same-Day Trips, No Overnight in Ireland","Thousand","1206"
"All reasons for journey","2018","Trips with at Least One Overnight in Ireland","Thousand","9276"
"All reasons for journey","2018","Same-Day Trips, No Overnight in Ireland","Thousand","1341"
"All reasons for journey","2019","Trips with at Least One Overnight in Ireland","Thousand","9357"
"All reasons for journey","2019","Same-Day Trips, No Overnight in Ireland","Thousand","1450"
"Holiday/leisure/recreation","2009","Trips with at Least One Overnight in Ireland","Thousand","2720"
"Holiday/leisure/recreation","2009","Same-Day Trips, No Overnight in Ireland","Thousand","96"
"Holiday/leisure/recreation","2010","Trips with at Least One Overnight in Ireland","Thousand","2460"
"Holiday/leisure/recreation","2010","Same-Day Trips, No Overnight in Ireland","Thousand","59"
"Holiday/leisure/recreation","2011","Trips with at Least One Overnight in Ireland","Thousand","2673"
"Holiday/leisure/recreation","2011","Same-Day Trips, No Overnight in Ireland","Thousand","55"
"Holiday/leisure/recreation","2012","Trips with at Least One Overnight in Ireland","Thousand","2775"
"Holiday/leisure/recreation","2012","Same-Day Trips, No Overnight in Ireland","Thousand","57"
"Holiday/leisure/recreation","2013","Trips with at Least One Overnight in Ireland","Thousand","3011"
"Holiday/leisure/recreation","2013","Same-Day Trips, No Overnight in Ireland","Thousand","48"
"Holiday/leisure/recreation","2014","Trips with at Least One Overnight in Ireland","Thousand","3261"
"Holiday/leisure/recreation","2014","Same-Day Trips, No Overnight in Ireland","Thousand","64"
"Holiday/leisure/recreation","2015","Trips with at Least One Overnight in Ireland","Thousand","3908"
"Holiday/leisure/recreation","2015","Same-Day Trips, No Overnight in Ireland","Thousand","93"
"Holiday/leisure/recreation","2016","Trips with at Least One Overnight in Ireland","Thousand","4251"
"Holiday/leisure/recreation","2016","Same-Day Trips, No Overnight in Ireland","Thousand","137"
"Holiday/leisure/recreation","2017","Trips with at Least One Overnight in Ireland","Thousand","4573"
"Holiday/leisure/recreation","2017","Same-Day Trips, No Overnight in Ireland","Thousand","137"
"Holiday/leisure/recreation","2018","Trips with at Least One Overnight in Ireland","Thousand","5087"
"Holiday/leisure/recreation","2018","Same-Day Trips, No Overnight in Ireland","Thousand","149"
"Holiday/leisure/recreation","2019","Trips with at Least One Overnight in Ireland","Thousand","5068"
"Holiday/leisure/recreation","2019","Same-Day Trips, No Overnight in Ireland","Thousand","148"
"Visit to friends/relatives","2009","Trips with at Least One Overnight in Ireland","Thousand","2437"
"Visit to friends/relatives","2009","Same-Day Trips, No Overnight in Ireland","Thousand","76"
"Visit to friends/relatives","2010","Trips with at Least One Overnight in Ireland","Thousand","1938"
"Visit to friends/relatives","2010","Same-Day Trips, No Overnight in Ireland","Thousand","54"
"Visit to friends/relatives","2011","Trips with at Least One Overnight in Ireland","Thousand","1907"
"Visit to friends/relatives","2011","Same-Day Trips, No Overnight in Ireland","Thousand","66"
"Visit to friends/relatives","2012","Trips with at Least One Overnight in Ireland","Thousand","1759"
"Visit to friends/relatives","2012","Same-Day Trips, No Overnight in Ireland","Thousand","60"
"Visit to friends/relatives","2013","Trips with at Least One Overnight in Ireland","Thousand","1967"
"Visit to friends/relatives","2013","Same-Day Trips, No Overnight in Ireland","Thousand","48"
"Visit to friends/relatives","2014","Trips with at Least One Overnight in Ireland","Thousand","2162"
"Visit to friends/relatives","2014","Same-Day Trips, No Overnight in Ireland","Thousand","47"
"Visit to friends/relatives","2015","Trips with at Least One Overnight in Ireland","Thousand","2238"
"Visit to friends/relatives","2015","Same-Day Trips, No Overnight in Ireland","Thousand","59"
"Visit to friends/relatives","2016","Trips with at Least One Overnight in Ireland","Thousand","2476"
"Visit to friends/relatives","2016","Same-Day Trips, No Overnight in Ireland","Thousand","78"
"Visit to friends/relatives","2017","Trips with at Least One Overnight in Ireland","Thousand","2487"
"Visit to friends/relatives","2017","Same-Day Trips, No Overnight in Ireland","Thousand","79"
"Visit to friends/relatives","2018","Trips with at Least One Overnight in Ireland","Thousand","2567"
"Visit to friends/relatives","2018","Same-Day Trips, No Overnight in Ireland","Thousand","87"
"Visit to friends/relatives","2019","Trips with at Least One Overnight in Ireland","Thousand","2581"
"Visit to friends/relatives","2019","Same-Day Trips, No Overnight in Ireland","Thousand","86"
"Business","2009","Trips with at Least One Overnight in Ireland","Thousand","946"
"Business","2009","Same-Day Trips, No Overnight in Ireland","Thousand","173"
"Business","2010","Trips with at Least One Overnight in Ireland","Thousand","861"
"Business","2010","Same-Day Trips, No Overnight in Ireland","Thousand","177"
