"Statistic Label","Area of Residence","Reason for Journey","Year","UNIT","VALUE"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Holiday/leisure/recreation","2009","%","47"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Holiday/leisure/recreation","2010","%","49"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Holiday/leisure/recreation","2011","%","47"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Holiday/leisure/recreation","2012","%","43"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Holiday/leisure/recreation","2013","%","45"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Holiday/leisure/recreation","2014","%","44"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Holiday/leisure/recreation","2015","%","43"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Holiday/leisure/recreation","2016","%","47"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Holiday/leisure/recreation","2017","%","44"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Holiday/leisure/recreation","2018","%","39"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Holiday/leisure/recreation","2019","%","27"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Visit to friends/relatives","2009","%","47"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Visit to friends/relatives","2010","%","58"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Visit to friends/relatives","2011","%","56"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Visit to friends/relatives","2012","%","60"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Visit to friends/relatives","2013","%","58"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Visit to friends/relatives","2014","%","59"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Visit to friends/relatives","2015","%","52"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Visit to friends/relatives","2016","%","52"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Visit to friends/relatives","2017","%","44"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Visit to friends/relatives","2018","%","49"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Visit to friends/relatives","2019","%","43"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Business","2009","%","81"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Business","2010","%","84"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Business","2011","%","83"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Business","2012","%","82"
