"Statistic Label","Type of Accommodation Used","Area of Residence","Year","UNIT","VALUE"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2009","Thousand","11187"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2010","Thousand","11265"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2011","Thousand","12552"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2012","Thousand","14180"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2013","Thousand","14272"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2014","Thousand","14707"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2015","Thousand","17375"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2016","Thousand","18522"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2017","Thousand","19183"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2018","Thousand","20060"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","All areas of residence","2019","Thousand","20890"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Great Britain","2009","Thousand","3437"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Great Britain","2010","Thousand","3409"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Great Britain","2011","Thousand","3431"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Great Britain","2012","Thousand","3463"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Great Britain","2013","Thousand","3492"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Great Britain","2014","Thousand","3647"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Great Britain","2015","Thousand","4345"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Great Britain","2016","Thousand","4554"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Great Britain","2017","Thousand","4027"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Great Britain","2018","Thousand","3969"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Great Britain","2019","Thousand","4215"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Europe","2009","Thousand","3768"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Europe","2010","Thousand","3849"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Europe","2011","Thousand","4670"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Europe","2012","Thousand","5568"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Europe","2013","Thousand","5528"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Europe","2014","Thousand","5563"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Europe","2015","Thousand","6587"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Europe","2016","Thousand","7088"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Europe","2017","Thousand","7131"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Europe","2018","Thousand","7266"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Europe","2019","Thousand","7831"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","USA and Canada","2009","Thousand","3162"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","USA and Canada","2010","Thousand","3266"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","USA and Canada","2011","Thousand","3464"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","USA and Canada","2012","Thousand","4036"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","USA and Canada","2013","Thousand","4069"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","USA and Canada","2014","Thousand","4355"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","USA and Canada","2015","Thousand","5044"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","USA and Canada","2016","Thousand","5385"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","USA and Canada","2017","Thousand","6402"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","USA and Canada","2018","Thousand","7184"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","USA and Canada","2019","Thousand","6985"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Areas","2009","Thousand","819"
