"Statistic Label","Type of Accommodation Used","Area of Residence","Year","UNIT","VALUE"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Great Britain","2009","Thousand","894"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Great Britain","2010","Thousand","809"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Great Britain","2011","Thousand","763"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Great Britain","2012","Thousand","607"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Great Britain","2013","Thousand","636"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Great Britain","2014","Thousand","682"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Great Britain","2015","Thousand","884"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Great Britain","2016","Thousand","1048"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Great Britain","2017","Thousand","1174"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Great Britain","2018","Thousand","1092"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Great Britain","2019","Thousand","1105"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Europe","2009","Thousand","2252"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Europe","2010","Thousand","2034"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Europe","2011","Thousand","2267"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Europe","2012","Thousand","2165"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Europe","2013","Thousand","2329"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Europe","2014","Thousand","2783"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Europe","2015","Thousand","3629"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Europe","2016","Thousand","4077"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Europe","2017","Thousand","4191"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Europe","2018","Thousand","4639"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Europe","2019","Thousand","4474"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","USA and Canada","2009","Thousand","1027"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","USA and Canada","2010","Thousand","866"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","USA and Canada","2011","Thousand","854"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","USA and Canada","2012","Thousand","988"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","USA and Canada","2013","Thousand","1048"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","USA and Canada","2014","Thousand","1242"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","USA and Canada","2015","Thousand","1589"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","USA and Canada","2016","Thousand","2080"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","USA and Canada","2017","Thousand","2533"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","USA and Canada","2018","Thousand","2979"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","USA and Canada","2019","Thousand","2560"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Areas","2009","Thousand","310"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Areas","2010","Thousand","281"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Areas","2011","Thousand","286"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Areas","2012","Thousand","313"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Areas","2013","Thousand","437"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Areas","2014","Thousand","464"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Areas","2015","Thousand","627"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Areas","2016","Thousand","649"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Areas","2017","Thousand","696"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Areas","2018","Thousand","865"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","Other Areas","2019","Thousand","791"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All areas of residence","2009","Thousand","9553"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All areas of residence","2010","Thousand","9261"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All areas of residence","2011","Thousand","10324"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All areas of residence","2012","Thousand","10311"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All areas of residence","2013","Thousand","10992"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All areas of residence","2014","Thousand","11051"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All areas of residence","2015","Thousand","11900"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All areas of residence","2016","Thousand","12417"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All areas of residence","2017","Thousand","13082"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All areas of residence","2018","Thousand","13018"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","All areas of residence","2019","Thousand","12567"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Great Britain","2009","Thousand","1234"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Great Britain","2010","Thousand","1470"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Great Britain","2011","Thousand","1565"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Great Britain","2012","Thousand","1965"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Great Britain","2013","Thousand","2237"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Great Britain","2014","Thousand","2423"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Great Britain","2015","Thousand","2497"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Great Britain","2016","Thousand","2785"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Great Britain","2017","Thousand","3214"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Great Britain","2018","Thousand","2696"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Great Britain","2019","Thousand","2731"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Europe","2009","Thousand","6922"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Europe","2010","Thousand","6116"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Europe","2011","Thousand","6704"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Europe","2012","Thousand","6294"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Europe","2013","Thousand","6183"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Europe","2014","Thousand","5925"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Europe","2015","Thousand","6303"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Europe","2016","Thousand","6610"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Europe","2017","Thousand","6745"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Europe","2018","Thousand","6840"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Europe","2019","Thousand","6625"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","USA and Canada","2009","Thousand","924"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","USA and Canada","2010","Thousand","1128"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","USA and Canada","2011","Thousand","1297"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","USA and Canada","2012","Thousand","1260"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","USA and Canada","2013","Thousand","1464"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","USA and Canada","2014","Thousand","1431"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","USA and Canada","2015","Thousand","1640"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","USA and Canada","2016","Thousand","1809"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","USA and Canada","2017","Thousand","1781"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","USA and Canada","2018","Thousand","1995"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","USA and Canada","2019","Thousand","1790"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Areas","2009","Thousand","475"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Areas","2010","Thousand","548"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Areas","2011","Thousand","757"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Areas","2012","Thousand","792"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Areas","2013","Thousand","1107"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Areas","2014","Thousand","1272"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Areas","2015","Thousand","1460"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Areas","2016","Thousand","1213"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Areas","2017","Thousand","1341"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Areas","2018","Thousand","1487"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Other","Other Areas","2019","Thousand","1421"
