"Route of Travel","Year","Statistic Label","UNIT","VALUE"
"Continental Europe","2013","Average Length of Stay by Irish Residents on Overseas Trips","Nights","9.4"
"Continental Europe","2014","Overseas Trips to Ireland by Non-Residents","Thousand","2780"
"Continental Europe","2014","Overseas Trips by Irish Residents","Thousand","3515"
"Continental Europe","2014","Average Length of Stay by Irish Residents on Overseas Trips","Nights","9.4"
"Continental Europe","2015","Overseas Trips to Ireland by Non-Residents","Thousand","3076"
"Continental Europe","2015","Overseas Trips by Irish Residents","Thousand","3772"
"Continental Europe","2015","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.4"
"Continental Europe","2016","Overseas Trips to Ireland by Non-Residents","Thousand","3416"
"Continental Europe","2016","Overseas Trips by Irish Residents","Thousand","4142"
"Continental Europe","2016","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.6"
"Continental Europe","2017","Overseas Trips to Ireland by Non-Residents","Thousand","3716"
"Continental Europe","2017","Overseas Trips by Irish Residents","Thousand","4376"
"Continental Europe","2017","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.2"
"Continental Europe","2018","Overseas Trips to Ireland by Non-Residents","Thousand","4121"
"Continental Europe","2018","Overseas Trips by Irish Residents","Thousand","4637"
"Continental Europe","2018","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.2"
"Continental Europe","2019","Overseas Trips to Ireland by Non-Residents","Thousand","4280"
"Continental Europe","2019","Overseas Trips by Irish Residents","Thousand","5107"
"Continental Europe","2019","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.5"
"Transatlantic","2009","Overseas Trips to Ireland by Non-Residents","Thousand","787"
"Transatlantic","2009","Overseas Trips by Irish Residents","Thousand","403"
"Transatlantic","2009","Average Length of Stay by Irish Residents on Overseas Trips","Nights","9.2"
"Transatlantic","2010","Overseas Trips to Ireland by Non-Residents","Thousand","662"
"Transatlantic","2010","Overseas Trips by Irish Residents","Thousand","333"
"Transatlantic","2010","Average Length of Stay by Irish Residents on Overseas Trips","Nights","9.1"
"Transatlantic","2011","Overseas Trips to Ireland by Non-Residents","Thousand","648"
"Transatlantic","2011","Overseas Trips by Irish Residents","Thousand","305"
