"Route of Travel","Year","Statistic Label","UNIT","VALUE"
"All Routes","1976","Visitors to Ireland","Thousand","1312"
"All Routes","1976","Average Length of Stay by Visitors to Ireland","Nights","12"
"All Routes","1976","Visits Abroad by Irish Residents","Thousand","886"
"All Routes","1976","Average Length of Stay Abroad by Irish Residents","Nights","11.2"
"All Routes","1977","Visitors to Ireland","Thousand","1473"
"All Routes","1977","Average Length of Stay by Visitors to Ireland","Nights","11.3"
"All Routes","1977","Visits Abroad by Irish Residents","Thousand","969"
"All Routes","1977","Average Length of Stay Abroad by Irish Residents","Nights","10.6"
"All Routes","1978","Visitors to Ireland","Thousand","1673"
"All Routes","1978","Average Length of Stay by Visitors to Ireland","Nights","10.7"
"All Routes","1978","Visits Abroad by Irish Residents","Thousand","1151"
"All Routes","1978","Average Length of Stay Abroad by Irish Residents","Nights","10.6"
"All Routes","1979","Visitors to Ireland","Thousand","1731"
"All Routes","1979","Average Length of Stay by Visitors to Ireland","Nights","10.3"
"All Routes","1979","Visits Abroad by Irish Residents","Thousand","1251"
"All Routes","1979","Average Length of Stay Abroad by Irish Residents","Nights","10"
"All Routes","1980","Visitors to Ireland","Thousand","1678"
"All Routes","1980","Average Length of Stay by Visitors to Ireland","Nights","10.7"
"All Routes","1980","Visits Abroad by Irish Residents","Thousand","1250"
"All Routes","1980","Average Length of Stay Abroad by Irish Residents","Nights","10.2"
"All Routes","1981","Visitors to Ireland","Thousand","1668"
"All Routes","1981","Average Length of Stay by Visitors to Ireland","Nights","10.2"
"All Routes","1981","Visits Abroad by Irish Residents","Thousand","1274"
"All Routes","1981","Average Length of Stay Abroad by Irish Residents","Nights","10.6"
"All Routes","1982","Visitors to Ireland","Thousand","1757"
"All Routes","1982","Average Length of Stay by Visitors to Ireland","Nights","9.9"
"All Routes","1982","Visits Abroad by Irish Residents","Thousand","1303"
"All Routes","1982","Average Length of Stay Abroad by Irish Residents","Nights","9.9"
"All Routes","1983","Visitors to Ireland","Thousand","1779"
"All Routes","1983","Average Length of Stay by Visitors to Ireland","Nights","9.5"
"All Routes","1983","Visits Abroad by Irish Residents","Thousand","1254"
"All Routes","1983","Average Length of Stay Abroad by Irish Residents","Nights","9.6"
"All Routes","1984","Visitors to Ireland","Thousand","1873"
"All Routes","1984","Average Length of Stay by Visitors to Ireland","Nights","9.6"
"All Routes","1984","Visits Abroad by Irish Residents","Thousand","1245"
"All Routes","1984","Average Length of Stay Abroad by Irish Residents","Nights","9.8"
"All Routes","1985","Visitors to Ireland","Thousand","1912"
"All Routes","1985","Average Length of Stay by Visitors to Ireland","Nights","9.9"
"All Routes","1985","Visits Abroad by Irish Residents","Thousand","1258"
"All Routes","1985","Average Length of Stay Abroad by Irish Residents","Nights","9.5"
"All Routes","1986","Visitors to Ireland","Thousand","1813"
"All Routes","1986","Average Length of Stay by Visitors to Ireland","Nights","9.9"
"All Routes","1986","Visits Abroad by Irish Residents","Thousand","1375"
"All Routes","1986","Average Length of Stay Abroad by Irish Residents","Nights","10.7"
"All Routes","1987","Visitors to Ireland","Thousand","2039"
"All Routes","1987","Average Length of Stay by Visitors to Ireland","Nights","9.4"
"All Routes","1987","Visits Abroad by Irish Residents","Thousand","1567"
"All Routes","1987","Average Length of Stay Abroad by Irish Residents","Nights","10.4"
"All Routes","1988","Visitors to Ireland","Thousand","2345"
"All Routes","1988","Average Length of Stay by Visitors to Ireland","Nights","9"
"All Routes","1988","Visits Abroad by Irish Residents","Thousand","1747"
"All Routes","1988","Average Length of Stay Abroad by Irish Residents","Nights","10.3"
"All Routes","1989","Visitors to Ireland","Thousand","2732"
"All Routes","1989","Average Length of Stay by Visitors to Ireland","Nights","9.4"
"All Routes","1989","Visits Abroad by Irish Residents","Thousand","1813"
"All Routes","1989","Average Length of Stay Abroad by Irish Residents","Nights","10.3"
"All Routes","1990","Visitors to Ireland","Thousand","3069"
"All Routes","1990","Average Length of Stay by Visitors to Ireland","Nights","9.4"
"All Routes","1990","Visits Abroad by Irish Residents","Thousand","1798"
"All Routes","1990","Average Length of Stay Abroad by Irish Residents","Nights","10.3"
"All Routes","1991","Visitors to Ireland","Thousand","2997"
"All Routes","1991","Average Length of Stay by Visitors to Ireland","Nights","10.1"
"All Routes","1991","Visits Abroad by Irish Residents","Thousand","1762"
"All Routes","1991","Average Length of Stay Abroad by Irish Residents","Nights","9.6"
"All Routes","1992","Visitors to Ireland","Thousand","3128"
"All Routes","1992","Average Length of Stay by Visitors to Ireland","Nights","9.6"
"All Routes","1992","Visits Abroad by Irish Residents","Thousand","1966"
"All Routes","1992","Average Length of Stay Abroad by Irish Residents","Nights","9.6"
"All Routes","1993","Visitors to Ireland","Thousand","3333"
"All Routes","1993","Average Length of Stay by Visitors to Ireland","Nights","9.2"
"All Routes","1993","Visits Abroad by Irish Residents","Thousand","2056"
"All Routes","1993","Average Length of Stay Abroad by Irish Residents","Nights","9.3"
"All Routes","1994","Visitors to Ireland","Thousand","3681"
"All Routes","1994","Average Length of Stay by Visitors to Ireland","Nights","9"
"All Routes","1994","Visits Abroad by Irish Residents","Thousand","2368"
"All Routes","1994","Average Length of Stay Abroad by Irish Residents","Nights","10"
"All Routes","1995","Visitors to Ireland","Thousand","4256"
"All Routes","1995","Average Length of Stay by Visitors to Ireland","Nights","8.7"
"All Routes","1995","Visits Abroad by Irish Residents","Thousand","2547"
"All Routes","1995","Average Length of Stay Abroad by Irish Residents","Nights","10"
"All Routes","1996","Visitors to Ireland","Thousand","4739"
"All Routes","1996","Average Length of Stay by Visitors to Ireland","Nights","8.9"
"All Routes","1996","Visits Abroad by Irish Residents","Thousand","2733"
"All Routes","1996","Average Length of Stay Abroad by Irish Residents","Nights","9.5"
"All Routes","1997","Visitors to Ireland","Thousand","5164"
"All Routes","1997","Average Length of Stay by Visitors to Ireland","Nights","8.6"
"All Routes","1997","Visits Abroad by Irish Residents","Thousand","3053"
"All Routes","1997","Average Length of Stay Abroad by Irish Residents","Nights","9.3"
"All Routes","1998","Visitors to Ireland","Thousand","5716"
"All Routes","1998","Average Length of Stay by Visitors to Ireland","Nights","8.1"
"All Routes","1998","Visits Abroad by Irish Residents","Thousand","3330"
"All Routes","1998","Average Length of Stay Abroad by Irish Residents","Nights","9.3"
"All Routes","1999","Visitors to Ireland","Thousand","6068"
"All Routes","1999","Average Length of Stay by Visitors to Ireland","Nights","7.7"
"All Routes","1999","Visits Abroad by Irish Residents","Thousand","3576"
"All Routes","1999","Average Length of Stay Abroad by Irish Residents","Nights","9.4"
"All Routes","2000","Visitors to Ireland","Thousand","6310"
"All Routes","2000","Average Length of Stay by Visitors to Ireland","Nights","7.6"
"All Routes","2000","Visits Abroad by Irish Residents","Thousand","3783"
"All Routes","2000","Average Length of Stay Abroad by Irish Residents","Nights","9.6"
"All Routes","2001","Visitors to Ireland","Thousand","5990"
"All Routes","2001","Average Length of Stay by Visitors to Ireland","Nights","7.9"
"All Routes","2001","Visits Abroad by Irish Residents","Thousand","4216"
"All Routes","2001","Average Length of Stay Abroad by Irish Residents","Nights","9.8"
"All Routes","2002","Visitors to Ireland","Thousand","6065"
"All Routes","2002","Average Length of Stay by Visitors to Ireland","Nights","7.7"
"All Routes","2002","Visits Abroad by Irish Residents","Thousand","4634"
"All Routes","2002","Average Length of Stay Abroad by Irish Residents","Nights","9.6"
"All Routes","2003","Visitors to Ireland","Thousand","6369"
"All Routes","2003","Average Length of Stay by Visitors to Ireland","Nights","7.8"
"All Routes","2003","Visits Abroad by Irish Residents","Thousand","4929"
"All Routes","2003","Average Length of Stay Abroad by Irish Residents","Nights","9.3"
"All Routes","2004","Visitors to Ireland","Thousand","6574"
"All Routes","2004","Average Length of Stay by Visitors to Ireland","Nights","7.5"
"All Routes","2004","Visits Abroad by Irish Residents","Thousand","5409"
"All Routes","2004","Average Length of Stay Abroad by Irish Residents","Nights","8.5"
"All Routes","2005","Visitors to Ireland","Thousand","6977"
"All Routes","2005","Average Length of Stay by Visitors to Ireland","Nights","7.6"
"All Routes","2005","Visits Abroad by Irish Residents","Thousand","6113"
"All Routes","2005","Average Length of Stay Abroad by Irish Residents","Nights","8.4"
"All Routes","2006","Visitors to Ireland","Thousand","7709"
"All Routes","2006","Average Length of Stay by Visitors to Ireland","Nights","7.6"
"All Routes","2006","Visits Abroad by Irish Residents","Thousand","6848"
"All Routes","2006","Average Length of Stay Abroad by Irish Residents","Nights","8"
"All Routes","2007","Visitors to Ireland","Thousand","8012"
"All Routes","2007","Average Length of Stay by Visitors to Ireland","Nights","7.3"
"All Routes","2007","Visits Abroad by Irish Residents","Thousand","7713"
"All Routes","2007","Average Length of Stay Abroad by Irish Residents","Nights","8.1"
"All Routes","2008","Visitors to Ireland","Thousand","7839"
"All Routes","2008","Average Length of Stay by Visitors to Ireland","Nights","8.1"
"All Routes","2008","Visits Abroad by Irish Residents","Thousand","7877"
"All Routes","2008","Average Length of Stay Abroad by Irish Residents","Nights","8.5"
"Air Cross Channel","1976","Visitors to Ireland","Thousand","515"
"Air Cross Channel","1976","Average Length of Stay by Visitors to Ireland","Nights","9.3"
"Air Cross Channel","1976","Visits Abroad by Irish Residents","Thousand","358"
"Air Cross Channel","1976","Average Length of Stay Abroad by Irish Residents","Nights","9.5"
"Air Cross Channel","1977","Visitors to Ireland","Thousand","515"
"Air Cross Channel","1977","Average Length of Stay by Visitors to Ireland","Nights","8.3"
