"Statistic Label","Type of Expenditure","Year","UNIT","VALUE"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel earnings from trips to Ireland","2009","Euro Million","3934"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel earnings from trips to Ireland","2010","Euro Million","3556"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel earnings from trips to Ireland","2011","Euro Million","3675"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel earnings from trips to Ireland","2012","Euro Million","3771"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel earnings from trips to Ireland","2013","Euro Million","4238"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel earnings from trips to Ireland","2014","Euro Million","4714"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel earnings from trips to Ireland","2015","Euro Million","5530"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel earnings from trips to Ireland","2016","Euro Million","6064"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel earnings from trips to Ireland","2017","Euro Million","6485"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel earnings from trips to Ireland","2018","Euro Million","6874"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel earnings from trips to Ireland","2019","Euro Million","6867"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel expenditure by Irish residents abroad","2009","Euro Million","5473"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel expenditure by Irish residents abroad","2010","Euro Million","5211"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel expenditure by Irish residents abroad","2011","Euro Million","4610"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel expenditure by Irish residents abroad","2012","Euro Million","4412"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel expenditure by Irish residents abroad","2013","Euro Million","4296"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel expenditure by Irish residents abroad","2014","Euro Million","4368"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel expenditure by Irish residents abroad","2015","Euro Million","4695"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel expenditure by Irish residents abroad","2016","Euro Million","5103"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel expenditure by Irish residents abroad","2017","Euro Million","5217"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel expenditure by Irish residents abroad","2018","Euro Million","5639"
"Tourism and Travel Estimated Earnings and Expenditure","Overseas tourism and travel expenditure by Irish residents abroad","2019","Euro Million","6480"
"Tourism and Travel Estimated Earnings and Expenditure","Tourism and travel balance","2009","Euro Million","-1539"
"Tourism and Travel Estimated Earnings and Expenditure","Tourism and travel balance","2010","Euro Million","-1655"
"Tourism and Travel Estimated Earnings and Expenditure","Tourism and travel balance","2011","Euro Million","-935"
"Tourism and Travel Estimated Earnings and Expenditure","Tourism and travel balance","2012","Euro Million","-640"
"Tourism and Travel Estimated Earnings and Expenditure","Tourism and travel balance","2013","Euro Million","-58"
"Tourism and Travel Estimated Earnings and Expenditure","Tourism and travel balance","2014","Euro Million","346"
"Tourism and Travel Estimated Earnings and Expenditure","Tourism and travel balance","2015","Euro Million","835"
"Tourism and Travel Estimated Earnings and Expenditure","Tourism and travel balance","2016","Euro Million","961"
"Tourism and Travel Estimated Earnings and Expenditure","Tourism and travel balance","2017","Euro Million","1268"
"Tourism and Travel Estimated Earnings and Expenditure","Tourism and travel balance","2018","Euro Million","1235"
"Tourism and Travel Estimated Earnings and Expenditure","Tourism and travel balance","2019","Euro Million","387"
