"Area of Residence","Reason for Journey","Year","Statistic Label","UNIT","VALUE"
"Germany","Other reason for journey","2017","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"Germany","Other reason for journey","2018","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.9"
"Germany","Other reason for journey","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","34"
"Germany","Other reason for journey","2018","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"Germany","Other reason for journey","2019","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.8"
"Germany","Other reason for journey","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","38"
"Germany","Other reason for journey","2019","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","10"
"France","All reasons for journey","2011","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.3"
"France","All reasons for journey","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","197"
"France","All reasons for journey","2011","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"France","All reasons for journey","2012","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.2"
"France","All reasons for journey","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","189"
"France","All reasons for journey","2012","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"France","All reasons for journey","2013","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.9"
"France","All reasons for journey","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","200"
"France","All reasons for journey","2013","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"France","All reasons for journey","2014","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.8"
"France","All reasons for journey","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","202"
"France","All reasons for journey","2014","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"France","All reasons for journey","2015","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.6"
"France","All reasons for journey","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","236"
"France","All reasons for journey","2015","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"France","All reasons for journey","2016","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.4"
"France","All reasons for journey","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","274"
"France","All reasons for journey","2016","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"France","All reasons for journey","2017","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.3"
"France","All reasons for journey","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","295"
"France","All reasons for journey","2017","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"France","All reasons for journey","2018","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.9"
"France","All reasons for journey","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","291"
"France","All reasons for journey","2018","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"France","All reasons for journey","2019","Average Length of Stay by Overseas Travellers to Ireland","Nights","9"
"France","All reasons for journey","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","268"
"France","All reasons for journey","2019","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"France","Holiday/leisure/recreation","2011","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.3"
"France","Holiday/leisure/recreation","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","113"
"France","Holiday/leisure/recreation","2011","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"France","Holiday/leisure/recreation","2012","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.6"
"France","Holiday/leisure/recreation","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","120"
"France","Holiday/leisure/recreation","2012","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"France","Holiday/leisure/recreation","2013","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.8"
"France","Holiday/leisure/recreation","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","118"
"France","Holiday/leisure/recreation","2013","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"France","Holiday/leisure/recreation","2014","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.2"
"France","Holiday/leisure/recreation","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","118"
"France","Holiday/leisure/recreation","2014","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"France","Holiday/leisure/recreation","2015","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.9"
"France","Holiday/leisure/recreation","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","149"
"France","Holiday/leisure/recreation","2015","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"France","Holiday/leisure/recreation","2016","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.8"
"France","Holiday/leisure/recreation","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","175"
"France","Holiday/leisure/recreation","2016","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"France","Holiday/leisure/recreation","2017","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.3"
"France","Holiday/leisure/recreation","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","187"
"France","Holiday/leisure/recreation","2017","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"France","Holiday/leisure/recreation","2018","Average Length of Stay by Overseas Travellers to Ireland","Nights","7"
"France","Holiday/leisure/recreation","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","183"
"France","Holiday/leisure/recreation","2018","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"France","Holiday/leisure/recreation","2019","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.8"
"France","Holiday/leisure/recreation","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","170"
"France","Holiday/leisure/recreation","2019","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"France","Visit to friends/relatives","2011","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.2"
"France","Visit to friends/relatives","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","28"
"France","Visit to friends/relatives","2011","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"France","Visit to friends/relatives","2012","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"France","Visit to friends/relatives","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","21"
"France","Visit to friends/relatives","2012","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","3"
"France","Visit to friends/relatives","2013","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.1"
"France","Visit to friends/relatives","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","19"
"France","Visit to friends/relatives","2013","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","3"
"France","Visit to friends/relatives","2014","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.7"
"France","Visit to friends/relatives","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","25"
"France","Visit to friends/relatives","2014","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"France","Visit to friends/relatives","2015","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"France","Visit to friends/relatives","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","24"
"France","Visit to friends/relatives","2015","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"France","Visit to friends/relatives","2016","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.3"
"France","Visit to friends/relatives","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","29"
"France","Visit to friends/relatives","2016","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"France","Visit to friends/relatives","2017","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.5"
"France","Visit to friends/relatives","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","31"
"France","Visit to friends/relatives","2017","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"France","Visit to friends/relatives","2018","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.6"
"France","Visit to friends/relatives","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","31"
"France","Visit to friends/relatives","2018","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"France","Visit to friends/relatives","2019","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.3"
"France","Visit to friends/relatives","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","29"
"France","Visit to friends/relatives","2019","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","3"
"France","Business","2011","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.9"
"France","Business","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","28"
"France","Business","2011","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"France","Business","2012","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.5"
"France","Business","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","27"
"France","Business","2012","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"France","Business","2013","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.2"
"France","Business","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","26"
"France","Business","2013","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"France","Business","2014","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.6"
"France","Business","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","28"
"France","Business","2014","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"France","Business","2015","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.3"
"France","Business","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","26"
"France","Business","2015","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"France","Business","2016","Average Length of Stay by Overseas Travellers to Ireland","Nights","8"
"France","Business","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","31"
"France","Business","2016","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"France","Business","2017","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.9"
"France","Business","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","37"
"France","Business","2017","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"France","Business","2018","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.7"
"France","Business","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","34"
"France","Business","2018","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"France","Business","2019","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.5"
"France","Business","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","32"
"France","Business","2019","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"France","Other reason for journey","2011","Average Length of Stay by Overseas Travellers to Ireland","Nights","21.5"
"France","Other reason for journey","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","29"
"France","Other reason for journey","2011","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","11"
"France","Other reason for journey","2012","Average Length of Stay by Overseas Travellers to Ireland","Nights","21.4"
"France","Other reason for journey","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","21"
"France","Other reason for journey","2012","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"France","Other reason for journey","2013","Average Length of Stay by Overseas Travellers to Ireland","Nights","21"
"France","Other reason for journey","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","36"
"France","Other reason for journey","2013","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","12"
"France","Other reason for journey","2014","Average Length of Stay by Overseas Travellers to Ireland","Nights","19.3"
"France","Other reason for journey","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","30"
"France","Other reason for journey","2014","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"France","Other reason for journey","2015","Average Length of Stay by Overseas Travellers to Ireland","Nights","19.9"
"France","Other reason for journey","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","37"
"France","Other reason for journey","2015","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","11"
"France","Other reason for journey","2016","Average Length of Stay by Overseas Travellers to Ireland","Nights","21.5"
"France","Other reason for journey","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","40"
"France","Other reason for journey","2016","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"France","Other reason for journey","2017","Average Length of Stay by Overseas Travellers to Ireland","Nights","21.9"
"France","Other reason for journey","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","40"
"France","Other reason for journey","2017","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"France","Other reason for journey","2018","Average Length of Stay by Overseas Travellers to Ireland","Nights","21.3"
"France","Other reason for journey","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","43"
"France","Other reason for journey","2018","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"France","Other reason for journey","2019","Average Length of Stay by Overseas Travellers to Ireland","Nights","20.6"
"France","Other reason for journey","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","37"
"France","Other reason for journey","2019","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","10"
"Italy","All reasons for journey","2011","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.5"
"Italy","All reasons for journey","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","102"
"Italy","All reasons for journey","2011","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"Italy","All reasons for journey","2012","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.5"
"Italy","All reasons for journey","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","108"
"Italy","All reasons for journey","2012","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"Italy","All reasons for journey","2013","Average Length of Stay by Overseas Travellers to Ireland","Nights","9"
"Italy","All reasons for journey","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","119"
"Italy","All reasons for journey","2013","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"Italy","All reasons for journey","2014","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.5"
"Italy","All reasons for journey","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","132"
"Italy","All reasons for journey","2014","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"Italy","All reasons for journey","2015","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.6"
"Italy","All reasons for journey","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","153"
"Italy","All reasons for journey","2015","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"Italy","All reasons for journey","2016","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.8"
"Italy","All reasons for journey","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","175"
"Italy","All reasons for journey","2016","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"Italy","All reasons for journey","2017","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.5"
"Italy","All reasons for journey","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","190"
"Italy","All reasons for journey","2017","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"Italy","All reasons for journey","2018","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.3"
"Italy","All reasons for journey","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","198"
"Italy","All reasons for journey","2018","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"Italy","All reasons for journey","2019","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.9"
"Italy","All reasons for journey","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","178"
"Italy","All reasons for journey","2019","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"Italy","Holiday/leisure/recreation","2011","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"Italy","Holiday/leisure/recreation","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","64"
"Italy","Holiday/leisure/recreation","2011","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"Italy","Holiday/leisure/recreation","2012","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.4"
"Italy","Holiday/leisure/recreation","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","59"
"Italy","Holiday/leisure/recreation","2012","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"Italy","Holiday/leisure/recreation","2013","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.5"
"Italy","Holiday/leisure/recreation","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","54"
"Italy","Holiday/leisure/recreation","2013","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"Italy","Holiday/leisure/recreation","2014","Average Length of Stay by Overseas Travellers to Ireland","Nights","7"
"Italy","Holiday/leisure/recreation","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","51"
"Italy","Holiday/leisure/recreation","2014","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"Italy","Holiday/leisure/recreation","2015","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.8"
"Italy","Holiday/leisure/recreation","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","77"
"Italy","Holiday/leisure/recreation","2015","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"Italy","Holiday/leisure/recreation","2016","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.1"
"Italy","Holiday/leisure/recreation","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","84"
"Italy","Holiday/leisure/recreation","2016","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"Italy","Holiday/leisure/recreation","2017","Average Length of Stay by Overseas Travellers to Ireland","Nights","6"
"Italy","Holiday/leisure/recreation","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","96"
"Italy","Holiday/leisure/recreation","2017","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"Italy","Holiday/leisure/recreation","2018","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.5"
"Italy","Holiday/leisure/recreation","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","116"
"Italy","Holiday/leisure/recreation","2018","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"Italy","Holiday/leisure/recreation","2019","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.3"
"Italy","Holiday/leisure/recreation","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","114"
"Italy","Holiday/leisure/recreation","2019","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"Italy","Visit to friends/relatives","2011","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.1"
"Italy","Visit to friends/relatives","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","11"
"Italy","Visit to friends/relatives","2011","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","2"
"Italy","Visit to friends/relatives","2012","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.7"
"Italy","Visit to friends/relatives","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","10"
"Italy","Visit to friends/relatives","2012","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","1"
"Italy","Visit to friends/relatives","2013","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.7"
"Italy","Visit to friends/relatives","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","9"
"Italy","Visit to friends/relatives","2013","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","2"
"Italy","Visit to friends/relatives","2014","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.3"
"Italy","Visit to friends/relatives","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","11"
"Italy","Visit to friends/relatives","2014","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","2"
"Italy","Visit to friends/relatives","2015","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.9"
"Italy","Visit to friends/relatives","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","16"
"Italy","Visit to friends/relatives","2015","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","2"
"Italy","Visit to friends/relatives","2016","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.8"
"Italy","Visit to friends/relatives","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","18"
"Italy","Visit to friends/relatives","2016","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","2"
"Italy","Visit to friends/relatives","2017","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.7"
"Italy","Visit to friends/relatives","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","19"
"Italy","Visit to friends/relatives","2017","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","2"
"Italy","Visit to friends/relatives","2018","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.3"
"Italy","Visit to friends/relatives","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","21"
"Italy","Visit to friends/relatives","2018","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","2"
"Italy","Visit to friends/relatives","2019","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.8"
"Italy","Visit to friends/relatives","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","17"
"Italy","Visit to friends/relatives","2019","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","2"
"Italy","Business","2011","Average Length of Stay by Overseas Travellers to Ireland","Nights","9"
"Italy","Business","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","10"
"Italy","Business","2011","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","2"
"Italy","Business","2012","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.4"
"Italy","Business","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","11"
"Italy","Business","2012","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","2"
"Italy","Business","2013","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.8"
"Italy","Business","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","19"
"Italy","Business","2013","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","3"
"Italy","Business","2014","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.1"
"Italy","Business","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","19"
"Italy","Business","2014","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","3"
"Italy","Business","2015","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.8"
"Italy","Business","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","20"
"Italy","Business","2015","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","3"
"Italy","Business","2016","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.3"
"Italy","Business","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","26"
"Italy","Business","2016","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","3"
"Italy","Business","2017","Average Length of Stay by Overseas Travellers to Ireland","Nights","11.1"
"Italy","Business","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","36"
"Italy","Business","2017","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"Italy","Business","2018","Average Length of Stay by Overseas Travellers to Ireland","Nights","13"
"Italy","Business","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","23"
"Italy","Business","2018","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","3"
"Italy","Business","2019","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.3"
"Italy","Business","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","24"
"Italy","Business","2019","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"Italy","Other reason for journey","2011","Average Length of Stay by Overseas Travellers to Ireland","Nights","15.5"
"Italy","Other reason for journey","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","17"
"Italy","Other reason for journey","2011","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","10"
"Italy","Other reason for journey","2012","Average Length of Stay by Overseas Travellers to Ireland","Nights","14.4"
"Italy","Other reason for journey","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","28"
"Italy","Other reason for journey","2012","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","17"
"Italy","Other reason for journey","2013","Average Length of Stay by Overseas Travellers to Ireland","Nights","15.8"
"Italy","Other reason for journey","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","36"
"Italy","Other reason for journey","2013","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","12"
"Italy","Other reason for journey","2014","Average Length of Stay by Overseas Travellers to Ireland","Nights","19.5"
"Italy","Other reason for journey","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","51"
"Italy","Other reason for journey","2014","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","12"
"Italy","Other reason for journey","2015","Average Length of Stay by Overseas Travellers to Ireland","Nights","18"
"Italy","Other reason for journey","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","40"
"Italy","Other reason for journey","2015","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","12"
"Italy","Other reason for journey","2016","Average Length of Stay by Overseas Travellers to Ireland","Nights","12.1"
"Italy","Other reason for journey","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","47"
"Italy","Other reason for journey","2016","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","14"
"Italy","Other reason for journey","2017","Average Length of Stay by Overseas Travellers to Ireland","Nights","16.1"
"Italy","Other reason for journey","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","40"
"Italy","Other reason for journey","2017","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","11"
"Italy","Other reason for journey","2018","Average Length of Stay by Overseas Travellers to Ireland","Nights","15.2"
"Italy","Other reason for journey","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","38"
"Italy","Other reason for journey","2018","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","11"
