"Area of Residence","Reason for Journey","Year","Statistic Label","UNIT","VALUE"
"All Countries","Visit to friends/relatives","2012","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.3"
"All Countries","Visit to friends/relatives","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","588"
"All Countries","Visit to friends/relatives","2012","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Visit to friends/relatives","2013","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.3"
"All Countries","Visit to friends/relatives","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","670"
"All Countries","Visit to friends/relatives","2013","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Visit to friends/relatives","2014","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"All Countries","Visit to friends/relatives","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","784"
"All Countries","Visit to friends/relatives","2014","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Visit to friends/relatives","2015","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.3"
"All Countries","Visit to friends/relatives","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","803"
"All Countries","Visit to friends/relatives","2015","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Visit to friends/relatives","2016","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.2"
"All Countries","Visit to friends/relatives","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","864"
"All Countries","Visit to friends/relatives","2016","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Visit to friends/relatives","2017","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.2"
"All Countries","Visit to friends/relatives","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","895"
"All Countries","Visit to friends/relatives","2017","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Visit to friends/relatives","2018","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.1"
"All Countries","Visit to friends/relatives","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","881"
"All Countries","Visit to friends/relatives","2018","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Visit to friends/relatives","2019","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.1"
"All Countries","Visit to friends/relatives","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","907"
