"Area of Residence","Year","Statistic Label","UNIT","VALUE"
"Other Europe","1983","Expenditure by Visitors to Ireland","Euro Million","86"
"Other Europe","1983","Visitors to Ireland","Thousand","298"
"Other Europe","1983","Average Length of Stay in Nights by Visitors to Ireland","Nights","12.8"
"Other Europe","1984","Expenditure by Visitors to Ireland","Euro Million","89"
"Other Europe","1984","Visitors to Ireland","Thousand","298"
"Other Europe","1984","Average Length of Stay in Nights by Visitors to Ireland","Nights","11.8"
"Other Europe","1985","Expenditure by Visitors to Ireland","Euro Million","107"
"Other Europe","1985","Visitors to Ireland","Thousand","326"
"Other Europe","1985","Average Length of Stay in Nights by Visitors to Ireland","Nights","12.8"
"Other Europe","1986","Expenditure by Visitors to Ireland","Euro Million","109"
"Other Europe","1986","Visitors to Ireland","Thousand","326"
"Other Europe","1986","Average Length of Stay in Nights by Visitors to Ireland","Nights","13"
"Other Europe","1987","Expenditure by Visitors to Ireland","Euro Million","132"
"Other Europe","1987","Visitors to Ireland","Thousand","382"
"Other Europe","1987","Average Length of Stay in Nights by Visitors to Ireland","Nights","11.4"
"Other Europe","1988","Expenditure by Visitors to Ireland","Euro Million","155"
"Other Europe","1988","Visitors to Ireland","Thousand","398"
"Other Europe","1988","Average Length of Stay in Nights by Visitors to Ireland","Nights","12"
"Other Europe","1989","Expenditure by Visitors to Ireland","Euro Million","201"
"Other Europe","1989","Visitors to Ireland","Thousand","538"
"Other Europe","1989","Average Length of Stay in Nights by Visitors to Ireland","Nights","12.8"
"Other Europe","1990","Expenditure by Visitors to Ireland","Euro Million","312"
"Other Europe","1990","Visitors to Ireland","Thousand","731"
"Other Europe","1990","Average Length of Stay in Nights by Visitors to Ireland","Nights","12.6"
"Other Europe","1991","Expenditure by Visitors to Ireland","Euro Million","387"
"Other Europe","1991","Visitors to Ireland","Thousand","824"
"Other Europe","1991","Average Length of Stay in Nights by Visitors to Ireland","Nights","13.3"
"Other Europe","1992","Expenditure by Visitors to Ireland","Euro Million","405"
"Other Europe","1992","Visitors to Ireland","Thousand","855"
"Other Europe","1992","Average Length of Stay in Nights by Visitors to Ireland","Nights","12.7"
"Other Europe","1993","Expenditure by Visitors to Ireland","Euro Million","500"
"Other Europe","1993","Visitors to Ireland","Thousand","924"
"Other Europe","1993","Average Length of Stay in Nights by Visitors to Ireland","Nights","12.6"
"Other Europe","1994","Expenditure by Visitors to Ireland","Euro Million","465"
