"Reason for Journey","Year","Statistic Label","UNIT","VALUE"
"All reasons for journey","2018","Overseas Trips to Ireland by Non-Residents","Thousand","10616"
"All reasons for journey","2018","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.7"
"All reasons for journey","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","5149"
"All reasons for journey","2018","Overseas Trips by Irish Residents","Thousand","8276"
"All reasons for journey","2018","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.2"
"All reasons for journey","2018","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","7062"
"All reasons for journey","2019","Overseas Trips to Ireland by Non-Residents","Thousand","10808"
"All reasons for journey","2019","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.5"
"All reasons for journey","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","5101"
"All reasons for journey","2019","Overseas Trips by Irish Residents","Thousand","8814"
"All reasons for journey","2019","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.4"
"All reasons for journey","2019","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","7914"
"Holiday/leisure/recreation","2009","Overseas Trips to Ireland by Non-Residents","Thousand","2816"
"Holiday/leisure/recreation","2009","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.1"
"Holiday/leisure/recreation","2009","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1550"
"Holiday/leisure/recreation","2009","Overseas Trips by Irish Residents","Thousand","4506"
"Holiday/leisure/recreation","2009","Average Length of Stay by Irish Residents on Overseas Trips","Nights","9.1"
"Holiday/leisure/recreation","2009","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","4438"
"Holiday/leisure/recreation","2010","Overseas Trips to Ireland by Non-Residents","Thousand","2520"
"Holiday/leisure/recreation","2010","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.3"
"Holiday/leisure/recreation","2010","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1472"
"Holiday/leisure/recreation","2010","Overseas Trips by Irish Residents","Thousand","4076"
"Holiday/leisure/recreation","2010","Average Length of Stay by Irish Residents on Overseas Trips","Nights","9.3"
"Holiday/leisure/recreation","2010","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","4090"
"Holiday/leisure/recreation","2011","Overseas Trips to Ireland by Non-Residents","Thousand","2728"
"Holiday/leisure/recreation","2011","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.9"
"Holiday/leisure/recreation","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1457"
"Holiday/leisure/recreation","2011","Overseas Trips by Irish Residents","Thousand","3922"
"Holiday/leisure/recreation","2011","Average Length of Stay by Irish Residents on Overseas Trips","Nights","9.3"
"Holiday/leisure/recreation","2011","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","3835"
"Holiday/leisure/recreation","2012","Overseas Trips to Ireland by Non-Residents","Thousand","2832"
"Holiday/leisure/recreation","2012","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"Holiday/leisure/recreation","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1513"
"Holiday/leisure/recreation","2012","Overseas Trips by Irish Residents","Thousand","3901"
"Holiday/leisure/recreation","2012","Average Length of Stay by Irish Residents on Overseas Trips","Nights","9.2"
"Holiday/leisure/recreation","2012","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","3704"
"Holiday/leisure/recreation","2013","Overseas Trips to Ireland by Non-Residents","Thousand","3059"
"Holiday/leisure/recreation","2013","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"Holiday/leisure/recreation","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1687"
"Holiday/leisure/recreation","2013","Overseas Trips by Irish Residents","Thousand","3931"
"Holiday/leisure/recreation","2013","Average Length of Stay by Irish Residents on Overseas Trips","Nights","9.3"
"Holiday/leisure/recreation","2013","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","3817"
"Holiday/leisure/recreation","2014","Overseas Trips to Ireland by Non-Residents","Thousand","3324"
"Holiday/leisure/recreation","2014","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"Holiday/leisure/recreation","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1823"
"Holiday/leisure/recreation","2014","Overseas Trips by Irish Residents","Thousand","4004"
"Holiday/leisure/recreation","2014","Average Length of Stay by Irish Residents on Overseas Trips","Nights","9.1"
"Holiday/leisure/recreation","2014","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","3818"
"Holiday/leisure/recreation","2015","Overseas Trips to Ireland by Non-Residents","Thousand","4001"
"Holiday/leisure/recreation","2015","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.5"
"Holiday/leisure/recreation","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","2330"
"Holiday/leisure/recreation","2015","Overseas Trips by Irish Residents","Thousand","4209"
"Holiday/leisure/recreation","2015","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.6"
"Holiday/leisure/recreation","2015","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","4089"
"Holiday/leisure/recreation","2016","Overseas Trips to Ireland by Non-Residents","Thousand","4388"
"Holiday/leisure/recreation","2016","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"Holiday/leisure/recreation","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","2547"
"Holiday/leisure/recreation","2016","Overseas Trips by Irish Residents","Thousand","4563"
"Holiday/leisure/recreation","2016","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.9"
"Holiday/leisure/recreation","2016","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","4608"
"Holiday/leisure/recreation","2017","Overseas Trips to Ireland by Non-Residents","Thousand","4710"
"Holiday/leisure/recreation","2017","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"Holiday/leisure/recreation","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","2758"
"Holiday/leisure/recreation","2017","Overseas Trips by Irish Residents","Thousand","5058"
"Holiday/leisure/recreation","2017","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.4"
"Holiday/leisure/recreation","2017","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","4912"
"Holiday/leisure/recreation","2018","Overseas Trips to Ireland by Non-Residents","Thousand","5235"
"Holiday/leisure/recreation","2018","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.3"
"Holiday/leisure/recreation","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","3105"
"Holiday/leisure/recreation","2018","Overseas Trips by Irish Residents","Thousand","5375"
"Holiday/leisure/recreation","2018","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.3"
"Holiday/leisure/recreation","2018","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","5309"
"Holiday/leisure/recreation","2019","Overseas Trips to Ireland by Non-Residents","Thousand","5216"
"Holiday/leisure/recreation","2019","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.1"
"Holiday/leisure/recreation","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","3074"
"Holiday/leisure/recreation","2019","Overseas Trips by Irish Residents","Thousand","5743"
"Holiday/leisure/recreation","2019","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.5"
"Holiday/leisure/recreation","2019","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","5918"
"Visit to friends/relatives","2009","Overseas Trips to Ireland by Non-Residents","Thousand","2513"
"Visit to friends/relatives","2009","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.7"
"Visit to friends/relatives","2009","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","955"
"Visit to friends/relatives","2009","Overseas Trips by Irish Residents","Thousand","1612"
"Visit to friends/relatives","2009","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.1"
"Visit to friends/relatives","2009","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","927"
"Visit to friends/relatives","2010","Overseas Trips to Ireland by Non-Residents","Thousand","1993"
"Visit to friends/relatives","2010","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.9"
"Visit to friends/relatives","2010","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","743"
"Visit to friends/relatives","2010","Overseas Trips by Irish Residents","Thousand","1639"
"Visit to friends/relatives","2010","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.9"
"Visit to friends/relatives","2010","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","951"
"Visit to friends/relatives","2011","Overseas Trips to Ireland by Non-Residents","Thousand","1973"
"Visit to friends/relatives","2011","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.5"
"Visit to friends/relatives","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","641"
"Visit to friends/relatives","2011","Overseas Trips by Irish Residents","Thousand","1450"
"Visit to friends/relatives","2011","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.4"
"Visit to friends/relatives","2011","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","808"
"Visit to friends/relatives","2012","Overseas Trips to Ireland by Non-Residents","Thousand","1818"
"Visit to friends/relatives","2012","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.3"
"Visit to friends/relatives","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","588"
"Visit to friends/relatives","2012","Overseas Trips by Irish Residents","Thousand","1508"
"Visit to friends/relatives","2012","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.4"
"Visit to friends/relatives","2012","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","819"
"Visit to friends/relatives","2013","Overseas Trips to Ireland by Non-Residents","Thousand","2015"
"Visit to friends/relatives","2013","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.3"
"Visit to friends/relatives","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","670"
"Visit to friends/relatives","2013","Overseas Trips by Irish Residents","Thousand","1458"
"Visit to friends/relatives","2013","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.8"
"Visit to friends/relatives","2013","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","784"
"Visit to friends/relatives","2014","Overseas Trips to Ireland by Non-Residents","Thousand","2209"
"Visit to friends/relatives","2014","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"Visit to friends/relatives","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","784"
"Visit to friends/relatives","2014","Overseas Trips by Irish Residents","Thousand","1565"
"Visit to friends/relatives","2014","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.2"
"Visit to friends/relatives","2014","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","907"
"Visit to friends/relatives","2015","Overseas Trips to Ireland by Non-Residents","Thousand","2297"
"Visit to friends/relatives","2015","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.3"
"Visit to friends/relatives","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","803"
"Visit to friends/relatives","2015","Overseas Trips by Irish Residents","Thousand","1684"
"Visit to friends/relatives","2015","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.8"
"Visit to friends/relatives","2015","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","968"
"Visit to friends/relatives","2016","Overseas Trips to Ireland by Non-Residents","Thousand","2553"
"Visit to friends/relatives","2016","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.2"
"Visit to friends/relatives","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","864"
"Visit to friends/relatives","2016","Overseas Trips by Irish Residents","Thousand","1751"
"Visit to friends/relatives","2016","Average Length of Stay by Irish Residents on Overseas Trips","Nights","5.8"
"Visit to friends/relatives","2016","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","936"
"Visit to friends/relatives","2017","Overseas Trips to Ireland by Non-Residents","Thousand","2566"
"Visit to friends/relatives","2017","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.2"
"Visit to friends/relatives","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","895"
"Visit to friends/relatives","2017","Overseas Trips by Irish Residents","Thousand","1790"
"Visit to friends/relatives","2017","Average Length of Stay by Irish Residents on Overseas Trips","Nights","5.4"
"Visit to friends/relatives","2017","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","909"
"Visit to friends/relatives","2018","Overseas Trips to Ireland by Non-Residents","Thousand","2655"
"Visit to friends/relatives","2018","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.1"
"Visit to friends/relatives","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","881"
"Visit to friends/relatives","2018","Overseas Trips by Irish Residents","Thousand","1801"
"Visit to friends/relatives","2018","Average Length of Stay by Irish Residents on Overseas Trips","Nights","5.5"
"Visit to friends/relatives","2018","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","891"
"Visit to friends/relatives","2019","Overseas Trips to Ireland by Non-Residents","Thousand","2667"
"Visit to friends/relatives","2019","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.1"
"Visit to friends/relatives","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","907"
"Visit to friends/relatives","2019","Overseas Trips by Irish Residents","Thousand","1932"
"Visit to friends/relatives","2019","Average Length of Stay by Irish Residents on Overseas Trips","Nights","5.8"
"Visit to friends/relatives","2019","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1055"
"Business","2009","Overseas Trips to Ireland by Non-Residents","Thousand","1119"
"Business","2009","Average Length of Stay by Overseas Travellers to Ireland","Nights","5"
"Business","2009","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","528"
"Business","2009","Overseas Trips by Irish Residents","Thousand","711"
"Business","2009","Average Length of Stay by Irish Residents on Overseas Trips","Nights","3.3"
"Business","2009","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","482"
"Business","2010","Overseas Trips to Ireland by Non-Residents","Thousand","1038"
"Business","2010","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.4"
"Business","2010","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","460"
"Business","2010","Overseas Trips by Irish Residents","Thousand","724"
"Business","2010","Average Length of Stay by Irish Residents on Overseas Trips","Nights","3.8"
"Business","2010","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","563"
"Business","2011","Overseas Trips to Ireland by Non-Residents","Thousand","1098"
"Business","2011","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.1"
"Business","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","478"
"Business","2011","Overseas Trips by Irish Residents","Thousand","698"
"Business","2011","Average Length of Stay by Irish Residents on Overseas Trips","Nights","4.6"
"Business","2011","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","548"
"Business","2012","Overseas Trips to Ireland by Non-Residents","Thousand","1182"
"Business","2012","Average Length of Stay by Overseas Travellers to Ireland","Nights","5"
"Business","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","529"
"Business","2012","Overseas Trips by Irish Residents","Thousand","794"
"Business","2012","Average Length of Stay by Irish Residents on Overseas Trips","Nights","4.3"
"Business","2012","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","581"
"Business","2013","Overseas Trips to Ireland by Non-Residents","Thousand","1242"
"Business","2013","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.4"
"Business","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","580"
"Business","2013","Overseas Trips by Irish Residents","Thousand","862"
"Business","2013","Average Length of Stay by Irish Residents on Overseas Trips","Nights","4.2"
"Business","2013","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","601"
"Business","2014","Overseas Trips to Ireland by Non-Residents","Thousand","1282"
"Business","2014","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.6"
"Business","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","587"
"Business","2014","Overseas Trips by Irish Residents","Thousand","790"
"Business","2014","Average Length of Stay by Irish Residents on Overseas Trips","Nights","4"
"Business","2014","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","602"
"Business","2015","Overseas Trips to Ireland by Non-Residents","Thousand","1441"
"Business","2015","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.3"
"Business","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","675"
"Business","2015","Overseas Trips by Irish Residents","Thousand","890"
"Business","2015","Average Length of Stay by Irish Residents on Overseas Trips","Nights","3.7"
"Business","2015","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","650"
"Business","2016","Overseas Trips to Ireland by Non-Residents","Thousand","1539"
"Business","2016","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.7"
"Business","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","724"
"Business","2016","Overseas Trips by Irish Residents","Thousand","817"
"Business","2016","Average Length of Stay by Irish Residents on Overseas Trips","Nights","3.6"
"Business","2016","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","606"
"Business","2017","Overseas Trips to Ireland by Non-Residents","Thousand","1478"
"Business","2017","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.1"
"Business","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","766"
"Business","2017","Overseas Trips by Irish Residents","Thousand","879"
"Business","2017","Average Length of Stay by Irish Residents on Overseas Trips","Nights","3.6"
"Business","2017","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","617"
"Business","2018","Overseas Trips to Ireland by Non-Residents","Thousand","1432"
"Business","2018","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.2"
"Business","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","744"
"Business","2018","Overseas Trips by Irish Residents","Thousand","901"
"Business","2018","Average Length of Stay by Irish Residents on Overseas Trips","Nights","3.8"
"Business","2018","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","710"
"Business","2019","Overseas Trips to Ireland by Non-Residents","Thousand","1485"
"Business","2019","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.9"
"Business","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","721"
"Business","2019","Overseas Trips by Irish Residents","Thousand","960"
"Business","2019","Average Length of Stay by Irish Residents on Overseas Trips","Nights","3.8"
"Business","2019","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","780"
"Other reason for journey","2009","Overseas Trips to Ireland by Non-Residents","Thousand","460"
"Other reason for journey","2009","Average Length of Stay by Overseas Travellers to Ireland","Nights","17.2"
"Other reason for journey","2009","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","378"
"Other reason for journey","2009","Overseas Trips by Irish Residents","Thousand","193"
"Other reason for journey","2009","Average Length of Stay by Irish Residents on Overseas Trips","Nights","11.1"
"Other reason for journey","2009","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","195"
"Other reason for journey","2010","Overseas Trips to Ireland by Non-Residents","Thousand","589"
"Other reason for journey","2010","Average Length of Stay by Overseas Travellers to Ireland","Nights","13.9"
"Other reason for journey","2010","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","301"
"Other reason for journey","2010","Overseas Trips by Irish Residents","Thousand","220"
"Other reason for journey","2010","Average Length of Stay by Irish Residents on Overseas Trips","Nights","13.7"
"Other reason for journey","2010","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","198"
"Other reason for journey","2011","Overseas Trips to Ireland by Non-Residents","Thousand","705"
"Other reason for journey","2011","Average Length of Stay by Overseas Travellers to Ireland","Nights","15.6"
"Other reason for journey","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","324"
"Other reason for journey","2011","Overseas Trips by Irish Residents","Thousand","222"
"Other reason for journey","2011","Average Length of Stay by Irish Residents on Overseas Trips","Nights","10.9"
"Other reason for journey","2011","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","208"
"Other reason for journey","2012","Overseas Trips to Ireland by Non-Residents","Thousand","685"
"Other reason for journey","2012","Average Length of Stay by Overseas Travellers to Ireland","Nights","14.8"
"Other reason for journey","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","287"
"Other reason for journey","2012","Overseas Trips by Irish Residents","Thousand","123"
"Other reason for journey","2012","Average Length of Stay by Irish Residents on Overseas Trips","Nights","13.2"
"Other reason for journey","2012","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","129"
"Other reason for journey","2013","Overseas Trips to Ireland by Non-Residents","Thousand","670"
"Other reason for journey","2013","Average Length of Stay by Overseas Travellers to Ireland","Nights","14"
"Other reason for journey","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","324"
"Other reason for journey","2013","Overseas Trips by Irish Residents","Thousand","72"
"Other reason for journey","2013","Average Length of Stay by Irish Residents on Overseas Trips","Nights","13.7"
"Other reason for journey","2013","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","63"
"Other reason for journey","2014","Overseas Trips to Ireland by Non-Residents","Thousand","789"
"Other reason for journey","2014","Average Length of Stay by Overseas Travellers to Ireland","Nights","12.1"
"Other reason for journey","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","353"
"Other reason for journey","2014","Overseas Trips by Irish Residents","Thousand","156"
"Other reason for journey","2014","Average Length of Stay by Irish Residents on Overseas Trips","Nights","11.1"
"Other reason for journey","2014","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","114"
"Other reason for journey","2015","Overseas Trips to Ireland by Non-Residents","Thousand","904"
"Other reason for journey","2015","Average Length of Stay by Overseas Travellers to Ireland","Nights","11.9"
"Other reason for journey","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","400"
"Other reason for journey","2015","Overseas Trips by Irish Residents","Thousand","182"
"Other reason for journey","2015","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.4"
"Other reason for journey","2015","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","136"
"Other reason for journey","2016","Overseas Trips to Ireland by Non-Residents","Thousand","1105"
"Other reason for journey","2016","Average Length of Stay by Overseas Travellers to Ireland","Nights","10"
"Other reason for journey","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","443"
"Other reason for journey","2016","Overseas Trips by Irish Residents","Thousand","273"
"Other reason for journey","2016","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.5"
"Other reason for journey","2016","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","199"
"Other reason for journey","2017","Overseas Trips to Ireland by Non-Residents","Thousand","1178"
"Other reason for journey","2017","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.4"
"Other reason for journey","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","456"
