"Reason for Journey","Year","Statistic Label","UNIT","VALUE"
"All reasons for journey","2009","Overseas Trips to Ireland by Non-Residents","Thousand","6907"
"All reasons for journey","2009","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.6"
"All reasons for journey","2009","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","3410"
"All reasons for journey","2009","Overseas Trips by Irish Residents","Thousand","7021"
"All reasons for journey","2009","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.1"
"All reasons for journey","2009","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","6043"
"All reasons for journey","2010","Overseas Trips to Ireland by Non-Residents","Thousand","6139"
"All reasons for journey","2010","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.8"
"All reasons for journey","2010","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","2976"
"All reasons for journey","2010","Overseas Trips by Irish Residents","Thousand","6660"
"All reasons for journey","2010","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.5"
"All reasons for journey","2010","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","5801"
"All reasons for journey","2011","Overseas Trips to Ireland by Non-Residents","Thousand","6505"
"All reasons for journey","2011","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.7"
"All reasons for journey","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","2899"
"All reasons for journey","2011","Overseas Trips by Irish Residents","Thousand","6293"
"All reasons for journey","2011","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.4"
"All reasons for journey","2011","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","5399"
"All reasons for journey","2012","Overseas Trips to Ireland by Non-Residents","Thousand","6517"
"All reasons for journey","2012","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"All reasons for journey","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","2916"
"All reasons for journey","2012","Overseas Trips by Irish Residents","Thousand","6326"
"All reasons for journey","2012","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.3"
"All reasons for journey","2012","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","5233"
"All reasons for journey","2013","Overseas Trips to Ireland by Non-Residents","Thousand","6986"
"All reasons for journey","2013","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.3"
"All reasons for journey","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","3262"
"All reasons for journey","2013","Overseas Trips by Irish Residents","Thousand","6323"
"All reasons for journey","2013","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.1"
"All reasons for journey","2013","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","5265"
"All reasons for journey","2014","Overseas Trips to Ireland by Non-Residents","Thousand","7604"
"All reasons for journey","2014","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.2"
"All reasons for journey","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","3548"
"All reasons for journey","2014","Overseas Trips by Irish Residents","Thousand","6514"
"All reasons for journey","2014","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8.1"
"All reasons for journey","2014","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","5442"
"All reasons for journey","2015","Overseas Trips to Ireland by Non-Residents","Thousand","8643"
"All reasons for journey","2015","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.1"
"All reasons for journey","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","4208"
"All reasons for journey","2015","Overseas Trips by Irish Residents","Thousand","6965"
"All reasons for journey","2015","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.6"
"All reasons for journey","2015","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","5843"
"All reasons for journey","2016","Overseas Trips to Ireland by Non-Residents","Thousand","9584"
"All reasons for journey","2016","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.9"
"All reasons for journey","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","4577"
"All reasons for journey","2016","Overseas Trips by Irish Residents","Thousand","7405"
"All reasons for journey","2016","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.6"
"All reasons for journey","2016","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","6350"
"All reasons for journey","2017","Overseas Trips to Ireland by Non-Residents","Thousand","9932"
"All reasons for journey","2017","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.9"
"All reasons for journey","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","4874"
"All reasons for journey","2017","Overseas Trips by Irish Residents","Thousand","7939"
"All reasons for journey","2017","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.2"
"All reasons for journey","2017","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","6594"
