"Area of Residence","Year","Statistic Label","UNIT","VALUE"
"All Countries","2009","Overseas Trips to Ireland by Non-Residents","Thousand","6907"
"All Countries","2009","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.6"
"All Countries","2009","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","3410"
"All Countries","2010","Overseas Trips to Ireland by Non-Residents","Thousand","6139"
"All Countries","2010","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.8"
"All Countries","2010","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","2976"
"All Countries","2011","Overseas Trips to Ireland by Non-Residents","Thousand","6505"
"All Countries","2011","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.7"
"All Countries","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","2899"
"All Countries","2012","Overseas Trips to Ireland by Non-Residents","Thousand","6517"
"All Countries","2012","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"All Countries","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","2916"
"All Countries","2013","Overseas Trips to Ireland by Non-Residents","Thousand","6986"
"All Countries","2013","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.3"
"All Countries","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","3262"
"All Countries","2014","Overseas Trips to Ireland by Non-Residents","Thousand","7604"
"All Countries","2014","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.2"
"All Countries","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","3548"
"All Countries","2015","Overseas Trips to Ireland by Non-Residents","Thousand","8643"
"All Countries","2015","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.1"
"All Countries","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","4208"
"All Countries","2016","Overseas Trips to Ireland by Non-Residents","Thousand","9584"
"All Countries","2016","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.9"
"All Countries","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","4577"
"All Countries","2017","Overseas Trips to Ireland by Non-Residents","Thousand","9932"
"All Countries","2017","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.9"
"All Countries","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","4874"
"All Countries","2018","Overseas Trips to Ireland by Non-Residents","Thousand","10616"
"All Countries","2018","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.7"
"All Countries","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","5149"
"All Countries","2019","Overseas Trips to Ireland by Non-Residents","Thousand","10808"
"All Countries","2019","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.5"
"All Countries","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","5101"
"Germany","2009","Overseas Trips to Ireland by Non-Residents","Thousand",""
"Germany","2009","Average Length of Stay by Overseas Travellers to Ireland","Nights",""
"Germany","2009","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million",""
"Germany","2010","Overseas Trips to Ireland by Non-Residents","Thousand",""
"Germany","2010","Average Length of Stay by Overseas Travellers to Ireland","Nights",""
"Germany","2010","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million",""
"Germany","2011","Overseas Trips to Ireland by Non-Residents","Thousand","423"
"Germany","2011","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.3"
"Germany","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","241"
