"Type of Trip","Year","Statistic Label","UNIT","VALUE"
"Trips with at least one overnight","2013","Overseas Trips to Ireland by Non-Residents","Thousand","6396"
"Trips with at least one overnight","2013","Overseas Trips by Irish Residents","Thousand","6185"
"Trips with at least one overnight","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","3227"
"Trips with at least one overnight","2014","Overseas Trips to Ireland by Non-Residents","Thousand","6828"
"Trips with at least one overnight","2014","Overseas Trips by Irish Residents","Thousand","6326"
"Trips with at least one overnight","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","3507"
"Trips with at least one overnight","2015","Overseas Trips to Ireland by Non-Residents","Thousand","7749"
"Trips with at least one overnight","2015","Overseas Trips by Irish Residents","Thousand","6781"
"Trips with at least one overnight","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","4169"
"Trips with at least one overnight","2016","Overseas Trips to Ireland by Non-Residents","Thousand","8428"
"Trips with at least one overnight","2016","Overseas Trips by Irish Residents","Thousand","7224"
"Trips with at least one overnight","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","4529"
"Trips with at least one overnight","2017","Overseas Trips to Ireland by Non-Residents","Thousand","8726"
"Trips with at least one overnight","2017","Overseas Trips by Irish Residents","Thousand","7728"
"Trips with at least one overnight","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","4822"
"Trips with at least one overnight","2018","Overseas Trips to Ireland by Non-Residents","Thousand","9276"
"Trips with at least one overnight","2018","Overseas Trips by Irish Residents","Thousand","8085"
"Trips with at least one overnight","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","5103"
"Trips with at least one overnight","2019","Overseas Trips to Ireland by Non-Residents","Thousand","9357"
"Trips with at least one overnight","2019","Overseas Trips by Irish Residents","Thousand","8620"
"Trips with at least one overnight","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","5057"
