"Type of Expenditure","Year","Statistic Label","UNIT","VALUE"
"Air Cross-Channel","1984","Visitors to Ireland","Euro Million","105"
"Air Cross-Channel","1984","Visits Abroad by Irish Residents","Euro Million","130"
"Air Cross-Channel","1985","Visitors to Ireland","Euro Million","131"
"Air Cross-Channel","1985","Visits Abroad by Irish Residents","Euro Million","179"
"Air Cross-Channel","1986","Visitors to Ireland","Euro Million","143"
"Air Cross-Channel","1986","Visits Abroad by Irish Residents","Euro Million","221"
"Air Cross-Channel","1987","Visitors to Ireland","Euro Million","203"
"Air Cross-Channel","1987","Visits Abroad by Irish Residents","Euro Million","278"
"Air Cross-Channel","1988","Visitors to Ireland","Euro Million","273"
"Air Cross-Channel","1988","Visits Abroad by Irish Residents","Euro Million","368"
"Air Cross-Channel","1989","Visitors to Ireland","Euro Million","345"
"Air Cross-Channel","1989","Visits Abroad by Irish Residents","Euro Million","420"
"Air Cross-Channel","1990","Visitors to Ireland","Euro Million","394"
"Air Cross-Channel","1990","Visits Abroad by Irish Residents","Euro Million","455"
"Air Cross-Channel","1991","Visitors to Ireland","Euro Million","382"
"Air Cross-Channel","1991","Visits Abroad by Irish Residents","Euro Million","428"
"Air Cross-Channel","1992","Visitors to Ireland","Euro Million","399"
"Air Cross-Channel","1992","Visits Abroad by Irish Residents","Euro Million","466"
"Air Cross-Channel","1993","Visitors to Ireland","Euro Million","418"
"Air Cross-Channel","1993","Visits Abroad by Irish Residents","Euro Million","469"
"Air Cross-Channel","1994","Visitors to Ireland","Euro Million","508"
"Air Cross-Channel","1994","Visits Abroad by Irish Residents","Euro Million","674"
"Air Cross-Channel","1995","Visitors to Ireland","Euro Million","629"
"Air Cross-Channel","1995","Visits Abroad by Irish Residents","Euro Million","789"
"Air Cross-Channel","1996","Visitors to Ireland","Euro Million","726"
"Air Cross-Channel","1996","Visits Abroad by Irish Residents","Euro Million","921"
"Air Cross-Channel","1997","Visitors to Ireland","Euro Million","857"
"Air Cross-Channel","1997","Visits Abroad by Irish Residents","Euro Million","1007"
"Air Cross-Channel","1998","Visitors to Ireland","Euro Million","895"
"Air Cross-Channel","1998","Visits Abroad by Irish Residents","Euro Million","1101"
"Air Cross-Channel","1999","Visitors to Ireland","Euro Million","965"
"Air Cross-Channel","1999","Visits Abroad by Irish Residents","Euro Million","1164"
"Air Cross-Channel","2000","Visitors to Ireland","Euro Million","1145"
"Air Cross-Channel","2000","Visits Abroad by Irish Residents","Euro Million","1232"
"Air Cross-Channel","2001","Visitors to Ireland","Euro Million","1244"
"Air Cross-Channel","2001","Visits Abroad by Irish Residents","Euro Million","1265"
"Air Cross-Channel","2002","Visitors to Ireland","Euro Million","1282"
