"Type of Expenditure","Year","Statistic Label","UNIT","VALUE"
"Passenger fare receipts of Irish Carriers from Visits to Ireland","1981","Visitors to Ireland","Euro Million","138"
"Passenger fare receipts of Irish Carriers from Visits to Ireland","1981","Visits Abroad by Irish Residents","Euro Million",""
"Passenger fare receipts of Irish Carriers from Visits to Ireland","1982","Visitors to Ireland","Euro Million","154"
"Passenger fare receipts of Irish Carriers from Visits to Ireland","1982","Visits Abroad by Irish Residents","Euro Million",""
"Passenger fare receipts of Irish Carriers from Visits to Ireland","1983","Visitors to Ireland","Euro Million","165"
"Passenger fare receipts of Irish Carriers from Visits to Ireland","1983","Visits Abroad by Irish Residents","Euro Million",""
"Passenger fare receipts of Irish Carriers from Visits to Ireland","1984","Visitors to Ireland","Euro Million","189"
"Passenger fare receipts of Irish Carriers from Visits to Ireland","1984","Visits Abroad by Irish Residents","Euro Million",""
"Passenger fare receipts of Irish Carriers from Visits to Ireland","1985","Visitors to Ireland","Euro Million","212"
"Passenger fare receipts of Irish Carriers from Visits to Ireland","1985","Visits Abroad by Irish Residents","Euro Million",""
"Passenger fare receipts of Irish Carriers from Visits to Ireland","1986","Visitors to Ireland","Euro Million","199"
"Passenger fare receipts of Irish Carriers from Visits to Ireland","1986","Visits Abroad by Irish Residents","Euro Million",""
"Passenger fare receipts of Irish Carriers from Visits to Ireland","1987","Visitors to Ireland","Euro Million","212"
"Passenger fare receipts of Irish Carriers from Visits to Ireland","1987","Visits Abroad by Irish Residents","Euro Million",""
"Passenger fare receipts of Irish Carriers from Visits to Ireland","1988","Visitors to Ireland","Euro Million","236"
"Passenger fare receipts of Irish Carriers from Visits to Ireland","1988","Visits Abroad by Irish Residents","Euro Million",""
"Passenger fare receipts of Irish Carriers from Visits to Ireland","1989","Visitors to Ireland","Euro Million","301"
"Passenger fare receipts of Irish Carriers from Visits to Ireland","1989","Visits Abroad by Irish Residents","Euro Million",""
"Passenger fare receipts of Irish Carriers from Visits to Ireland","1990","Visitors to Ireland","Euro Million","334"
"Passenger fare receipts of Irish Carriers from Visits to Ireland","1990","Visits Abroad by Irish Residents","Euro Million",""
"Passenger fare receipts of Irish Carriers from Visits to Ireland","1991","Visitors to Ireland","Euro Million","353"
"Passenger fare receipts of Irish Carriers from Visits to Ireland","1991","Visits Abroad by Irish Residents","Euro Million",""
"Passenger fare receipts of Irish Carriers from Visits to Ireland","1992","Visitors to Ireland","Euro Million","356"
"Passenger fare receipts of Irish Carriers from Visits to Ireland","1992","Visits Abroad by Irish Residents","Euro Million",""
"Passenger fare receipts of Irish Carriers from Visits to Ireland","1993","Visitors to Ireland","Euro Million","352"
"Passenger fare receipts of Irish Carriers from Visits to Ireland","1993","Visits Abroad by Irish Residents","Euro Million",""
"Passenger fare receipts of Irish Carriers from Visits to Ireland","1994","Visitors to Ireland","Euro Million","376"
"Passenger fare receipts of Irish Carriers from Visits to Ireland","1994","Visits Abroad by Irish Residents","Euro Million",""
"Passenger fare receipts of Irish Carriers from Visits to Ireland","1995","Visitors to Ireland","Euro Million","383"
"Passenger fare receipts of Irish Carriers from Visits to Ireland","1995","Visits Abroad by Irish Residents","Euro Million",""
"Passenger fare receipts of Irish Carriers from Visits to Ireland","1996","Visitors to Ireland","Euro Million","438"
"Passenger fare receipts of Irish Carriers from Visits to Ireland","1996","Visits Abroad by Irish Residents","Euro Million",""
"Passenger fare receipts of Irish Carriers from Visits to Ireland","1997","Visitors to Ireland","Euro Million","510"
"Passenger fare receipts of Irish Carriers from Visits to Ireland","1997","Visits Abroad by Irish Residents","Euro Million",""
"Passenger fare receipts of Irish Carriers from Visits to Ireland","1998","Visitors to Ireland","Euro Million","576"
"Passenger fare receipts of Irish Carriers from Visits to Ireland","1998","Visits Abroad by Irish Residents","Euro Million",""
"Passenger fare receipts of Irish Carriers from Visits to Ireland","1999","Visitors to Ireland","Euro Million","641"
"Passenger fare receipts of Irish Carriers from Visits to Ireland","1999","Visits Abroad by Irish Residents","Euro Million",""
"Passenger fare receipts of Irish Carriers from Visits to Ireland","2000","Visitors to Ireland","Euro Million","813"
"Passenger fare receipts of Irish Carriers from Visits to Ireland","2000","Visits Abroad by Irish Residents","Euro Million",""
"Passenger fare receipts of Irish Carriers from Visits to Ireland","2001","Visitors to Ireland","Euro Million","820"
"Passenger fare receipts of Irish Carriers from Visits to Ireland","2001","Visits Abroad by Irish Residents","Euro Million",""
"Passenger fare receipts of Irish Carriers from Visits to Ireland","2002","Visitors to Ireland","Euro Million","723"
"Passenger fare receipts of Irish Carriers from Visits to Ireland","2002","Visits Abroad by Irish Residents","Euro Million",""
"Passenger fare receipts of Irish Carriers from Visits to Ireland","2003","Visitors to Ireland","Euro Million","633"
"Passenger fare receipts of Irish Carriers from Visits to Ireland","2003","Visits Abroad by Irish Residents","Euro Million",""
"Passenger fare receipts of Irish Carriers from Visits to Ireland","2004","Visitors to Ireland","Euro Million","634"
"Passenger fare receipts of Irish Carriers from Visits to Ireland","2004","Visits Abroad by Irish Residents","Euro Million",""
"Passenger fare receipts of Irish Carriers from Visits to Ireland","2005","Visitors to Ireland","Euro Million","583"
"Passenger fare receipts of Irish Carriers from Visits to Ireland","2005","Visits Abroad by Irish Residents","Euro Million",""
"Passenger fare receipts of Irish Carriers from Visits to Ireland","2006","Visitors to Ireland","Euro Million","663"
"Passenger fare receipts of Irish Carriers from Visits to Ireland","2006","Visits Abroad by Irish Residents","Euro Million",""
"Passenger fare receipts of Irish Carriers from Visits to Ireland","2007","Visitors to Ireland","Euro Million","726"
"Passenger fare receipts of Irish Carriers from Visits to Ireland","2007","Visits Abroad by Irish Residents","Euro Million",""
"Passenger fare receipts of Irish Carriers from Visits to Ireland","2008","Visitors to Ireland","Euro Million","686"
"Passenger fare receipts of Irish Carriers from Visits to Ireland","2008","Visits Abroad by Irish Residents","Euro Million",""
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","1976","Visitors to Ireland","Euro Million",""
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","1976","Visits Abroad by Irish Residents","Euro Million","34"
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","1977","Visitors to Ireland","Euro Million",""
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","1977","Visits Abroad by Irish Residents","Euro Million","41"
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","1978","Visitors to Ireland","Euro Million",""
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","1978","Visits Abroad by Irish Residents","Euro Million","47"
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","1979","Visitors to Ireland","Euro Million",""
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","1979","Visits Abroad by Irish Residents","Euro Million","61"
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","1980","Visitors to Ireland","Euro Million",""
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","1980","Visits Abroad by Irish Residents","Euro Million","76"
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","1981","Visitors to Ireland","Euro Million",""
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","1981","Visits Abroad by Irish Residents","Euro Million","100"
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","1982","Visitors to Ireland","Euro Million",""
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","1982","Visits Abroad by Irish Residents","Euro Million","113"
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","1983","Visitors to Ireland","Euro Million",""
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","1983","Visits Abroad by Irish Residents","Euro Million","126"
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","1984","Visitors to Ireland","Euro Million",""
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","1984","Visits Abroad by Irish Residents","Euro Million","130"
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","1985","Visitors to Ireland","Euro Million",""
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","1985","Visits Abroad by Irish Residents","Euro Million","140"
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","1986","Visitors to Ireland","Euro Million",""
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","1986","Visits Abroad by Irish Residents","Euro Million","131"
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","1987","Visitors to Ireland","Euro Million",""
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","1987","Visits Abroad by Irish Residents","Euro Million","168"
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","1988","Visitors to Ireland","Euro Million",""
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","1988","Visits Abroad by Irish Residents","Euro Million","194"
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","1989","Visitors to Ireland","Euro Million",""
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","1989","Visits Abroad by Irish Residents","Euro Million","213"
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","1990","Visitors to Ireland","Euro Million",""
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","1990","Visits Abroad by Irish Residents","Euro Million","212"
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","1991","Visitors to Ireland","Euro Million",""
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","1991","Visits Abroad by Irish Residents","Euro Million","230"
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","1992","Visitors to Ireland","Euro Million",""
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","1992","Visits Abroad by Irish Residents","Euro Million","237"
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","1993","Visitors to Ireland","Euro Million",""
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","1993","Visits Abroad by Irish Residents","Euro Million","235"
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","1994","Visitors to Ireland","Euro Million",""
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","1994","Visits Abroad by Irish Residents","Euro Million","256"
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","1995","Visitors to Ireland","Euro Million",""
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","1995","Visits Abroad by Irish Residents","Euro Million","292"
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","1996","Visitors to Ireland","Euro Million",""
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","1996","Visits Abroad by Irish Residents","Euro Million","298"
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","1997","Visitors to Ireland","Euro Million",""
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","1997","Visits Abroad by Irish Residents","Euro Million","361"
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","1998","Visitors to Ireland","Euro Million",""
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","1998","Visits Abroad by Irish Residents","Euro Million","376"
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","1999","Visitors to Ireland","Euro Million",""
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","1999","Visits Abroad by Irish Residents","Euro Million","436"
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","2000","Visitors to Ireland","Euro Million",""
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","2000","Visits Abroad by Irish Residents","Euro Million","495"
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","2001","Visitors to Ireland","Euro Million",""
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","2001","Visits Abroad by Irish Residents","Euro Million","497"
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","2002","Visitors to Ireland","Euro Million",""
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","2002","Visits Abroad by Irish Residents","Euro Million","477"
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","2003","Visitors to Ireland","Euro Million",""
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","2003","Visits Abroad by Irish Residents","Euro Million","555"
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","2004","Visitors to Ireland","Euro Million",""
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","2004","Visits Abroad by Irish Residents","Euro Million","610"
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","2005","Visitors to Ireland","Euro Million",""
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","2005","Visits Abroad by Irish Residents","Euro Million","629"
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","2006","Visitors to Ireland","Euro Million",""
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","2006","Visits Abroad by Irish Residents","Euro Million","732"
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","2007","Visitors to Ireland","Euro Million",""
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","2007","Visits Abroad by Irish Residents","Euro Million","821"
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","2008","Visitors to Ireland","Euro Million",""
"Passenger fare payments by Irish Visitors abroad to Irish Carriers","2008","Visits Abroad by Irish Residents","Euro Million","816"
"All Overseas Routes","1976","Visitors to Ireland","Euro Million","132"
"All Overseas Routes","1976","Visits Abroad by Irish Residents","Euro Million","156"
"All Overseas Routes","1977","Visitors to Ireland","Euro Million","185"
"All Overseas Routes","1977","Visits Abroad by Irish Residents","Euro Million","194"
"All Overseas Routes","1978","Visitors to Ireland","Euro Million","220"
"All Overseas Routes","1978","Visits Abroad by Irish Residents","Euro Million","260"
"All Overseas Routes","1979","Visitors to Ireland","Euro Million","264"
"All Overseas Routes","1979","Visits Abroad by Irish Residents","Euro Million","358"
"All Overseas Routes","1980","Visitors to Ireland","Euro Million","290"
"All Overseas Routes","1980","Visits Abroad by Irish Residents","Euro Million","410"
"All Overseas Routes","1981","Visitors to Ireland","Euro Million","317"
"All Overseas Routes","1981","Visits Abroad by Irish Residents","Euro Million","476"
"All Overseas Routes","1982","Visitors to Ireland","Euro Million","377"
"All Overseas Routes","1982","Visits Abroad by Irish Residents","Euro Million","519"
"All Overseas Routes","1983","Visitors to Ireland","Euro Million","416"
"All Overseas Routes","1983","Visits Abroad by Irish Residents","Euro Million","542"
"All Overseas Routes","1984","Visitors to Ireland","Euro Million","474"
"All Overseas Routes","1984","Visits Abroad by Irish Residents","Euro Million","560"
"All Overseas Routes","1985","Visitors to Ireland","Euro Million","562"
"All Overseas Routes","1985","Visits Abroad by Irish Residents","Euro Million","596"
"All Overseas Routes","1986","Visitors to Ireland","Euro Million","529"
"All Overseas Routes","1986","Visits Abroad by Irish Residents","Euro Million","722"
"All Overseas Routes","1987","Visitors to Ireland","Euro Million","613"
"All Overseas Routes","1987","Visits Abroad by Irish Residents","Euro Million","819"
"All Overseas Routes","1988","Visitors to Ireland","Euro Million","719"
"All Overseas Routes","1988","Visits Abroad by Irish Residents","Euro Million","936"
"All Overseas Routes","1989","Visitors to Ireland","Euro Million","839"
"All Overseas Routes","1989","Visits Abroad by Irish Residents","Euro Million","1036"
"All Overseas Routes","1990","Visitors to Ireland","Euro Million","988"
"All Overseas Routes","1990","Visits Abroad by Irish Residents","Euro Million","1036"
"All Overseas Routes","1991","Visitors to Ireland","Euro Million","1060"
"All Overseas Routes","1991","Visits Abroad by Irish Residents","Euro Million","1046"
"All Overseas Routes","1992","Visitors to Ireland","Euro Million","1068"
"All Overseas Routes","1992","Visits Abroad by Irish Residents","Euro Million","1168"
"All Overseas Routes","1993","Visitors to Ireland","Euro Million","1244"
"All Overseas Routes","1993","Visits Abroad by Irish Residents","Euro Million","1213"
"All Overseas Routes","1994","Visitors to Ireland","Euro Million","1361"
"All Overseas Routes","1994","Visits Abroad by Irish Residents","Euro Million","1522"
"All Overseas Routes","1995","Visitors to Ireland","Euro Million","1583"
"All Overseas Routes","1995","Visits Abroad by Irish Residents","Euro Million","1795"
"All Overseas Routes","1996","Visitors to Ireland","Euro Million","1792"
"All Overseas Routes","1996","Visits Abroad by Irish Residents","Euro Million","1931"
"All Overseas Routes","1997","Visitors to Ireland","Euro Million","1981"
"All Overseas Routes","1997","Visits Abroad by Irish Residents","Euro Million","2137"
"All Overseas Routes","1998","Visitors to Ireland","Euro Million","2134"
"All Overseas Routes","1998","Visits Abroad by Irish Residents","Euro Million","2430"
"All Overseas Routes","1999","Visitors to Ireland","Euro Million","2280"
"All Overseas Routes","1999","Visits Abroad by Irish Residents","Euro Million","2792"
"All Overseas Routes","2000","Visitors to Ireland","Euro Million","2617"
"All Overseas Routes","2000","Visits Abroad by Irish Residents","Euro Million","3187"
"All Overseas Routes","2001","Visitors to Ireland","Euro Million","2893"
"All Overseas Routes","2001","Visits Abroad by Irish Residents","Euro Million","3600"
"All Overseas Routes","2002","Visitors to Ireland","Euro Million","3045"
"All Overseas Routes","2002","Visits Abroad by Irish Residents","Euro Million","4310"
"All Overseas Routes","2003","Visitors to Ireland","Euro Million","3198"
"All Overseas Routes","2003","Visits Abroad by Irish Residents","Euro Million","4586"
"All Overseas Routes","2004","Visitors to Ireland","Euro Million","3204"
"All Overseas Routes","2004","Visits Abroad by Irish Residents","Euro Million","4661"
"All Overseas Routes","2005","Visitors to Ireland","Euro Million","3455"
"All Overseas Routes","2005","Visits Abroad by Irish Residents","Euro Million","5270"
"All Overseas Routes","2006","Visitors to Ireland","Euro Million","3793"
"All Overseas Routes","2006","Visits Abroad by Irish Residents","Euro Million","5918"
"All Overseas Routes","2007","Visitors to Ireland","Euro Million","3920"
"All Overseas Routes","2007","Visits Abroad by Irish Residents","Euro Million","6842"
"All Overseas Routes","2008","Visitors to Ireland","Euro Million","3834"
"All Overseas Routes","2008","Visits Abroad by Irish Residents","Euro Million","7583"
"Expenditure (excluding international fares)","1976","Visitors to Ireland","Euro Million","174"
"Expenditure (excluding international fares)","1976","Visits Abroad by Irish Residents","Euro Million",""
"Expenditure (excluding international fares)","1977","Visitors to Ireland","Euro Million","235"
"Expenditure (excluding international fares)","1977","Visits Abroad by Irish Residents","Euro Million",""
"Expenditure (excluding international fares)","1978","Visitors to Ireland","Euro Million","274"
"Expenditure (excluding international fares)","1978","Visits Abroad by Irish Residents","Euro Million",""
"Expenditure (excluding international fares)","1979","Visitors to Ireland","Euro Million","326"
"Expenditure (excluding international fares)","1979","Visits Abroad by Irish Residents","Euro Million",""
"Expenditure (excluding international fares)","1980","Visitors to Ireland","Euro Million","358"
"Expenditure (excluding international fares)","1980","Visits Abroad by Irish Residents","Euro Million",""
"Expenditure (excluding international fares)","1981","Visitors to Ireland","Euro Million","391"
"Expenditure (excluding international fares)","1981","Visits Abroad by Irish Residents","Euro Million",""
"Expenditure (excluding international fares)","1982","Visitors to Ireland","Euro Million","451"
"Expenditure (excluding international fares)","1982","Visits Abroad by Irish Residents","Euro Million",""
"Expenditure (excluding international fares)","1983","Visitors to Ireland","Euro Million","495"
"Expenditure (excluding international fares)","1983","Visits Abroad by Irish Residents","Euro Million",""
"Expenditure (excluding international fares)","1984","Visitors to Ireland","Euro Million","561"
"Expenditure (excluding international fares)","1984","Visits Abroad by Irish Residents","Euro Million",""
"Expenditure (excluding international fares)","1985","Visitors to Ireland","Euro Million","658"
"Expenditure (excluding international fares)","1985","Visits Abroad by Irish Residents","Euro Million",""
"Expenditure (excluding international fares)","1986","Visitors to Ireland","Euro Million","625"
"Expenditure (excluding international fares)","1986","Visits Abroad by Irish Residents","Euro Million",""
"Expenditure (excluding international fares)","1987","Visitors to Ireland","Euro Million","716"
"Expenditure (excluding international fares)","1987","Visits Abroad by Irish Residents","Euro Million",""
"Expenditure (excluding international fares)","1988","Visitors to Ireland","Euro Million","832"
"Expenditure (excluding international fares)","1988","Visits Abroad by Irish Residents","Euro Million",""
"Expenditure (excluding international fares)","1989","Visitors to Ireland","Euro Million","957"
"Expenditure (excluding international fares)","1989","Visits Abroad by Irish Residents","Euro Million",""
"Expenditure (excluding international fares)","1990","Visitors to Ireland","Euro Million","1112"
"Expenditure (excluding international fares)","1990","Visits Abroad by Irish Residents","Euro Million",""
"Expenditure (excluding international fares)","1991","Visitors to Ireland","Euro Million","1191"
"Expenditure (excluding international fares)","1991","Visits Abroad by Irish Residents","Euro Million",""
"Expenditure (excluding international fares)","1992","Visitors to Ireland","Euro Million","1205"
"Expenditure (excluding international fares)","1992","Visits Abroad by Irish Residents","Euro Million",""
"Expenditure (excluding international fares)","1993","Visitors to Ireland","Euro Million","1384"
"Expenditure (excluding international fares)","1993","Visits Abroad by Irish Residents","Euro Million",""
"Expenditure (excluding international fares)","1994","Visitors to Ireland","Euro Million","1526"
"Expenditure (excluding international fares)","1994","Visits Abroad by Irish Residents","Euro Million",""
"Expenditure (excluding international fares)","1995","Visitors to Ireland","Euro Million","1748"
"Expenditure (excluding international fares)","1995","Visits Abroad by Irish Residents","Euro Million",""
"Expenditure (excluding international fares)","1996","Visitors to Ireland","Euro Million","1959"
"Expenditure (excluding international fares)","1996","Visits Abroad by Irish Residents","Euro Million",""
"Expenditure (excluding international fares)","1997","Visitors to Ireland","Euro Million","2165"
"Expenditure (excluding international fares)","1997","Visits Abroad by Irish Residents","Euro Million",""
"Expenditure (excluding international fares)","1998","Visitors to Ireland","Euro Million","2321"
"Expenditure (excluding international fares)","1998","Visits Abroad by Irish Residents","Euro Million",""
"Expenditure (excluding international fares)","1999","Visitors to Ireland","Euro Million","2473"
"Expenditure (excluding international fares)","1999","Visits Abroad by Irish Residents","Euro Million",""
"Expenditure (excluding international fares)","2000","Visitors to Ireland","Euro Million","2824"
"Expenditure (excluding international fares)","2000","Visits Abroad by Irish Residents","Euro Million",""
"Expenditure (excluding international fares)","2001","Visitors to Ireland","Euro Million","3115"
"Expenditure (excluding international fares)","2001","Visits Abroad by Irish Residents","Euro Million",""
"Expenditure (excluding international fares)","2002","Visitors to Ireland","Euro Million","3266"
"Expenditure (excluding international fares)","2002","Visits Abroad by Irish Residents","Euro Million",""
"Expenditure (excluding international fares)","2003","Visitors to Ireland","Euro Million","3424"
"Expenditure (excluding international fares)","2003","Visits Abroad by Irish Residents","Euro Million",""
"Expenditure (excluding international fares)","2004","Visitors to Ireland","Euro Million","3432"
"Expenditure (excluding international fares)","2004","Visits Abroad by Irish Residents","Euro Million",""
"Expenditure (excluding international fares)","2005","Visitors to Ireland","Euro Million","3689"
"Expenditure (excluding international fares)","2005","Visits Abroad by Irish Residents","Euro Million",""
"Expenditure (excluding international fares)","2006","Visitors to Ireland","Euro Million","4029"
"Expenditure (excluding international fares)","2006","Visits Abroad by Irish Residents","Euro Million",""
"Expenditure (excluding international fares)","2007","Visitors to Ireland","Euro Million","4176"
"Expenditure (excluding international fares)","2007","Visits Abroad by Irish Residents","Euro Million",""
"Expenditure (excluding international fares)","2008","Visitors to Ireland","Euro Million","4095"
"Expenditure (excluding international fares)","2008","Visits Abroad by Irish Residents","Euro Million",""
"Expenditure (including international fares)","1976","Visitors to Ireland","Euro Million",""
"Expenditure (including international fares)","1976","Visits Abroad by Irish Residents","Euro Million","173"
"Expenditure (including international fares)","1977","Visitors to Ireland","Euro Million",""
"Expenditure (including international fares)","1977","Visits Abroad by Irish Residents","Euro Million","213"
"Expenditure (including international fares)","1978","Visitors to Ireland","Euro Million",""
"Expenditure (including international fares)","1978","Visits Abroad by Irish Residents","Euro Million","281"
"Expenditure (including international fares)","1979","Visitors to Ireland","Euro Million",""
"Expenditure (including international fares)","1979","Visits Abroad by Irish Residents","Euro Million","381"
"Expenditure (including international fares)","1980","Visitors to Ireland","Euro Million",""
"Expenditure (including international fares)","1980","Visits Abroad by Irish Residents","Euro Million","436"
"Expenditure (including international fares)","1981","Visitors to Ireland","Euro Million",""
"Expenditure (including international fares)","1981","Visits Abroad by Irish Residents","Euro Million","504"
"Expenditure (including international fares)","1982","Visitors to Ireland","Euro Million",""
"Expenditure (including international fares)","1982","Visits Abroad by Irish Residents","Euro Million","554"
"Expenditure (including international fares)","1983","Visitors to Ireland","Euro Million",""
"Expenditure (including international fares)","1983","Visits Abroad by Irish Residents","Euro Million","588"
"Expenditure (including international fares)","1984","Visitors to Ireland","Euro Million",""
"Expenditure (including international fares)","1984","Visits Abroad by Irish Residents","Euro Million","609"
"Expenditure (including international fares)","1985","Visitors to Ireland","Euro Million",""
"Expenditure (including international fares)","1985","Visits Abroad by Irish Residents","Euro Million","650"
"Expenditure (including international fares)","1986","Visitors to Ireland","Euro Million",""
"Expenditure (including international fares)","1986","Visits Abroad by Irish Residents","Euro Million","780"
"Expenditure (including international fares)","1987","Visitors to Ireland","Euro Million",""
"Expenditure (including international fares)","1987","Visits Abroad by Irish Residents","Euro Million","874"
"Expenditure (including international fares)","1988","Visitors to Ireland","Euro Million",""
"Expenditure (including international fares)","1988","Visits Abroad by Irish Residents","Euro Million","997"
"Expenditure (including international fares)","1989","Visitors to Ireland","Euro Million",""
"Expenditure (including international fares)","1989","Visits Abroad by Irish Residents","Euro Million","1100"
"Expenditure (including international fares)","1990","Visitors to Ireland","Euro Million",""
"Expenditure (including international fares)","1990","Visits Abroad by Irish Residents","Euro Million","1102"
"Expenditure (including international fares)","1991","Visitors to Ireland","Euro Million",""
"Expenditure (including international fares)","1991","Visits Abroad by Irish Residents","Euro Million","1117"
"Expenditure (including international fares)","1992","Visitors to Ireland","Euro Million",""
"Expenditure (including international fares)","1992","Visits Abroad by Irish Residents","Euro Million","1249"
"Expenditure (including international fares)","1993","Visitors to Ireland","Euro Million",""
"Expenditure (including international fares)","1993","Visits Abroad by Irish Residents","Euro Million","1294"
"Expenditure (including international fares)","1994","Visitors to Ireland","Euro Million",""
"Expenditure (including international fares)","1994","Visits Abroad by Irish Residents","Euro Million","1618"
"Expenditure (including international fares)","1995","Visitors to Ireland","Euro Million",""
"Expenditure (including international fares)","1995","Visits Abroad by Irish Residents","Euro Million","1901"
"Expenditure (including international fares)","1996","Visitors to Ireland","Euro Million",""
"Expenditure (including international fares)","1996","Visits Abroad by Irish Residents","Euro Million","2039"
"Expenditure (including international fares)","1997","Visitors to Ireland","Euro Million",""
"Expenditure (including international fares)","1997","Visits Abroad by Irish Residents","Euro Million","2241"
"Expenditure (including international fares)","1998","Visitors to Ireland","Euro Million",""
"Expenditure (including international fares)","1998","Visits Abroad by Irish Residents","Euro Million","2536"
"Expenditure (including international fares)","1999","Visitors to Ireland","Euro Million",""
"Expenditure (including international fares)","1999","Visits Abroad by Irish Residents","Euro Million","2900"
"Expenditure (including international fares)","2000","Visitors to Ireland","Euro Million",""
"Expenditure (including international fares)","2000","Visits Abroad by Irish Residents","Euro Million","3300"
"Expenditure (including international fares)","2001","Visitors to Ireland","Euro Million",""
"Expenditure (including international fares)","2001","Visits Abroad by Irish Residents","Euro Million","3721"
"Expenditure (including international fares)","2002","Visitors to Ireland","Euro Million",""
"Expenditure (including international fares)","2002","Visits Abroad by Irish Residents","Euro Million","4429"
"Expenditure (including international fares)","2003","Visitors to Ireland","Euro Million",""
"Expenditure (including international fares)","2003","Visits Abroad by Irish Residents","Euro Million","4713"
"Expenditure (including international fares)","2004","Visitors to Ireland","Euro Million",""
"Expenditure (including international fares)","2004","Visits Abroad by Irish Residents","Euro Million","4789"
"Expenditure (including international fares)","2005","Visitors to Ireland","Euro Million",""
"Expenditure (including international fares)","2005","Visits Abroad by Irish Residents","Euro Million","5401"
"Expenditure (including international fares)","2006","Visitors to Ireland","Euro Million",""
"Expenditure (including international fares)","2006","Visits Abroad by Irish Residents","Euro Million","6049"
"Expenditure (including international fares)","2007","Visitors to Ireland","Euro Million",""
"Expenditure (including international fares)","2007","Visits Abroad by Irish Residents","Euro Million","6984"
"Expenditure (including international fares)","2008","Visitors to Ireland","Euro Million",""
"Expenditure (including international fares)","2008","Visits Abroad by Irish Residents","Euro Million","7728"
