"Statistic Label","Quarter","Region Visited","UNIT","VALUE"
"Number of Trips by Irish Residents","2014Q3","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents","2014Q3","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents","2014Q3","Other Europe (21)","Thousand","49"
"Number of Trips by Irish Residents","2014Q3","Other countries (24)","Thousand","71"
"Number of Trips by Irish Residents","2014Q4","All Countries","Thousand","1522"
"Number of Trips by Irish Residents","2014Q4","United States and Canada","Thousand","120"
"Number of Trips by Irish Residents","2014Q4","EU28 excluding Ireland","Thousand","1274"
"Number of Trips by Irish Residents","2014Q4","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents","2014Q4","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents","2014Q4","Other Europe (21)","Thousand","34"
"Number of Trips by Irish Residents","2014Q4","Other countries (24)","Thousand","94"
"Number of Trips by Irish Residents","2015Q1","All Countries","Thousand","1350"
"Number of Trips by Irish Residents","2015Q1","United States and Canada","Thousand","99"
"Number of Trips by Irish Residents","2015Q1","EU28 excluding Ireland","Thousand","1120"
"Number of Trips by Irish Residents","2015Q1","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents","2015Q1","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents","2015Q1","Other Europe (21)","Thousand","39"
"Number of Trips by Irish Residents","2015Q1","Other countries (24)","Thousand","93"
"Number of Trips by Irish Residents","2015Q2","All Countries","Thousand","1926"
"Number of Trips by Irish Residents","2015Q2","United States and Canada","Thousand","95"
"Number of Trips by Irish Residents","2015Q2","EU28 excluding Ireland","Thousand","1706"
"Number of Trips by Irish Residents","2015Q2","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents","2015Q2","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents","2015Q2","Other Europe (21)","Thousand","48"
"Number of Trips by Irish Residents","2015Q2","Other countries (24)","Thousand","76"
"Number of Trips by Irish Residents","2015Q3","All Countries","Thousand","2218"
"Number of Trips by Irish Residents","2015Q3","United States and Canada","Thousand","118"
"Number of Trips by Irish Residents","2015Q3","EU28 excluding Ireland","Thousand","1993"
"Number of Trips by Irish Residents","2015Q3","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents","2015Q3","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents","2015Q3","Other Europe (21)","Thousand","36"
"Number of Trips by Irish Residents","2015Q3","Other countries (24)","Thousand","70"
"Number of Trips by Irish Residents","2015Q4","All Countries","Thousand","1600"
"Number of Trips by Irish Residents","2015Q4","United States and Canada","Thousand","110"
"Number of Trips by Irish Residents","2015Q4","EU28 excluding Ireland","Thousand","1342"
"Number of Trips by Irish Residents","2015Q4","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents","2015Q4","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents","2015Q4","Other Europe (21)","Thousand","57"
"Number of Trips by Irish Residents","2015Q4","Other countries (24)","Thousand","90"
"Number of Trips by Irish Residents","2016Q1","All Countries","Thousand","1522"
"Number of Trips by Irish Residents","2016Q1","United States and Canada","Thousand","89"
"Number of Trips by Irish Residents","2016Q1","EU28 excluding Ireland","Thousand","1325"
"Number of Trips by Irish Residents","2016Q1","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents","2016Q1","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents","2016Q1","Other Europe (21)","Thousand","27"
"Number of Trips by Irish Residents","2016Q1","Other countries (24)","Thousand","80"
"Number of Trips by Irish Residents","2016Q2","All Countries","Thousand","2002"
"Number of Trips by Irish Residents","2016Q2","United States and Canada","Thousand","106"
"Number of Trips by Irish Residents","2016Q2","EU28 excluding Ireland","Thousand","1757"
"Number of Trips by Irish Residents","2016Q2","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents","2016Q2","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents","2016Q2","Other Europe (21)","Thousand","36"
"Number of Trips by Irish Residents","2016Q2","Other countries (24)","Thousand","103"
"Number of Trips by Irish Residents","2016Q3","All Countries","Thousand","2321"
"Number of Trips by Irish Residents","2016Q3","United States and Canada","Thousand","153"
"Number of Trips by Irish Residents","2016Q3","EU28 excluding Ireland","Thousand","2034"
"Number of Trips by Irish Residents","2016Q3","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents","2016Q3","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents","2016Q3","Other Europe (21)","Thousand","45"
"Number of Trips by Irish Residents","2016Q3","Other countries (24)","Thousand","90"
"Number of Trips by Irish Residents","2016Q4","All Countries","Thousand","1799"
"Number of Trips by Irish Residents","2016Q4","United States and Canada","Thousand","144"
"Number of Trips by Irish Residents","2016Q4","EU28 excluding Ireland","Thousand","1480"
"Number of Trips by Irish Residents","2016Q4","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents","2016Q4","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents","2016Q4","Other Europe (21)","Thousand","34"
"Number of Trips by Irish Residents","2016Q4","Other countries (24)","Thousand","141"
"Number of Trips by Irish Residents","2017Q1","All Countries","Thousand","1607"
"Number of Trips by Irish Residents","2017Q1","United States and Canada","Thousand","92"
"Number of Trips by Irish Residents","2017Q1","EU28 excluding Ireland","Thousand","1394"
"Number of Trips by Irish Residents","2017Q1","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents","2017Q1","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents","2017Q1","Other Europe (21)","Thousand","33"
"Number of Trips by Irish Residents","2017Q1","Other countries (24)","Thousand","88"
"Number of Trips by Irish Residents","2017Q2","All Countries","Thousand","2162"
"Number of Trips by Irish Residents","2017Q2","United States and Canada","Thousand","136"
"Number of Trips by Irish Residents","2017Q2","EU28 excluding Ireland","Thousand","1925"
"Number of Trips by Irish Residents","2017Q2","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents","2017Q2","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents","2017Q2","Other Europe (21)","Thousand","27"
"Number of Trips by Irish Residents","2017Q2","Other countries (24)","Thousand","74"
"Number of Trips by Irish Residents","2017Q3","All Countries","Thousand","2572"
"Number of Trips by Irish Residents","2017Q3","United States and Canada","Thousand","168"
"Number of Trips by Irish Residents","2017Q3","EU28 excluding Ireland","Thousand","2260"
"Number of Trips by Irish Residents","2017Q3","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents","2017Q3","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents","2017Q3","Other Europe (21)","Thousand","44"
"Number of Trips by Irish Residents","2017Q3","Other countries (24)","Thousand","101"
"Number of Trips by Irish Residents","2017Q4","All Countries","Thousand","1830"
"Number of Trips by Irish Residents","2017Q4","United States and Canada","Thousand","162"
"Number of Trips by Irish Residents","2017Q4","EU28 excluding Ireland","Thousand","1537"
"Number of Trips by Irish Residents","2017Q4","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents","2017Q4","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents","2017Q4","Other Europe (21)","Thousand","47"
"Number of Trips by Irish Residents","2017Q4","Other countries (24)","Thousand","84"
"Number of Trips by Irish Residents","2018Q1","All Countries","Thousand","1654"
"Number of Trips by Irish Residents","2018Q1","United States and Canada","Thousand","91"
"Number of Trips by Irish Residents","2018Q1","EU28 excluding Ireland","Thousand","1420"
"Number of Trips by Irish Residents","2018Q1","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents","2018Q1","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents","2018Q1","Other Europe (21)","Thousand","28"
"Number of Trips by Irish Residents","2018Q1","Other countries (24)","Thousand","114"
"Number of Trips by Irish Residents","2018Q2","All Countries","Thousand","2283"
"Number of Trips by Irish Residents","2018Q2","United States and Canada","Thousand","109"
"Number of Trips by Irish Residents","2018Q2","EU28 excluding Ireland","Thousand","2004"
"Number of Trips by Irish Residents","2018Q2","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents","2018Q2","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents","2018Q2","Other Europe (21)","Thousand","66"
"Number of Trips by Irish Residents","2018Q2","Other countries (24)","Thousand","105"
"Number of Trips by Irish Residents","2018Q3","All Countries","Thousand","2691"
"Number of Trips by Irish Residents","2018Q3","United States and Canada","Thousand","187"
"Number of Trips by Irish Residents","2018Q3","EU28 excluding Ireland","Thousand","2294"
"Number of Trips by Irish Residents","2018Q3","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents","2018Q3","Other Europe (20)","Thousand",""
