"Statistic Label","Quarter","Region Visited","UNIT","VALUE"
"Number of Nights by Irish Residents","2013Q2","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents","2013Q2","EU27 excluding Ireland","Thousand","9784"
"Number of Nights by Irish Residents","2013Q2","Other Europe (20)","Thousand","376"
"Number of Nights by Irish Residents","2013Q2","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents","2013Q2","Other countries (24)","Thousand","1678"
"Number of Nights by Irish Residents","2013Q3","All Countries","Thousand","20865"
"Number of Nights by Irish Residents","2013Q3","United States and Canada","Thousand","2490"
"Number of Nights by Irish Residents","2013Q3","EU28 excluding Ireland","Thousand","15878"
"Number of Nights by Irish Residents","2013Q3","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents","2013Q3","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents","2013Q3","Other Europe (21)","Thousand","736"
"Number of Nights by Irish Residents","2013Q3","Other countries (24)","Thousand","1759"
"Number of Nights by Irish Residents","2013Q4","All Countries","Thousand","9074"
"Number of Nights by Irish Residents","2013Q4","United States and Canada","Thousand","1261"
"Number of Nights by Irish Residents","2013Q4","EU28 excluding Ireland","Thousand","5678"
"Number of Nights by Irish Residents","2013Q4","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents","2013Q4","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents","2013Q4","Other Europe (21)","Thousand","309"
"Number of Nights by Irish Residents","2013Q4","Other countries (24)","Thousand","1826"
"Number of Nights by Irish Residents","2014Q1","All Countries","Thousand","8199"
"Number of Nights by Irish Residents","2014Q1","United States and Canada","Thousand","1123"
"Number of Nights by Irish Residents","2014Q1","EU28 excluding Ireland","Thousand","5358"
"Number of Nights by Irish Residents","2014Q1","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents","2014Q1","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents","2014Q1","Other Europe (21)","Thousand","113"
"Number of Nights by Irish Residents","2014Q1","Other countries (24)","Thousand","1604"
"Number of Nights by Irish Residents","2014Q2","All Countries","Thousand","13466"
"Number of Nights by Irish Residents","2014Q2","United States and Canada","Thousand","1031"
"Number of Nights by Irish Residents","2014Q2","EU28 excluding Ireland","Thousand","10850"
"Number of Nights by Irish Residents","2014Q2","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents","2014Q2","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents","2014Q2","Other Europe (21)","Thousand","321"
"Number of Nights by Irish Residents","2014Q2","Other countries (24)","Thousand","1263"
"Number of Nights by Irish Residents","2014Q3","All Countries","Thousand","21791"
"Number of Nights by Irish Residents","2014Q3","United States and Canada","Thousand","2754"
"Number of Nights by Irish Residents","2014Q3","EU28 excluding Ireland","Thousand","16831"
"Number of Nights by Irish Residents","2014Q3","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents","2014Q3","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents","2014Q3","Other Europe (21)","Thousand","791"
"Number of Nights by Irish Residents","2014Q3","Other countries (24)","Thousand","1415"
"Number of Nights by Irish Residents","2014Q4","All Countries","Thousand","10196"
"Number of Nights by Irish Residents","2014Q4","United States and Canada","Thousand","1386"
"Number of Nights by Irish Residents","2014Q4","EU28 excluding Ireland","Thousand","7197"
"Number of Nights by Irish Residents","2014Q4","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents","2014Q4","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents","2014Q4","Other Europe (21)","Thousand","236"
"Number of Nights by Irish Residents","2014Q4","Other countries (24)","Thousand","1377"
"Number of Nights by Irish Residents","2015Q1","All Countries","Thousand","9440"
"Number of Nights by Irish Residents","2015Q1","United States and Canada","Thousand","1258"
"Number of Nights by Irish Residents","2015Q1","EU28 excluding Ireland","Thousand","5938"
"Number of Nights by Irish Residents","2015Q1","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents","2015Q1","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents","2015Q1","Other Europe (21)","Thousand","247"
"Number of Nights by Irish Residents","2015Q1","Other countries (24)","Thousand","1998"
"Number of Nights by Irish Residents","2015Q2","All Countries","Thousand","13262"
"Number of Nights by Irish Residents","2015Q2","United States and Canada","Thousand","1215"
"Number of Nights by Irish Residents","2015Q2","EU28 excluding Ireland","Thousand","10542"
"Number of Nights by Irish Residents","2015Q2","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents","2015Q2","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents","2015Q2","Other Europe (21)","Thousand","282"
"Number of Nights by Irish Residents","2015Q2","Other countries (24)","Thousand","1224"
"Number of Nights by Irish Residents","2015Q3","All Countries","Thousand","21135"
"Number of Nights by Irish Residents","2015Q3","United States and Canada","Thousand","2167"
"Number of Nights by Irish Residents","2015Q3","EU28 excluding Ireland","Thousand","17525"
"Number of Nights by Irish Residents","2015Q3","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents","2015Q3","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents","2015Q3","Other Europe (21)","Thousand","270"
"Number of Nights by Irish Residents","2015Q3","Other countries (24)","Thousand","1172"
"Number of Nights by Irish Residents","2015Q4","All Countries","Thousand","9678"
"Number of Nights by Irish Residents","2015Q4","United States and Canada","Thousand","1237"
"Number of Nights by Irish Residents","2015Q4","EU28 excluding Ireland","Thousand","6560"
"Number of Nights by Irish Residents","2015Q4","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents","2015Q4","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents","2015Q4","Other Europe (21)","Thousand","464"
"Number of Nights by Irish Residents","2015Q4","Other countries (24)","Thousand","1417"
"Number of Nights by Irish Residents","2016Q1","All Countries","Thousand","10840"
"Number of Nights by Irish Residents","2016Q1","United States and Canada","Thousand","1019"
"Number of Nights by Irish Residents","2016Q1","EU28 excluding Ireland","Thousand","8076"
"Number of Nights by Irish Residents","2016Q1","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents","2016Q1","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents","2016Q1","Other Europe (21)","Thousand","231"
"Number of Nights by Irish Residents","2016Q1","Other countries (24)","Thousand","1514"
"Number of Nights by Irish Residents","2016Q2","All Countries","Thousand","14054"
"Number of Nights by Irish Residents","2016Q2","United States and Canada","Thousand","1210"
"Number of Nights by Irish Residents","2016Q2","EU28 excluding Ireland","Thousand","10868"
"Number of Nights by Irish Residents","2016Q2","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents","2016Q2","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents","2016Q2","Other Europe (21)","Thousand","233"
"Number of Nights by Irish Residents","2016Q2","Other countries (24)","Thousand","1744"
"Number of Nights by Irish Residents","2016Q3","All Countries","Thousand","21384"
"Number of Nights by Irish Residents","2016Q3","United States and Canada","Thousand","2681"
"Number of Nights by Irish Residents","2016Q3","EU28 excluding Ireland","Thousand","16602"
"Number of Nights by Irish Residents","2016Q3","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents","2016Q3","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents","2016Q3","Other Europe (21)","Thousand","343"
"Number of Nights by Irish Residents","2016Q3","Other countries (24)","Thousand","1757"
"Number of Nights by Irish Residents","2016Q4","All Countries","Thousand","10470"
"Number of Nights by Irish Residents","2016Q4","United States and Canada","Thousand","1424"
"Number of Nights by Irish Residents","2016Q4","EU28 excluding Ireland","Thousand","6871"
"Number of Nights by Irish Residents","2016Q4","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents","2016Q4","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents","2016Q4","Other Europe (21)","Thousand","182"
"Number of Nights by Irish Residents","2016Q4","Other countries (24)","Thousand","1994"
"Number of Nights by Irish Residents","2017Q1","All Countries","Thousand","9713"
"Number of Nights by Irish Residents","2017Q1","United States and Canada","Thousand","838"
"Number of Nights by Irish Residents","2017Q1","EU28 excluding Ireland","Thousand","7092"
"Number of Nights by Irish Residents","2017Q1","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents","2017Q1","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents","2017Q1","Other Europe (21)","Thousand","196"
"Number of Nights by Irish Residents","2017Q1","Other countries (24)","Thousand","1587"
"Number of Nights by Irish Residents","2017Q2","All Countries","Thousand","14535"
"Number of Nights by Irish Residents","2017Q2","United States and Canada","Thousand","1638"
"Number of Nights by Irish Residents","2017Q2","EU28 excluding Ireland","Thousand","11698"
"Number of Nights by Irish Residents","2017Q2","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents","2017Q2","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents","2017Q2","Other Europe (21)","Thousand","177"
"Number of Nights by Irish Residents","2017Q2","Other countries (24)","Thousand","1023"
"Number of Nights by Irish Residents","2017Q3","All Countries","Thousand","22707"
"Number of Nights by Irish Residents","2017Q3","United States and Canada","Thousand","2965"
"Number of Nights by Irish Residents","2017Q3","EU28 excluding Ireland","Thousand","17675"
"Number of Nights by Irish Residents","2017Q3","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents","2017Q3","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents","2017Q3","Other Europe (21)","Thousand","454"
"Number of Nights by Irish Residents","2017Q3","Other countries (24)","Thousand","1612"
"Number of Nights by Irish Residents","2017Q4","All Countries","Thousand","10743"
"Number of Nights by Irish Residents","2017Q4","United States and Canada","Thousand","1488"
"Number of Nights by Irish Residents","2017Q4","EU28 excluding Ireland","Thousand","7584"
"Number of Nights by Irish Residents","2017Q4","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents","2017Q4","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents","2017Q4","Other Europe (21)","Thousand","248"
"Number of Nights by Irish Residents","2017Q4","Other countries (24)","Thousand","1423"
"Number of Nights by Irish Residents","2018Q1","All Countries","Thousand","10211"
"Number of Nights by Irish Residents","2018Q1","United States and Canada","Thousand","989"
"Number of Nights by Irish Residents","2018Q1","EU28 excluding Ireland","Thousand","6750"
"Number of Nights by Irish Residents","2018Q1","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents","2018Q1","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents","2018Q1","Other Europe (21)","Thousand","186"
"Number of Nights by Irish Residents","2018Q1","Other countries (24)","Thousand","2286"
"Number of Nights by Irish Residents","2018Q2","All Countries","Thousand","15271"
"Number of Nights by Irish Residents","2018Q2","United States and Canada","Thousand","959"
"Number of Nights by Irish Residents","2018Q2","EU28 excluding Ireland","Thousand","11583"
"Number of Nights by Irish Residents","2018Q2","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents","2018Q2","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents","2018Q2","Other Europe (21)","Thousand","532"
"Number of Nights by Irish Residents","2018Q2","Other countries (24)","Thousand","2196"
"Number of Nights by Irish Residents","2018Q3","All Countries","Thousand","23435"
"Number of Nights by Irish Residents","2018Q3","United States and Canada","Thousand","2946"
"Number of Nights by Irish Residents","2018Q3","EU28 excluding Ireland","Thousand","17251"
"Number of Nights by Irish Residents","2018Q3","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents","2018Q3","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents","2018Q3","Other Europe (21)","Thousand","737"
"Number of Nights by Irish Residents","2018Q3","Other countries (24)","Thousand","2501"
"Number of Nights by Irish Residents","2018Q4","All Countries","Thousand","11706"
"Number of Nights by Irish Residents","2018Q4","United States and Canada","Thousand","1453"
"Number of Nights by Irish Residents","2018Q4","EU28 excluding Ireland","Thousand","8735"
"Number of Nights by Irish Residents","2018Q4","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents","2018Q4","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents","2018Q4","Other Europe (21)","Thousand","162"
"Number of Nights by Irish Residents","2018Q4","Other countries (24)","Thousand","1356"
"Number of Nights by Irish Residents","2019Q1","All Countries","Thousand","11364"
"Number of Nights by Irish Residents","2019Q1","United States and Canada","Thousand","1159"
"Number of Nights by Irish Residents","2019Q1","EU28 excluding Ireland","Thousand","7664"
"Number of Nights by Irish Residents","2019Q1","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents","2019Q1","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents","2019Q1","Other Europe (21)","Thousand","204"
"Number of Nights by Irish Residents","2019Q1","Other countries (24)","Thousand","2336"
"Number of Nights by Irish Residents","2019Q2","All Countries","Thousand","16848"
"Number of Nights by Irish Residents","2019Q2","United States and Canada","Thousand","1560"
"Number of Nights by Irish Residents","2019Q2","EU28 excluding Ireland","Thousand","13114"
"Number of Nights by Irish Residents","2019Q2","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents","2019Q2","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents","2019Q2","Other Europe (21)","Thousand","362"
"Number of Nights by Irish Residents","2019Q2","Other countries (24)","Thousand","1812"
"Number of Nights by Irish Residents","2019Q3","All Countries","Thousand","25867"
"Number of Nights by Irish Residents","2019Q3","United States and Canada","Thousand","2689"
"Number of Nights by Irish Residents","2019Q3","EU28 excluding Ireland","Thousand","20778"
"Number of Nights by Irish Residents","2019Q3","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents","2019Q3","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents","2019Q3","Other Europe (21)","Thousand","491"
"Number of Nights by Irish Residents","2019Q3","Other countries (24)","Thousand","1909"
"Number of Nights by Irish Residents","2019Q4","All Countries","Thousand","12848"
"Number of Nights by Irish Residents","2019Q4","United States and Canada","Thousand","2543"
"Number of Nights by Irish Residents","2019Q4","EU28 excluding Ireland","Thousand","8330"
"Number of Nights by Irish Residents","2019Q4","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents","2019Q4","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents","2019Q4","Other Europe (21)","Thousand","288"
"Number of Nights by Irish Residents","2019Q4","Other countries (24)","Thousand","1687"
"Number of Nights by Irish Residents","2020Q1","All Countries","Thousand","10082"
"Number of Nights by Irish Residents","2020Q1","United States and Canada","Thousand","1212"
"Number of Nights by Irish Residents","2020Q1","EU28 excluding Ireland","Thousand","6026"
"Number of Nights by Irish Residents","2020Q1","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents","2020Q1","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents","2020Q1","Other Europe (21)","Thousand","341"
"Number of Nights by Irish Residents","2020Q1","Other countries (24)","Thousand","2504"
"Number of Nights by Irish Residents","2020Q2","All Countries","Thousand","427"
"Number of Nights by Irish Residents","2020Q2","United States and Canada","Thousand",""
"Number of Nights by Irish Residents","2020Q2","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents","2020Q2","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents","2020Q2","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents","2020Q2","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents","2020Q2","Other countries (24)","Thousand",""
"Number of Nights by Irish Residents","2020Q3","All Countries","Thousand","3820"
"Number of Nights by Irish Residents","2020Q3","United States and Canada","Thousand",""
"Number of Nights by Irish Residents","2020Q3","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents","2020Q3","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents","2020Q3","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents","2020Q3","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents","2020Q3","Other countries (24)","Thousand",""
"Number of Nights by Irish Residents","2020Q4","All Countries","Thousand","1268"
"Number of Nights by Irish Residents","2020Q4","United States and Canada","Thousand",""
"Number of Nights by Irish Residents","2020Q4","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents","2020Q4","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents","2020Q4","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents","2020Q4","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents","2020Q4","Other countries (24)","Thousand",""
"Number of Nights by Irish Residents","2021Q1","All Countries","Thousand","1367"
"Number of Nights by Irish Residents","2021Q1","United States and Canada","Thousand",""
"Number of Nights by Irish Residents","2021Q1","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents","2021Q1","EU27 excluding Ireland","Thousand","1081"
"Number of Nights by Irish Residents","2021Q1","Other Europe (20)","Thousand","286"
"Number of Nights by Irish Residents","2021Q1","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents","2021Q1","Other countries (24)","Thousand",""
"Number of Nights by Irish Residents","2021Q2","All Countries","Thousand","1706"
"Number of Nights by Irish Residents","2021Q2","United States and Canada","Thousand","9"
"Number of Nights by Irish Residents","2021Q2","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents","2021Q2","EU27 excluding Ireland","Thousand","1198"
"Number of Nights by Irish Residents","2021Q2","Other Europe (20)","Thousand","499"
"Number of Nights by Irish Residents","2021Q2","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents","2021Q2","Other countries (24)","Thousand",""
"Number of Nights by Irish Residents","2021Q3","All Countries","Thousand","7116"
"Number of Nights by Irish Residents","2021Q3","United States and Canada","Thousand","5"
"Number of Nights by Irish Residents","2021Q3","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents","2021Q3","EU27 excluding Ireland","Thousand","3672"
"Number of Nights by Irish Residents","2021Q3","Other Europe (20)","Thousand","2489"
"Number of Nights by Irish Residents","2021Q3","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents","2021Q3","Other countries (24)","Thousand","950"
"Number of Nights by Irish Residents","2021Q4","All Countries","Thousand","7254"
"Number of Nights by Irish Residents","2021Q4","United States and Canada","Thousand","341"
"Number of Nights by Irish Residents","2021Q4","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents","2021Q4","EU27 excluding Ireland","Thousand","3558"
"Number of Nights by Irish Residents","2021Q4","Other Europe (20)","Thousand","2188"
"Number of Nights by Irish Residents","2021Q4","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents","2021Q4","Other countries (24)","Thousand","1167"
"Number of Nights by Irish Residents","2022Q1","All Countries","Thousand","6068"
"Number of Nights by Irish Residents","2022Q1","United States and Canada","Thousand","361"
"Number of Nights by Irish Residents","2022Q1","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents","2022Q1","EU27 excluding Ireland","Thousand","3564"
"Number of Nights by Irish Residents","2022Q1","Other Europe (20)","Thousand","1638"
"Number of Nights by Irish Residents","2022Q1","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents","2022Q1","Other countries (24)","Thousand","505"
"Number of Nights by Irish Residents","2022Q2","All Countries","Thousand","17000"
"Number of Nights by Irish Residents","2022Q2","United States and Canada","Thousand","1094"
"Number of Nights by Irish Residents","2022Q2","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents","2022Q2","EU27 excluding Ireland","Thousand","10892"
"Number of Nights by Irish Residents","2022Q2","Other Europe (20)","Thousand","2577"
"Number of Nights by Irish Residents","2022Q2","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents","2022Q2","Other countries (24)","Thousand","2437"
"Number of Nights by Irish Residents","2022Q3","All Countries","Thousand","25593"
"Number of Nights by Irish Residents","2022Q3","United States and Canada","Thousand","1290"
"Number of Nights by Irish Residents","2022Q3","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents","2022Q3","EU27 excluding Ireland","Thousand","19741"
"Number of Nights by Irish Residents","2022Q3","Other Europe (20)","Thousand","3016"
"Number of Nights by Irish Residents","2022Q3","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents","2022Q3","Other countries (24)","Thousand","1546"
"Number of Nights by Irish Residents","2022Q4","All Countries","Thousand","12544"
"Number of Nights by Irish Residents","2022Q4","United States and Canada","Thousand","1163"
"Number of Nights by Irish Residents","2022Q4","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents","2022Q4","EU27 excluding Ireland","Thousand","7485"
"Number of Nights by Irish Residents","2022Q4","Other Europe (20)","Thousand","2615"
"Number of Nights by Irish Residents","2022Q4","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents","2022Q4","Other countries (24)","Thousand","1282"
"Number of Nights by Irish Residents","2023Q1","All Countries","Thousand","15289"
"Number of Nights by Irish Residents","2023Q1","United States and Canada","Thousand","287"
"Number of Nights by Irish Residents","2023Q1","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents","2023Q1","EU27 excluding Ireland","Thousand","7095"
"Number of Nights by Irish Residents","2023Q1","Other Europe (20)","Thousand","2371"
"Number of Nights by Irish Residents","2023Q1","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents","2023Q1","Other countries (24)","Thousand","5536"
"Number of Nights by Irish Residents","2023Q2","All Countries","Thousand","21024"
"Number of Nights by Irish Residents","2023Q2","United States and Canada","Thousand","1944"
"Number of Nights by Irish Residents","2023Q2","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents","2023Q2","EU27 excluding Ireland","Thousand","13556"
"Number of Nights by Irish Residents","2023Q2","Other Europe (20)","Thousand","4652"
"Number of Nights by Irish Residents","2023Q2","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents","2023Q2","Other countries (24)","Thousand","872"
"Number of Nights by Irish Residents","2023Q3","All Countries","Thousand","27145"
"Number of Nights by Irish Residents","2023Q3","United States and Canada","Thousand","1734"
"Number of Nights by Irish Residents","2023Q3","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents","2023Q3","EU27 excluding Ireland","Thousand","17175"
"Number of Nights by Irish Residents","2023Q3","Other Europe (20)","Thousand","5780"
"Number of Nights by Irish Residents","2023Q3","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents","2023Q3","Other countries (24)","Thousand","2456"
"Average Length of Stay by Irish Residents","2012Q1","All Countries","Nights per Trip","7.2"
"Average Length of Stay by Irish Residents","2012Q1","United States and Canada","Nights per Trip","11.2"
"Average Length of Stay by Irish Residents","2012Q1","EU28 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents","2012Q1","EU27 excluding Ireland","Nights per Trip","5.7"
"Average Length of Stay by Irish Residents","2012Q1","Other Europe (20)","Nights per Trip","6.3"
"Average Length of Stay by Irish Residents","2012Q1","Other Europe (21)","Nights per Trip",""
"Average Length of Stay by Irish Residents","2012Q1","Other countries (24)","Nights per Trip","20"
"Average Length of Stay by Irish Residents","2012Q2","All Countries","Nights per Trip","7"
"Average Length of Stay by Irish Residents","2012Q2","United States and Canada","Nights per Trip","12.7"
"Average Length of Stay by Irish Residents","2012Q2","EU28 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents","2012Q2","EU27 excluding Ireland","Nights per Trip","6.2"
"Average Length of Stay by Irish Residents","2012Q2","Other Europe (20)","Nights per Trip","6.8"
"Average Length of Stay by Irish Residents","2012Q2","Other Europe (21)","Nights per Trip",""
"Average Length of Stay by Irish Residents","2012Q2","Other countries (24)","Nights per Trip","15.8"
"Average Length of Stay by Irish Residents","2012Q3","All Countries","Nights per Trip","10.3"
"Average Length of Stay by Irish Residents","2012Q3","United States and Canada","Nights per Trip","20.9"
"Average Length of Stay by Irish Residents","2012Q3","EU28 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents","2012Q3","EU27 excluding Ireland","Nights per Trip","9.3"
"Average Length of Stay by Irish Residents","2012Q3","Other Europe (20)","Nights per Trip","8.7"
"Average Length of Stay by Irish Residents","2012Q3","Other Europe (21)","Nights per Trip",""
"Average Length of Stay by Irish Residents","2012Q3","Other countries (24)","Nights per Trip","17.6"
"Average Length of Stay by Irish Residents","2012Q4","All Countries","Nights per Trip","6.7"
"Average Length of Stay by Irish Residents","2012Q4","United States and Canada","Nights per Trip","13.5"
"Average Length of Stay by Irish Residents","2012Q4","EU28 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents","2012Q4","EU27 excluding Ireland","Nights per Trip","5.4"
"Average Length of Stay by Irish Residents","2012Q4","Other Europe (20)","Nights per Trip","5.4"
"Average Length of Stay by Irish Residents","2012Q4","Other Europe (21)","Nights per Trip",""
"Average Length of Stay by Irish Residents","2012Q4","Other countries (24)","Nights per Trip","16.2"
"Average Length of Stay by Irish Residents","2013Q1","All Countries","Nights per Trip","7"
"Average Length of Stay by Irish Residents","2013Q1","United States and Canada","Nights per Trip","11"
"Average Length of Stay by Irish Residents","2013Q1","EU28 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents","2013Q1","EU27 excluding Ireland","Nights per Trip","5.3"
"Average Length of Stay by Irish Residents","2013Q1","Other Europe (20)","Nights per Trip","6.9"
"Average Length of Stay by Irish Residents","2013Q1","Other Europe (21)","Nights per Trip",""
"Average Length of Stay by Irish Residents","2013Q1","Other countries (24)","Nights per Trip","21.9"
"Average Length of Stay by Irish Residents","2013Q2","All Countries","Nights per Trip","7.1"
"Average Length of Stay by Irish Residents","2013Q2","United States and Canada","Nights per Trip","11.8"
"Average Length of Stay by Irish Residents","2013Q2","EU28 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents","2013Q2","EU27 excluding Ireland","Nights per Trip","6.2"
"Average Length of Stay by Irish Residents","2013Q2","Other Europe (20)","Nights per Trip","7"
"Average Length of Stay by Irish Residents","2013Q2","Other Europe (21)","Nights per Trip",""
"Average Length of Stay by Irish Residents","2013Q2","Other countries (24)","Nights per Trip","18.3"
"Average Length of Stay by Irish Residents","2013Q3","All Countries","Nights per Trip","9.9"
"Average Length of Stay by Irish Residents","2013Q3","United States and Canada","Nights per Trip","21.4"
"Average Length of Stay by Irish Residents","2013Q3","EU28 excluding Ireland","Nights per Trip","8.6"
"Average Length of Stay by Irish Residents","2013Q3","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents","2013Q3","Other Europe (20)","Nights per Trip",""
"Average Length of Stay by Irish Residents","2013Q3","Other Europe (21)","Nights per Trip","11.7"
"Average Length of Stay by Irish Residents","2013Q3","Other countries (24)","Nights per Trip","23.1"
"Average Length of Stay by Irish Residents","2013Q4","All Countries","Nights per Trip","6.6"
"Average Length of Stay by Irish Residents","2013Q4","United States and Canada","Nights per Trip","10.7"
"Average Length of Stay by Irish Residents","2013Q4","EU28 excluding Ireland","Nights per Trip","5.1"
"Average Length of Stay by Irish Residents","2013Q4","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents","2013Q4","Other Europe (20)","Nights per Trip",""
"Average Length of Stay by Irish Residents","2013Q4","Other Europe (21)","Nights per Trip","7.2"
"Average Length of Stay by Irish Residents","2013Q4","Other countries (24)","Nights per Trip","19.7"
"Average Length of Stay by Irish Residents","2014Q1","All Countries","Nights per Trip","7.1"
"Average Length of Stay by Irish Residents","2014Q1","United States and Canada","Nights per Trip","10.8"
"Average Length of Stay by Irish Residents","2014Q1","EU28 excluding Ireland","Nights per Trip","5.6"
"Average Length of Stay by Irish Residents","2014Q1","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents","2014Q1","Other Europe (20)","Nights per Trip",""
"Average Length of Stay by Irish Residents","2014Q1","Other Europe (21)","Nights per Trip","6.9"
"Average Length of Stay by Irish Residents","2014Q1","Other countries (24)","Nights per Trip","17.3"
"Average Length of Stay by Irish Residents","2014Q2","All Countries","Nights per Trip","7.3"
"Average Length of Stay by Irish Residents","2014Q2","United States and Canada","Nights per Trip","11.6"
