"Domestic or Outbound","Mode of Transport","Quarter","Statistic Label","UNIT","VALUE"
"Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2006Q4","Number of Trips by Irish Residents","Thousand",""
"Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2006Q4","Number of Nights by Irish Residents","Thousand",""
"Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2006Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2007Q1","Number of Trips by Irish Residents","Thousand",""
"Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2007Q1","Number of Nights by Irish Residents","Thousand",""
"Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2007Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2007Q2","Number of Trips by Irish Residents","Thousand",""
"Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2007Q2","Number of Nights by Irish Residents","Thousand",""
"Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2007Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2007Q3","Number of Trips by Irish Residents","Thousand",""
"Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2007Q3","Number of Nights by Irish Residents","Thousand",""
"Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2007Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2007Q4","Number of Trips by Irish Residents","Thousand",""
"Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2007Q4","Number of Nights by Irish Residents","Thousand",""
"Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2007Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2008Q1","Number of Trips by Irish Residents","Thousand",""
"Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2008Q1","Number of Nights by Irish Residents","Thousand",""
"Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2008Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2008Q2","Number of Trips by Irish Residents","Thousand",""
"Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2008Q2","Number of Nights by Irish Residents","Thousand",""
"Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2008Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2008Q3","Number of Trips by Irish Residents","Thousand","0"
"Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2008Q3","Number of Nights by Irish Residents","Thousand","0"
"Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2008Q3","Average Length of Stay by Irish Residents","Nights per Trip","0"
"Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2008Q4","Number of Trips by Irish Residents","Thousand",""
"Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2008Q4","Number of Nights by Irish Residents","Thousand",""
"Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2008Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2009Q1","Number of Trips by Irish Residents","Thousand",""
"Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2009Q1","Number of Nights by Irish Residents","Thousand",""
"Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2009Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2009Q2","Number of Trips by Irish Residents","Thousand",""
"Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2009Q2","Number of Nights by Irish Residents","Thousand",""
"Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2009Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2009Q3","Number of Trips by Irish Residents","Thousand",""
"Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2009Q3","Number of Nights by Irish Residents","Thousand",""
"Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2009Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2009Q4","Number of Trips by Irish Residents","Thousand",""
"Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2009Q4","Number of Nights by Irish Residents","Thousand",""
"Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2009Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"Outbound","All modes of transport","2003Q1","Number of Trips by Irish Residents","Thousand","954"
"Outbound","All modes of transport","2003Q1","Number of Nights by Irish Residents","Thousand","6491"
"Outbound","All modes of transport","2003Q1","Average Length of Stay by Irish Residents","Nights per Trip","6.8"
"Outbound","All modes of transport","2003Q2","Number of Trips by Irish Residents","Thousand","1330"
"Outbound","All modes of transport","2003Q2","Number of Nights by Irish Residents","Thousand","12331"
"Outbound","All modes of transport","2003Q2","Average Length of Stay by Irish Residents","Nights per Trip","9.3"
"Outbound","All modes of transport","2003Q3","Number of Trips by Irish Residents","Thousand","1595"
"Outbound","All modes of transport","2003Q3","Number of Nights by Irish Residents","Thousand","16776"
"Outbound","All modes of transport","2003Q3","Average Length of Stay by Irish Residents","Nights per Trip","10.5"
"Outbound","All modes of transport","2003Q4","Number of Trips by Irish Residents","Thousand","1095"
"Outbound","All modes of transport","2003Q4","Number of Nights by Irish Residents","Thousand","8104"
"Outbound","All modes of transport","2003Q4","Average Length of Stay by Irish Residents","Nights per Trip","7.4"
"Outbound","All modes of transport","2004Q1","Number of Trips by Irish Residents","Thousand","1069"
"Outbound","All modes of transport","2004Q1","Number of Nights by Irish Residents","Thousand","7567"
"Outbound","All modes of transport","2004Q1","Average Length of Stay by Irish Residents","Nights per Trip","7.1"
"Outbound","All modes of transport","2004Q2","Number of Trips by Irish Residents","Thousand","1425"
"Outbound","All modes of transport","2004Q2","Number of Nights by Irish Residents","Thousand","12688"
"Outbound","All modes of transport","2004Q2","Average Length of Stay by Irish Residents","Nights per Trip","8.9"
"Outbound","All modes of transport","2004Q3","Number of Trips by Irish Residents","Thousand","1751"
"Outbound","All modes of transport","2004Q3","Number of Nights by Irish Residents","Thousand","18193"
"Outbound","All modes of transport","2004Q3","Average Length of Stay by Irish Residents","Nights per Trip","10.4"
"Outbound","All modes of transport","2004Q4","Number of Trips by Irish Residents","Thousand","1220"
"Outbound","All modes of transport","2004Q4","Number of Nights by Irish Residents","Thousand","7854"
"Outbound","All modes of transport","2004Q4","Average Length of Stay by Irish Residents","Nights per Trip","6.4"
"Outbound","All modes of transport","2005Q1","Number of Trips by Irish Residents","Thousand","1212"
"Outbound","All modes of transport","2005Q1","Number of Nights by Irish Residents","Thousand","8502"
"Outbound","All modes of transport","2005Q1","Average Length of Stay by Irish Residents","Nights per Trip","7"
"Outbound","All modes of transport","2005Q2","Number of Trips by Irish Residents","Thousand","1661"
"Outbound","All modes of transport","2005Q2","Number of Nights by Irish Residents","Thousand","14592"
"Outbound","All modes of transport","2005Q2","Average Length of Stay by Irish Residents","Nights per Trip","8.8"
"Outbound","All modes of transport","2005Q3","Number of Trips by Irish Residents","Thousand","1961"
"Outbound","All modes of transport","2005Q3","Number of Nights by Irish Residents","Thousand","19828"
"Outbound","All modes of transport","2005Q3","Average Length of Stay by Irish Residents","Nights per Trip","10.1"
"Outbound","All modes of transport","2005Q4","Number of Trips by Irish Residents","Thousand","1355"
"Outbound","All modes of transport","2005Q4","Number of Nights by Irish Residents","Thousand","8581"
"Outbound","All modes of transport","2005Q4","Average Length of Stay by Irish Residents","Nights per Trip","6.3"
"Outbound","All modes of transport","2006Q1","Number of Trips by Irish Residents","Thousand","1397"
"Outbound","All modes of transport","2006Q1","Number of Nights by Irish Residents","Thousand","9140"
"Outbound","All modes of transport","2006Q1","Average Length of Stay by Irish Residents","Nights per Trip","6.5"
"Outbound","All modes of transport","2006Q2","Number of Trips by Irish Residents","Thousand","1850"
"Outbound","All modes of transport","2006Q2","Number of Nights by Irish Residents","Thousand","14731"
"Outbound","All modes of transport","2006Q2","Average Length of Stay by Irish Residents","Nights per Trip","8"
"Outbound","All modes of transport","2006Q3","Number of Trips by Irish Residents","Thousand","2174"
"Outbound","All modes of transport","2006Q3","Number of Nights by Irish Residents","Thousand","20378"
"Outbound","All modes of transport","2006Q3","Average Length of Stay by Irish Residents","Nights per Trip","9.4"
"Outbound","All modes of transport","2006Q4","Number of Trips by Irish Residents","Thousand","1560"
"Outbound","All modes of transport","2006Q4","Number of Nights by Irish Residents","Thousand","10017"
"Outbound","All modes of transport","2006Q4","Average Length of Stay by Irish Residents","Nights per Trip","6.4"
"Outbound","All modes of transport","2007Q1","Number of Trips by Irish Residents","Thousand","1580"
"Outbound","All modes of transport","2007Q1","Number of Nights by Irish Residents","Thousand","10431"
"Outbound","All modes of transport","2007Q1","Average Length of Stay by Irish Residents","Nights per Trip","6.6"
"Outbound","All modes of transport","2007Q2","Number of Trips by Irish Residents","Thousand","2073"
"Outbound","All modes of transport","2007Q2","Number of Nights by Irish Residents","Thousand","16460"
"Outbound","All modes of transport","2007Q2","Average Length of Stay by Irish Residents","Nights per Trip","7.9"
"Outbound","All modes of transport","2007Q3","Number of Trips by Irish Residents","Thousand","2387"
"Outbound","All modes of transport","2007Q3","Number of Nights by Irish Residents","Thousand","22941"
"Outbound","All modes of transport","2007Q3","Average Length of Stay by Irish Residents","Nights per Trip","9.6"
"Outbound","All modes of transport","2007Q4","Number of Trips by Irish Residents","Thousand","1790"
"Outbound","All modes of transport","2007Q4","Number of Nights by Irish Residents","Thousand","12404"
"Outbound","All modes of transport","2007Q4","Average Length of Stay by Irish Residents","Nights per Trip","6.9"
"Outbound","All modes of transport","2008Q1","Number of Trips by Irish Residents","Thousand","1800"
"Outbound","All modes of transport","2008Q1","Number of Nights by Irish Residents","Thousand","12426"
"Outbound","All modes of transport","2008Q1","Average Length of Stay by Irish Residents","Nights per Trip","6.9"
"Outbound","All modes of transport","2008Q2","Number of Trips by Irish Residents","Thousand","2060"
"Outbound","All modes of transport","2008Q2","Number of Nights by Irish Residents","Thousand","16742"
"Outbound","All modes of transport","2008Q2","Average Length of Stay by Irish Residents","Nights per Trip","8.1"
"Outbound","All modes of transport","2008Q3","Number of Trips by Irish Residents","Thousand","2471"
"Outbound","All modes of transport","2008Q3","Number of Nights by Irish Residents","Thousand","23485"
"Outbound","All modes of transport","2008Q3","Average Length of Stay by Irish Residents","Nights per Trip","9.5"
"Outbound","All modes of transport","2008Q4","Number of Trips by Irish Residents","Thousand","1710"
"Outbound","All modes of transport","2008Q4","Number of Nights by Irish Residents","Thousand","10846"
"Outbound","All modes of transport","2008Q4","Average Length of Stay by Irish Residents","Nights per Trip","6.3"
"Outbound","All modes of transport","2009Q1","Number of Trips by Irish Residents","Thousand","1597"
"Outbound","All modes of transport","2009Q1","Number of Nights by Irish Residents","Thousand","10144"
"Outbound","All modes of transport","2009Q1","Average Length of Stay by Irish Residents","Nights per Trip","6.4"
"Outbound","All modes of transport","2009Q2","Number of Trips by Irish Residents","Thousand","1927"
"Outbound","All modes of transport","2009Q2","Number of Nights by Irish Residents","Thousand","16031"
"Outbound","All modes of transport","2009Q2","Average Length of Stay by Irish Residents","Nights per Trip","8.3"
"Outbound","All modes of transport","2009Q3","Number of Trips by Irish Residents","Thousand","2232"
"Outbound","All modes of transport","2009Q3","Number of Nights by Irish Residents","Thousand","19731"
"Outbound","All modes of transport","2009Q3","Average Length of Stay by Irish Residents","Nights per Trip","8.8"
"Outbound","All modes of transport","2009Q4","Number of Trips by Irish Residents","Thousand","1536"
"Outbound","All modes of transport","2009Q4","Number of Nights by Irish Residents","Thousand","9761"
"Outbound","All modes of transport","2009Q4","Average Length of Stay by Irish Residents","Nights per Trip","6.4"
"Outbound","Air","2003Q1","Number of Trips by Irish Residents","Thousand","826"
"Outbound","Air","2003Q1","Number of Nights by Irish Residents","Thousand","5858"
"Outbound","Air","2003Q1","Average Length of Stay by Irish Residents","Nights per Trip","7.1"
"Outbound","Air","2003Q2","Number of Trips by Irish Residents","Thousand","1107"
"Outbound","Air","2003Q2","Number of Nights by Irish Residents","Thousand","10427"
"Outbound","Air","2003Q2","Average Length of Stay by Irish Residents","Nights per Trip","9.4"
"Outbound","Air","2003Q3","Number of Trips by Irish Residents","Thousand","1296"
"Outbound","Air","2003Q3","Number of Nights by Irish Residents","Thousand","13799"
"Outbound","Air","2003Q3","Average Length of Stay by Irish Residents","Nights per Trip","10.6"
"Outbound","Air","2003Q4","Number of Trips by Irish Residents","Thousand","944"
"Outbound","Air","2003Q4","Number of Nights by Irish Residents","Thousand","7176"
"Outbound","Air","2003Q4","Average Length of Stay by Irish Residents","Nights per Trip","7.6"
"Outbound","Air","2004Q1","Number of Trips by Irish Residents","Thousand","936"
"Outbound","Air","2004Q1","Number of Nights by Irish Residents","Thousand","6823"
"Outbound","Air","2004Q1","Average Length of Stay by Irish Residents","Nights per Trip","7.3"
"Outbound","Air","2004Q2","Number of Trips by Irish Residents","Thousand","1206"
"Outbound","Air","2004Q2","Number of Nights by Irish Residents","Thousand","10985"
"Outbound","Air","2004Q2","Average Length of Stay by Irish Residents","Nights per Trip","9.1"
"Outbound","Air","2004Q3","Number of Trips by Irish Residents","Thousand","1451"
"Outbound","Air","2004Q3","Number of Nights by Irish Residents","Thousand","15075"
"Outbound","Air","2004Q3","Average Length of Stay by Irish Residents","Nights per Trip","10.4"
"Outbound","Air","2004Q4","Number of Trips by Irish Residents","Thousand","1057"
"Outbound","Air","2004Q4","Number of Nights by Irish Residents","Thousand","7065"
"Outbound","Air","2004Q4","Average Length of Stay by Irish Residents","Nights per Trip","6.7"
"Outbound","Air","2005Q1","Number of Trips by Irish Residents","Thousand","1068"
"Outbound","Air","2005Q1","Number of Nights by Irish Residents","Thousand","7647"
"Outbound","Air","2005Q1","Average Length of Stay by Irish Residents","Nights per Trip","7.2"
"Outbound","Air","2005Q2","Number of Trips by Irish Residents","Thousand","1433"
"Outbound","Air","2005Q2","Number of Nights by Irish Residents","Thousand","12787"
"Outbound","Air","2005Q2","Average Length of Stay by Irish Residents","Nights per Trip","8.9"
"Outbound","Air","2005Q3","Number of Trips by Irish Residents","Thousand","1637"
"Outbound","Air","2005Q3","Number of Nights by Irish Residents","Thousand","16830"
"Outbound","Air","2005Q3","Average Length of Stay by Irish Residents","Nights per Trip","10.3"
"Outbound","Air","2005Q4","Number of Trips by Irish Residents","Thousand","1193"
"Outbound","Air","2005Q4","Number of Nights by Irish Residents","Thousand","7913"
"Outbound","Air","2005Q4","Average Length of Stay by Irish Residents","Nights per Trip","6.6"
"Outbound","Air","2006Q1","Number of Trips by Irish Residents","Thousand","1269"
"Outbound","Air","2006Q1","Number of Nights by Irish Residents","Thousand","8443"
"Outbound","Air","2006Q1","Average Length of Stay by Irish Residents","Nights per Trip","6.7"
"Outbound","Air","2006Q2","Number of Trips by Irish Residents","Thousand","1572"
"Outbound","Air","2006Q2","Number of Nights by Irish Residents","Thousand","12731"
"Outbound","Air","2006Q2","Average Length of Stay by Irish Residents","Nights per Trip","8.1"
"Outbound","Air","2006Q3","Number of Trips by Irish Residents","Thousand","1814"
"Outbound","Air","2006Q3","Number of Nights by Irish Residents","Thousand","17253"
"Outbound","Air","2006Q3","Average Length of Stay by Irish Residents","Nights per Trip","9.5"
"Outbound","Air","2006Q4","Number of Trips by Irish Residents","Thousand","1401"
"Outbound","Air","2006Q4","Number of Nights by Irish Residents","Thousand","9143"
"Outbound","Air","2006Q4","Average Length of Stay by Irish Residents","Nights per Trip","6.5"
"Outbound","Air","2007Q1","Number of Trips by Irish Residents","Thousand","1434"
"Outbound","Air","2007Q1","Number of Nights by Irish Residents","Thousand","9768"
"Outbound","Air","2007Q1","Average Length of Stay by Irish Residents","Nights per Trip","6.8"
"Outbound","Air","2007Q2","Number of Trips by Irish Residents","Thousand","1817"
"Outbound","Air","2007Q2","Number of Nights by Irish Residents","Thousand","14532"
"Outbound","Air","2007Q2","Average Length of Stay by Irish Residents","Nights per Trip","8"
"Outbound","Air","2007Q3","Number of Trips by Irish Residents","Thousand","2048"
"Outbound","Air","2007Q3","Number of Nights by Irish Residents","Thousand","19668"
"Outbound","Air","2007Q3","Average Length of Stay by Irish Residents","Nights per Trip","9.6"
"Outbound","Air","2007Q4","Number of Trips by Irish Residents","Thousand","1601"
"Outbound","Air","2007Q4","Number of Nights by Irish Residents","Thousand","11634"
"Outbound","Air","2007Q4","Average Length of Stay by Irish Residents","Nights per Trip","7.3"
"Outbound","Air","2008Q1","Number of Trips by Irish Residents","Thousand","1633"
"Outbound","Air","2008Q1","Number of Nights by Irish Residents","Thousand","11578"
"Outbound","Air","2008Q1","Average Length of Stay by Irish Residents","Nights per Trip","7.1"
"Outbound","Air","2008Q2","Number of Trips by Irish Residents","Thousand","1817"
"Outbound","Air","2008Q2","Number of Nights by Irish Residents","Thousand","15134"
"Outbound","Air","2008Q2","Average Length of Stay by Irish Residents","Nights per Trip","8.3"
"Outbound","Air","2008Q3","Number of Trips by Irish Residents","Thousand","2125"
"Outbound","Air","2008Q3","Number of Nights by Irish Residents","Thousand","20469"
"Outbound","Air","2008Q3","Average Length of Stay by Irish Residents","Nights per Trip","9.6"
"Outbound","Air","2008Q4","Number of Trips by Irish Residents","Thousand","1498"
"Outbound","Air","2008Q4","Number of Nights by Irish Residents","Thousand","9890"
"Outbound","Air","2008Q4","Average Length of Stay by Irish Residents","Nights per Trip","6.6"
"Outbound","Air","2009Q1","Number of Trips by Irish Residents","Thousand","1405"
"Outbound","Air","2009Q1","Number of Nights by Irish Residents","Thousand","9383"
"Outbound","Air","2009Q1","Average Length of Stay by Irish Residents","Nights per Trip","6.7"
"Outbound","Air","2009Q2","Number of Trips by Irish Residents","Thousand","1603"
"Outbound","Air","2009Q2","Number of Nights by Irish Residents","Thousand","13662"
"Outbound","Air","2009Q2","Average Length of Stay by Irish Residents","Nights per Trip","8.5"
"Outbound","Air","2009Q3","Number of Trips by Irish Residents","Thousand","1800"
"Outbound","Air","2009Q3","Number of Nights by Irish Residents","Thousand","16185"
"Outbound","Air","2009Q3","Average Length of Stay by Irish Residents","Nights per Trip","9"
"Outbound","Air","2009Q4","Number of Trips by Irish Residents","Thousand","1303"
"Outbound","Air","2009Q4","Number of Nights by Irish Residents","Thousand","8733"
"Outbound","Air","2009Q4","Average Length of Stay by Irish Residents","Nights per Trip","6.7"
"Outbound","Bus/rail","2003Q1","Number of Trips by Irish Residents","Thousand","16"
"Outbound","Bus/rail","2003Q1","Number of Nights by Irish Residents","Thousand","81"
"Outbound","Bus/rail","2003Q1","Average Length of Stay by Irish Residents","Nights per Trip","5.1"
"Outbound","Bus/rail","2003Q2","Number of Trips by Irish Residents","Thousand","21"
"Outbound","Bus/rail","2003Q2","Number of Nights by Irish Residents","Thousand","185"
"Outbound","Bus/rail","2003Q2","Average Length of Stay by Irish Residents","Nights per Trip","8.8"
"Outbound","Bus/rail","2003Q3","Number of Trips by Irish Residents","Thousand","28"
"Outbound","Bus/rail","2003Q3","Number of Nights by Irish Residents","Thousand","403"
"Outbound","Bus/rail","2003Q3","Average Length of Stay by Irish Residents","Nights per Trip","14.4"
"Outbound","Bus/rail","2003Q4","Number of Trips by Irish Residents","Thousand","19"
"Outbound","Bus/rail","2003Q4","Number of Nights by Irish Residents","Thousand","86"
"Outbound","Bus/rail","2003Q4","Average Length of Stay by Irish Residents","Nights per Trip","4.5"
"Outbound","Bus/rail","2004Q1","Number of Trips by Irish Residents","Thousand","14"
"Outbound","Bus/rail","2004Q1","Number of Nights by Irish Residents","Thousand","121"
"Outbound","Bus/rail","2004Q1","Average Length of Stay by Irish Residents","Nights per Trip","8.6"
"Outbound","Bus/rail","2004Q2","Number of Trips by Irish Residents","Thousand","24"
"Outbound","Bus/rail","2004Q2","Number of Nights by Irish Residents","Thousand","132"
"Outbound","Bus/rail","2004Q2","Average Length of Stay by Irish Residents","Nights per Trip","5.5"
"Outbound","Bus/rail","2004Q3","Number of Trips by Irish Residents","Thousand","28"
"Outbound","Bus/rail","2004Q3","Number of Nights by Irish Residents","Thousand","268"
"Outbound","Bus/rail","2004Q3","Average Length of Stay by Irish Residents","Nights per Trip","9.6"
"Outbound","Bus/rail","2004Q4","Number of Trips by Irish Residents","Thousand","13"
"Outbound","Bus/rail","2004Q4","Number of Nights by Irish Residents","Thousand","65"
"Outbound","Bus/rail","2004Q4","Average Length of Stay by Irish Residents","Nights per Trip","5"
"Outbound","Bus/rail","2005Q1","Number of Trips by Irish Residents","Thousand","22"
"Outbound","Bus/rail","2005Q1","Number of Nights by Irish Residents","Thousand","158"
"Outbound","Bus/rail","2005Q1","Average Length of Stay by Irish Residents","Nights per Trip","7.2"
"Outbound","Bus/rail","2005Q2","Number of Trips by Irish Residents","Thousand","25"
"Outbound","Bus/rail","2005Q2","Number of Nights by Irish Residents","Thousand","238"
"Outbound","Bus/rail","2005Q2","Average Length of Stay by Irish Residents","Nights per Trip","9.5"
"Outbound","Bus/rail","2005Q3","Number of Trips by Irish Residents","Thousand","36"
"Outbound","Bus/rail","2005Q3","Number of Nights by Irish Residents","Thousand","465"
"Outbound","Bus/rail","2005Q3","Average Length of Stay by Irish Residents","Nights per Trip","12.9"
"Outbound","Bus/rail","2005Q4","Number of Trips by Irish Residents","Thousand","17"
"Outbound","Bus/rail","2005Q4","Number of Nights by Irish Residents","Thousand","105"
"Outbound","Bus/rail","2005Q4","Average Length of Stay by Irish Residents","Nights per Trip","6.2"
"Outbound","Bus/rail","2006Q1","Number of Trips by Irish Residents","Thousand","17"
"Outbound","Bus/rail","2006Q1","Number of Nights by Irish Residents","Thousand","136"
"Outbound","Bus/rail","2006Q1","Average Length of Stay by Irish Residents","Nights per Trip","8"
"Outbound","Bus/rail","2006Q2","Number of Trips by Irish Residents","Thousand","39"
"Outbound","Bus/rail","2006Q2","Number of Nights by Irish Residents","Thousand","283"
"Outbound","Bus/rail","2006Q2","Average Length of Stay by Irish Residents","Nights per Trip","7.3"
"Outbound","Bus/rail","2006Q3","Number of Trips by Irish Residents","Thousand","40"
"Outbound","Bus/rail","2006Q3","Number of Nights by Irish Residents","Thousand","414"
"Outbound","Bus/rail","2006Q3","Average Length of Stay by Irish Residents","Nights per Trip","10.4"
"Outbound","Bus/rail","2006Q4","Number of Trips by Irish Residents","Thousand","33"
"Outbound","Bus/rail","2006Q4","Number of Nights by Irish Residents","Thousand","274"
"Outbound","Bus/rail","2006Q4","Average Length of Stay by Irish Residents","Nights per Trip","8.3"
"Outbound","Bus/rail","2007Q1","Number of Trips by Irish Residents","Thousand","22"
"Outbound","Bus/rail","2007Q1","Number of Nights by Irish Residents","Thousand","96"
"Outbound","Bus/rail","2007Q1","Average Length of Stay by Irish Residents","Nights per Trip","4.4"
"Outbound","Bus/rail","2007Q2","Number of Trips by Irish Residents","Thousand","36"
"Outbound","Bus/rail","2007Q2","Number of Nights by Irish Residents","Thousand","206"
"Outbound","Bus/rail","2007Q2","Average Length of Stay by Irish Residents","Nights per Trip","5.7"
"Outbound","Bus/rail","2007Q3","Number of Trips by Irish Residents","Thousand","46"
"Outbound","Bus/rail","2007Q3","Number of Nights by Irish Residents","Thousand","430"
"Outbound","Bus/rail","2007Q3","Average Length of Stay by Irish Residents","Nights per Trip","9.3"
"Outbound","Bus/rail","2007Q4","Number of Trips by Irish Residents","Thousand","31"
"Outbound","Bus/rail","2007Q4","Number of Nights by Irish Residents","Thousand","142"
"Outbound","Bus/rail","2007Q4","Average Length of Stay by Irish Residents","Nights per Trip","4.6"
"Outbound","Bus/rail","2008Q1","Number of Trips by Irish Residents","Thousand","21"
"Outbound","Bus/rail","2008Q1","Number of Nights by Irish Residents","Thousand","110"
"Outbound","Bus/rail","2008Q1","Average Length of Stay by Irish Residents","Nights per Trip","5.2"
"Outbound","Bus/rail","2008Q2","Number of Trips by Irish Residents","Thousand","42"
"Outbound","Bus/rail","2008Q2","Number of Nights by Irish Residents","Thousand","229"
"Outbound","Bus/rail","2008Q2","Average Length of Stay by Irish Residents","Nights per Trip","5.5"
"Outbound","Bus/rail","2008Q3","Number of Trips by Irish Residents","Thousand","41"
"Outbound","Bus/rail","2008Q3","Number of Nights by Irish Residents","Thousand","349"
"Outbound","Bus/rail","2008Q3","Average Length of Stay by Irish Residents","Nights per Trip","8.5"
"Outbound","Bus/rail","2008Q4","Number of Trips by Irish Residents","Thousand","32"
"Outbound","Bus/rail","2008Q4","Number of Nights by Irish Residents","Thousand","155"
"Outbound","Bus/rail","2008Q4","Average Length of Stay by Irish Residents","Nights per Trip","4.8"
"Outbound","Bus/rail","2009Q1","Number of Trips by Irish Residents","Thousand","18"
"Outbound","Bus/rail","2009Q1","Number of Nights by Irish Residents","Thousand","61"
"Outbound","Bus/rail","2009Q1","Average Length of Stay by Irish Residents","Nights per Trip","3.4"
"Outbound","Bus/rail","2009Q2","Number of Trips by Irish Residents","Thousand","37"
"Outbound","Bus/rail","2009Q2","Number of Nights by Irish Residents","Thousand","236"
"Outbound","Bus/rail","2009Q2","Average Length of Stay by Irish Residents","Nights per Trip","6.4"
"Outbound","Bus/rail","2009Q3","Number of Trips by Irish Residents","Thousand","28"
"Outbound","Bus/rail","2009Q3","Number of Nights by Irish Residents","Thousand","296"
"Outbound","Bus/rail","2009Q3","Average Length of Stay by Irish Residents","Nights per Trip","10.6"
"Outbound","Bus/rail","2009Q4","Number of Trips by Irish Residents","Thousand","26"
"Outbound","Bus/rail","2009Q4","Number of Nights by Irish Residents","Thousand","112"
"Outbound","Bus/rail","2009Q4","Average Length of Stay by Irish Residents","Nights per Trip","4.3"
"Outbound","Private vehicle","2003Q1","Number of Trips by Irish Residents","Thousand","51"
"Outbound","Private vehicle","2003Q1","Number of Nights by Irish Residents","Thousand","176"
"Outbound","Private vehicle","2003Q1","Average Length of Stay by Irish Residents","Nights per Trip","3.5"
"Outbound","Private vehicle","2003Q2","Number of Trips by Irish Residents","Thousand","88"
"Outbound","Private vehicle","2003Q2","Number of Nights by Irish Residents","Thousand","546"
"Outbound","Private vehicle","2003Q2","Average Length of Stay by Irish Residents","Nights per Trip","6.2"
"Outbound","Private vehicle","2003Q3","Number of Trips by Irish Residents","Thousand","87"
"Outbound","Private vehicle","2003Q3","Number of Nights by Irish Residents","Thousand","604"
"Outbound","Private vehicle","2003Q3","Average Length of Stay by Irish Residents","Nights per Trip","6.9"
"Outbound","Private vehicle","2003Q4","Number of Trips by Irish Residents","Thousand","72"
"Outbound","Private vehicle","2003Q4","Number of Nights by Irish Residents","Thousand","504"
"Outbound","Private vehicle","2003Q4","Average Length of Stay by Irish Residents","Nights per Trip","7"
"Outbound","Private vehicle","2004Q1","Number of Trips by Irish Residents","Thousand","63"
"Outbound","Private vehicle","2004Q1","Number of Nights by Irish Residents","Thousand","244"
"Outbound","Private vehicle","2004Q1","Average Length of Stay by Irish Residents","Nights per Trip","3.9"
