"Statistic Label","Quarter","Length of Stay","Region Visited","UNIT","VALUE"
"Number of Trips by Irish Residents","2006Q1","1 - 3 Nights","Border","Thousand","116"
"Number of Trips by Irish Residents","2006Q1","1 - 3 Nights","Midland","Thousand","55"
"Number of Trips by Irish Residents","2006Q1","1 - 3 Nights","West","Thousand","195"
"Number of Trips by Irish Residents","2006Q1","1 - 3 Nights","Southern and Eastern","Thousand","890"
"Number of Trips by Irish Residents","2006Q1","1 - 3 Nights","Dublin","Thousand","262"
"Number of Trips by Irish Residents","2006Q1","1 - 3 Nights","Mid-East","Thousand","63"
"Number of Trips by Irish Residents","2006Q1","1 - 3 Nights","Mid-West","Thousand","123"
"Number of Trips by Irish Residents","2006Q1","1 - 3 Nights","South-East","Thousand","196"
"Number of Trips by Irish Residents","2006Q1","1 - 3 Nights","South-West","Thousand","246"
"Number of Trips by Irish Residents","2006Q1","4 + Nights","State","Thousand","201"
"Number of Trips by Irish Residents","2006Q1","4 + Nights","Border, Midland and Western","Thousand","60"
"Number of Trips by Irish Residents","2006Q1","4 + Nights","Border","Thousand","20"
"Number of Trips by Irish Residents","2006Q1","4 + Nights","Midland","Thousand","2"
"Number of Trips by Irish Residents","2006Q1","4 + Nights","West","Thousand","38"
"Number of Trips by Irish Residents","2006Q1","4 + Nights","Southern and Eastern","Thousand","139"
"Number of Trips by Irish Residents","2006Q1","4 + Nights","Dublin","Thousand","36"
"Number of Trips by Irish Residents","2006Q1","4 + Nights","Mid-East","Thousand","3"
"Number of Trips by Irish Residents","2006Q1","4 + Nights","Mid-West","Thousand","28"
"Number of Trips by Irish Residents","2006Q1","4 + Nights","South-East","Thousand","27"
"Number of Trips by Irish Residents","2006Q1","4 + Nights","South-West","Thousand","45"
"Number of Trips by Irish Residents","2006Q2","1 + Nights","State","Thousand","1721"
"Number of Trips by Irish Residents","2006Q2","1 + Nights","Border, Midland and Western","Thousand","560"
"Number of Trips by Irish Residents","2006Q2","1 + Nights","Border","Thousand","214"
"Number of Trips by Irish Residents","2006Q2","1 + Nights","Midland","Thousand","62"
"Number of Trips by Irish Residents","2006Q2","1 + Nights","West","Thousand","284"
"Number of Trips by Irish Residents","2006Q2","1 + Nights","Southern and Eastern","Thousand","1161"
"Number of Trips by Irish Residents","2006Q2","1 + Nights","Dublin","Thousand","251"
"Number of Trips by Irish Residents","2006Q2","1 + Nights","Mid-East","Thousand","97"
"Number of Trips by Irish Residents","2006Q2","1 + Nights","Mid-West","Thousand","160"
"Number of Trips by Irish Residents","2006Q2","1 + Nights","South-East","Thousand","266"
"Number of Trips by Irish Residents","2006Q2","1 + Nights","South-West","Thousand","386"
"Number of Trips by Irish Residents","2006Q2","1 - 3 Nights","State","Thousand","1353"
"Number of Trips by Irish Residents","2006Q2","1 - 3 Nights","Border, Midland and Western","Thousand","441"
"Number of Trips by Irish Residents","2006Q2","1 - 3 Nights","Border","Thousand","171"
"Number of Trips by Irish Residents","2006Q2","1 - 3 Nights","Midland","Thousand","54"
"Number of Trips by Irish Residents","2006Q2","1 - 3 Nights","West","Thousand","216"
"Number of Trips by Irish Residents","2006Q2","1 - 3 Nights","Southern and Eastern","Thousand","912"
"Number of Trips by Irish Residents","2006Q2","1 - 3 Nights","Dublin","Thousand","212"
"Number of Trips by Irish Residents","2006Q2","1 - 3 Nights","Mid-East","Thousand","77"
"Number of Trips by Irish Residents","2006Q2","1 - 3 Nights","Mid-West","Thousand","129"
"Number of Trips by Irish Residents","2006Q2","1 - 3 Nights","South-East","Thousand","207"
"Number of Trips by Irish Residents","2006Q2","1 - 3 Nights","South-West","Thousand","287"
"Number of Trips by Irish Residents","2006Q2","4 + Nights","State","Thousand","367"
"Number of Trips by Irish Residents","2006Q2","4 + Nights","Border, Midland and Western","Thousand","119"
"Number of Trips by Irish Residents","2006Q2","4 + Nights","Border","Thousand","43"
"Number of Trips by Irish Residents","2006Q2","4 + Nights","Midland","Thousand","7"
"Number of Trips by Irish Residents","2006Q2","4 + Nights","West","Thousand","69"
"Number of Trips by Irish Residents","2006Q2","4 + Nights","Southern and Eastern","Thousand","248"
"Number of Trips by Irish Residents","2006Q2","4 + Nights","Dublin","Thousand","39"
"Number of Trips by Irish Residents","2006Q2","4 + Nights","Mid-East","Thousand","19"
"Number of Trips by Irish Residents","2006Q2","4 + Nights","Mid-West","Thousand","31"
"Number of Trips by Irish Residents","2006Q2","4 + Nights","South-East","Thousand","60"
"Number of Trips by Irish Residents","2006Q2","4 + Nights","South-West","Thousand","99"
"Number of Trips by Irish Residents","2006Q3","1 + Nights","State","Thousand","2301"
"Number of Trips by Irish Residents","2006Q3","1 + Nights","Border, Midland and Western","Thousand","741"
"Number of Trips by Irish Residents","2006Q3","1 + Nights","Border","Thousand","228"
"Number of Trips by Irish Residents","2006Q3","1 + Nights","Midland","Thousand","95"
"Number of Trips by Irish Residents","2006Q3","1 + Nights","West","Thousand","419"
"Number of Trips by Irish Residents","2006Q3","1 + Nights","Southern and Eastern","Thousand","1560"
"Number of Trips by Irish Residents","2006Q3","1 + Nights","Dublin","Thousand","275"
"Number of Trips by Irish Residents","2006Q3","1 + Nights","Mid-East","Thousand","120"
"Number of Trips by Irish Residents","2006Q3","1 + Nights","Mid-West","Thousand","234"
"Number of Trips by Irish Residents","2006Q3","1 + Nights","South-East","Thousand","344"
"Number of Trips by Irish Residents","2006Q3","1 + Nights","South-West","Thousand","588"
"Number of Trips by Irish Residents","2006Q3","1 - 3 Nights","State","Thousand","1442"
"Number of Trips by Irish Residents","2006Q3","1 - 3 Nights","Border, Midland and Western","Thousand","474"
"Number of Trips by Irish Residents","2006Q3","1 - 3 Nights","Border","Thousand","160"
"Number of Trips by Irish Residents","2006Q3","1 - 3 Nights","Midland","Thousand","73"
"Number of Trips by Irish Residents","2006Q3","1 - 3 Nights","West","Thousand","241"
"Number of Trips by Irish Residents","2006Q3","1 - 3 Nights","Southern and Eastern","Thousand","968"
"Number of Trips by Irish Residents","2006Q3","1 - 3 Nights","Dublin","Thousand","227"
"Number of Trips by Irish Residents","2006Q3","1 - 3 Nights","Mid-East","Thousand","97"
"Number of Trips by Irish Residents","2006Q3","1 - 3 Nights","Mid-West","Thousand","157"
"Number of Trips by Irish Residents","2006Q3","1 - 3 Nights","South-East","Thousand","190"
"Number of Trips by Irish Residents","2006Q3","1 - 3 Nights","South-West","Thousand","297"
"Number of Trips by Irish Residents","2006Q3","4 + Nights","State","Thousand","860"
"Number of Trips by Irish Residents","2006Q3","4 + Nights","Border, Midland and Western","Thousand","268"
"Number of Trips by Irish Residents","2006Q3","4 + Nights","Border","Thousand","68"
"Number of Trips by Irish Residents","2006Q3","4 + Nights","Midland","Thousand","22"
"Number of Trips by Irish Residents","2006Q3","4 + Nights","West","Thousand","178"
"Number of Trips by Irish Residents","2006Q3","4 + Nights","Southern and Eastern","Thousand","592"
"Number of Trips by Irish Residents","2006Q3","4 + Nights","Dublin","Thousand","48"
"Number of Trips by Irish Residents","2006Q3","4 + Nights","Mid-East","Thousand","23"
"Number of Trips by Irish Residents","2006Q3","4 + Nights","Mid-West","Thousand","77"
"Number of Trips by Irish Residents","2006Q3","4 + Nights","South-East","Thousand","154"
"Number of Trips by Irish Residents","2006Q3","4 + Nights","South-West","Thousand","291"
"Number of Trips by Irish Residents","2006Q4","1 + Nights","State","Thousand","1831"
"Number of Trips by Irish Residents","2006Q4","1 + Nights","Border, Midland and Western","Thousand","573"
"Number of Trips by Irish Residents","2006Q4","1 + Nights","Border","Thousand","187"
"Number of Trips by Irish Residents","2006Q4","1 + Nights","Midland","Thousand","93"
"Number of Trips by Irish Residents","2006Q4","1 + Nights","West","Thousand","292"
"Number of Trips by Irish Residents","2006Q4","1 + Nights","Southern and Eastern","Thousand","1258"
"Number of Trips by Irish Residents","2006Q4","1 + Nights","Dublin","Thousand","382"
"Number of Trips by Irish Residents","2006Q4","1 + Nights","Mid-East","Thousand","129"
"Number of Trips by Irish Residents","2006Q4","1 + Nights","Mid-West","Thousand","190"
"Number of Trips by Irish Residents","2006Q4","1 + Nights","South-East","Thousand","211"
"Number of Trips by Irish Residents","2006Q4","1 + Nights","South-West","Thousand","345"
"Number of Trips by Irish Residents","2006Q4","1 - 3 Nights","State","Thousand","1535"
"Number of Trips by Irish Residents","2006Q4","1 - 3 Nights","Border, Midland and Western","Thousand","479"
"Number of Trips by Irish Residents","2006Q4","1 - 3 Nights","Border","Thousand","156"
"Number of Trips by Irish Residents","2006Q4","1 - 3 Nights","Midland","Thousand","85"
"Number of Trips by Irish Residents","2006Q4","1 - 3 Nights","West","Thousand","238"
"Number of Trips by Irish Residents","2006Q4","1 - 3 Nights","Southern and Eastern","Thousand","1055"
"Number of Trips by Irish Residents","2006Q4","1 - 3 Nights","Dublin","Thousand","329"
"Number of Trips by Irish Residents","2006Q4","1 - 3 Nights","Mid-East","Thousand","113"
"Number of Trips by Irish Residents","2006Q4","1 - 3 Nights","Mid-West","Thousand","156"
"Number of Trips by Irish Residents","2006Q4","1 - 3 Nights","South-East","Thousand","187"
"Number of Trips by Irish Residents","2006Q4","1 - 3 Nights","South-West","Thousand","270"
"Number of Trips by Irish Residents","2006Q4","4 + Nights","State","Thousand","296"
"Number of Trips by Irish Residents","2006Q4","4 + Nights","Border, Midland and Western","Thousand","93"
"Number of Trips by Irish Residents","2006Q4","4 + Nights","Border","Thousand","31"
"Number of Trips by Irish Residents","2006Q4","4 + Nights","Midland","Thousand","8"
"Number of Trips by Irish Residents","2006Q4","4 + Nights","West","Thousand","54"
"Number of Trips by Irish Residents","2006Q4","4 + Nights","Southern and Eastern","Thousand","202"
"Number of Trips by Irish Residents","2006Q4","4 + Nights","Dublin","Thousand","53"
"Number of Trips by Irish Residents","2006Q4","4 + Nights","Mid-East","Thousand","16"
"Number of Trips by Irish Residents","2006Q4","4 + Nights","Mid-West","Thousand","34"
"Number of Trips by Irish Residents","2006Q4","4 + Nights","South-East","Thousand","24"
"Number of Trips by Irish Residents","2006Q4","4 + Nights","South-West","Thousand","75"
"Number of Trips by Irish Residents","2007Q1","1 + Nights","State","Thousand","1579"
"Number of Trips by Irish Residents","2007Q1","1 + Nights","Border, Midland and Western","Thousand","495"
"Number of Trips by Irish Residents","2007Q1","1 + Nights","Border","Thousand","153"
"Number of Trips by Irish Residents","2007Q1","1 + Nights","Midland","Thousand","74"
"Number of Trips by Irish Residents","2007Q1","1 + Nights","West","Thousand","268"
"Number of Trips by Irish Residents","2007Q1","1 + Nights","Southern and Eastern","Thousand","1084"
"Number of Trips by Irish Residents","2007Q1","1 + Nights","Dublin","Thousand","283"
"Number of Trips by Irish Residents","2007Q1","1 + Nights","Mid-East","Thousand","100"
"Number of Trips by Irish Residents","2007Q1","1 + Nights","Mid-West","Thousand","164"
"Number of Trips by Irish Residents","2007Q1","1 + Nights","South-East","Thousand","233"
"Number of Trips by Irish Residents","2007Q1","1 + Nights","South-West","Thousand","304"
"Number of Trips by Irish Residents","2007Q1","1 - 3 Nights","State","Thousand","1366"
"Number of Trips by Irish Residents","2007Q1","1 - 3 Nights","Border, Midland and Western","Thousand","426"
"Number of Trips by Irish Residents","2007Q1","1 - 3 Nights","Border","Thousand","131"
"Number of Trips by Irish Residents","2007Q1","1 - 3 Nights","Midland","Thousand","68"
"Number of Trips by Irish Residents","2007Q1","1 - 3 Nights","West","Thousand","227"
"Number of Trips by Irish Residents","2007Q1","1 - 3 Nights","Southern and Eastern","Thousand","939"
"Number of Trips by Irish Residents","2007Q1","1 - 3 Nights","Dublin","Thousand","255"
"Number of Trips by Irish Residents","2007Q1","1 - 3 Nights","Mid-East","Thousand","86"
"Number of Trips by Irish Residents","2007Q1","1 - 3 Nights","Mid-West","Thousand","140"
"Number of Trips by Irish Residents","2007Q1","1 - 3 Nights","South-East","Thousand","207"
"Number of Trips by Irish Residents","2007Q1","1 - 3 Nights","South-West","Thousand","251"
"Number of Trips by Irish Residents","2007Q1","4 + Nights","State","Thousand","213"
"Number of Trips by Irish Residents","2007Q1","4 + Nights","Border, Midland and Western","Thousand","68"
"Number of Trips by Irish Residents","2007Q1","4 + Nights","Border","Thousand","22"
"Number of Trips by Irish Residents","2007Q1","4 + Nights","Midland","Thousand","5"
"Number of Trips by Irish Residents","2007Q1","4 + Nights","West","Thousand","41"
"Number of Trips by Irish Residents","2007Q1","4 + Nights","Southern and Eastern","Thousand","144"
"Number of Trips by Irish Residents","2007Q1","4 + Nights","Dublin","Thousand","28"
"Number of Trips by Irish Residents","2007Q1","4 + Nights","Mid-East","Thousand","14"
"Number of Trips by Irish Residents","2007Q1","4 + Nights","Mid-West","Thousand","23"
"Number of Trips by Irish Residents","2007Q1","4 + Nights","South-East","Thousand","26"
"Number of Trips by Irish Residents","2007Q1","4 + Nights","South-West","Thousand","53"
"Number of Trips by Irish Residents","2007Q2","1 + Nights","State","Thousand","1983"
"Number of Trips by Irish Residents","2007Q2","1 + Nights","Border, Midland and Western","Thousand","654"
"Number of Trips by Irish Residents","2007Q2","1 + Nights","Border","Thousand","250"
"Number of Trips by Irish Residents","2007Q2","1 + Nights","Midland","Thousand","73"
"Number of Trips by Irish Residents","2007Q2","1 + Nights","West","Thousand","331"
"Number of Trips by Irish Residents","2007Q2","1 + Nights","Southern and Eastern","Thousand","1329"
"Number of Trips by Irish Residents","2007Q2","1 + Nights","Dublin","Thousand","235"
"Number of Trips by Irish Residents","2007Q2","1 + Nights","Mid-East","Thousand","128"
"Number of Trips by Irish Residents","2007Q2","1 + Nights","Mid-West","Thousand","197"
"Number of Trips by Irish Residents","2007Q2","1 + Nights","South-East","Thousand","266"
"Number of Trips by Irish Residents","2007Q2","1 + Nights","South-West","Thousand","503"
"Number of Trips by Irish Residents","2007Q2","1 - 3 Nights","State","Thousand","1533"
"Number of Trips by Irish Residents","2007Q2","1 - 3 Nights","Border, Midland and Western","Thousand","498"
"Number of Trips by Irish Residents","2007Q2","1 - 3 Nights","Border","Thousand","191"
"Number of Trips by Irish Residents","2007Q2","1 - 3 Nights","Midland","Thousand","67"
"Number of Trips by Irish Residents","2007Q2","1 - 3 Nights","West","Thousand","240"
"Number of Trips by Irish Residents","2007Q2","1 - 3 Nights","Southern and Eastern","Thousand","1034"
"Number of Trips by Irish Residents","2007Q2","1 - 3 Nights","Dublin","Thousand","208"
"Number of Trips by Irish Residents","2007Q2","1 - 3 Nights","Mid-East","Thousand","114"
"Number of Trips by Irish Residents","2007Q2","1 - 3 Nights","Mid-West","Thousand","149"
"Number of Trips by Irish Residents","2007Q2","1 - 3 Nights","South-East","Thousand","204"
"Number of Trips by Irish Residents","2007Q2","1 - 3 Nights","South-West","Thousand","359"
"Number of Trips by Irish Residents","2007Q2","4 + Nights","State","Thousand","450"
"Number of Trips by Irish Residents","2007Q2","4 + Nights","Border, Midland and Western","Thousand","156"
"Number of Trips by Irish Residents","2007Q2","4 + Nights","Border","Thousand","58"
"Number of Trips by Irish Residents","2007Q2","4 + Nights","Midland","Thousand","7"
"Number of Trips by Irish Residents","2007Q2","4 + Nights","West","Thousand","91"
"Number of Trips by Irish Residents","2007Q2","4 + Nights","Southern and Eastern","Thousand","294"
"Number of Trips by Irish Residents","2007Q2","4 + Nights","Dublin","Thousand","27"
"Number of Trips by Irish Residents","2007Q2","4 + Nights","Mid-East","Thousand","14"
"Number of Trips by Irish Residents","2007Q2","4 + Nights","Mid-West","Thousand","48"
"Number of Trips by Irish Residents","2007Q2","4 + Nights","South-East","Thousand","61"
"Number of Trips by Irish Residents","2007Q2","4 + Nights","South-West","Thousand","144"
"Number of Trips by Irish Residents","2007Q3","1 + Nights","State","Thousand","2448"
"Number of Trips by Irish Residents","2007Q3","1 + Nights","Border, Midland and Western","Thousand","748"
"Number of Trips by Irish Residents","2007Q3","1 + Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2007Q3","1 + Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2007Q3","1 + Nights","West","Thousand",""
"Number of Trips by Irish Residents","2007Q3","1 + Nights","Southern and Eastern","Thousand","1700"
"Number of Trips by Irish Residents","2007Q3","1 + Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2007Q3","1 + Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2007Q3","1 + Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2007Q3","1 + Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2007Q3","1 + Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2007Q3","1 - 3 Nights","State","Thousand","1502"
"Number of Trips by Irish Residents","2007Q3","1 - 3 Nights","Border, Midland and Western","Thousand","466"
"Number of Trips by Irish Residents","2007Q3","1 - 3 Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2007Q3","1 - 3 Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2007Q3","1 - 3 Nights","West","Thousand",""
"Number of Trips by Irish Residents","2007Q3","1 - 3 Nights","Southern and Eastern","Thousand","1036"
"Number of Trips by Irish Residents","2007Q3","1 - 3 Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2007Q3","1 - 3 Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2007Q3","1 - 3 Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2007Q3","1 - 3 Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2007Q3","1 - 3 Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2007Q3","4 + Nights","State","Thousand","946"
"Number of Trips by Irish Residents","2007Q3","4 + Nights","Border, Midland and Western","Thousand","281"
"Number of Trips by Irish Residents","2007Q3","4 + Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2007Q3","4 + Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2007Q3","4 + Nights","West","Thousand",""
"Number of Trips by Irish Residents","2007Q3","4 + Nights","Southern and Eastern","Thousand","665"
"Number of Trips by Irish Residents","2007Q3","4 + Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2007Q3","4 + Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2007Q3","4 + Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2007Q3","4 + Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2007Q3","4 + Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2007Q4","1 + Nights","State","Thousand","1932"
"Number of Trips by Irish Residents","2007Q4","1 + Nights","Border, Midland and Western","Thousand","582"
"Number of Trips by Irish Residents","2007Q4","1 + Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2007Q4","1 + Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2007Q4","1 + Nights","West","Thousand",""
"Number of Trips by Irish Residents","2007Q4","1 + Nights","Southern and Eastern","Thousand","1350"
"Number of Trips by Irish Residents","2007Q4","1 + Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2007Q4","1 + Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2007Q4","1 + Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2007Q4","1 + Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2007Q4","1 + Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2007Q4","1 - 3 Nights","State","Thousand","1596"
"Number of Trips by Irish Residents","2007Q4","1 - 3 Nights","Border, Midland and Western","Thousand","474"
"Number of Trips by Irish Residents","2007Q4","1 - 3 Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2007Q4","1 - 3 Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2007Q4","1 - 3 Nights","West","Thousand",""
"Number of Trips by Irish Residents","2007Q4","1 - 3 Nights","Southern and Eastern","Thousand","1122"
"Number of Trips by Irish Residents","2007Q4","1 - 3 Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2007Q4","1 - 3 Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2007Q4","1 - 3 Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2007Q4","1 - 3 Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2007Q4","1 - 3 Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2007Q4","4 + Nights","State","Thousand","336"
"Number of Trips by Irish Residents","2007Q4","4 + Nights","Border, Midland and Western","Thousand","107"
"Number of Trips by Irish Residents","2007Q4","4 + Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2007Q4","4 + Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2007Q4","4 + Nights","West","Thousand",""
"Number of Trips by Irish Residents","2007Q4","4 + Nights","Southern and Eastern","Thousand","229"
"Number of Trips by Irish Residents","2007Q4","4 + Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2007Q4","4 + Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2007Q4","4 + Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2007Q4","4 + Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2007Q4","4 + Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2008Q1","1 + Nights","State","Thousand","1851"
"Number of Trips by Irish Residents","2008Q1","1 + Nights","Border, Midland and Western","Thousand","555"
"Number of Trips by Irish Residents","2008Q1","1 + Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2008Q1","1 + Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2008Q1","1 + Nights","West","Thousand",""
"Number of Trips by Irish Residents","2008Q1","1 + Nights","Southern and Eastern","Thousand","1295"
"Number of Trips by Irish Residents","2008Q1","1 + Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2008Q1","1 + Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2008Q1","1 + Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2008Q1","1 + Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2008Q1","1 + Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2008Q1","1 - 3 Nights","State","Thousand","1560"
"Number of Trips by Irish Residents","2008Q1","1 - 3 Nights","Border, Midland and Western","Thousand","468"
"Number of Trips by Irish Residents","2008Q1","1 - 3 Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2008Q1","1 - 3 Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2008Q1","1 - 3 Nights","West","Thousand",""
"Number of Trips by Irish Residents","2008Q1","1 - 3 Nights","Southern and Eastern","Thousand","1092"
"Number of Trips by Irish Residents","2008Q1","1 - 3 Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2008Q1","1 - 3 Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2008Q1","1 - 3 Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2008Q1","1 - 3 Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2008Q1","1 - 3 Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2008Q1","4 + Nights","State","Thousand","290"
"Number of Trips by Irish Residents","2008Q1","4 + Nights","Border, Midland and Western","Thousand","87"
"Number of Trips by Irish Residents","2008Q1","4 + Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2008Q1","4 + Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2008Q1","4 + Nights","West","Thousand",""
"Number of Trips by Irish Residents","2008Q1","4 + Nights","Southern and Eastern","Thousand","203"
"Number of Trips by Irish Residents","2008Q1","4 + Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2008Q1","4 + Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2008Q1","4 + Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2008Q1","4 + Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2008Q1","4 + Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2008Q2","1 + Nights","State","Thousand","1867"
"Number of Trips by Irish Residents","2008Q2","1 + Nights","Border, Midland and Western","Thousand","566"
"Number of Trips by Irish Residents","2008Q2","1 + Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2008Q2","1 + Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2008Q2","1 + Nights","West","Thousand",""
"Number of Trips by Irish Residents","2008Q2","1 + Nights","Southern and Eastern","Thousand","1301"
"Number of Trips by Irish Residents","2008Q2","1 + Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2008Q2","1 + Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2008Q2","1 + Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2008Q2","1 + Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2008Q2","1 + Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2008Q2","1 - 3 Nights","State","Thousand","1504"
"Number of Trips by Irish Residents","2008Q2","1 - 3 Nights","Border, Midland and Western","Thousand","456"
"Number of Trips by Irish Residents","2008Q2","1 - 3 Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2008Q2","1 - 3 Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2008Q2","1 - 3 Nights","West","Thousand",""
"Number of Trips by Irish Residents","2008Q2","1 - 3 Nights","Southern and Eastern","Thousand","1048"
"Number of Trips by Irish Residents","2008Q2","1 - 3 Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2008Q2","1 - 3 Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2008Q2","1 - 3 Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2008Q2","1 - 3 Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2008Q2","1 - 3 Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2008Q2","4 + Nights","State","Thousand","363"
"Number of Trips by Irish Residents","2008Q2","4 + Nights","Border, Midland and Western","Thousand","110"
"Number of Trips by Irish Residents","2008Q2","4 + Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2008Q2","4 + Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2008Q2","4 + Nights","West","Thousand",""
"Number of Trips by Irish Residents","2008Q2","4 + Nights","Southern and Eastern","Thousand","253"
"Number of Trips by Irish Residents","2008Q2","4 + Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2008Q2","4 + Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2008Q2","4 + Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2008Q2","4 + Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2008Q2","4 + Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2008Q3","1 + Nights","State","Thousand","2544"
"Number of Trips by Irish Residents","2008Q3","1 + Nights","Border, Midland and Western","Thousand","828"
"Number of Trips by Irish Residents","2008Q3","1 + Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2008Q3","1 + Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2008Q3","1 + Nights","West","Thousand",""
"Number of Trips by Irish Residents","2008Q3","1 + Nights","Southern and Eastern","Thousand","1716"
"Number of Trips by Irish Residents","2008Q3","1 + Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2008Q3","1 + Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2008Q3","1 + Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2008Q3","1 + Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2008Q3","1 + Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2008Q3","1 - 3 Nights","State","Thousand","1691"
"Number of Trips by Irish Residents","2008Q3","1 - 3 Nights","Border, Midland and Western","Thousand","570"
"Number of Trips by Irish Residents","2008Q3","1 - 3 Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2008Q3","1 - 3 Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2008Q3","1 - 3 Nights","West","Thousand",""
