"Statistic Label","Quarter","Length of Stay","Region Visited","UNIT","VALUE"
"Number of Trips by Irish Residents","2000Q3","1 + Nights","State","Thousand","1759"
"Number of Trips by Irish Residents","2000Q3","1 + Nights","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2000Q3","1 + Nights","Border","Thousand","195"
"Number of Trips by Irish Residents","2000Q3","1 + Nights","Midland","Thousand","44"
"Number of Trips by Irish Residents","2000Q3","1 + Nights","West","Thousand","331"
"Number of Trips by Irish Residents","2000Q3","1 + Nights","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2000Q3","1 + Nights","Dublin","Thousand","152"
"Number of Trips by Irish Residents","2000Q3","1 + Nights","Mid-East","Thousand","100"
"Number of Trips by Irish Residents","2000Q3","1 + Nights","Mid-West","Thousand","198"
"Number of Trips by Irish Residents","2000Q3","1 + Nights","South-East","Thousand","317"
"Number of Trips by Irish Residents","2000Q3","1 + Nights","South-West","Thousand","422"
"Number of Trips by Irish Residents","2000Q3","1 - 3 Nights","State","Thousand","0"
"Number of Trips by Irish Residents","2000Q3","1 - 3 Nights","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2000Q3","1 - 3 Nights","Border","Thousand","0"
"Number of Trips by Irish Residents","2000Q3","1 - 3 Nights","Midland","Thousand","0"
"Number of Trips by Irish Residents","2000Q3","1 - 3 Nights","West","Thousand","0"
"Number of Trips by Irish Residents","2000Q3","1 - 3 Nights","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2000Q3","1 - 3 Nights","Dublin","Thousand","0"
"Number of Trips by Irish Residents","2000Q3","1 - 3 Nights","Mid-East","Thousand","0"
"Number of Trips by Irish Residents","2000Q3","1 - 3 Nights","Mid-West","Thousand","0"
"Number of Trips by Irish Residents","2000Q3","1 - 3 Nights","South-East","Thousand","0"
"Number of Trips by Irish Residents","2000Q3","1 - 3 Nights","South-West","Thousand","0"
"Number of Trips by Irish Residents","2000Q3","4 + Nights","State","Thousand","0"
"Number of Trips by Irish Residents","2000Q3","4 + Nights","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2000Q3","4 + Nights","Border","Thousand","0"
"Number of Trips by Irish Residents","2000Q3","4 + Nights","Midland","Thousand","0"
"Number of Trips by Irish Residents","2000Q3","4 + Nights","West","Thousand","0"
"Number of Trips by Irish Residents","2000Q3","4 + Nights","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2000Q3","4 + Nights","Dublin","Thousand","0"
"Number of Trips by Irish Residents","2000Q3","4 + Nights","Mid-East","Thousand","0"
"Number of Trips by Irish Residents","2000Q3","4 + Nights","Mid-West","Thousand","0"
"Number of Trips by Irish Residents","2000Q3","4 + Nights","South-East","Thousand","0"
"Number of Trips by Irish Residents","2000Q3","4 + Nights","South-West","Thousand","0"
"Number of Trips by Irish Residents","2000Q4","1 + Nights","State","Thousand","1365"
"Number of Trips by Irish Residents","2000Q4","1 + Nights","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2000Q4","1 + Nights","Border","Thousand","132"
"Number of Trips by Irish Residents","2000Q4","1 + Nights","Midland","Thousand","58"
"Number of Trips by Irish Residents","2000Q4","1 + Nights","West","Thousand","216"
"Number of Trips by Irish Residents","2000Q4","1 + Nights","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2000Q4","1 + Nights","Dublin","Thousand","217"
"Number of Trips by Irish Residents","2000Q4","1 + Nights","Mid-East","Thousand","90"
"Number of Trips by Irish Residents","2000Q4","1 + Nights","Mid-West","Thousand","157"
"Number of Trips by Irish Residents","2000Q4","1 + Nights","South-East","Thousand","190"
"Number of Trips by Irish Residents","2000Q4","1 + Nights","South-West","Thousand","304"
"Number of Trips by Irish Residents","2000Q4","1 - 3 Nights","State","Thousand","0"
"Number of Trips by Irish Residents","2000Q4","1 - 3 Nights","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2000Q4","1 - 3 Nights","Border","Thousand","0"
"Number of Trips by Irish Residents","2000Q4","1 - 3 Nights","Midland","Thousand","0"
"Number of Trips by Irish Residents","2000Q4","1 - 3 Nights","West","Thousand","0"
"Number of Trips by Irish Residents","2000Q4","1 - 3 Nights","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2000Q4","1 - 3 Nights","Dublin","Thousand","0"
"Number of Trips by Irish Residents","2000Q4","1 - 3 Nights","Mid-East","Thousand","0"
"Number of Trips by Irish Residents","2000Q4","1 - 3 Nights","Mid-West","Thousand","0"
"Number of Trips by Irish Residents","2000Q4","1 - 3 Nights","South-East","Thousand","0"
"Number of Trips by Irish Residents","2000Q4","1 - 3 Nights","South-West","Thousand","0"
"Number of Trips by Irish Residents","2000Q4","4 + Nights","State","Thousand","0"
"Number of Trips by Irish Residents","2000Q4","4 + Nights","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2000Q4","4 + Nights","Border","Thousand","0"
"Number of Trips by Irish Residents","2000Q4","4 + Nights","Midland","Thousand","0"
"Number of Trips by Irish Residents","2000Q4","4 + Nights","West","Thousand","0"
"Number of Trips by Irish Residents","2000Q4","4 + Nights","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2000Q4","4 + Nights","Dublin","Thousand","0"
"Number of Trips by Irish Residents","2000Q4","4 + Nights","Mid-East","Thousand","0"
"Number of Trips by Irish Residents","2000Q4","4 + Nights","Mid-West","Thousand","0"
"Number of Trips by Irish Residents","2000Q4","4 + Nights","South-East","Thousand","0"
"Number of Trips by Irish Residents","2000Q4","4 + Nights","South-West","Thousand","0"
"Number of Trips by Irish Residents","2001Q1","1 + Nights","State","Thousand","1235"
"Number of Trips by Irish Residents","2001Q1","1 + Nights","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2001Q1","1 + Nights","Border","Thousand","142"
"Number of Trips by Irish Residents","2001Q1","1 + Nights","Midland","Thousand","42"
"Number of Trips by Irish Residents","2001Q1","1 + Nights","West","Thousand","222"
"Number of Trips by Irish Residents","2001Q1","1 + Nights","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2001Q1","1 + Nights","Dublin","Thousand","216"
"Number of Trips by Irish Residents","2001Q1","1 + Nights","Mid-East","Thousand","61"
"Number of Trips by Irish Residents","2001Q1","1 + Nights","Mid-West","Thousand","136"
"Number of Trips by Irish Residents","2001Q1","1 + Nights","South-East","Thousand","180"
"Number of Trips by Irish Residents","2001Q1","1 + Nights","South-West","Thousand","238"
"Number of Trips by Irish Residents","2001Q1","1 - 3 Nights","State","Thousand","1048"
"Number of Trips by Irish Residents","2001Q1","1 - 3 Nights","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2001Q1","1 - 3 Nights","Border","Thousand","117"
"Number of Trips by Irish Residents","2001Q1","1 - 3 Nights","Midland","Thousand","38"
"Number of Trips by Irish Residents","2001Q1","1 - 3 Nights","West","Thousand","189"
"Number of Trips by Irish Residents","2001Q1","1 - 3 Nights","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2001Q1","1 - 3 Nights","Dublin","Thousand","178"
"Number of Trips by Irish Residents","2001Q1","1 - 3 Nights","Mid-East","Thousand","53"
"Number of Trips by Irish Residents","2001Q1","1 - 3 Nights","Mid-West","Thousand","119"
"Number of Trips by Irish Residents","2001Q1","1 - 3 Nights","South-East","Thousand","157"
"Number of Trips by Irish Residents","2001Q1","1 - 3 Nights","South-West","Thousand","196"
