"Statistic Label","Quarter","Domestic","Region of Residence","UNIT","VALUE"
"Number of Trips by Irish Residents","2000Q1","Domestic","State","Thousand","1169"
"Number of Trips by Irish Residents","2000Q1","Domestic","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2000Q1","Domestic","Border","Thousand","106"
"Number of Trips by Irish Residents","2000Q1","Domestic","Midland","Thousand","49"
"Number of Trips by Irish Residents","2000Q1","Domestic","West","Thousand","113"
"Number of Trips by Irish Residents","2000Q1","Domestic","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2000Q1","Domestic","Dublin","Thousand","356"
"Number of Trips by Irish Residents","2000Q1","Domestic","Mid-East","Thousand","176"
"Number of Trips by Irish Residents","2000Q1","Domestic","Mid-West","Thousand","91"
"Number of Trips by Irish Residents","2000Q1","Domestic","South-East","Thousand","108"
"Number of Trips by Irish Residents","2000Q1","Domestic","South-West","Thousand","170"
"Number of Trips by Irish Residents","2000Q1","Outbound","State","Thousand","716"
"Number of Trips by Irish Residents","2000Q1","Outbound","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2000Q1","Outbound","Border","Thousand","60"
"Number of Trips by Irish Residents","2000Q1","Outbound","Midland","Thousand","31"
"Number of Trips by Irish Residents","2000Q1","Outbound","West","Thousand","58"
"Number of Trips by Irish Residents","2000Q1","Outbound","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2000Q1","Outbound","Dublin","Thousand","289"
"Number of Trips by Irish Residents","2000Q1","Outbound","Mid-East","Thousand","82"
"Number of Trips by Irish Residents","2000Q1","Outbound","Mid-West","Thousand","45"
"Number of Trips by Irish Residents","2000Q1","Outbound","South-East","Thousand","44"
"Number of Trips by Irish Residents","2000Q1","Outbound","South-West","Thousand","106"
"Number of Trips by Irish Residents","2000Q2","Domestic","State","Thousand","1185"
"Number of Trips by Irish Residents","2000Q2","Domestic","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2000Q2","Domestic","Border","Thousand","104"
"Number of Trips by Irish Residents","2000Q2","Domestic","Midland","Thousand","53"
"Number of Trips by Irish Residents","2000Q2","Domestic","West","Thousand","99"
"Number of Trips by Irish Residents","2000Q2","Domestic","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2000Q2","Domestic","Dublin","Thousand","408"
"Number of Trips by Irish Residents","2000Q2","Domestic","Mid-East","Thousand","130"
"Number of Trips by Irish Residents","2000Q2","Domestic","Mid-West","Thousand","89"
"Number of Trips by Irish Residents","2000Q2","Domestic","South-East","Thousand","112"
"Number of Trips by Irish Residents","2000Q2","Domestic","South-West","Thousand","191"
"Number of Trips by Irish Residents","2000Q2","Outbound","State","Thousand","1028"
"Number of Trips by Irish Residents","2000Q2","Outbound","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2000Q2","Outbound","Border","Thousand","82"
"Number of Trips by Irish Residents","2000Q2","Outbound","Midland","Thousand","48"
"Number of Trips by Irish Residents","2000Q2","Outbound","West","Thousand","60"
"Number of Trips by Irish Residents","2000Q2","Outbound","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2000Q2","Outbound","Dublin","Thousand","421"
"Number of Trips by Irish Residents","2000Q2","Outbound","Mid-East","Thousand","119"
"Number of Trips by Irish Residents","2000Q2","Outbound","Mid-West","Thousand","69"
"Number of Trips by Irish Residents","2000Q2","Outbound","South-East","Thousand","90"
"Number of Trips by Irish Residents","2000Q2","Outbound","South-West","Thousand","139"
"Number of Trips by Irish Residents","2000Q3","Domestic","State","Thousand","1759"
"Number of Trips by Irish Residents","2000Q3","Domestic","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2000Q3","Domestic","Border","Thousand","182"
"Number of Trips by Irish Residents","2000Q3","Domestic","Midland","Thousand","108"
"Number of Trips by Irish Residents","2000Q3","Domestic","West","Thousand","111"
"Number of Trips by Irish Residents","2000Q3","Domestic","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2000Q3","Domestic","Dublin","Thousand","588"
"Number of Trips by Irish Residents","2000Q3","Domestic","Mid-East","Thousand","190"
"Number of Trips by Irish Residents","2000Q3","Domestic","Mid-West","Thousand","160"
"Number of Trips by Irish Residents","2000Q3","Domestic","South-East","Thousand","147"
"Number of Trips by Irish Residents","2000Q3","Domestic","South-West","Thousand","273"
"Number of Trips by Irish Residents","2000Q3","Outbound","State","Thousand","1213"
"Number of Trips by Irish Residents","2000Q3","Outbound","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2000Q3","Outbound","Border","Thousand","87"
"Number of Trips by Irish Residents","2000Q3","Outbound","Midland","Thousand","50"
"Number of Trips by Irish Residents","2000Q3","Outbound","West","Thousand","65"
"Number of Trips by Irish Residents","2000Q3","Outbound","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2000Q3","Outbound","Dublin","Thousand","525"
"Number of Trips by Irish Residents","2000Q3","Outbound","Mid-East","Thousand","134"
"Number of Trips by Irish Residents","2000Q3","Outbound","Mid-West","Thousand","83"
"Number of Trips by Irish Residents","2000Q3","Outbound","South-East","Thousand","101"
"Number of Trips by Irish Residents","2000Q3","Outbound","South-West","Thousand","167"
"Number of Trips by Irish Residents","2000Q4","Domestic","State","Thousand","1365"
"Number of Trips by Irish Residents","2000Q4","Domestic","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2000Q4","Domestic","Border","Thousand","106"
"Number of Trips by Irish Residents","2000Q4","Domestic","Midland","Thousand","48"
"Number of Trips by Irish Residents","2000Q4","Domestic","West","Thousand","122"
"Number of Trips by Irish Residents","2000Q4","Domestic","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2000Q4","Domestic","Dublin","Thousand","465"
"Number of Trips by Irish Residents","2000Q4","Domestic","Mid-East","Thousand","161"
"Number of Trips by Irish Residents","2000Q4","Domestic","Mid-West","Thousand","131"
"Number of Trips by Irish Residents","2000Q4","Domestic","South-East","Thousand","131"
"Number of Trips by Irish Residents","2000Q4","Domestic","South-West","Thousand","201"
"Number of Trips by Irish Residents","2000Q4","Outbound","State","Thousand","811"
"Number of Trips by Irish Residents","2000Q4","Outbound","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2000Q4","Outbound","Border","Thousand","64"
"Number of Trips by Irish Residents","2000Q4","Outbound","Midland","Thousand","32"
"Number of Trips by Irish Residents","2000Q4","Outbound","West","Thousand","47"
"Number of Trips by Irish Residents","2000Q4","Outbound","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2000Q4","Outbound","Dublin","Thousand","344"
"Number of Trips by Irish Residents","2000Q4","Outbound","Mid-East","Thousand","102"
"Number of Trips by Irish Residents","2000Q4","Outbound","Mid-West","Thousand","53"
"Number of Trips by Irish Residents","2000Q4","Outbound","South-East","Thousand","59"
"Number of Trips by Irish Residents","2000Q4","Outbound","South-West","Thousand","111"
"Number of Trips by Irish Residents","2001Q1","Domestic","State","Thousand","1235"
"Number of Trips by Irish Residents","2001Q1","Domestic","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2001Q1","Domestic","Border","Thousand","112"
"Number of Trips by Irish Residents","2001Q1","Domestic","Midland","Thousand","54"
"Number of Trips by Irish Residents","2001Q1","Domestic","West","Thousand","135"
"Number of Trips by Irish Residents","2001Q1","Domestic","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2001Q1","Domestic","Dublin","Thousand","369"
"Number of Trips by Irish Residents","2001Q1","Domestic","Mid-East","Thousand","144"
"Number of Trips by Irish Residents","2001Q1","Domestic","Mid-West","Thousand","125"
"Number of Trips by Irish Residents","2001Q1","Domestic","South-East","Thousand","97"
"Number of Trips by Irish Residents","2001Q1","Domestic","South-West","Thousand","200"
"Number of Trips by Irish Residents","2001Q1","Outbound","State","Thousand","764"
"Number of Trips by Irish Residents","2001Q1","Outbound","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2001Q1","Outbound","Border","Thousand","45"
"Number of Trips by Irish Residents","2001Q1","Outbound","Midland","Thousand","20"
"Number of Trips by Irish Residents","2001Q1","Outbound","West","Thousand","70"
"Number of Trips by Irish Residents","2001Q1","Outbound","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2001Q1","Outbound","Dublin","Thousand","320"
"Number of Trips by Irish Residents","2001Q1","Outbound","Mid-East","Thousand","107"
"Number of Trips by Irish Residents","2001Q1","Outbound","Mid-West","Thousand","52"
"Number of Trips by Irish Residents","2001Q1","Outbound","South-East","Thousand","55"
