"Statistic Label","Quarter","Country and Region Visited","UNIT","VALUE"
"Number of Trips by Irish Residents","2013Q2","Other Europe (22)","Thousand","183"
"Number of Trips by Irish Residents","2013Q2","Other countries (26)","Thousand","63"
"Number of Trips by Irish Residents","2013Q3","All Countries","Thousand","2098"
"Number of Trips by Irish Residents","2013Q3","Germany","Thousand","37"
"Number of Trips by Irish Residents","2013Q3","Spain","Thousand","522"
"Number of Trips by Irish Residents","2013Q3","France","Thousand","234"
"Number of Trips by Irish Residents","2013Q3","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","653"
"Number of Trips by Irish Residents","2013Q3","Italy","Thousand","91"
"Number of Trips by Irish Residents","2013Q3","Portugal","Thousand","140"
"Number of Trips by Irish Residents","2013Q3","United States and Canada","Thousand","116"
"Number of Trips by Irish Residents","2013Q3","Great Britain","Thousand","551"
"Number of Trips by Irish Residents","2013Q3","Northern Ireland","Thousand","102"
"Number of Trips by Irish Residents","2013Q3","Asia (7)","Thousand","35"
"Number of Trips by Irish Residents","2013Q3","Other Europe (22)","Thousand","230"
"Number of Trips by Irish Residents","2013Q3","Other countries (26)","Thousand","41"
"Number of Trips by Irish Residents","2013Q4","All Countries","Thousand","1365"
"Number of Trips by Irish Residents","2013Q4","Germany","Thousand","37"
"Number of Trips by Irish Residents","2013Q4","Spain","Thousand","231"
"Number of Trips by Irish Residents","2013Q4","France","Thousand","70"
"Number of Trips by Irish Residents","2013Q4","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","575"
"Number of Trips by Irish Residents","2013Q4","Italy","Thousand","42"
"Number of Trips by Irish Residents","2013Q4","Portugal","Thousand","43"
"Number of Trips by Irish Residents","2013Q4","United States and Canada","Thousand","118"
"Number of Trips by Irish Residents","2013Q4","Great Britain","Thousand","494"
"Number of Trips by Irish Residents","2013Q4","Northern Ireland","Thousand","81"
"Number of Trips by Irish Residents","2013Q4","Asia (7)","Thousand","30"
"Number of Trips by Irish Residents","2013Q4","Other Europe (22)","Thousand","156"
"Number of Trips by Irish Residents","2013Q4","Other countries (26)","Thousand","62"
"Number of Trips by Irish Residents","2014Q1","All Countries","Thousand","1163"
"Number of Trips by Irish Residents","2014Q1","Germany","Thousand","39"
"Number of Trips by Irish Residents","2014Q1","Spain","Thousand","164"
"Number of Trips by Irish Residents","2014Q1","France","Thousand","102"
"Number of Trips by Irish Residents","2014Q1","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","504"
"Number of Trips by Irish Residents","2014Q1","Italy","Thousand","29"
"Number of Trips by Irish Residents","2014Q1","Portugal","Thousand","11"
"Number of Trips by Irish Residents","2014Q1","United States and Canada","Thousand","104"
"Number of Trips by Irish Residents","2014Q1","Great Britain","Thousand","451"
"Number of Trips by Irish Residents","2014Q1","Northern Ireland","Thousand","53"
"Number of Trips by Irish Residents","2014Q1","Asia (7)","Thousand","57"
"Number of Trips by Irish Residents","2014Q1","Other Europe (22)","Thousand","117"
"Number of Trips by Irish Residents","2014Q1","Other countries (26)","Thousand","35"
"Number of Trips by Irish Residents","2014Q2","All Countries","Thousand","1839"
"Number of Trips by Irish Residents","2014Q2","Germany","Thousand","46"
"Number of Trips by Irish Residents","2014Q2","Spain","Thousand","378"
"Number of Trips by Irish Residents","2014Q2","France","Thousand","186"
"Number of Trips by Irish Residents","2014Q2","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","603"
"Number of Trips by Irish Residents","2014Q2","Italy","Thousand","100"
"Number of Trips by Irish Residents","2014Q2","Portugal","Thousand","109"
"Number of Trips by Irish Residents","2014Q2","United States and Canada","Thousand","89"
"Number of Trips by Irish Residents","2014Q2","Great Britain","Thousand","504"
"Number of Trips by Irish Residents","2014Q2","Northern Ireland","Thousand","99"
"Number of Trips by Irish Residents","2014Q2","Asia (7)","Thousand","38"
"Number of Trips by Irish Residents","2014Q2","Other Europe (22)","Thousand","240"
"Number of Trips by Irish Residents","2014Q2","Other countries (26)","Thousand","51"
"Number of Trips by Irish Residents","2014Q3","All Countries","Thousand","2153"
"Number of Trips by Irish Residents","2014Q3","Germany","Thousand","55"
"Number of Trips by Irish Residents","2014Q3","Spain","Thousand","507"
"Number of Trips by Irish Residents","2014Q3","France","Thousand","225"
