"Statistic Label","Quarter","Country and Region Visited","UNIT","VALUE"
"Number of Nights by Irish Residents","2012Q2","France","Thousand","1358"
"Number of Nights by Irish Residents","2012Q2","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","1889"
"Number of Nights by Irish Residents","2012Q2","Italy","Thousand","975"
"Number of Nights by Irish Residents","2012Q2","Portugal","Thousand","944"
"Number of Nights by Irish Residents","2012Q2","United States and Canada","Thousand","1190"
"Number of Nights by Irish Residents","2012Q2","Great Britain","Thousand","1612"
"Number of Nights by Irish Residents","2012Q2","Northern Ireland","Thousand","278"
"Number of Nights by Irish Residents","2012Q2","Asia (7)","Thousand","656"
"Number of Nights by Irish Residents","2012Q2","Other Europe (22)","Thousand","1847"
"Number of Nights by Irish Residents","2012Q2","Other countries (26)","Thousand","469"
"Number of Nights by Irish Residents","2012Q3","All Countries","Thousand","21314"
"Number of Nights by Irish Residents","2012Q3","Germany","Thousand","245"
"Number of Nights by Irish Residents","2012Q3","Spain","Thousand","5204"
"Number of Nights by Irish Residents","2012Q3","France","Thousand","3497"
"Number of Nights by Irish Residents","2012Q3","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","2940"
"Number of Nights by Irish Residents","2012Q3","Italy","Thousand","1245"
"Number of Nights by Irish Residents","2012Q3","Portugal","Thousand","1720"
"Number of Nights by Irish Residents","2012Q3","United States and Canada","Thousand","2429"
"Number of Nights by Irish Residents","2012Q3","Great Britain","Thousand","2557"
"Number of Nights by Irish Residents","2012Q3","Northern Ireland","Thousand","383"
"Number of Nights by Irish Residents","2012Q3","Asia (7)","Thousand","695"
"Number of Nights by Irish Residents","2012Q3","Other Europe (22)","Thousand","2132"
"Number of Nights by Irish Residents","2012Q3","Other countries (26)","Thousand","1208"
"Number of Nights by Irish Residents","2012Q4","All Countries","Thousand","9600"
"Number of Nights by Irish Residents","2012Q4","Germany","Thousand","271"
"Number of Nights by Irish Residents","2012Q4","Spain","Thousand","2047"
"Number of Nights by Irish Residents","2012Q4","France","Thousand","448"
"Number of Nights by Irish Residents","2012Q4","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","2147"
"Number of Nights by Irish Residents","2012Q4","Italy","Thousand","372"
"Number of Nights by Irish Residents","2012Q4","Portugal","Thousand","540"
"Number of Nights by Irish Residents","2012Q4","United States and Canada","Thousand","1362"
"Number of Nights by Irish Residents","2012Q4","Great Britain","Thousand","1864"
"Number of Nights by Irish Residents","2012Q4","Northern Ireland","Thousand","283"
"Number of Nights by Irish Residents","2012Q4","Asia (7)","Thousand","780"
"Number of Nights by Irish Residents","2012Q4","Other Europe (22)","Thousand","784"
"Number of Nights by Irish Residents","2012Q4","Other countries (26)","Thousand","848"
"Number of Nights by Irish Residents","2013Q1","All Countries","Thousand","9110"
"Number of Nights by Irish Residents","2013Q1","Germany","Thousand","176"
"Number of Nights by Irish Residents","2013Q1","Spain","Thousand","1696"
"Number of Nights by Irish Residents","2013Q1","France","Thousand","555"
"Number of Nights by Irish Residents","2013Q1","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","2373"
"Number of Nights by Irish Residents","2013Q1","Italy","Thousand","253"
"Number of Nights by Irish Residents","2013Q1","Portugal","Thousand","77"
"Number of Nights by Irish Residents","2013Q1","United States and Canada","Thousand","842"
"Number of Nights by Irish Residents","2013Q1","Great Britain","Thousand","2050"
"Number of Nights by Irish Residents","2013Q1","Northern Ireland","Thousand","323"
"Number of Nights by Irish Residents","2013Q1","Asia (7)","Thousand","672"
"Number of Nights by Irish Residents","2013Q1","Other Europe (22)","Thousand","852"
"Number of Nights by Irish Residents","2013Q1","Other countries (26)","Thousand","1614"
"Number of Nights by Irish Residents","2013Q2","All Countries","Thousand","12936"
"Number of Nights by Irish Residents","2013Q2","Germany","Thousand","177"
"Number of Nights by Irish Residents","2013Q2","Spain","Thousand","3709"
"Number of Nights by Irish Residents","2013Q2","France","Thousand","1412"
"Number of Nights by Irish Residents","2013Q2","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","2074"
"Number of Nights by Irish Residents","2013Q2","Italy","Thousand","676"
"Number of Nights by Irish Residents","2013Q2","Portugal","Thousand","1004"
"Number of Nights by Irish Residents","2013Q2","United States and Canada","Thousand","1098"
"Number of Nights by Irish Residents","2013Q2","Great Britain","Thousand","1891"
"Number of Nights by Irish Residents","2013Q2","Northern Ireland","Thousand","183"
"Number of Nights by Irish Residents","2013Q2","Asia (7)","Thousand","457"
"Number of Nights by Irish Residents","2013Q2","Other Europe (22)","Thousand","1108"
"Number of Nights by Irish Residents","2013Q2","Other countries (26)","Thousand","1221"
"Number of Nights by Irish Residents","2013Q3","All Countries","Thousand","20865"
"Number of Nights by Irish Residents","2013Q3","Germany","Thousand","268"
"Number of Nights by Irish Residents","2013Q3","Spain","Thousand","5419"
"Number of Nights by Irish Residents","2013Q3","France","Thousand","2880"
"Number of Nights by Irish Residents","2013Q3","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","3080"
"Number of Nights by Irish Residents","2013Q3","Italy","Thousand","963"
"Number of Nights by Irish Residents","2013Q3","Portugal","Thousand","1488"
"Number of Nights by Irish Residents","2013Q3","United States and Canada","Thousand","2490"
"Number of Nights by Irish Residents","2013Q3","Great Britain","Thousand","2741"
"Number of Nights by Irish Residents","2013Q3","Northern Ireland","Thousand","339"
"Number of Nights by Irish Residents","2013Q3","Asia (7)","Thousand","862"
"Number of Nights by Irish Residents","2013Q3","Other Europe (22)","Thousand","2517"
"Number of Nights by Irish Residents","2013Q3","Other countries (26)","Thousand","897"
"Number of Nights by Irish Residents","2013Q4","All Countries","Thousand","9074"
"Number of Nights by Irish Residents","2013Q4","Germany","Thousand","110"
"Number of Nights by Irish Residents","2013Q4","Spain","Thousand","1866"
"Number of Nights by Irish Residents","2013Q4","France","Thousand","330"
"Number of Nights by Irish Residents","2013Q4","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","2004"
"Number of Nights by Irish Residents","2013Q4","Italy","Thousand","287"
"Number of Nights by Irish Residents","2013Q4","Portugal","Thousand","302"
"Number of Nights by Irish Residents","2013Q4","United States and Canada","Thousand","1261"
"Number of Nights by Irish Residents","2013Q4","Great Britain","Thousand","1845"
"Number of Nights by Irish Residents","2013Q4","Northern Ireland","Thousand","159"
"Number of Nights by Irish Residents","2013Q4","Asia (7)","Thousand","475"
"Number of Nights by Irish Residents","2013Q4","Other Europe (22)","Thousand","1089"
"Number of Nights by Irish Residents","2013Q4","Other countries (26)","Thousand","1351"
"Number of Nights by Irish Residents","2014Q1","All Countries","Thousand","8199"
"Number of Nights by Irish Residents","2014Q1","Germany","Thousand","168"
"Number of Nights by Irish Residents","2014Q1","Spain","Thousand","1600"
"Number of Nights by Irish Residents","2014Q1","France","Thousand","718"
"Number of Nights by Irish Residents","2014Q1","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","1905"
"Number of Nights by Irish Residents","2014Q1","Italy","Thousand","184"
"Number of Nights by Irish Residents","2014Q1","Portugal","Thousand","131"
"Number of Nights by Irish Residents","2014Q1","United States and Canada","Thousand","1123"
"Number of Nights by Irish Residents","2014Q1","Great Britain","Thousand","1737"
"Number of Nights by Irish Residents","2014Q1","Northern Ireland","Thousand","169"
"Number of Nights by Irish Residents","2014Q1","Asia (7)","Thousand","1006"
"Number of Nights by Irish Residents","2014Q1","Other Europe (22)","Thousand","765"
"Number of Nights by Irish Residents","2014Q1","Other countries (26)","Thousand","599"
"Number of Nights by Irish Residents","2014Q2","All Countries","Thousand","13466"
"Number of Nights by Irish Residents","2014Q2","Germany","Thousand","140"
"Number of Nights by Irish Residents","2014Q2","Spain","Thousand","3588"
"Number of Nights by Irish Residents","2014Q2","France","Thousand","1544"
"Number of Nights by Irish Residents","2014Q2","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","2501"
"Number of Nights by Irish Residents","2014Q2","Italy","Thousand","773"
"Number of Nights by Irish Residents","2014Q2","Portugal","Thousand","906"
"Number of Nights by Irish Residents","2014Q2","United States and Canada","Thousand","1031"
"Number of Nights by Irish Residents","2014Q2","Great Britain","Thousand","2236"
"Number of Nights by Irish Residents","2014Q2","Northern Ireland","Thousand","265"
"Number of Nights by Irish Residents","2014Q2","Asia (7)","Thousand","484"
"Number of Nights by Irish Residents","2014Q2","Other Europe (22)","Thousand","1719"
"Number of Nights by Irish Residents","2014Q2","Other countries (26)","Thousand","779"
"Number of Nights by Irish Residents","2014Q3","All Countries","Thousand","21791"
"Number of Nights by Irish Residents","2014Q3","Germany","Thousand","569"
"Number of Nights by Irish Residents","2014Q3","Spain","Thousand","5384"
"Number of Nights by Irish Residents","2014Q3","France","Thousand","2402"
"Number of Nights by Irish Residents","2014Q3","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","2914"
"Number of Nights by Irish Residents","2014Q3","Italy","Thousand","1187"
"Number of Nights by Irish Residents","2014Q3","Portugal","Thousand","1869"
"Number of Nights by Irish Residents","2014Q3","United States and Canada","Thousand","2754"
"Number of Nights by Irish Residents","2014Q3","Great Britain","Thousand","2588"
"Number of Nights by Irish Residents","2014Q3","Northern Ireland","Thousand","326"
"Number of Nights by Irish Residents","2014Q3","Asia (7)","Thousand","547"
"Number of Nights by Irish Residents","2014Q3","Other Europe (22)","Thousand","3295"
"Number of Nights by Irish Residents","2014Q3","Other countries (26)","Thousand","869"
"Number of Nights by Irish Residents","2014Q4","All Countries","Thousand","10196"
"Number of Nights by Irish Residents","2014Q4","Germany","Thousand","421"
"Number of Nights by Irish Residents","2014Q4","Spain","Thousand","2300"
"Number of Nights by Irish Residents","2014Q4","France","Thousand","464"
"Number of Nights by Irish Residents","2014Q4","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","2442"
"Number of Nights by Irish Residents","2014Q4","Italy","Thousand","171"
"Number of Nights by Irish Residents","2014Q4","Portugal","Thousand","431"
"Number of Nights by Irish Residents","2014Q4","United States and Canada","Thousand","1386"
"Number of Nights by Irish Residents","2014Q4","Great Britain","Thousand","2114"
"Number of Nights by Irish Residents","2014Q4","Northern Ireland","Thousand","329"
"Number of Nights by Irish Residents","2014Q4","Asia (7)","Thousand","455"
"Number of Nights by Irish Residents","2014Q4","Other Europe (22)","Thousand","1204"
"Number of Nights by Irish Residents","2014Q4","Other countries (26)","Thousand","922"
"Number of Nights by Irish Residents","2015Q1","All Countries","Thousand","9440"
"Number of Nights by Irish Residents","2015Q1","Germany","Thousand","164"
"Number of Nights by Irish Residents","2015Q1","Spain","Thousand","1824"
"Number of Nights by Irish Residents","2015Q1","France","Thousand","569"
"Number of Nights by Irish Residents","2015Q1","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","1988"
"Number of Nights by Irish Residents","2015Q1","Italy","Thousand","348"
"Number of Nights by Irish Residents","2015Q1","Portugal","Thousand","105"
"Number of Nights by Irish Residents","2015Q1","United States and Canada","Thousand","1258"
"Number of Nights by Irish Residents","2015Q1","Great Britain","Thousand","1815"
"Number of Nights by Irish Residents","2015Q1","Northern Ireland","Thousand","172"
"Number of Nights by Irish Residents","2015Q1","Asia (7)","Thousand","1175"
"Number of Nights by Irish Residents","2015Q1","Other Europe (22)","Thousand","1186"
"Number of Nights by Irish Residents","2015Q1","Other countries (26)","Thousand","823"
"Number of Nights by Irish Residents","2015Q2","All Countries","Thousand","13262"
"Number of Nights by Irish Residents","2015Q2","Germany","Thousand","306"
"Number of Nights by Irish Residents","2015Q2","Spain","Thousand","4085"
"Number of Nights by Irish Residents","2015Q2","France","Thousand","1605"
"Number of Nights by Irish Residents","2015Q2","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","1988"
"Number of Nights by Irish Residents","2015Q2","Italy","Thousand","757"
"Number of Nights by Irish Residents","2015Q2","Portugal","Thousand","779"
"Number of Nights by Irish Residents","2015Q2","United States and Canada","Thousand","1215"
"Number of Nights by Irish Residents","2015Q2","Great Britain","Thousand","1846"
"Number of Nights by Irish Residents","2015Q2","Northern Ireland","Thousand","142"
"Number of Nights by Irish Residents","2015Q2","Asia (7)","Thousand","445"
"Number of Nights by Irish Residents","2015Q2","Other Europe (22)","Thousand","1305"
"Number of Nights by Irish Residents","2015Q2","Other countries (26)","Thousand","778"
"Number of Nights by Irish Residents","2015Q3","All Countries","Thousand","21135"
"Number of Nights by Irish Residents","2015Q3","Germany","Thousand","346"
"Number of Nights by Irish Residents","2015Q3","Spain","Thousand","6013"
"Number of Nights by Irish Residents","2015Q3","France","Thousand","3015"
"Number of Nights by Irish Residents","2015Q3","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","2877"
"Number of Nights by Irish Residents","2015Q3","Italy","Thousand","1491"
"Number of Nights by Irish Residents","2015Q3","Portugal","Thousand","1575"
"Number of Nights by Irish Residents","2015Q3","United States and Canada","Thousand","2167"
"Number of Nights by Irish Residents","2015Q3","Great Britain","Thousand","2551"
"Number of Nights by Irish Residents","2015Q3","Northern Ireland","Thousand","326"
"Number of Nights by Irish Residents","2015Q3","Asia (7)","Thousand","484"
"Number of Nights by Irish Residents","2015Q3","Other Europe (22)","Thousand","2478"
"Number of Nights by Irish Residents","2015Q3","Other countries (26)","Thousand","688"
"Number of Nights by Irish Residents","2015Q4","All Countries","Thousand","9678"
"Number of Nights by Irish Residents","2015Q4","Germany","Thousand","398"
"Number of Nights by Irish Residents","2015Q4","Spain","Thousand","2112"
"Number of Nights by Irish Residents","2015Q4","France","Thousand","376"
"Number of Nights by Irish Residents","2015Q4","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","1973"
"Number of Nights by Irish Residents","2015Q4","Italy","Thousand","501"
"Number of Nights by Irish Residents","2015Q4","Portugal","Thousand","286"
"Number of Nights by Irish Residents","2015Q4","United States and Canada","Thousand","1237"
"Number of Nights by Irish Residents","2015Q4","Great Britain","Thousand","1763"
"Number of Nights by Irish Residents","2015Q4","Northern Ireland","Thousand","210"
"Number of Nights by Irish Residents","2015Q4","Asia (7)","Thousand","707"
"Number of Nights by Irish Residents","2015Q4","Other Europe (22)","Thousand","1377"
"Number of Nights by Irish Residents","2015Q4","Other countries (26)","Thousand","710"
"Number of Nights by Irish Residents","2016Q1","All Countries","Thousand","10840"
"Number of Nights by Irish Residents","2016Q1","Germany","Thousand","249"
"Number of Nights by Irish Residents","2016Q1","Spain","Thousand","2343"
"Number of Nights by Irish Residents","2016Q1","France","Thousand","799"
"Number of Nights by Irish Residents","2016Q1","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","2425"
"Number of Nights by Irish Residents","2016Q1","Italy","Thousand","566"
"Number of Nights by Irish Residents","2016Q1","Portugal","Thousand","264"
"Number of Nights by Irish Residents","2016Q1","United States and Canada","Thousand","1019"
"Number of Nights by Irish Residents","2016Q1","Great Britain","Thousand","243"
"Number of Nights by Irish Residents","2016Q1","Northern Ireland","Thousand","245"
"Number of Nights by Irish Residents","2016Q1","Asia (7)","Thousand","514"
"Number of Nights by Irish Residents","2016Q1","Other Europe (22)","Thousand","1418"
"Number of Nights by Irish Residents","2016Q1","Other countries (26)","Thousand","1000"
"Number of Nights by Irish Residents","2016Q2","All Countries","Thousand","14054"
"Number of Nights by Irish Residents","2016Q2","Germany","Thousand","276"
"Number of Nights by Irish Residents","2016Q2","Spain","Thousand","4374"
"Number of Nights by Irish Residents","2016Q2","France","Thousand","1182"
"Number of Nights by Irish Residents","2016Q2","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","1478"
"Number of Nights by Irish Residents","2016Q2","Italy","Thousand","687"
"Number of Nights by Irish Residents","2016Q2","Portugal","Thousand","1209"
"Number of Nights by Irish Residents","2016Q2","United States and Canada","Thousand","1210"
"Number of Nights by Irish Residents","2016Q2","Great Britain","Thousand","190"
"Number of Nights by Irish Residents","2016Q2","Northern Ireland","Thousand","189"
"Number of Nights by Irish Residents","2016Q2","Asia (7)","Thousand","718"
"Number of Nights by Irish Residents","2016Q2","Other Europe (22)","Thousand","1704"
"Number of Nights by Irish Residents","2016Q2","Other countries (26)","Thousand","1026"
"Number of Nights by Irish Residents","2016Q3","All Countries","Thousand","21384"
"Number of Nights by Irish Residents","2016Q3","Germany","Thousand","306"
"Number of Nights by Irish Residents","2016Q3","Spain","Thousand","5670"
"Number of Nights by Irish Residents","2016Q3","France","Thousand","2885"
"Number of Nights by Irish Residents","2016Q3","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","2416"
"Number of Nights by Irish Residents","2016Q3","Italy","Thousand","1374"
"Number of Nights by Irish Residents","2016Q3","Portugal","Thousand","1781"
"Number of Nights by Irish Residents","2016Q3","United States and Canada","Thousand","2681"
"Number of Nights by Irish Residents","2016Q3","Great Britain","Thousand","210"
"Number of Nights by Irish Residents","2016Q3","Northern Ireland","Thousand","212"
"Number of Nights by Irish Residents","2016Q3","Asia (7)","Thousand","1019"
"Number of Nights by Irish Residents","2016Q3","Other Europe (22)","Thousand","2303"
"Number of Nights by Irish Residents","2016Q3","Other countries (26)","Thousand","739"
"Number of Nights by Irish Residents","2016Q4","All Countries","Thousand","10470"
"Number of Nights by Irish Residents","2016Q4","Germany","Thousand","304"
"Number of Nights by Irish Residents","2016Q4","Spain","Thousand","2265"
"Number of Nights by Irish Residents","2016Q4","France","Thousand","479"
"Number of Nights by Irish Residents","2016Q4","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","1719"
"Number of Nights by Irish Residents","2016Q4","Italy","Thousand","288"
"Number of Nights by Irish Residents","2016Q4","Portugal","Thousand","656"
"Number of Nights by Irish Residents","2016Q4","United States and Canada","Thousand","1424"
"Number of Nights by Irish Residents","2016Q4","Great Britain","Thousand","359"
"Number of Nights by Irish Residents","2016Q4","Northern Ireland","Thousand","360"
"Number of Nights by Irish Residents","2016Q4","Asia (7)","Thousand","1061"
"Number of Nights by Irish Residents","2016Q4","Other Europe (22)","Thousand","983"
"Number of Nights by Irish Residents","2016Q4","Other countries (26)","Thousand","932"
"Number of Nights by Irish Residents","2017Q1","All Countries","Thousand","9713"
"Number of Nights by Irish Residents","2017Q1","Germany","Thousand","266"
"Number of Nights by Irish Residents","2017Q1","Spain","Thousand","1793"
"Number of Nights by Irish Residents","2017Q1","France","Thousand","944"
"Number of Nights by Irish Residents","2017Q1","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","2117"
"Number of Nights by Irish Residents","2017Q1","Italy","Thousand","345"
"Number of Nights by Irish Residents","2017Q1","Portugal","Thousand","277"
"Number of Nights by Irish Residents","2017Q1","United States and Canada","Thousand","838"
"Number of Nights by Irish Residents","2017Q1","Great Britain","Thousand","1871"
"Number of Nights by Irish Residents","2017Q1","Northern Ireland","Thousand","246"
"Number of Nights by Irish Residents","2017Q1","Asia (7)","Thousand","856"
"Number of Nights by Irish Residents","2017Q1","Other Europe (22)","Thousand","1546"
"Number of Nights by Irish Residents","2017Q1","Other countries (26)","Thousand","731"
"Number of Nights by Irish Residents","2017Q2","All Countries","Thousand","14535"
"Number of Nights by Irish Residents","2017Q2","Germany","Thousand","228"
"Number of Nights by Irish Residents","2017Q2","Spain","Thousand","4796"
"Number of Nights by Irish Residents","2017Q2","France","Thousand","1361"
"Number of Nights by Irish Residents","2017Q2","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","2041"
"Number of Nights by Irish Residents","2017Q2","Italy","Thousand","947"
"Number of Nights by Irish Residents","2017Q2","Portugal","Thousand","1002"
"Number of Nights by Irish Residents","2017Q2","United States and Canada","Thousand","1638"
"Number of Nights by Irish Residents","2017Q2","Great Britain","Thousand","1814"
"Number of Nights by Irish Residents","2017Q2","Northern Ireland","Thousand","227"
"Number of Nights by Irish Residents","2017Q2","Asia (7)","Thousand","449"
"Number of Nights by Irish Residents","2017Q2","Other Europe (22)","Thousand","1500"
"Number of Nights by Irish Residents","2017Q2","Other countries (26)","Thousand","573"
"Number of Nights by Irish Residents","2017Q3","All Countries","Thousand","22707"
"Number of Nights by Irish Residents","2017Q3","Germany","Thousand","456"
"Number of Nights by Irish Residents","2017Q3","Spain","Thousand","5642"
"Number of Nights by Irish Residents","2017Q3","France","Thousand","2624"
"Number of Nights by Irish Residents","2017Q3","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","2612"
"Number of Nights by Irish Residents","2017Q3","Italy","Thousand","1640"
"Number of Nights by Irish Residents","2017Q3","Portugal","Thousand","2438"
"Number of Nights by Irish Residents","2017Q3","United States and Canada","Thousand","2965"
"Number of Nights by Irish Residents","2017Q3","Great Britain","Thousand","2315"
"Number of Nights by Irish Residents","2017Q3","Northern Ireland","Thousand","298"
"Number of Nights by Irish Residents","2017Q3","Asia (7)","Thousand","1246"
"Number of Nights by Irish Residents","2017Q3","Other Europe (22)","Thousand","2718"
"Number of Nights by Irish Residents","2017Q3","Other countries (26)","Thousand","366"
"Number of Nights by Irish Residents","2017Q4","All Countries","Thousand","10743"
"Number of Nights by Irish Residents","2017Q4","Germany","Thousand","336"
"Number of Nights by Irish Residents","2017Q4","Spain","Thousand","2349"
"Number of Nights by Irish Residents","2017Q4","France","Thousand","279"
"Number of Nights by Irish Residents","2017Q4","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","2301"
"Number of Nights by Irish Residents","2017Q4","Italy","Thousand","591"
"Number of Nights by Irish Residents","2017Q4","Portugal","Thousand","613"
"Number of Nights by Irish Residents","2017Q4","United States and Canada","Thousand","1488"
"Number of Nights by Irish Residents","2017Q4","Great Britain","Thousand","2026"
"Number of Nights by Irish Residents","2017Q4","Northern Ireland","Thousand","275"
"Number of Nights by Irish Residents","2017Q4","Asia (7)","Thousand","884"
"Number of Nights by Irish Residents","2017Q4","Other Europe (22)","Thousand","1363"
"Number of Nights by Irish Residents","2017Q4","Other countries (26)","Thousand","539"
"Number of Nights by Irish Residents","2018Q1","All Countries","Thousand","10211"
"Number of Nights by Irish Residents","2018Q1","Germany","Thousand","405"
"Number of Nights by Irish Residents","2018Q1","Spain","Thousand","1882"
"Number of Nights by Irish Residents","2018Q1","France","Thousand","701"
"Number of Nights by Irish Residents","2018Q1","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","2163"
"Number of Nights by Irish Residents","2018Q1","Italy","Thousand","339"
"Number of Nights by Irish Residents","2018Q1","Portugal","Thousand","232"
"Number of Nights by Irish Residents","2018Q1","United States and Canada","Thousand","989"
"Number of Nights by Irish Residents","2018Q1","Great Britain","Thousand","1830"
"Number of Nights by Irish Residents","2018Q1","Northern Ireland","Thousand","333"
"Number of Nights by Irish Residents","2018Q1","Asia (7)","Thousand","943"
"Number of Nights by Irish Residents","2018Q1","Other Europe (22)","Thousand","1214"
"Number of Nights by Irish Residents","2018Q1","Other countries (26)","Thousand","1342"
"Number of Nights by Irish Residents","2018Q2","All Countries","Thousand","15271"
"Number of Nights by Irish Residents","2018Q2","Germany","Thousand","282"
"Number of Nights by Irish Residents","2018Q2","Spain","Thousand","5184"
"Number of Nights by Irish Residents","2018Q2","France","Thousand","1175"
"Number of Nights by Irish Residents","2018Q2","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","1802"
"Number of Nights by Irish Residents","2018Q2","Italy","Thousand","985"
"Number of Nights by Irish Residents","2018Q2","Portugal","Thousand","933"
"Number of Nights by Irish Residents","2018Q2","United States and Canada","Thousand","959"
"Number of Nights by Irish Residents","2018Q2","Great Britain","Thousand","1610"
"Number of Nights by Irish Residents","2018Q2","Northern Ireland","Thousand","191"
"Number of Nights by Irish Residents","2018Q2","Asia (7)","Thousand","1129"
"Number of Nights by Irish Residents","2018Q2","Other Europe (22)","Thousand","1755"
"Number of Nights by Irish Residents","2018Q2","Other countries (26)","Thousand","1067"
"Number of Nights by Irish Residents","2018Q3","All Countries","Thousand","23435"
"Number of Nights by Irish Residents","2018Q3","Germany","Thousand","652"
"Number of Nights by Irish Residents","2018Q3","Spain","Thousand","5379"
"Number of Nights by Irish Residents","2018Q3","France","Thousand","2498"
"Number of Nights by Irish Residents","2018Q3","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","2649"
"Number of Nights by Irish Residents","2018Q3","Italy","Thousand","1572"
"Number of Nights by Irish Residents","2018Q3","Portugal","Thousand","1747"
"Number of Nights by Irish Residents","2018Q3","United States and Canada","Thousand","2946"
"Number of Nights by Irish Residents","2018Q3","Great Britain","Thousand","2193"
"Number of Nights by Irish Residents","2018Q3","Northern Ireland","Thousand","455"
"Number of Nights by Irish Residents","2018Q3","Asia (7)","Thousand","1477"
"Number of Nights by Irish Residents","2018Q3","Other Europe (22)","Thousand","3492"
"Number of Nights by Irish Residents","2018Q3","Other countries (26)","Thousand","1024"
"Number of Nights by Irish Residents","2018Q4","All Countries","Thousand","11706"
"Number of Nights by Irish Residents","2018Q4","Germany","Thousand","584"
"Number of Nights by Irish Residents","2018Q4","Spain","Thousand","2628"
"Number of Nights by Irish Residents","2018Q4","France","Thousand","668"
"Number of Nights by Irish Residents","2018Q4","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","2494"
"Number of Nights by Irish Residents","2018Q4","Italy","Thousand","434"
"Number of Nights by Irish Residents","2018Q4","Portugal","Thousand","417"
"Number of Nights by Irish Residents","2018Q4","United States and Canada","Thousand","1453"
"Number of Nights by Irish Residents","2018Q4","Great Britain","Thousand","1968"
"Number of Nights by Irish Residents","2018Q4","Northern Ireland","Thousand","526"
"Number of Nights by Irish Residents","2018Q4","Asia (7)","Thousand","601"
"Number of Nights by Irish Residents","2018Q4","Other Europe (22)","Thousand","1673"
"Number of Nights by Irish Residents","2018Q4","Other countries (26)","Thousand","755"
"Number of Nights by Irish Residents","2019Q1","All Countries","Thousand","11364"
"Number of Nights by Irish Residents","2019Q1","Germany","Thousand","327"
"Number of Nights by Irish Residents","2019Q1","Spain","Thousand","2367"
"Number of Nights by Irish Residents","2019Q1","France","Thousand","495"
"Number of Nights by Irish Residents","2019Q1","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","2085"
"Number of Nights by Irish Residents","2019Q1","Italy","Thousand","362"
"Number of Nights by Irish Residents","2019Q1","Portugal","Thousand","280"
"Number of Nights by Irish Residents","2019Q1","United States and Canada","Thousand","1159"
"Number of Nights by Irish Residents","2019Q1","Great Britain","Thousand","1771"
"Number of Nights by Irish Residents","2019Q1","Northern Ireland","Thousand","315"
"Number of Nights by Irish Residents","2019Q1","Asia (7)","Thousand","1331"
"Number of Nights by Irish Residents","2019Q1","Other Europe (22)","Thousand","1952"
"Number of Nights by Irish Residents","2019Q1","Other countries (26)","Thousand","1005"
"Number of Nights by Irish Residents","2019Q2","All Countries","Thousand","16848"
"Number of Nights by Irish Residents","2019Q2","Germany","Thousand","277"
"Number of Nights by Irish Residents","2019Q2","Spain","Thousand","4477"
"Number of Nights by Irish Residents","2019Q2","France","Thousand","1199"
"Number of Nights by Irish Residents","2019Q2","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","2724"
"Number of Nights by Irish Residents","2019Q2","Italy","Thousand","1656"
"Number of Nights by Irish Residents","2019Q2","Portugal","Thousand","1199"
"Number of Nights by Irish Residents","2019Q2","United States and Canada","Thousand","1560"
"Number of Nights by Irish Residents","2019Q2","Great Britain","Thousand","2226"
"Number of Nights by Irish Residents","2019Q2","Northern Ireland","Thousand","497"
"Number of Nights by Irish Residents","2019Q2","Asia (7)","Thousand","984"
"Number of Nights by Irish Residents","2019Q2","Other Europe (22)","Thousand","1945"
"Number of Nights by Irish Residents","2019Q2","Other countries (26)","Thousand","829"
"Number of Nights by Irish Residents","2019Q3","All Countries","Thousand","25867"
"Number of Nights by Irish Residents","2019Q3","Germany","Thousand","422"
"Number of Nights by Irish Residents","2019Q3","Spain","Thousand","7083"
"Number of Nights by Irish Residents","2019Q3","France","Thousand","2970"
"Number of Nights by Irish Residents","2019Q3","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","3023"
"Number of Nights by Irish Residents","2019Q3","Italy","Thousand","2034"
