"Statistic Label","Quarter","Domestic","Region of Residence","UNIT","VALUE"
"Number of Trips by Irish Residents","2021Q4","Domestic","West","Thousand",""
"Number of Trips by Irish Residents","2021Q4","Domestic","Southern","Thousand","529"
"Number of Trips by Irish Residents","2021Q4","Domestic","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2021Q4","Domestic","South-East","Thousand",""
"Number of Trips by Irish Residents","2021Q4","Domestic","South-West","Thousand",""
"Number of Trips by Irish Residents","2021Q4","Domestic","Eastern and Midland","Thousand","703"
"Number of Trips by Irish Residents","2021Q4","Domestic","Dublin","Thousand",""
"Number of Trips by Irish Residents","2021Q4","Domestic","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2021Q4","Domestic","Midland","Thousand",""
"Number of Trips by Irish Residents","2021Q4","Outbound","State","Thousand","1094"
"Number of Trips by Irish Residents","2021Q4","Outbound","Northern and Western","Thousand","198"
"Number of Trips by Irish Residents","2021Q4","Outbound","Border","Thousand",""
"Number of Trips by Irish Residents","2021Q4","Outbound","West","Thousand",""
"Number of Trips by Irish Residents","2021Q4","Outbound","Southern","Thousand","240"
"Number of Trips by Irish Residents","2021Q4","Outbound","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2021Q4","Outbound","South-East","Thousand",""
"Number of Trips by Irish Residents","2021Q4","Outbound","South-West","Thousand",""
"Number of Trips by Irish Residents","2021Q4","Outbound","Eastern and Midland","Thousand","656"
"Number of Trips by Irish Residents","2021Q4","Outbound","Dublin","Thousand",""
"Number of Trips by Irish Residents","2021Q4","Outbound","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2021Q4","Outbound","Midland","Thousand",""
"Number of Trips by Irish Residents","2022Q1","Domestic","State","Thousand","2308"
"Number of Trips by Irish Residents","2022Q1","Domestic","Northern and Western","Thousand","486"
"Number of Trips by Irish Residents","2022Q1","Domestic","Border","Thousand",""
"Number of Trips by Irish Residents","2022Q1","Domestic","West","Thousand",""
"Number of Trips by Irish Residents","2022Q1","Domestic","Southern","Thousand","798"
"Number of Trips by Irish Residents","2022Q1","Domestic","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2022Q1","Domestic","South-East","Thousand",""
"Number of Trips by Irish Residents","2022Q1","Domestic","South-West","Thousand",""
"Number of Trips by Irish Residents","2022Q1","Domestic","Eastern and Midland","Thousand","1023"
"Number of Trips by Irish Residents","2022Q1","Domestic","Dublin","Thousand",""
"Number of Trips by Irish Residents","2022Q1","Domestic","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2022Q1","Domestic","Midland","Thousand",""
"Number of Trips by Irish Residents","2022Q1","Outbound","State","Thousand","1063"
"Number of Trips by Irish Residents","2022Q1","Outbound","Northern and Western","Thousand","166"
"Number of Trips by Irish Residents","2022Q1","Outbound","Border","Thousand",""
"Number of Trips by Irish Residents","2022Q1","Outbound","West","Thousand",""
"Number of Trips by Irish Residents","2022Q1","Outbound","Southern","Thousand","232"
"Number of Trips by Irish Residents","2022Q1","Outbound","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2022Q1","Outbound","South-East","Thousand",""
"Number of Trips by Irish Residents","2022Q1","Outbound","South-West","Thousand",""
"Number of Trips by Irish Residents","2022Q1","Outbound","Eastern and Midland","Thousand","665"
"Number of Trips by Irish Residents","2022Q1","Outbound","Dublin","Thousand",""
"Number of Trips by Irish Residents","2022Q1","Outbound","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2022Q1","Outbound","Midland","Thousand",""
"Number of Trips by Irish Residents","2022Q2","Domestic","State","Thousand","3397"
"Number of Trips by Irish Residents","2022Q2","Domestic","Northern and Western","Thousand","623"
"Number of Trips by Irish Residents","2022Q2","Domestic","Border","Thousand",""
"Number of Trips by Irish Residents","2022Q2","Domestic","West","Thousand",""
"Number of Trips by Irish Residents","2022Q2","Domestic","Southern","Thousand","1257"
"Number of Trips by Irish Residents","2022Q2","Domestic","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2022Q2","Domestic","South-East","Thousand",""
"Number of Trips by Irish Residents","2022Q2","Domestic","South-West","Thousand",""
"Number of Trips by Irish Residents","2022Q2","Domestic","Eastern and Midland","Thousand","1516"
"Number of Trips by Irish Residents","2022Q2","Domestic","Dublin","Thousand",""
"Number of Trips by Irish Residents","2022Q2","Domestic","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2022Q2","Domestic","Midland","Thousand",""
"Number of Trips by Irish Residents","2022Q2","Outbound","State","Thousand","2175"
"Number of Trips by Irish Residents","2022Q2","Outbound","Northern and Western","Thousand","312"
"Number of Trips by Irish Residents","2022Q2","Outbound","Border","Thousand",""
"Number of Trips by Irish Residents","2022Q2","Outbound","West","Thousand",""
"Number of Trips by Irish Residents","2022Q2","Outbound","Southern","Thousand","502"
"Number of Trips by Irish Residents","2022Q2","Outbound","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2022Q2","Outbound","South-East","Thousand",""
"Number of Trips by Irish Residents","2022Q2","Outbound","South-West","Thousand",""
"Number of Trips by Irish Residents","2022Q2","Outbound","Eastern and Midland","Thousand","1362"
"Number of Trips by Irish Residents","2022Q2","Outbound","Dublin","Thousand",""
"Number of Trips by Irish Residents","2022Q2","Outbound","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2022Q2","Outbound","Midland","Thousand",""
"Number of Trips by Irish Residents","2022Q3","Domestic","State","Thousand","4506"
"Number of Trips by Irish Residents","2022Q3","Domestic","Northern and Western","Thousand","928"
"Number of Trips by Irish Residents","2022Q3","Domestic","Border","Thousand",""
"Number of Trips by Irish Residents","2022Q3","Domestic","West","Thousand",""
"Number of Trips by Irish Residents","2022Q3","Domestic","Southern","Thousand","1436"
"Number of Trips by Irish Residents","2022Q3","Domestic","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2022Q3","Domestic","South-East","Thousand",""
"Number of Trips by Irish Residents","2022Q3","Domestic","South-West","Thousand",""
"Number of Trips by Irish Residents","2022Q3","Domestic","Eastern and Midland","Thousand","2142"
"Number of Trips by Irish Residents","2022Q3","Domestic","Dublin","Thousand",""
"Number of Trips by Irish Residents","2022Q3","Domestic","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2022Q3","Domestic","Midland","Thousand",""
"Number of Trips by Irish Residents","2022Q3","Outbound","State","Thousand","3020"
"Number of Trips by Irish Residents","2022Q3","Outbound","Northern and Western","Thousand","382"
"Number of Trips by Irish Residents","2022Q3","Outbound","Border","Thousand",""
"Number of Trips by Irish Residents","2022Q3","Outbound","West","Thousand",""
"Number of Trips by Irish Residents","2022Q3","Outbound","Southern","Thousand","758"
"Number of Trips by Irish Residents","2022Q3","Outbound","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2022Q3","Outbound","South-East","Thousand",""
"Number of Trips by Irish Residents","2022Q3","Outbound","South-West","Thousand",""
"Number of Trips by Irish Residents","2022Q3","Outbound","Eastern and Midland","Thousand","1880"
"Number of Trips by Irish Residents","2022Q3","Outbound","Dublin","Thousand",""
"Number of Trips by Irish Residents","2022Q3","Outbound","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2022Q3","Outbound","Midland","Thousand",""
"Number of Trips by Irish Residents","2022Q4","Domestic","State","Thousand","3064"
"Number of Trips by Irish Residents","2022Q4","Domestic","Northern and Western","Thousand","624"
"Number of Trips by Irish Residents","2022Q4","Domestic","Border","Thousand",""
"Number of Trips by Irish Residents","2022Q4","Domestic","West","Thousand",""
"Number of Trips by Irish Residents","2022Q4","Domestic","Southern","Thousand","1009"
"Number of Trips by Irish Residents","2022Q4","Domestic","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2022Q4","Domestic","South-East","Thousand",""
"Number of Trips by Irish Residents","2022Q4","Domestic","South-West","Thousand",""
"Number of Trips by Irish Residents","2022Q4","Domestic","Eastern and Midland","Thousand","1431"
"Number of Trips by Irish Residents","2022Q4","Domestic","Dublin","Thousand",""
"Number of Trips by Irish Residents","2022Q4","Domestic","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2022Q4","Domestic","Midland","Thousand",""
"Number of Trips by Irish Residents","2022Q4","Outbound","State","Thousand","2287"
"Number of Trips by Irish Residents","2022Q4","Outbound","Northern and Western","Thousand","367"
"Number of Trips by Irish Residents","2022Q4","Outbound","Border","Thousand",""
"Number of Trips by Irish Residents","2022Q4","Outbound","West","Thousand",""
"Number of Trips by Irish Residents","2022Q4","Outbound","Southern","Thousand","565"
"Number of Trips by Irish Residents","2022Q4","Outbound","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2022Q4","Outbound","South-East","Thousand",""
"Number of Trips by Irish Residents","2022Q4","Outbound","South-West","Thousand",""
"Number of Trips by Irish Residents","2022Q4","Outbound","Eastern and Midland","Thousand","1354"
"Number of Trips by Irish Residents","2022Q4","Outbound","Dublin","Thousand",""
"Number of Trips by Irish Residents","2022Q4","Outbound","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2022Q4","Outbound","Midland","Thousand",""
"Number of Trips by Irish Residents","2023Q1","Domestic","State","Thousand","2571"
"Number of Trips by Irish Residents","2023Q1","Domestic","Northern and Western","Thousand","533"
"Number of Trips by Irish Residents","2023Q1","Domestic","Border","Thousand",""
"Number of Trips by Irish Residents","2023Q1","Domestic","West","Thousand",""
"Number of Trips by Irish Residents","2023Q1","Domestic","Southern","Thousand","899"
"Number of Trips by Irish Residents","2023Q1","Domestic","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2023Q1","Domestic","South-East","Thousand",""
"Number of Trips by Irish Residents","2023Q1","Domestic","South-West","Thousand",""
"Number of Trips by Irish Residents","2023Q1","Domestic","Eastern and Midland","Thousand","1139"
"Number of Trips by Irish Residents","2023Q1","Domestic","Dublin","Thousand",""
"Number of Trips by Irish Residents","2023Q1","Domestic","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2023Q1","Domestic","Midland","Thousand",""
"Number of Trips by Irish Residents","2023Q1","Outbound","State","Thousand","2082"
"Number of Trips by Irish Residents","2023Q1","Outbound","Northern and Western","Thousand","199"
"Number of Trips by Irish Residents","2023Q1","Outbound","Border","Thousand",""
"Number of Trips by Irish Residents","2023Q1","Outbound","West","Thousand",""
"Number of Trips by Irish Residents","2023Q1","Outbound","Southern","Thousand","551"
"Number of Trips by Irish Residents","2023Q1","Outbound","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2023Q1","Outbound","South-East","Thousand",""
"Number of Trips by Irish Residents","2023Q1","Outbound","South-West","Thousand",""
"Number of Trips by Irish Residents","2023Q1","Outbound","Eastern and Midland","Thousand","1332"
"Number of Trips by Irish Residents","2023Q1","Outbound","Dublin","Thousand",""
"Number of Trips by Irish Residents","2023Q1","Outbound","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2023Q1","Outbound","Midland","Thousand",""
"Number of Trips by Irish Residents","2023Q2","Domestic","State","Thousand","3826"
"Number of Trips by Irish Residents","2023Q2","Domestic","Northern and Western","Thousand","717"
"Number of Trips by Irish Residents","2023Q2","Domestic","Border","Thousand",""
"Number of Trips by Irish Residents","2023Q2","Domestic","West","Thousand",""
"Number of Trips by Irish Residents","2023Q2","Domestic","Southern","Thousand","1334"
"Number of Trips by Irish Residents","2023Q2","Domestic","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2023Q2","Domestic","South-East","Thousand",""
"Number of Trips by Irish Residents","2023Q2","Domestic","South-West","Thousand",""
"Number of Trips by Irish Residents","2023Q2","Domestic","Eastern and Midland","Thousand","1774"
"Number of Trips by Irish Residents","2023Q2","Domestic","Dublin","Thousand",""
"Number of Trips by Irish Residents","2023Q2","Domestic","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2023Q2","Domestic","Midland","Thousand",""
"Number of Trips by Irish Residents","2023Q2","Outbound","State","Thousand","3699"
"Number of Trips by Irish Residents","2023Q2","Outbound","Northern and Western","Thousand","512"
"Number of Trips by Irish Residents","2023Q2","Outbound","Border","Thousand",""
"Number of Trips by Irish Residents","2023Q2","Outbound","West","Thousand",""
"Number of Trips by Irish Residents","2023Q2","Outbound","Southern","Thousand","1125"
"Number of Trips by Irish Residents","2023Q2","Outbound","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2023Q2","Outbound","South-East","Thousand",""
"Number of Trips by Irish Residents","2023Q2","Outbound","South-West","Thousand",""
"Number of Trips by Irish Residents","2023Q2","Outbound","Eastern and Midland","Thousand","2062"
"Number of Trips by Irish Residents","2023Q2","Outbound","Dublin","Thousand",""
"Number of Trips by Irish Residents","2023Q2","Outbound","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2023Q2","Outbound","Midland","Thousand",""
"Number of Trips by Irish Residents","2023Q3","Domestic","State","Thousand","4518"
"Number of Trips by Irish Residents","2023Q3","Domestic","Northern and Western","Thousand","845"
"Number of Trips by Irish Residents","2023Q3","Domestic","Border","Thousand",""
"Number of Trips by Irish Residents","2023Q3","Domestic","West","Thousand",""
"Number of Trips by Irish Residents","2023Q3","Domestic","Southern","Thousand","1615"
"Number of Trips by Irish Residents","2023Q3","Domestic","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2023Q3","Domestic","South-East","Thousand",""
"Number of Trips by Irish Residents","2023Q3","Domestic","South-West","Thousand",""
"Number of Trips by Irish Residents","2023Q3","Domestic","Eastern and Midland","Thousand","2058"
"Number of Trips by Irish Residents","2023Q3","Domestic","Dublin","Thousand",""
"Number of Trips by Irish Residents","2023Q3","Domestic","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2023Q3","Domestic","Midland","Thousand",""
"Number of Trips by Irish Residents","2023Q3","Outbound","State","Thousand","3950"
"Number of Trips by Irish Residents","2023Q3","Outbound","Northern and Western","Thousand","783"
"Number of Trips by Irish Residents","2023Q3","Outbound","Border","Thousand",""
"Number of Trips by Irish Residents","2023Q3","Outbound","West","Thousand",""
"Number of Trips by Irish Residents","2023Q3","Outbound","Southern","Thousand","1066"
"Number of Trips by Irish Residents","2023Q3","Outbound","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2023Q3","Outbound","South-East","Thousand",""
"Number of Trips by Irish Residents","2023Q3","Outbound","South-West","Thousand",""
"Number of Trips by Irish Residents","2023Q3","Outbound","Eastern and Midland","Thousand","2100"
"Number of Trips by Irish Residents","2023Q3","Outbound","Dublin","Thousand",""
"Number of Trips by Irish Residents","2023Q3","Outbound","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2023Q3","Outbound","Midland","Thousand",""
"Number of Nights by Irish Residents","2018Q1","Domestic","State","Thousand","4359"
"Number of Nights by Irish Residents","2018Q1","Domestic","Northern and Western","Thousand","710"
"Number of Nights by Irish Residents","2018Q1","Domestic","Border","Thousand",""
"Number of Nights by Irish Residents","2018Q1","Domestic","West","Thousand",""
"Number of Nights by Irish Residents","2018Q1","Domestic","Southern","Thousand","1340"
"Number of Nights by Irish Residents","2018Q1","Domestic","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2018Q1","Domestic","South-East","Thousand",""
"Number of Nights by Irish Residents","2018Q1","Domestic","South-West","Thousand",""
"Number of Nights by Irish Residents","2018Q1","Domestic","Eastern and Midland","Thousand","2308"
"Number of Nights by Irish Residents","2018Q1","Domestic","Dublin","Thousand",""
"Number of Nights by Irish Residents","2018Q1","Domestic","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2018Q1","Domestic","Midland","Thousand",""
"Number of Nights by Irish Residents","2018Q1","Outbound","State","Thousand","10211"
"Number of Nights by Irish Residents","2018Q1","Outbound","Northern and Western","Thousand","1500"
"Number of Nights by Irish Residents","2018Q1","Outbound","Border","Thousand",""
"Number of Nights by Irish Residents","2018Q1","Outbound","West","Thousand",""
"Number of Nights by Irish Residents","2018Q1","Outbound","Southern","Thousand","2339"
"Number of Nights by Irish Residents","2018Q1","Outbound","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2018Q1","Outbound","South-East","Thousand",""
"Number of Nights by Irish Residents","2018Q1","Outbound","South-West","Thousand",""
"Number of Nights by Irish Residents","2018Q1","Outbound","Eastern and Midland","Thousand","6371"
"Number of Nights by Irish Residents","2018Q1","Outbound","Dublin","Thousand",""
"Number of Nights by Irish Residents","2018Q1","Outbound","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2018Q1","Outbound","Midland","Thousand",""
"Number of Nights by Irish Residents","2018Q2","Domestic","State","Thousand","6564"
"Number of Nights by Irish Residents","2018Q2","Domestic","Northern and Western","Thousand","740"
"Number of Nights by Irish Residents","2018Q2","Domestic","Border","Thousand",""
"Number of Nights by Irish Residents","2018Q2","Domestic","West","Thousand",""
"Number of Nights by Irish Residents","2018Q2","Domestic","Southern","Thousand","2288"
"Number of Nights by Irish Residents","2018Q2","Domestic","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2018Q2","Domestic","South-East","Thousand",""
"Number of Nights by Irish Residents","2018Q2","Domestic","South-West","Thousand",""
"Number of Nights by Irish Residents","2018Q2","Domestic","Eastern and Midland","Thousand","3537"
"Number of Nights by Irish Residents","2018Q2","Domestic","Dublin","Thousand",""
"Number of Nights by Irish Residents","2018Q2","Domestic","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2018Q2","Domestic","Midland","Thousand",""
"Number of Nights by Irish Residents","2018Q2","Outbound","State","Thousand","15271"
"Number of Nights by Irish Residents","2018Q2","Outbound","Northern and Western","Thousand","2330"
"Number of Nights by Irish Residents","2018Q2","Outbound","Border","Thousand",""
"Number of Nights by Irish Residents","2018Q2","Outbound","West","Thousand",""
"Number of Nights by Irish Residents","2018Q2","Outbound","Southern","Thousand","3806"
"Number of Nights by Irish Residents","2018Q2","Outbound","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2018Q2","Outbound","South-East","Thousand",""
"Number of Nights by Irish Residents","2018Q2","Outbound","South-West","Thousand",""
"Number of Nights by Irish Residents","2018Q2","Outbound","Eastern and Midland","Thousand","9135"
"Number of Nights by Irish Residents","2018Q2","Outbound","Dublin","Thousand",""
"Number of Nights by Irish Residents","2018Q2","Outbound","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2018Q2","Outbound","Midland","Thousand",""
"Number of Nights by Irish Residents","2018Q3","Domestic","State","Thousand","12220"
"Number of Nights by Irish Residents","2018Q3","Domestic","Northern and Western","Thousand","1769"
"Number of Nights by Irish Residents","2018Q3","Domestic","Border","Thousand",""
"Number of Nights by Irish Residents","2018Q3","Domestic","West","Thousand",""
"Number of Nights by Irish Residents","2018Q3","Domestic","Southern","Thousand","3696"
"Number of Nights by Irish Residents","2018Q3","Domestic","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2018Q3","Domestic","South-East","Thousand",""
"Number of Nights by Irish Residents","2018Q3","Domestic","South-West","Thousand",""
"Number of Nights by Irish Residents","2018Q3","Domestic","Eastern and Midland","Thousand","6755"
"Number of Nights by Irish Residents","2018Q3","Domestic","Dublin","Thousand",""
"Number of Nights by Irish Residents","2018Q3","Domestic","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2018Q3","Domestic","Midland","Thousand",""
"Number of Nights by Irish Residents","2018Q3","Outbound","State","Thousand","23435"
"Number of Nights by Irish Residents","2018Q3","Outbound","Northern and Western","Thousand","2822"
"Number of Nights by Irish Residents","2018Q3","Outbound","Border","Thousand",""
"Number of Nights by Irish Residents","2018Q3","Outbound","West","Thousand",""
"Number of Nights by Irish Residents","2018Q3","Outbound","Southern","Thousand","6002"
"Number of Nights by Irish Residents","2018Q3","Outbound","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2018Q3","Outbound","South-East","Thousand",""
"Number of Nights by Irish Residents","2018Q3","Outbound","South-West","Thousand",""
"Number of Nights by Irish Residents","2018Q3","Outbound","Eastern and Midland","Thousand","14611"
"Number of Nights by Irish Residents","2018Q3","Outbound","Dublin","Thousand",""
"Number of Nights by Irish Residents","2018Q3","Outbound","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2018Q3","Outbound","Midland","Thousand",""
"Number of Nights by Irish Residents","2018Q4","Domestic","State","Thousand","5250"
"Number of Nights by Irish Residents","2018Q4","Domestic","Northern and Western","Thousand","865"
"Number of Nights by Irish Residents","2018Q4","Domestic","Border","Thousand",""
"Number of Nights by Irish Residents","2018Q4","Domestic","West","Thousand",""
"Number of Nights by Irish Residents","2018Q4","Domestic","Southern","Thousand","1750"
"Number of Nights by Irish Residents","2018Q4","Domestic","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2018Q4","Domestic","South-East","Thousand",""
"Number of Nights by Irish Residents","2018Q4","Domestic","South-West","Thousand",""
"Number of Nights by Irish Residents","2018Q4","Domestic","Eastern and Midland","Thousand","2635"
"Number of Nights by Irish Residents","2018Q4","Domestic","Dublin","Thousand",""
"Number of Nights by Irish Residents","2018Q4","Domestic","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2018Q4","Domestic","Midland","Thousand",""
"Number of Nights by Irish Residents","2018Q4","Outbound","State","Thousand","11706"
"Number of Nights by Irish Residents","2018Q4","Outbound","Northern and Western","Thousand","1520"
"Number of Nights by Irish Residents","2018Q4","Outbound","Border","Thousand",""
"Number of Nights by Irish Residents","2018Q4","Outbound","West","Thousand",""
"Number of Nights by Irish Residents","2018Q4","Outbound","Southern","Thousand","3987"
"Number of Nights by Irish Residents","2018Q4","Outbound","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2018Q4","Outbound","South-East","Thousand",""
"Number of Nights by Irish Residents","2018Q4","Outbound","South-West","Thousand",""
"Number of Nights by Irish Residents","2018Q4","Outbound","Eastern and Midland","Thousand","6199"
"Number of Nights by Irish Residents","2018Q4","Outbound","Dublin","Thousand",""
"Number of Nights by Irish Residents","2018Q4","Outbound","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2018Q4","Outbound","Midland","Thousand",""
"Number of Nights by Irish Residents","2019Q1","Domestic","State","Thousand","4374"
"Number of Nights by Irish Residents","2019Q1","Domestic","Northern and Western","Thousand","770"
"Number of Nights by Irish Residents","2019Q1","Domestic","Border","Thousand",""
"Number of Nights by Irish Residents","2019Q1","Domestic","West","Thousand",""
"Number of Nights by Irish Residents","2019Q1","Domestic","Southern","Thousand","1481"
"Number of Nights by Irish Residents","2019Q1","Domestic","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2019Q1","Domestic","South-East","Thousand",""
"Number of Nights by Irish Residents","2019Q1","Domestic","South-West","Thousand",""
"Number of Nights by Irish Residents","2019Q1","Domestic","Eastern and Midland","Thousand","2122"
"Number of Nights by Irish Residents","2019Q1","Domestic","Dublin","Thousand",""
"Number of Nights by Irish Residents","2019Q1","Domestic","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2019Q1","Domestic","Midland","Thousand",""
"Number of Nights by Irish Residents","2019Q1","Outbound","State","Thousand","11364"
"Number of Nights by Irish Residents","2019Q1","Outbound","Northern and Western","Thousand","1466"
"Number of Nights by Irish Residents","2019Q1","Outbound","Border","Thousand",""
"Number of Nights by Irish Residents","2019Q1","Outbound","West","Thousand",""
"Number of Nights by Irish Residents","2019Q1","Outbound","Southern","Thousand","3223"
"Number of Nights by Irish Residents","2019Q1","Outbound","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2019Q1","Outbound","South-East","Thousand",""
"Number of Nights by Irish Residents","2019Q1","Outbound","South-West","Thousand",""
"Number of Nights by Irish Residents","2019Q1","Outbound","Eastern and Midland","Thousand","6675"
"Number of Nights by Irish Residents","2019Q1","Outbound","Dublin","Thousand",""
"Number of Nights by Irish Residents","2019Q1","Outbound","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2019Q1","Outbound","Midland","Thousand",""
"Number of Nights by Irish Residents","2019Q2","Domestic","State","Thousand","6794"
"Number of Nights by Irish Residents","2019Q2","Domestic","Northern and Western","Thousand","1048"
"Number of Nights by Irish Residents","2019Q2","Domestic","Border","Thousand",""
"Number of Nights by Irish Residents","2019Q2","Domestic","West","Thousand",""
"Number of Nights by Irish Residents","2019Q2","Domestic","Southern","Thousand","2015"
"Number of Nights by Irish Residents","2019Q2","Domestic","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2019Q2","Domestic","South-East","Thousand",""
"Number of Nights by Irish Residents","2019Q2","Domestic","South-West","Thousand",""
"Number of Nights by Irish Residents","2019Q2","Domestic","Eastern and Midland","Thousand","3731"
"Number of Nights by Irish Residents","2019Q2","Domestic","Dublin","Thousand",""
"Number of Nights by Irish Residents","2019Q2","Domestic","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2019Q2","Domestic","Midland","Thousand",""
"Number of Nights by Irish Residents","2019Q2","Outbound","State","Thousand","16848"
"Number of Nights by Irish Residents","2019Q2","Outbound","Northern and Western","Thousand","2539"
"Number of Nights by Irish Residents","2019Q2","Outbound","Border","Thousand",""
"Number of Nights by Irish Residents","2019Q2","Outbound","West","Thousand",""
"Number of Nights by Irish Residents","2019Q2","Outbound","Southern","Thousand","5014"
"Number of Nights by Irish Residents","2019Q2","Outbound","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2019Q2","Outbound","South-East","Thousand",""
"Number of Nights by Irish Residents","2019Q2","Outbound","South-West","Thousand",""
"Number of Nights by Irish Residents","2019Q2","Outbound","Eastern and Midland","Thousand","9295"
"Number of Nights by Irish Residents","2019Q2","Outbound","Dublin","Thousand",""
"Number of Nights by Irish Residents","2019Q2","Outbound","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2019Q2","Outbound","Midland","Thousand",""
"Number of Nights by Irish Residents","2019Q3","Domestic","State","Thousand","12713"
"Number of Nights by Irish Residents","2019Q3","Domestic","Northern and Western","Thousand","1639"
"Number of Nights by Irish Residents","2019Q3","Domestic","Border","Thousand",""
"Number of Nights by Irish Residents","2019Q3","Domestic","West","Thousand",""
"Number of Nights by Irish Residents","2019Q3","Domestic","Southern","Thousand","4281"
"Number of Nights by Irish Residents","2019Q3","Domestic","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2019Q3","Domestic","South-East","Thousand",""
"Number of Nights by Irish Residents","2019Q3","Domestic","South-West","Thousand",""
"Number of Nights by Irish Residents","2019Q3","Domestic","Eastern and Midland","Thousand","6793"
"Number of Nights by Irish Residents","2019Q3","Domestic","Dublin","Thousand",""
"Number of Nights by Irish Residents","2019Q3","Domestic","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2019Q3","Domestic","Midland","Thousand",""
"Number of Nights by Irish Residents","2019Q3","Outbound","State","Thousand","25867"
"Number of Nights by Irish Residents","2019Q3","Outbound","Northern and Western","Thousand","2775"
"Number of Nights by Irish Residents","2019Q3","Outbound","Border","Thousand",""
"Number of Nights by Irish Residents","2019Q3","Outbound","West","Thousand",""
"Number of Nights by Irish Residents","2019Q3","Outbound","Southern","Thousand","8148"
"Number of Nights by Irish Residents","2019Q3","Outbound","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2019Q3","Outbound","South-East","Thousand",""
"Number of Nights by Irish Residents","2019Q3","Outbound","South-West","Thousand",""
"Number of Nights by Irish Residents","2019Q3","Outbound","Eastern and Midland","Thousand","14944"
"Number of Nights by Irish Residents","2019Q3","Outbound","Dublin","Thousand",""
"Number of Nights by Irish Residents","2019Q3","Outbound","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2019Q3","Outbound","Midland","Thousand",""
"Number of Nights by Irish Residents","2019Q4","Domestic","State","Thousand","5589"
"Number of Nights by Irish Residents","2019Q4","Domestic","Northern and Western","Thousand","926"
"Number of Nights by Irish Residents","2019Q4","Domestic","Border","Thousand",""
"Number of Nights by Irish Residents","2019Q4","Domestic","West","Thousand",""
"Number of Nights by Irish Residents","2019Q4","Domestic","Southern","Thousand","1908"
"Number of Nights by Irish Residents","2019Q4","Domestic","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2019Q4","Domestic","South-East","Thousand",""
"Number of Nights by Irish Residents","2019Q4","Domestic","South-West","Thousand",""
