"Method of Booking","Domestic or Outbound","Quarter","Statistic Label","UNIT","VALUE"
"Club","Domestic","2004Q4","Average Length of Stay by Irish Residents","Nights per Trip","2"
"Club","Domestic","2005Q1","Number of Trips by Irish Residents","Thousand","43"
"Club","Domestic","2005Q1","Number of Nights by Irish Residents","Thousand","118"
"Club","Domestic","2005Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.7"
"Club","Domestic","2005Q2","Number of Trips by Irish Residents","Thousand","71"
"Club","Domestic","2005Q2","Number of Nights by Irish Residents","Thousand","197"
"Club","Domestic","2005Q2","Average Length of Stay by Irish Residents","Nights per Trip","2.8"
"Club","Domestic","2005Q3","Number of Trips by Irish Residents","Thousand","60"
"Club","Domestic","2005Q3","Number of Nights by Irish Residents","Thousand","207"
"Club","Domestic","2005Q3","Average Length of Stay by Irish Residents","Nights per Trip","3.5"
"Club","Domestic","2005Q4","Number of Trips by Irish Residents","Thousand","35"
"Club","Domestic","2005Q4","Number of Nights by Irish Residents","Thousand","84"
"Club","Domestic","2005Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.4"
"Club","Domestic","2006Q1","Number of Trips by Irish Residents","Thousand","41"
"Club","Domestic","2006Q1","Number of Nights by Irish Residents","Thousand","113"
"Club","Domestic","2006Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.8"
"Club","Domestic","2006Q2","Number of Trips by Irish Residents","Thousand","51"
"Club","Domestic","2006Q2","Number of Nights by Irish Residents","Thousand","140"
"Club","Domestic","2006Q2","Average Length of Stay by Irish Residents","Nights per Trip","2.7"
"Club","Domestic","2006Q3","Number of Trips by Irish Residents","Thousand","47"
"Club","Domestic","2006Q3","Number of Nights by Irish Residents","Thousand","219"
"Club","Domestic","2006Q3","Average Length of Stay by Irish Residents","Nights per Trip","4.7"
"Club","Domestic","2006Q4","Number of Trips by Irish Residents","Thousand","33"
"Club","Domestic","2006Q4","Number of Nights by Irish Residents","Thousand","107"
"Club","Domestic","2006Q4","Average Length of Stay by Irish Residents","Nights per Trip","3.2"
"Club","Domestic","2007Q1","Number of Trips by Irish Residents","Thousand","46"
"Club","Domestic","2007Q1","Number of Nights by Irish Residents","Thousand","107"
"Club","Domestic","2007Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.3"
"Club","Domestic","2007Q2","Number of Trips by Irish Residents","Thousand","74"
"Club","Domestic","2007Q2","Number of Nights by Irish Residents","Thousand","223"
"Club","Domestic","2007Q2","Average Length of Stay by Irish Residents","Nights per Trip","3"
"Club","Domestic","2007Q3","Number of Trips by Irish Residents","Thousand","79"
"Club","Domestic","2007Q3","Number of Nights by Irish Residents","Thousand","298"
"Club","Domestic","2007Q3","Average Length of Stay by Irish Residents","Nights per Trip","3.8"
"Club","Domestic","2007Q4","Number of Trips by Irish Residents","Thousand","49"
"Club","Domestic","2007Q4","Number of Nights by Irish Residents","Thousand","107"
"Club","Domestic","2007Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.2"
"Club","Domestic","2008Q1","Number of Trips by Irish Residents","Thousand","39"
"Club","Domestic","2008Q1","Number of Nights by Irish Residents","Thousand","108"
"Club","Domestic","2008Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.8"
"Club","Domestic","2008Q2","Number of Trips by Irish Residents","Thousand","60"
"Club","Domestic","2008Q2","Number of Nights by Irish Residents","Thousand","186"
"Club","Domestic","2008Q2","Average Length of Stay by Irish Residents","Nights per Trip","3.1"
"Club","Domestic","2008Q3","Number of Trips by Irish Residents","Thousand","57"
"Club","Domestic","2008Q3","Number of Nights by Irish Residents","Thousand","220"
"Club","Domestic","2008Q3","Average Length of Stay by Irish Residents","Nights per Trip","3.9"
"Club","Domestic","2008Q4","Number of Trips by Irish Residents","Thousand","58"
"Club","Domestic","2008Q4","Number of Nights by Irish Residents","Thousand","129"
"Club","Domestic","2008Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.2"
"Club","Domestic","2009Q1","Number of Trips by Irish Residents","Thousand","48"
"Club","Domestic","2009Q1","Number of Nights by Irish Residents","Thousand","109"
"Club","Domestic","2009Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.3"
"Club","Domestic","2009Q2","Number of Trips by Irish Residents","Thousand","50"
"Club","Domestic","2009Q2","Number of Nights by Irish Residents","Thousand","153"
"Club","Domestic","2009Q2","Average Length of Stay by Irish Residents","Nights per Trip","3.1"
"Club","Domestic","2009Q3","Number of Trips by Irish Residents","Thousand","36"
"Club","Domestic","2009Q3","Number of Nights by Irish Residents","Thousand","105"
"Club","Domestic","2009Q3","Average Length of Stay by Irish Residents","Nights per Trip","2.9"
"Club","Domestic","2009Q4","Number of Trips by Irish Residents","Thousand","34"
"Club","Domestic","2009Q4","Number of Nights by Irish Residents","Thousand","80"
"Club","Domestic","2009Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.4"
"Club","Outbound","2003Q1","Number of Trips by Irish Residents","Thousand","26"
"Club","Outbound","2003Q1","Number of Nights by Irish Residents","Thousand","111"
"Club","Outbound","2003Q1","Average Length of Stay by Irish Residents","Nights per Trip","4.3"
"Club","Outbound","2003Q2","Number of Trips by Irish Residents","Thousand","37"
"Club","Outbound","2003Q2","Number of Nights by Irish Residents","Thousand","256"
"Club","Outbound","2003Q2","Average Length of Stay by Irish Residents","Nights per Trip","6.9"
"Club","Outbound","2003Q3","Number of Trips by Irish Residents","Thousand","27"
"Club","Outbound","2003Q3","Number of Nights by Irish Residents","Thousand","178"
"Club","Outbound","2003Q3","Average Length of Stay by Irish Residents","Nights per Trip","6.6"
"Club","Outbound","2003Q4","Number of Trips by Irish Residents","Thousand","24"
"Club","Outbound","2003Q4","Number of Nights by Irish Residents","Thousand","123"
"Club","Outbound","2003Q4","Average Length of Stay by Irish Residents","Nights per Trip","5.1"
"Club","Outbound","2004Q1","Number of Trips by Irish Residents","Thousand","22"
"Club","Outbound","2004Q1","Number of Nights by Irish Residents","Thousand","139"
"Club","Outbound","2004Q1","Average Length of Stay by Irish Residents","Nights per Trip","6.3"
"Club","Outbound","2004Q2","Number of Trips by Irish Residents","Thousand","38"
"Club","Outbound","2004Q2","Number of Nights by Irish Residents","Thousand","251"
"Club","Outbound","2004Q2","Average Length of Stay by Irish Residents","Nights per Trip","6.6"
"Club","Outbound","2004Q3","Number of Trips by Irish Residents","Thousand","40"
"Club","Outbound","2004Q3","Number of Nights by Irish Residents","Thousand","274"
"Club","Outbound","2004Q3","Average Length of Stay by Irish Residents","Nights per Trip","6.9"
"Club","Outbound","2004Q4","Number of Trips by Irish Residents","Thousand","32"
"Club","Outbound","2004Q4","Number of Nights by Irish Residents","Thousand","157"
"Club","Outbound","2004Q4","Average Length of Stay by Irish Residents","Nights per Trip","4.9"
"Club","Outbound","2005Q1","Number of Trips by Irish Residents","Thousand","32"
"Club","Outbound","2005Q1","Number of Nights by Irish Residents","Thousand","171"
"Club","Outbound","2005Q1","Average Length of Stay by Irish Residents","Nights per Trip","5.3"
"Club","Outbound","2005Q2","Number of Trips by Irish Residents","Thousand","38"
"Club","Outbound","2005Q2","Number of Nights by Irish Residents","Thousand","235"
"Club","Outbound","2005Q2","Average Length of Stay by Irish Residents","Nights per Trip","6.2"
"Club","Outbound","2005Q3","Number of Trips by Irish Residents","Thousand","40"
"Club","Outbound","2005Q3","Number of Nights by Irish Residents","Thousand","324"
"Club","Outbound","2005Q3","Average Length of Stay by Irish Residents","Nights per Trip","8.1"
"Club","Outbound","2005Q4","Number of Trips by Irish Residents","Thousand","21"
"Club","Outbound","2005Q4","Number of Nights by Irish Residents","Thousand","105"
"Club","Outbound","2005Q4","Average Length of Stay by Irish Residents","Nights per Trip","5"
"Club","Outbound","2006Q1","Number of Trips by Irish Residents","Thousand","23"
"Club","Outbound","2006Q1","Number of Nights by Irish Residents","Thousand","94"
"Club","Outbound","2006Q1","Average Length of Stay by Irish Residents","Nights per Trip","4.1"
"Club","Outbound","2006Q2","Number of Trips by Irish Residents","Thousand","45"
"Club","Outbound","2006Q2","Number of Nights by Irish Residents","Thousand","299"
"Club","Outbound","2006Q2","Average Length of Stay by Irish Residents","Nights per Trip","6.6"
"Club","Outbound","2006Q3","Number of Trips by Irish Residents","Thousand","41"
"Club","Outbound","2006Q3","Number of Nights by Irish Residents","Thousand","288"
"Club","Outbound","2006Q3","Average Length of Stay by Irish Residents","Nights per Trip","7"
"Club","Outbound","2006Q4","Number of Trips by Irish Residents","Thousand","21"
"Club","Outbound","2006Q4","Number of Nights by Irish Residents","Thousand","131"
"Club","Outbound","2006Q4","Average Length of Stay by Irish Residents","Nights per Trip","6.2"
"Club","Outbound","2007Q1","Number of Trips by Irish Residents","Thousand","37"
"Club","Outbound","2007Q1","Number of Nights by Irish Residents","Thousand","158"
"Club","Outbound","2007Q1","Average Length of Stay by Irish Residents","Nights per Trip","4.3"
"Club","Outbound","2007Q2","Number of Trips by Irish Residents","Thousand","45"
"Club","Outbound","2007Q2","Number of Nights by Irish Residents","Thousand","249"
"Club","Outbound","2007Q2","Average Length of Stay by Irish Residents","Nights per Trip","5.5"
"Club","Outbound","2007Q3","Number of Trips by Irish Residents","Thousand","36"
"Club","Outbound","2007Q3","Number of Nights by Irish Residents","Thousand","238"
"Club","Outbound","2007Q3","Average Length of Stay by Irish Residents","Nights per Trip","6.6"
"Club","Outbound","2007Q4","Number of Trips by Irish Residents","Thousand","33"
"Club","Outbound","2007Q4","Number of Nights by Irish Residents","Thousand","152"
"Club","Outbound","2007Q4","Average Length of Stay by Irish Residents","Nights per Trip","4.6"
"Club","Outbound","2008Q1","Number of Trips by Irish Residents","Thousand","42"
"Club","Outbound","2008Q1","Number of Nights by Irish Residents","Thousand","191"
"Club","Outbound","2008Q1","Average Length of Stay by Irish Residents","Nights per Trip","4.5"
"Club","Outbound","2008Q2","Number of Trips by Irish Residents","Thousand","43"
"Club","Outbound","2008Q2","Number of Nights by Irish Residents","Thousand","195"
"Club","Outbound","2008Q2","Average Length of Stay by Irish Residents","Nights per Trip","4.5"
"Club","Outbound","2008Q3","Number of Trips by Irish Residents","Thousand","52"
"Club","Outbound","2008Q3","Number of Nights by Irish Residents","Thousand","421"
"Club","Outbound","2008Q3","Average Length of Stay by Irish Residents","Nights per Trip","8.1"
"Club","Outbound","2008Q4","Number of Trips by Irish Residents","Thousand","29"
"Club","Outbound","2008Q4","Number of Nights by Irish Residents","Thousand","154"
"Club","Outbound","2008Q4","Average Length of Stay by Irish Residents","Nights per Trip","5.3"
"Club","Outbound","2009Q1","Number of Trips by Irish Residents","Thousand","35"
"Club","Outbound","2009Q1","Number of Nights by Irish Residents","Thousand","164"
"Club","Outbound","2009Q1","Average Length of Stay by Irish Residents","Nights per Trip","4.7"
"Club","Outbound","2009Q2","Number of Trips by Irish Residents","Thousand","45"
"Club","Outbound","2009Q2","Number of Nights by Irish Residents","Thousand","316"
"Club","Outbound","2009Q2","Average Length of Stay by Irish Residents","Nights per Trip","7"
"Club","Outbound","2009Q3","Number of Trips by Irish Residents","Thousand","29"
"Club","Outbound","2009Q3","Number of Nights by Irish Residents","Thousand","227"
"Club","Outbound","2009Q3","Average Length of Stay by Irish Residents","Nights per Trip","7.8"
"Club","Outbound","2009Q4","Number of Trips by Irish Residents","Thousand","15"
"Club","Outbound","2009Q4","Number of Nights by Irish Residents","Thousand","69"
"Club","Outbound","2009Q4","Average Length of Stay by Irish Residents","Nights per Trip","4.6"
"Internet","Domestic","2003Q1","Number of Trips by Irish Residents","Thousand",""
"Internet","Domestic","2003Q1","Number of Nights by Irish Residents","Thousand",""
"Internet","Domestic","2003Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"Internet","Domestic","2003Q2","Number of Trips by Irish Residents","Thousand",""
"Internet","Domestic","2003Q2","Number of Nights by Irish Residents","Thousand",""
"Internet","Domestic","2003Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"Internet","Domestic","2003Q3","Number of Trips by Irish Residents","Thousand",""
"Internet","Domestic","2003Q3","Number of Nights by Irish Residents","Thousand",""
"Internet","Domestic","2003Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"Internet","Domestic","2003Q4","Number of Trips by Irish Residents","Thousand",""
"Internet","Domestic","2003Q4","Number of Nights by Irish Residents","Thousand",""
"Internet","Domestic","2003Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"Internet","Domestic","2004Q1","Number of Trips by Irish Residents","Thousand",""
"Internet","Domestic","2004Q1","Number of Nights by Irish Residents","Thousand",""
"Internet","Domestic","2004Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"Internet","Domestic","2004Q2","Number of Trips by Irish Residents","Thousand",""
"Internet","Domestic","2004Q2","Number of Nights by Irish Residents","Thousand",""
"Internet","Domestic","2004Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"Internet","Domestic","2004Q3","Number of Trips by Irish Residents","Thousand",""
"Internet","Domestic","2004Q3","Number of Nights by Irish Residents","Thousand",""
"Internet","Domestic","2004Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"Internet","Domestic","2004Q4","Number of Trips by Irish Residents","Thousand",""
"Internet","Domestic","2004Q4","Number of Nights by Irish Residents","Thousand",""
"Internet","Domestic","2004Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"Internet","Domestic","2005Q1","Number of Trips by Irish Residents","Thousand",""
"Internet","Domestic","2005Q1","Number of Nights by Irish Residents","Thousand",""
"Internet","Domestic","2005Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"Internet","Domestic","2005Q2","Number of Trips by Irish Residents","Thousand",""
"Internet","Domestic","2005Q2","Number of Nights by Irish Residents","Thousand",""
"Internet","Domestic","2005Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"Internet","Domestic","2005Q3","Number of Trips by Irish Residents","Thousand",""
"Internet","Domestic","2005Q3","Number of Nights by Irish Residents","Thousand",""
"Internet","Domestic","2005Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"Internet","Domestic","2005Q4","Number of Trips by Irish Residents","Thousand","200"
"Internet","Domestic","2005Q4","Number of Nights by Irish Residents","Thousand","450"
"Internet","Domestic","2005Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.3"
"Internet","Domestic","2006Q1","Number of Trips by Irish Residents","Thousand","206"
"Internet","Domestic","2006Q1","Number of Nights by Irish Residents","Thousand","489"
"Internet","Domestic","2006Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.4"
"Internet","Domestic","2006Q2","Number of Trips by Irish Residents","Thousand","233"
"Internet","Domestic","2006Q2","Number of Nights by Irish Residents","Thousand","670"
"Internet","Domestic","2006Q2","Average Length of Stay by Irish Residents","Nights per Trip","2.9"
"Internet","Domestic","2006Q3","Number of Trips by Irish Residents","Thousand","393"
"Internet","Domestic","2006Q3","Number of Nights by Irish Residents","Thousand","1426"
"Internet","Domestic","2006Q3","Average Length of Stay by Irish Residents","Nights per Trip","3.6"
"Internet","Domestic","2006Q4","Number of Trips by Irish Residents","Thousand","407"
"Internet","Domestic","2006Q4","Number of Nights by Irish Residents","Thousand","906"
"Internet","Domestic","2006Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.2"
"Internet","Domestic","2007Q1","Number of Trips by Irish Residents","Thousand","339"
"Internet","Domestic","2007Q1","Number of Nights by Irish Residents","Thousand","836"
"Internet","Domestic","2007Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.5"
"Internet","Domestic","2007Q2","Number of Trips by Irish Residents","Thousand","382"
"Internet","Domestic","2007Q2","Number of Nights by Irish Residents","Thousand","1034"
"Internet","Domestic","2007Q2","Average Length of Stay by Irish Residents","Nights per Trip","2.7"
"Internet","Domestic","2007Q3","Number of Trips by Irish Residents","Thousand","496"
"Internet","Domestic","2007Q3","Number of Nights by Irish Residents","Thousand","1758"
"Internet","Domestic","2007Q3","Average Length of Stay by Irish Residents","Nights per Trip","3.5"
"Internet","Domestic","2007Q4","Number of Trips by Irish Residents","Thousand","402"
"Internet","Domestic","2007Q4","Number of Nights by Irish Residents","Thousand","987"
"Internet","Domestic","2007Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.5"
"Internet","Domestic","2008Q1","Number of Trips by Irish Residents","Thousand","464"
"Internet","Domestic","2008Q1","Number of Nights by Irish Residents","Thousand","1047"
"Internet","Domestic","2008Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.3"
"Internet","Domestic","2008Q2","Number of Trips by Irish Residents","Thousand","414"
"Internet","Domestic","2008Q2","Number of Nights by Irish Residents","Thousand","1074"
"Internet","Domestic","2008Q2","Average Length of Stay by Irish Residents","Nights per Trip","2.6"
"Internet","Domestic","2008Q3","Number of Trips by Irish Residents","Thousand","587"
"Internet","Domestic","2008Q3","Number of Nights by Irish Residents","Thousand","1909"
"Internet","Domestic","2008Q3","Average Length of Stay by Irish Residents","Nights per Trip","3.3"
"Internet","Domestic","2008Q4","Number of Trips by Irish Residents","Thousand","493"
"Internet","Domestic","2008Q4","Number of Nights by Irish Residents","Thousand","1098"
"Internet","Domestic","2008Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.2"
"Internet","Domestic","2009Q1","Number of Trips by Irish Residents","Thousand","442"
"Internet","Domestic","2009Q1","Number of Nights by Irish Residents","Thousand","894"
"Internet","Domestic","2009Q1","Average Length of Stay by Irish Residents","Nights per Trip","2"
"Internet","Domestic","2009Q2","Number of Trips by Irish Residents","Thousand","520"
"Internet","Domestic","2009Q2","Number of Nights by Irish Residents","Thousand","1415"
"Internet","Domestic","2009Q2","Average Length of Stay by Irish Residents","Nights per Trip","2.7"
"Internet","Domestic","2009Q3","Number of Trips by Irish Residents","Thousand","668"
"Internet","Domestic","2009Q3","Number of Nights by Irish Residents","Thousand","2250"
"Internet","Domestic","2009Q3","Average Length of Stay by Irish Residents","Nights per Trip","3.4"
"Internet","Domestic","2009Q4","Number of Trips by Irish Residents","Thousand","573"
"Internet","Domestic","2009Q4","Number of Nights by Irish Residents","Thousand","1222"
"Internet","Domestic","2009Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.13"
"Internet","Outbound","2003Q1","Number of Trips by Irish Residents","Thousand",""
"Internet","Outbound","2003Q1","Number of Nights by Irish Residents","Thousand",""
"Internet","Outbound","2003Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"Internet","Outbound","2003Q2","Number of Trips by Irish Residents","Thousand",""
"Internet","Outbound","2003Q2","Number of Nights by Irish Residents","Thousand",""
"Internet","Outbound","2003Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"Internet","Outbound","2003Q3","Number of Trips by Irish Residents","Thousand",""
"Internet","Outbound","2003Q3","Number of Nights by Irish Residents","Thousand",""
"Internet","Outbound","2003Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"Internet","Outbound","2003Q4","Number of Trips by Irish Residents","Thousand",""
"Internet","Outbound","2003Q4","Number of Nights by Irish Residents","Thousand",""
"Internet","Outbound","2003Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"Internet","Outbound","2004Q1","Number of Trips by Irish Residents","Thousand",""
"Internet","Outbound","2004Q1","Number of Nights by Irish Residents","Thousand",""
"Internet","Outbound","2004Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"Internet","Outbound","2004Q2","Number of Trips by Irish Residents","Thousand",""
"Internet","Outbound","2004Q2","Number of Nights by Irish Residents","Thousand",""
"Internet","Outbound","2004Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"Internet","Outbound","2004Q3","Number of Trips by Irish Residents","Thousand",""
"Internet","Outbound","2004Q3","Number of Nights by Irish Residents","Thousand",""
"Internet","Outbound","2004Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"Internet","Outbound","2004Q4","Number of Trips by Irish Residents","Thousand",""
"Internet","Outbound","2004Q4","Number of Nights by Irish Residents","Thousand",""
"Internet","Outbound","2004Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"Internet","Outbound","2005Q1","Number of Trips by Irish Residents","Thousand",""
"Internet","Outbound","2005Q1","Number of Nights by Irish Residents","Thousand",""
"Internet","Outbound","2005Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"Internet","Outbound","2005Q2","Number of Trips by Irish Residents","Thousand",""
"Internet","Outbound","2005Q2","Number of Nights by Irish Residents","Thousand",""
"Internet","Outbound","2005Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"Internet","Outbound","2005Q3","Number of Trips by Irish Residents","Thousand",""
"Internet","Outbound","2005Q3","Number of Nights by Irish Residents","Thousand",""
"Internet","Outbound","2005Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"Internet","Outbound","2005Q4","Number of Trips by Irish Residents","Thousand","837"
"Internet","Outbound","2005Q4","Number of Nights by Irish Residents","Thousand","4979"
"Internet","Outbound","2005Q4","Average Length of Stay by Irish Residents","Nights per Trip","5.9"
"Internet","Outbound","2006Q1","Number of Trips by Irish Residents","Thousand","899"
"Internet","Outbound","2006Q1","Number of Nights by Irish Residents","Thousand","5365"
"Internet","Outbound","2006Q1","Average Length of Stay by Irish Residents","Nights per Trip","6"
"Internet","Outbound","2006Q2","Number of Trips by Irish Residents","Thousand","1054"
"Internet","Outbound","2006Q2","Number of Nights by Irish Residents","Thousand","8027"
"Internet","Outbound","2006Q2","Average Length of Stay by Irish Residents","Nights per Trip","7.6"
"Internet","Outbound","2006Q3","Number of Trips by Irish Residents","Thousand","1251"
"Internet","Outbound","2006Q3","Number of Nights by Irish Residents","Thousand","11736"
"Internet","Outbound","2006Q3","Average Length of Stay by Irish Residents","Nights per Trip","9.4"
"Internet","Outbound","2006Q4","Number of Trips by Irish Residents","Thousand","1067"
"Internet","Outbound","2006Q4","Number of Nights by Irish Residents","Thousand","6196"
"Internet","Outbound","2006Q4","Average Length of Stay by Irish Residents","Nights per Trip","5.8"
"Internet","Outbound","2007Q1","Number of Trips by Irish Residents","Thousand","1063"
"Internet","Outbound","2007Q1","Number of Nights by Irish Residents","Thousand","6583"
"Internet","Outbound","2007Q1","Average Length of Stay by Irish Residents","Nights per Trip","6.2"
"Internet","Outbound","2007Q2","Number of Trips by Irish Residents","Thousand","1287"
"Internet","Outbound","2007Q2","Number of Nights by Irish Residents","Thousand","9931"
"Internet","Outbound","2007Q2","Average Length of Stay by Irish Residents","Nights per Trip","7.7"
"Internet","Outbound","2007Q3","Number of Trips by Irish Residents","Thousand","1481"
"Internet","Outbound","2007Q3","Number of Nights by Irish Residents","Thousand","14360"
"Internet","Outbound","2007Q3","Average Length of Stay by Irish Residents","Nights per Trip","9.7"
"Internet","Outbound","2007Q4","Number of Trips by Irish Residents","Thousand","1249"
"Internet","Outbound","2007Q4","Number of Nights by Irish Residents","Thousand","7383"
"Internet","Outbound","2007Q4","Average Length of Stay by Irish Residents","Nights per Trip","5.9"
"Internet","Outbound","2008Q1","Number of Trips by Irish Residents","Thousand","1253"
"Internet","Outbound","2008Q1","Number of Nights by Irish Residents","Thousand","7938"
"Internet","Outbound","2008Q1","Average Length of Stay by Irish Residents","Nights per Trip","6.3"
"Internet","Outbound","2008Q2","Number of Trips by Irish Residents","Thousand","1375"
"Internet","Outbound","2008Q2","Number of Nights by Irish Residents","Thousand","10847"
"Internet","Outbound","2008Q2","Average Length of Stay by Irish Residents","Nights per Trip","7.9"
"Internet","Outbound","2008Q3","Number of Trips by Irish Residents","Thousand","1605"
"Internet","Outbound","2008Q3","Number of Nights by Irish Residents","Thousand","14987"
"Internet","Outbound","2008Q3","Average Length of Stay by Irish Residents","Nights per Trip","9.3"
"Internet","Outbound","2008Q4","Number of Trips by Irish Residents","Thousand","1251"
"Internet","Outbound","2008Q4","Number of Nights by Irish Residents","Thousand","7394"
"Internet","Outbound","2008Q4","Average Length of Stay by Irish Residents","Nights per Trip","5.9"
"Internet","Outbound","2009Q1","Number of Trips by Irish Residents","Thousand","1194"
"Internet","Outbound","2009Q1","Number of Nights by Irish Residents","Thousand","6859"
"Internet","Outbound","2009Q1","Average Length of Stay by Irish Residents","Nights per Trip","5.7"
"Internet","Outbound","2009Q2","Number of Trips by Irish Residents","Thousand","1360"
"Internet","Outbound","2009Q2","Number of Nights by Irish Residents","Thousand","10854"
"Internet","Outbound","2009Q2","Average Length of Stay by Irish Residents","Nights per Trip","8"
"Internet","Outbound","2009Q3","Number of Trips by Irish Residents","Thousand","1590"
"Internet","Outbound","2009Q3","Number of Nights by Irish Residents","Thousand","13773"
"Internet","Outbound","2009Q3","Average Length of Stay by Irish Residents","Nights per Trip","8.7"
"Internet","Outbound","2009Q4","Number of Trips by Irish Residents","Thousand","1149"
"Internet","Outbound","2009Q4","Number of Nights by Irish Residents","Thousand","6982"
"Internet","Outbound","2009Q4","Average Length of Stay by Irish Residents","Nights per Trip","6.1"
"Direct","Domestic","2003Q1","Number of Trips by Irish Residents","Thousand",""
"Direct","Domestic","2003Q1","Number of Nights by Irish Residents","Thousand",""
"Direct","Domestic","2003Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"Direct","Domestic","2003Q2","Number of Trips by Irish Residents","Thousand",""
"Direct","Domestic","2003Q2","Number of Nights by Irish Residents","Thousand",""
"Direct","Domestic","2003Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"Direct","Domestic","2003Q3","Number of Trips by Irish Residents","Thousand",""
"Direct","Domestic","2003Q3","Number of Nights by Irish Residents","Thousand",""
"Direct","Domestic","2003Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"Direct","Domestic","2003Q4","Number of Trips by Irish Residents","Thousand",""
"Direct","Domestic","2003Q4","Number of Nights by Irish Residents","Thousand",""
"Direct","Domestic","2003Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"Direct","Domestic","2004Q1","Number of Trips by Irish Residents","Thousand",""
"Direct","Domestic","2004Q1","Number of Nights by Irish Residents","Thousand",""
"Direct","Domestic","2004Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"Direct","Domestic","2004Q2","Number of Trips by Irish Residents","Thousand",""
"Direct","Domestic","2004Q2","Number of Nights by Irish Residents","Thousand",""
"Direct","Domestic","2004Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"Direct","Domestic","2004Q3","Number of Trips by Irish Residents","Thousand",""
"Direct","Domestic","2004Q3","Number of Nights by Irish Residents","Thousand",""
"Direct","Domestic","2004Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"Direct","Domestic","2004Q4","Number of Trips by Irish Residents","Thousand",""
"Direct","Domestic","2004Q4","Number of Nights by Irish Residents","Thousand",""
"Direct","Domestic","2004Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"Direct","Domestic","2005Q1","Number of Trips by Irish Residents","Thousand",""
"Direct","Domestic","2005Q1","Number of Nights by Irish Residents","Thousand",""
"Direct","Domestic","2005Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"Direct","Domestic","2005Q2","Number of Trips by Irish Residents","Thousand",""
"Direct","Domestic","2005Q2","Number of Nights by Irish Residents","Thousand",""
"Direct","Domestic","2005Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"Direct","Domestic","2005Q3","Number of Trips by Irish Residents","Thousand",""
"Direct","Domestic","2005Q3","Number of Nights by Irish Residents","Thousand",""
"Direct","Domestic","2005Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"Direct","Domestic","2005Q4","Number of Trips by Irish Residents","Thousand","481"
"Direct","Domestic","2005Q4","Number of Nights by Irish Residents","Thousand","998"
"Direct","Domestic","2005Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.1"
"Direct","Domestic","2006Q1","Number of Trips by Irish Residents","Thousand","472"
"Direct","Domestic","2006Q1","Number of Nights by Irish Residents","Thousand","1049"
"Direct","Domestic","2006Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.2"
"Direct","Domestic","2006Q2","Number of Trips by Irish Residents","Thousand","453"
