"Age Group","Domestic or Outbound","Quarter","Statistic Label","UNIT","VALUE"
"20 - 29 years","Domestic","2006Q3","Number of Nights by Irish Residents","Thousand","789"
"20 - 29 years","Domestic","2006Q3","Average Length of Stay by Irish Residents","Nights per Trip","4.5"
"20 - 29 years","Domestic","2006Q4","Number of Trips by Irish Residents","Thousand","148"
"20 - 29 years","Domestic","2006Q4","Number of Nights by Irish Residents","Thousand","367"
"20 - 29 years","Domestic","2006Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.5"
"20 - 29 years","Domestic","2007Q1","Number of Trips by Irish Residents","Thousand","109"
"20 - 29 years","Domestic","2007Q1","Number of Nights by Irish Residents","Thousand","374"
"20 - 29 years","Domestic","2007Q1","Average Length of Stay by Irish Residents","Nights per Trip","3.4"
"20 - 29 years","Domestic","2007Q2","Number of Trips by Irish Residents","Thousand","116"
"20 - 29 years","Domestic","2007Q2","Number of Nights by Irish Residents","Thousand","310"
"20 - 29 years","Domestic","2007Q2","Average Length of Stay by Irish Residents","Nights per Trip","2.7"
"20 - 29 years","Domestic","2007Q3","Number of Trips by Irish Residents","Thousand",""
"20 - 29 years","Domestic","2007Q3","Number of Nights by Irish Residents","Thousand",""
"20 - 29 years","Domestic","2007Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 29 years","Domestic","2007Q4","Number of Trips by Irish Residents","Thousand",""
"20 - 29 years","Domestic","2007Q4","Number of Nights by Irish Residents","Thousand",""
"20 - 29 years","Domestic","2007Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 29 years","Domestic","2008Q1","Number of Trips by Irish Residents","Thousand",""
"20 - 29 years","Domestic","2008Q1","Number of Nights by Irish Residents","Thousand",""
"20 - 29 years","Domestic","2008Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 29 years","Domestic","2008Q2","Number of Trips by Irish Residents","Thousand",""
"20 - 29 years","Domestic","2008Q2","Number of Nights by Irish Residents","Thousand",""
"20 - 29 years","Domestic","2008Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 29 years","Domestic","2008Q3","Number of Trips by Irish Residents","Thousand",""
"20 - 29 years","Domestic","2008Q3","Number of Nights by Irish Residents","Thousand",""
"20 - 29 years","Domestic","2008Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 29 years","Domestic","2008Q4","Number of Trips by Irish Residents","Thousand",""
"20 - 29 years","Domestic","2008Q4","Number of Nights by Irish Residents","Thousand",""
"20 - 29 years","Domestic","2008Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 29 years","Domestic","2009Q1","Number of Trips by Irish Residents","Thousand",""
"20 - 29 years","Domestic","2009Q1","Number of Nights by Irish Residents","Thousand",""
"20 - 29 years","Domestic","2009Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 29 years","Domestic","2009Q2","Number of Trips by Irish Residents","Thousand",""
"20 - 29 years","Domestic","2009Q2","Number of Nights by Irish Residents","Thousand",""
"20 - 29 years","Domestic","2009Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 29 years","Domestic","2009Q3","Number of Trips by Irish Residents","Thousand",""
"20 - 29 years","Domestic","2009Q3","Number of Nights by Irish Residents","Thousand",""
"20 - 29 years","Domestic","2009Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 29 years","Domestic","2009Q4","Number of Trips by Irish Residents","Thousand",""
"20 - 29 years","Domestic","2009Q4","Number of Nights by Irish Residents","Thousand",""
"20 - 29 years","Domestic","2009Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 29 years","Outbound","2000Q1","Number of Trips by Irish Residents","Thousand","136"
"20 - 29 years","Outbound","2000Q1","Number of Nights by Irish Residents","Thousand","1218"
"20 - 29 years","Outbound","2000Q1","Average Length of Stay by Irish Residents","Nights per Trip","9"
"20 - 29 years","Outbound","2000Q2","Number of Trips by Irish Residents","Thousand","152"
"20 - 29 years","Outbound","2000Q2","Number of Nights by Irish Residents","Thousand","1819"
"20 - 29 years","Outbound","2000Q2","Average Length of Stay by Irish Residents","Nights per Trip","12"
"20 - 29 years","Outbound","2000Q3","Number of Trips by Irish Residents","Thousand","224"
"20 - 29 years","Outbound","2000Q3","Number of Nights by Irish Residents","Thousand","2986"
"20 - 29 years","Outbound","2000Q3","Average Length of Stay by Irish Residents","Nights per Trip","13.3"
"20 - 29 years","Outbound","2000Q4","Number of Trips by Irish Residents","Thousand","115"
"20 - 29 years","Outbound","2000Q4","Number of Nights by Irish Residents","Thousand","1029"
"20 - 29 years","Outbound","2000Q4","Average Length of Stay by Irish Residents","Nights per Trip","8.9"
"20 - 29 years","Outbound","2001Q1","Number of Trips by Irish Residents","Thousand","113"
"20 - 29 years","Outbound","2001Q1","Number of Nights by Irish Residents","Thousand","1063"
"20 - 29 years","Outbound","2001Q1","Average Length of Stay by Irish Residents","Nights per Trip","9.4"
"20 - 29 years","Outbound","2001Q2","Number of Trips by Irish Residents","Thousand","123"
"20 - 29 years","Outbound","2001Q2","Number of Nights by Irish Residents","Thousand","1635"
"20 - 29 years","Outbound","2001Q2","Average Length of Stay by Irish Residents","Nights per Trip","13.3"
"20 - 29 years","Outbound","2001Q3","Number of Trips by Irish Residents","Thousand","211"
"20 - 29 years","Outbound","2001Q3","Number of Nights by Irish Residents","Thousand","2681"
"20 - 29 years","Outbound","2001Q3","Average Length of Stay by Irish Residents","Nights per Trip","12.7"
"20 - 29 years","Outbound","2001Q4","Number of Trips by Irish Residents","Thousand","122"
"20 - 29 years","Outbound","2001Q4","Number of Nights by Irish Residents","Thousand","937"
"20 - 29 years","Outbound","2001Q4","Average Length of Stay by Irish Residents","Nights per Trip","7.7"
"20 - 29 years","Outbound","2002Q1","Number of Trips by Irish Residents","Thousand","120"
"20 - 29 years","Outbound","2002Q1","Number of Nights by Irish Residents","Thousand","1198"
"20 - 29 years","Outbound","2002Q1","Average Length of Stay by Irish Residents","Nights per Trip","10"
"20 - 29 years","Outbound","2002Q2","Number of Trips by Irish Residents","Thousand","156"
"20 - 29 years","Outbound","2002Q2","Number of Nights by Irish Residents","Thousand","1664"
"20 - 29 years","Outbound","2002Q2","Average Length of Stay by Irish Residents","Nights per Trip","10.7"
"20 - 29 years","Outbound","2002Q3","Number of Trips by Irish Residents","Thousand","231"
"20 - 29 years","Outbound","2002Q3","Number of Nights by Irish Residents","Thousand","2839"
"20 - 29 years","Outbound","2002Q3","Average Length of Stay by Irish Residents","Nights per Trip","12.3"
"20 - 29 years","Outbound","2002Q4","Number of Trips by Irish Residents","Thousand","156"
"20 - 29 years","Outbound","2002Q4","Number of Nights by Irish Residents","Thousand","1195"
"20 - 29 years","Outbound","2002Q4","Average Length of Stay by Irish Residents","Nights per Trip","7.7"
"20 - 29 years","Outbound","2003Q1","Number of Trips by Irish Residents","Thousand","162"
"20 - 29 years","Outbound","2003Q1","Number of Nights by Irish Residents","Thousand","1153"
"20 - 29 years","Outbound","2003Q1","Average Length of Stay by Irish Residents","Nights per Trip","7.1"
"20 - 29 years","Outbound","2003Q2","Number of Trips by Irish Residents","Thousand","167"
"20 - 29 years","Outbound","2003Q2","Number of Nights by Irish Residents","Thousand","2267"
"20 - 29 years","Outbound","2003Q2","Average Length of Stay by Irish Residents","Nights per Trip","13.6"
"20 - 29 years","Outbound","2003Q3","Number of Trips by Irish Residents","Thousand","224"
"20 - 29 years","Outbound","2003Q3","Number of Nights by Irish Residents","Thousand","2814"
"20 - 29 years","Outbound","2003Q3","Average Length of Stay by Irish Residents","Nights per Trip","12.6"
"20 - 29 years","Outbound","2003Q4","Number of Trips by Irish Residents","Thousand","129"
"20 - 29 years","Outbound","2003Q4","Number of Nights by Irish Residents","Thousand","1041"
"20 - 29 years","Outbound","2003Q4","Average Length of Stay by Irish Residents","Nights per Trip","8.1"
"20 - 29 years","Outbound","2004Q1","Number of Trips by Irish Residents","Thousand","143"
"20 - 29 years","Outbound","2004Q1","Number of Nights by Irish Residents","Thousand","1339"
"20 - 29 years","Outbound","2004Q1","Average Length of Stay by Irish Residents","Nights per Trip","9.4"
"20 - 29 years","Outbound","2004Q2","Number of Trips by Irish Residents","Thousand","152"
"20 - 29 years","Outbound","2004Q2","Number of Nights by Irish Residents","Thousand","1568"
"20 - 29 years","Outbound","2004Q2","Average Length of Stay by Irish Residents","Nights per Trip","10.3"
"20 - 29 years","Outbound","2004Q3","Number of Trips by Irish Residents","Thousand","217"
"20 - 29 years","Outbound","2004Q3","Number of Nights by Irish Residents","Thousand","2562"
"20 - 29 years","Outbound","2004Q3","Average Length of Stay by Irish Residents","Nights per Trip","11.8"
"20 - 29 years","Outbound","2004Q4","Number of Trips by Irish Residents","Thousand","144"
"20 - 29 years","Outbound","2004Q4","Number of Nights by Irish Residents","Thousand","1085"
"20 - 29 years","Outbound","2004Q4","Average Length of Stay by Irish Residents","Nights per Trip","7.5"
"20 - 29 years","Outbound","2005Q1","Number of Trips by Irish Residents","Thousand","145"
"20 - 29 years","Outbound","2005Q1","Number of Nights by Irish Residents","Thousand","1243"
"20 - 29 years","Outbound","2005Q1","Average Length of Stay by Irish Residents","Nights per Trip","8.6"
"20 - 29 years","Outbound","2005Q2","Number of Trips by Irish Residents","Thousand","215"
"20 - 29 years","Outbound","2005Q2","Number of Nights by Irish Residents","Thousand","2669"
"20 - 29 years","Outbound","2005Q2","Average Length of Stay by Irish Residents","Nights per Trip","12.4"
"20 - 29 years","Outbound","2005Q3","Number of Trips by Irish Residents","Thousand","243"
"20 - 29 years","Outbound","2005Q3","Number of Nights by Irish Residents","Thousand","2858"
"20 - 29 years","Outbound","2005Q3","Average Length of Stay by Irish Residents","Nights per Trip","11.8"
"20 - 29 years","Outbound","2005Q4","Number of Trips by Irish Residents","Thousand","136"
"20 - 29 years","Outbound","2005Q4","Number of Nights by Irish Residents","Thousand","953"
"20 - 29 years","Outbound","2005Q4","Average Length of Stay by Irish Residents","Nights per Trip","7"
"20 - 29 years","Outbound","2006Q1","Number of Trips by Irish Residents","Thousand","178"
"20 - 29 years","Outbound","2006Q1","Number of Nights by Irish Residents","Thousand","1295"
"20 - 29 years","Outbound","2006Q1","Average Length of Stay by Irish Residents","Nights per Trip","7.3"
"20 - 29 years","Outbound","2006Q2","Number of Trips by Irish Residents","Thousand","163"
"20 - 29 years","Outbound","2006Q2","Number of Nights by Irish Residents","Thousand","1374"
"20 - 29 years","Outbound","2006Q2","Average Length of Stay by Irish Residents","Nights per Trip","8.4"
"20 - 29 years","Outbound","2006Q3","Number of Trips by Irish Residents","Thousand","266"
"20 - 29 years","Outbound","2006Q3","Number of Nights by Irish Residents","Thousand","2895"
"20 - 29 years","Outbound","2006Q3","Average Length of Stay by Irish Residents","Nights per Trip","10.9"
"20 - 29 years","Outbound","2006Q4","Number of Trips by Irish Residents","Thousand","185"
"20 - 29 years","Outbound","2006Q4","Number of Nights by Irish Residents","Thousand","1535"
"20 - 29 years","Outbound","2006Q4","Average Length of Stay by Irish Residents","Nights per Trip","8.3"
"20 - 29 years","Outbound","2007Q1","Number of Trips by Irish Residents","Thousand","177"
"20 - 29 years","Outbound","2007Q1","Number of Nights by Irish Residents","Thousand","1271"
"20 - 29 years","Outbound","2007Q1","Average Length of Stay by Irish Residents","Nights per Trip","7.2"
"20 - 29 years","Outbound","2007Q2","Number of Trips by Irish Residents","Thousand","172"
"20 - 29 years","Outbound","2007Q2","Number of Nights by Irish Residents","Thousand","1957"
"20 - 29 years","Outbound","2007Q2","Average Length of Stay by Irish Residents","Nights per Trip","11.4"
"20 - 29 years","Outbound","2007Q3","Number of Trips by Irish Residents","Thousand",""
"20 - 29 years","Outbound","2007Q3","Number of Nights by Irish Residents","Thousand",""
"20 - 29 years","Outbound","2007Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 29 years","Outbound","2007Q4","Number of Trips by Irish Residents","Thousand",""
"20 - 29 years","Outbound","2007Q4","Number of Nights by Irish Residents","Thousand",""
"20 - 29 years","Outbound","2007Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 29 years","Outbound","2008Q1","Number of Trips by Irish Residents","Thousand",""
"20 - 29 years","Outbound","2008Q1","Number of Nights by Irish Residents","Thousand",""
"20 - 29 years","Outbound","2008Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 29 years","Outbound","2008Q2","Number of Trips by Irish Residents","Thousand",""
"20 - 29 years","Outbound","2008Q2","Number of Nights by Irish Residents","Thousand",""
"20 - 29 years","Outbound","2008Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 29 years","Outbound","2008Q3","Number of Trips by Irish Residents","Thousand",""
"20 - 29 years","Outbound","2008Q3","Number of Nights by Irish Residents","Thousand",""
"20 - 29 years","Outbound","2008Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 29 years","Outbound","2008Q4","Number of Trips by Irish Residents","Thousand",""
"20 - 29 years","Outbound","2008Q4","Number of Nights by Irish Residents","Thousand",""
"20 - 29 years","Outbound","2008Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 29 years","Outbound","2009Q1","Number of Trips by Irish Residents","Thousand",""
"20 - 29 years","Outbound","2009Q1","Number of Nights by Irish Residents","Thousand",""
"20 - 29 years","Outbound","2009Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 29 years","Outbound","2009Q2","Number of Trips by Irish Residents","Thousand",""
"20 - 29 years","Outbound","2009Q2","Number of Nights by Irish Residents","Thousand",""
"20 - 29 years","Outbound","2009Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 29 years","Outbound","2009Q3","Number of Trips by Irish Residents","Thousand",""
"20 - 29 years","Outbound","2009Q3","Number of Nights by Irish Residents","Thousand",""
"20 - 29 years","Outbound","2009Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 29 years","Outbound","2009Q4","Number of Trips by Irish Residents","Thousand",""
"20 - 29 years","Outbound","2009Q4","Number of Nights by Irish Residents","Thousand",""
"20 - 29 years","Outbound","2009Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 49 years","Domestic","2000Q1","Number of Trips by Irish Residents","Thousand",""
"20 - 49 years","Domestic","2000Q1","Number of Nights by Irish Residents","Thousand",""
"20 - 49 years","Domestic","2000Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 49 years","Domestic","2000Q2","Number of Trips by Irish Residents","Thousand",""
"20 - 49 years","Domestic","2000Q2","Number of Nights by Irish Residents","Thousand",""
"20 - 49 years","Domestic","2000Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 49 years","Domestic","2000Q3","Number of Trips by Irish Residents","Thousand",""
"20 - 49 years","Domestic","2000Q3","Number of Nights by Irish Residents","Thousand",""
"20 - 49 years","Domestic","2000Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 49 years","Domestic","2000Q4","Number of Trips by Irish Residents","Thousand",""
"20 - 49 years","Domestic","2000Q4","Number of Nights by Irish Residents","Thousand",""
"20 - 49 years","Domestic","2000Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 49 years","Domestic","2001Q1","Number of Trips by Irish Residents","Thousand",""
"20 - 49 years","Domestic","2001Q1","Number of Nights by Irish Residents","Thousand",""
"20 - 49 years","Domestic","2001Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 49 years","Domestic","2001Q2","Number of Trips by Irish Residents","Thousand",""
"20 - 49 years","Domestic","2001Q2","Number of Nights by Irish Residents","Thousand",""
"20 - 49 years","Domestic","2001Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 49 years","Domestic","2001Q3","Number of Trips by Irish Residents","Thousand",""
"20 - 49 years","Domestic","2001Q3","Number of Nights by Irish Residents","Thousand",""
"20 - 49 years","Domestic","2001Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 49 years","Domestic","2001Q4","Number of Trips by Irish Residents","Thousand",""
"20 - 49 years","Domestic","2001Q4","Number of Nights by Irish Residents","Thousand",""
"20 - 49 years","Domestic","2001Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 49 years","Domestic","2002Q1","Number of Trips by Irish Residents","Thousand",""
"20 - 49 years","Domestic","2002Q1","Number of Nights by Irish Residents","Thousand",""
"20 - 49 years","Domestic","2002Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 49 years","Domestic","2002Q2","Number of Trips by Irish Residents","Thousand",""
"20 - 49 years","Domestic","2002Q2","Number of Nights by Irish Residents","Thousand",""
"20 - 49 years","Domestic","2002Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 49 years","Domestic","2002Q3","Number of Trips by Irish Residents","Thousand",""
"20 - 49 years","Domestic","2002Q3","Number of Nights by Irish Residents","Thousand",""
"20 - 49 years","Domestic","2002Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 49 years","Domestic","2002Q4","Number of Trips by Irish Residents","Thousand",""
"20 - 49 years","Domestic","2002Q4","Number of Nights by Irish Residents","Thousand",""
"20 - 49 years","Domestic","2002Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 49 years","Domestic","2003Q1","Number of Trips by Irish Residents","Thousand",""
"20 - 49 years","Domestic","2003Q1","Number of Nights by Irish Residents","Thousand",""
"20 - 49 years","Domestic","2003Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 49 years","Domestic","2003Q2","Number of Trips by Irish Residents","Thousand",""
"20 - 49 years","Domestic","2003Q2","Number of Nights by Irish Residents","Thousand",""
"20 - 49 years","Domestic","2003Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 49 years","Domestic","2003Q3","Number of Trips by Irish Residents","Thousand",""
"20 - 49 years","Domestic","2003Q3","Number of Nights by Irish Residents","Thousand",""
"20 - 49 years","Domestic","2003Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 49 years","Domestic","2003Q4","Number of Trips by Irish Residents","Thousand",""
"20 - 49 years","Domestic","2003Q4","Number of Nights by Irish Residents","Thousand",""
"20 - 49 years","Domestic","2003Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 49 years","Domestic","2004Q1","Number of Trips by Irish Residents","Thousand",""
"20 - 49 years","Domestic","2004Q1","Number of Nights by Irish Residents","Thousand",""
"20 - 49 years","Domestic","2004Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 49 years","Domestic","2004Q2","Number of Trips by Irish Residents","Thousand",""
"20 - 49 years","Domestic","2004Q2","Number of Nights by Irish Residents","Thousand",""
"20 - 49 years","Domestic","2004Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 49 years","Domestic","2004Q3","Number of Trips by Irish Residents","Thousand",""
"20 - 49 years","Domestic","2004Q3","Number of Nights by Irish Residents","Thousand",""
"20 - 49 years","Domestic","2004Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 49 years","Domestic","2004Q4","Number of Trips by Irish Residents","Thousand",""
"20 - 49 years","Domestic","2004Q4","Number of Nights by Irish Residents","Thousand",""
"20 - 49 years","Domestic","2004Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 49 years","Domestic","2005Q1","Number of Trips by Irish Residents","Thousand","783"
"20 - 49 years","Domestic","2005Q1","Number of Nights by Irish Residents","Thousand","1978"
"20 - 49 years","Domestic","2005Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.5"
"20 - 49 years","Domestic","2005Q2","Number of Trips by Irish Residents","Thousand","856"
"20 - 49 years","Domestic","2005Q2","Number of Nights by Irish Residents","Thousand","2313"
"20 - 49 years","Domestic","2005Q2","Average Length of Stay by Irish Residents","Nights per Trip","2.7"
"20 - 49 years","Domestic","2005Q3","Number of Trips by Irish Residents","Thousand","1031"
"20 - 49 years","Domestic","2005Q3","Number of Nights by Irish Residents","Thousand","4061"
"20 - 49 years","Domestic","2005Q3","Average Length of Stay by Irish Residents","Nights per Trip","3.9"
"20 - 49 years","Domestic","2005Q4","Number of Trips by Irish Residents","Thousand","856"
"20 - 49 years","Domestic","2005Q4","Number of Nights by Irish Residents","Thousand","2156"
"20 - 49 years","Domestic","2005Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.5"
"20 - 49 years","Domestic","2006Q1","Number of Trips by Irish Residents","Thousand","714"
"20 - 49 years","Domestic","2006Q1","Number of Nights by Irish Residents","Thousand","1662"
"20 - 49 years","Domestic","2006Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.3"
"20 - 49 years","Domestic","2006Q2","Number of Trips by Irish Residents","Thousand","739"
"20 - 49 years","Domestic","2006Q2","Number of Nights by Irish Residents","Thousand","2096"
"20 - 49 years","Domestic","2006Q2","Average Length of Stay by Irish Residents","Nights per Trip","2.8"
"20 - 49 years","Domestic","2006Q3","Number of Trips by Irish Residents","Thousand","943"
"20 - 49 years","Domestic","2006Q3","Number of Nights by Irish Residents","Thousand","3771"
"20 - 49 years","Domestic","2006Q3","Average Length of Stay by Irish Residents","Nights per Trip","4"
"20 - 49 years","Domestic","2006Q4","Number of Trips by Irish Residents","Thousand","814"
"20 - 49 years","Domestic","2006Q4","Number of Nights by Irish Residents","Thousand","1837"
"20 - 49 years","Domestic","2006Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.3"
"20 - 49 years","Domestic","2007Q1","Number of Trips by Irish Residents","Thousand","551"
"20 - 49 years","Domestic","2007Q1","Number of Nights by Irish Residents","Thousand","1285"
"20 - 49 years","Domestic","2007Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.3"
"20 - 49 years","Domestic","2007Q2","Number of Trips by Irish Residents","Thousand","656"
"20 - 49 years","Domestic","2007Q2","Number of Nights by Irish Residents","Thousand","1710"
"20 - 49 years","Domestic","2007Q2","Average Length of Stay by Irish Residents","Nights per Trip","2.6"
"20 - 49 years","Domestic","2007Q3","Number of Trips by Irish Residents","Thousand","824"
"20 - 49 years","Domestic","2007Q3","Number of Nights by Irish Residents","Thousand","3479"
"20 - 49 years","Domestic","2007Q3","Average Length of Stay by Irish Residents","Nights per Trip","4.2"
"20 - 49 years","Domestic","2007Q4","Number of Trips by Irish Residents","Thousand","795"
"20 - 49 years","Domestic","2007Q4","Number of Nights by Irish Residents","Thousand","1948"
"20 - 49 years","Domestic","2007Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.5"
"20 - 49 years","Domestic","2008Q1","Number of Trips by Irish Residents","Thousand","696"
"20 - 49 years","Domestic","2008Q1","Number of Nights by Irish Residents","Thousand","1600"
"20 - 49 years","Domestic","2008Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.3"
"20 - 49 years","Domestic","2008Q2","Number of Trips by Irish Residents","Thousand","650"
"20 - 49 years","Domestic","2008Q2","Number of Nights by Irish Residents","Thousand","1653"
"20 - 49 years","Domestic","2008Q2","Average Length of Stay by Irish Residents","Nights per Trip","2.5"
"20 - 49 years","Domestic","2008Q3","Number of Trips by Irish Residents","Thousand","843"
"20 - 49 years","Domestic","2008Q3","Number of Nights by Irish Residents","Thousand","3398"
"20 - 49 years","Domestic","2008Q3","Average Length of Stay by Irish Residents","Nights per Trip","4"
"20 - 49 years","Domestic","2008Q4","Number of Trips by Irish Residents","Thousand","774"
"20 - 49 years","Domestic","2008Q4","Number of Nights by Irish Residents","Thousand","1866"
"20 - 49 years","Domestic","2008Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.4"
"20 - 49 years","Domestic","2009Q1","Number of Trips by Irish Residents","Thousand","595"
"20 - 49 years","Domestic","2009Q1","Number of Nights by Irish Residents","Thousand","1435"
"20 - 49 years","Domestic","2009Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.4"
"20 - 49 years","Domestic","2009Q2","Number of Trips by Irish Residents","Thousand","776"
"20 - 49 years","Domestic","2009Q2","Number of Nights by Irish Residents","Thousand","2060"
"20 - 49 years","Domestic","2009Q2","Average Length of Stay by Irish Residents","Nights per Trip","2.7"
"20 - 49 years","Domestic","2009Q3","Number of Trips by Irish Residents","Thousand","919"
"20 - 49 years","Domestic","2009Q3","Number of Nights by Irish Residents","Thousand","3312"
"20 - 49 years","Domestic","2009Q3","Average Length of Stay by Irish Residents","Nights per Trip","3.6"
"20 - 49 years","Domestic","2009Q4","Number of Trips by Irish Residents","Thousand","801"
"20 - 49 years","Domestic","2009Q4","Number of Nights by Irish Residents","Thousand","1982"
"20 - 49 years","Domestic","2009Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.5"
"20 - 49 years","Outbound","2000Q1","Number of Trips by Irish Residents","Thousand",""
"20 - 49 years","Outbound","2000Q1","Number of Nights by Irish Residents","Thousand",""
"20 - 49 years","Outbound","2000Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 49 years","Outbound","2000Q2","Number of Trips by Irish Residents","Thousand",""
"20 - 49 years","Outbound","2000Q2","Number of Nights by Irish Residents","Thousand",""
"20 - 49 years","Outbound","2000Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 49 years","Outbound","2000Q3","Number of Trips by Irish Residents","Thousand",""
"20 - 49 years","Outbound","2000Q3","Number of Nights by Irish Residents","Thousand",""
"20 - 49 years","Outbound","2000Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 49 years","Outbound","2000Q4","Number of Trips by Irish Residents","Thousand",""
"20 - 49 years","Outbound","2000Q4","Number of Nights by Irish Residents","Thousand",""
"20 - 49 years","Outbound","2000Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 49 years","Outbound","2001Q1","Number of Trips by Irish Residents","Thousand",""
"20 - 49 years","Outbound","2001Q1","Number of Nights by Irish Residents","Thousand",""
"20 - 49 years","Outbound","2001Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 49 years","Outbound","2001Q2","Number of Trips by Irish Residents","Thousand",""
"20 - 49 years","Outbound","2001Q2","Number of Nights by Irish Residents","Thousand",""
"20 - 49 years","Outbound","2001Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 49 years","Outbound","2001Q3","Number of Trips by Irish Residents","Thousand",""
"20 - 49 years","Outbound","2001Q3","Number of Nights by Irish Residents","Thousand",""
"20 - 49 years","Outbound","2001Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 49 years","Outbound","2001Q4","Number of Trips by Irish Residents","Thousand",""
"20 - 49 years","Outbound","2001Q4","Number of Nights by Irish Residents","Thousand",""
"20 - 49 years","Outbound","2001Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 49 years","Outbound","2002Q1","Number of Trips by Irish Residents","Thousand",""
"20 - 49 years","Outbound","2002Q1","Number of Nights by Irish Residents","Thousand",""
"20 - 49 years","Outbound","2002Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 49 years","Outbound","2002Q2","Number of Trips by Irish Residents","Thousand",""
"20 - 49 years","Outbound","2002Q2","Number of Nights by Irish Residents","Thousand",""
"20 - 49 years","Outbound","2002Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 49 years","Outbound","2002Q3","Number of Trips by Irish Residents","Thousand",""
"20 - 49 years","Outbound","2002Q3","Number of Nights by Irish Residents","Thousand",""
"20 - 49 years","Outbound","2002Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 49 years","Outbound","2002Q4","Number of Trips by Irish Residents","Thousand",""
"20 - 49 years","Outbound","2002Q4","Number of Nights by Irish Residents","Thousand",""
"20 - 49 years","Outbound","2002Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"20 - 49 years","Outbound","2003Q1","Number of Trips by Irish Residents","Thousand",""
"20 - 49 years","Outbound","2003Q1","Number of Nights by Irish Residents","Thousand",""
"20 - 49 years","Outbound","2003Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
