"Age Group","Domestic or Outbound","Quarter","Statistic Label","UNIT","VALUE"
"0 - 14 years","Domestic","2005Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.8"
"0 - 14 years","Domestic","2005Q2","Number of Trips by Irish Residents","Thousand","324"
"0 - 14 years","Domestic","2005Q2","Number of Nights by Irish Residents","Thousand","1170"
"0 - 14 years","Domestic","2005Q2","Average Length of Stay by Irish Residents","Nights per Trip","3.6"
"0 - 14 years","Domestic","2005Q3","Number of Trips by Irish Residents","Thousand","544"
"0 - 14 years","Domestic","2005Q3","Number of Nights by Irish Residents","Thousand","3085"
"0 - 14 years","Domestic","2005Q3","Average Length of Stay by Irish Residents","Nights per Trip","5.7"
"0 - 14 years","Domestic","2005Q4","Number of Trips by Irish Residents","Thousand","301"
"0 - 14 years","Domestic","2005Q4","Number of Nights by Irish Residents","Thousand","873"
"0 - 14 years","Domestic","2005Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.9"
"0 - 14 years","Domestic","2006Q1","Number of Trips by Irish Residents","Thousand","250"
"0 - 14 years","Domestic","2006Q1","Number of Nights by Irish Residents","Thousand","677"
"0 - 14 years","Domestic","2006Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.7"
"0 - 14 years","Domestic","2006Q2","Number of Trips by Irish Residents","Thousand","338"
"0 - 14 years","Domestic","2006Q2","Number of Nights by Irish Residents","Thousand","1099"
"0 - 14 years","Domestic","2006Q2","Average Length of Stay by Irish Residents","Nights per Trip","3.3"
"0 - 14 years","Domestic","2006Q3","Number of Trips by Irish Residents","Thousand","514"
"0 - 14 years","Domestic","2006Q3","Number of Nights by Irish Residents","Thousand","2834"
"0 - 14 years","Domestic","2006Q3","Average Length of Stay by Irish Residents","Nights per Trip","5.5"
"0 - 14 years","Domestic","2006Q4","Number of Trips by Irish Residents","Thousand","307"
"0 - 14 years","Domestic","2006Q4","Number of Nights by Irish Residents","Thousand","775"
"0 - 14 years","Domestic","2006Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.5"
"0 - 14 years","Domestic","2007Q1","Number of Trips by Irish Residents","Thousand","224"
"0 - 14 years","Domestic","2007Q1","Number of Nights by Irish Residents","Thousand","539"
"0 - 14 years","Domestic","2007Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.4"
"0 - 14 years","Domestic","2007Q2","Number of Trips by Irish Residents","Thousand","303"
"0 - 14 years","Domestic","2007Q2","Number of Nights by Irish Residents","Thousand","974"
"0 - 14 years","Domestic","2007Q2","Average Length of Stay by Irish Residents","Nights per Trip","3.2"
"0 - 14 years","Domestic","2007Q3","Number of Trips by Irish Residents","Thousand",""
"0 - 14 years","Domestic","2007Q3","Number of Nights by Irish Residents","Thousand",""
"0 - 14 years","Domestic","2007Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 14 years","Domestic","2007Q4","Number of Trips by Irish Residents","Thousand",""
"0 - 14 years","Domestic","2007Q4","Number of Nights by Irish Residents","Thousand",""
"0 - 14 years","Domestic","2007Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 14 years","Domestic","2008Q1","Number of Trips by Irish Residents","Thousand",""
"0 - 14 years","Domestic","2008Q1","Number of Nights by Irish Residents","Thousand",""
"0 - 14 years","Domestic","2008Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 14 years","Domestic","2008Q2","Number of Trips by Irish Residents","Thousand",""
"0 - 14 years","Domestic","2008Q2","Number of Nights by Irish Residents","Thousand",""
"0 - 14 years","Domestic","2008Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 14 years","Domestic","2008Q3","Number of Trips by Irish Residents","Thousand",""
"0 - 14 years","Domestic","2008Q3","Number of Nights by Irish Residents","Thousand",""
"0 - 14 years","Domestic","2008Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 14 years","Domestic","2008Q4","Number of Trips by Irish Residents","Thousand",""
"0 - 14 years","Domestic","2008Q4","Number of Nights by Irish Residents","Thousand",""
"0 - 14 years","Domestic","2008Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 14 years","Domestic","2009Q1","Number of Trips by Irish Residents","Thousand",""
"0 - 14 years","Domestic","2009Q1","Number of Nights by Irish Residents","Thousand",""
"0 - 14 years","Domestic","2009Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 14 years","Domestic","2009Q2","Number of Trips by Irish Residents","Thousand",""
"0 - 14 years","Domestic","2009Q2","Number of Nights by Irish Residents","Thousand",""
"0 - 14 years","Domestic","2009Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 14 years","Domestic","2009Q3","Number of Trips by Irish Residents","Thousand",""
"0 - 14 years","Domestic","2009Q3","Number of Nights by Irish Residents","Thousand",""
"0 - 14 years","Domestic","2009Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 14 years","Domestic","2009Q4","Number of Trips by Irish Residents","Thousand",""
"0 - 14 years","Domestic","2009Q4","Number of Nights by Irish Residents","Thousand",""
"0 - 14 years","Domestic","2009Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 14 years","Outbound","2000Q1","Number of Trips by Irish Residents","Thousand","59"
"0 - 14 years","Outbound","2000Q1","Number of Nights by Irish Residents","Thousand","471"
"0 - 14 years","Outbound","2000Q1","Average Length of Stay by Irish Residents","Nights per Trip","8"
"0 - 14 years","Outbound","2000Q2","Number of Trips by Irish Residents","Thousand","177"
"0 - 14 years","Outbound","2000Q2","Number of Nights by Irish Residents","Thousand","2074"
"0 - 14 years","Outbound","2000Q2","Average Length of Stay by Irish Residents","Nights per Trip","11.7"
"0 - 14 years","Outbound","2000Q3","Number of Trips by Irish Residents","Thousand","184"
"0 - 14 years","Outbound","2000Q3","Number of Nights by Irish Residents","Thousand","2246"
"0 - 14 years","Outbound","2000Q3","Average Length of Stay by Irish Residents","Nights per Trip","12.2"
"0 - 14 years","Outbound","2000Q4","Number of Trips by Irish Residents","Thousand","83"
"0 - 14 years","Outbound","2000Q4","Number of Nights by Irish Residents","Thousand","616"
"0 - 14 years","Outbound","2000Q4","Average Length of Stay by Irish Residents","Nights per Trip","7.4"
"0 - 14 years","Outbound","2001Q1","Number of Trips by Irish Residents","Thousand","72"
"0 - 14 years","Outbound","2001Q1","Number of Nights by Irish Residents","Thousand","537"
"0 - 14 years","Outbound","2001Q1","Average Length of Stay by Irish Residents","Nights per Trip","7.5"
"0 - 14 years","Outbound","2001Q2","Number of Trips by Irish Residents","Thousand","209"
"0 - 14 years","Outbound","2001Q2","Number of Nights by Irish Residents","Thousand","2378"
"0 - 14 years","Outbound","2001Q2","Average Length of Stay by Irish Residents","Nights per Trip","11.4"
"0 - 14 years","Outbound","2001Q3","Number of Trips by Irish Residents","Thousand","261"
"0 - 14 years","Outbound","2001Q3","Number of Nights by Irish Residents","Thousand","3044"
"0 - 14 years","Outbound","2001Q3","Average Length of Stay by Irish Residents","Nights per Trip","11.7"
"0 - 14 years","Outbound","2001Q4","Number of Trips by Irish Residents","Thousand","102"
"0 - 14 years","Outbound","2001Q4","Number of Nights by Irish Residents","Thousand","745"
"0 - 14 years","Outbound","2001Q4","Average Length of Stay by Irish Residents","Nights per Trip","7.3"
"0 - 14 years","Outbound","2002Q1","Number of Trips by Irish Residents","Thousand","100"
"0 - 14 years","Outbound","2002Q1","Number of Nights by Irish Residents","Thousand","682"
"0 - 14 years","Outbound","2002Q1","Average Length of Stay by Irish Residents","Nights per Trip","6.8"
"0 - 14 years","Outbound","2002Q2","Number of Trips by Irish Residents","Thousand","198"
"0 - 14 years","Outbound","2002Q2","Number of Nights by Irish Residents","Thousand","2099"
"0 - 14 years","Outbound","2002Q2","Average Length of Stay by Irish Residents","Nights per Trip","10.6"
"0 - 14 years","Outbound","2002Q3","Number of Trips by Irish Residents","Thousand","264"
"0 - 14 years","Outbound","2002Q3","Number of Nights by Irish Residents","Thousand","3070"
"0 - 14 years","Outbound","2002Q3","Average Length of Stay by Irish Residents","Nights per Trip","11.6"
"0 - 14 years","Outbound","2002Q4","Number of Trips by Irish Residents","Thousand","99"
"0 - 14 years","Outbound","2002Q4","Number of Nights by Irish Residents","Thousand","661"
"0 - 14 years","Outbound","2002Q4","Average Length of Stay by Irish Residents","Nights per Trip","6.7"
"0 - 14 years","Outbound","2003Q1","Number of Trips by Irish Residents","Thousand","94"
"0 - 14 years","Outbound","2003Q1","Number of Nights by Irish Residents","Thousand","651"
"0 - 14 years","Outbound","2003Q1","Average Length of Stay by Irish Residents","Nights per Trip","6.9"
"0 - 14 years","Outbound","2003Q2","Number of Trips by Irish Residents","Thousand","225"
"0 - 14 years","Outbound","2003Q2","Number of Nights by Irish Residents","Thousand","2281"
"0 - 14 years","Outbound","2003Q2","Average Length of Stay by Irish Residents","Nights per Trip","10.1"
"0 - 14 years","Outbound","2003Q3","Number of Trips by Irish Residents","Thousand","291"
"0 - 14 years","Outbound","2003Q3","Number of Nights by Irish Residents","Thousand","3437"
"0 - 14 years","Outbound","2003Q3","Average Length of Stay by Irish Residents","Nights per Trip","11.8"
"0 - 14 years","Outbound","2003Q4","Number of Trips by Irish Residents","Thousand","122"
"0 - 14 years","Outbound","2003Q4","Number of Nights by Irish Residents","Thousand","928"
"0 - 14 years","Outbound","2003Q4","Average Length of Stay by Irish Residents","Nights per Trip","7.6"
"0 - 14 years","Outbound","2004Q1","Number of Trips by Irish Residents","Thousand","117"
"0 - 14 years","Outbound","2004Q1","Number of Nights by Irish Residents","Thousand","755"
"0 - 14 years","Outbound","2004Q1","Average Length of Stay by Irish Residents","Nights per Trip","6.5"
"0 - 14 years","Outbound","2004Q2","Number of Trips by Irish Residents","Thousand","256"
"0 - 14 years","Outbound","2004Q2","Number of Nights by Irish Residents","Thousand","2677"
"0 - 14 years","Outbound","2004Q2","Average Length of Stay by Irish Residents","Nights per Trip","10.5"
"0 - 14 years","Outbound","2004Q3","Number of Trips by Irish Residents","Thousand","323"
"0 - 14 years","Outbound","2004Q3","Number of Nights by Irish Residents","Thousand","3884"
"0 - 14 years","Outbound","2004Q3","Average Length of Stay by Irish Residents","Nights per Trip","12"
"0 - 14 years","Outbound","2004Q4","Number of Trips by Irish Residents","Thousand","150"
