"Statistic Label","Quarter","Length of Stay","Region Visited","UNIT","VALUE"
"Number of Trips by Irish Residents","2018Q1","1 + Nights","State","Thousand","2118"
"Number of Trips by Irish Residents","2018Q1","1 + Nights","Northern and Western","Thousand","431"
"Number of Trips by Irish Residents","2018Q1","1 + Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2018Q1","1 + Nights","West","Thousand",""
"Number of Trips by Irish Residents","2018Q1","1 + Nights","Southern","Thousand","1038"
"Number of Trips by Irish Residents","2018Q1","1 + Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2018Q1","1 + Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2018Q1","1 + Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2018Q1","1 + Nights","Eastern and Midland","Thousand","649"
"Number of Trips by Irish Residents","2018Q1","1 + Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2018Q1","1 + Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2018Q1","1 + Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2018Q1","1 - 3 Nights","State","Thousand","1928"
"Number of Trips by Irish Residents","2018Q1","1 - 3 Nights","Northern and Western","Thousand","391"
"Number of Trips by Irish Residents","2018Q1","1 - 3 Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2018Q1","1 - 3 Nights","West","Thousand",""
"Number of Trips by Irish Residents","2018Q1","1 - 3 Nights","Southern","Thousand","918"
"Number of Trips by Irish Residents","2018Q1","1 - 3 Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2018Q1","1 - 3 Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2018Q1","1 - 3 Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2018Q1","1 - 3 Nights","Eastern and Midland","Thousand","619"
"Number of Trips by Irish Residents","2018Q1","1 - 3 Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2018Q1","1 - 3 Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2018Q1","1 - 3 Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2018Q1","4 + Nights","State","Thousand","190"
"Number of Trips by Irish Residents","2018Q1","4 + Nights","Northern and Western","Thousand","40"
"Number of Trips by Irish Residents","2018Q1","4 + Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2018Q1","4 + Nights","West","Thousand",""
"Number of Trips by Irish Residents","2018Q1","4 + Nights","Southern","Thousand","120"
"Number of Trips by Irish Residents","2018Q1","4 + Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2018Q1","4 + Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2018Q1","4 + Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2018Q1","4 + Nights","Eastern and Midland","Thousand","30"
"Number of Trips by Irish Residents","2018Q1","4 + Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2018Q1","4 + Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2018Q1","4 + Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2018Q2","1 + Nights","State","Thousand","2553"
"Number of Trips by Irish Residents","2018Q2","1 + Nights","Northern and Western","Thousand","642"
"Number of Trips by Irish Residents","2018Q2","1 + Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2018Q2","1 + Nights","West","Thousand",""
"Number of Trips by Irish Residents","2018Q2","1 + Nights","Southern","Thousand","1156"
"Number of Trips by Irish Residents","2018Q2","1 + Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2018Q2","1 + Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2018Q2","1 + Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2018Q2","1 + Nights","Eastern and Midland","Thousand","755"
"Number of Trips by Irish Residents","2018Q2","1 + Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2018Q2","1 + Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2018Q2","1 + Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2018Q2","1 - 3 Nights","State","Thousand","2188"
"Number of Trips by Irish Residents","2018Q2","1 - 3 Nights","Northern and Western","Thousand","556"
"Number of Trips by Irish Residents","2018Q2","1 - 3 Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2018Q2","1 - 3 Nights","West","Thousand",""
"Number of Trips by Irish Residents","2018Q2","1 - 3 Nights","Southern","Thousand","948"
"Number of Trips by Irish Residents","2018Q2","1 - 3 Nights","Mid-West","Thousand",""
