"Statistic Label","Quarter","Type of Accommodation Used","Domestic","UNIT","VALUE"
"Number of Trips by Irish Residents","2019Q4","Other","Domestic","Thousand","263"
"Number of Trips by Irish Residents","2019Q4","Other","Outbound","Thousand","183"
"Number of Trips by Irish Residents","2020Q1","All types of accommodation","Domestic","Thousand","2160"
"Number of Trips by Irish Residents","2020Q1","All types of accommodation","Outbound","Thousand","1575"
"Number of Trips by Irish Residents","2020Q1","Friends/relatives","Domestic","Thousand","856"
"Number of Trips by Irish Residents","2020Q1","Friends/relatives","Outbound","Thousand","378"
"Number of Trips by Irish Residents","2020Q1","Hotel/conference centre","Domestic","Thousand","920"
"Number of Trips by Irish Residents","2020Q1","Hotel/conference centre","Outbound","Thousand","814"
"Number of Trips by Irish Residents","2020Q1","Self catering/rented house","Domestic","Thousand","168"
"Number of Trips by Irish Residents","2020Q1","Self catering/rented house","Outbound","Thousand","245"
"Number of Trips by Irish Residents","2020Q1","Other","Domestic","Thousand","216"
"Number of Trips by Irish Residents","2020Q1","Other","Outbound","Thousand","137"
"Number of Trips by Irish Residents","2020Q2","All types of accommodation","Domestic","Thousand","237"
"Number of Trips by Irish Residents","2020Q2","All types of accommodation","Outbound","Thousand","60"
"Number of Trips by Irish Residents","2020Q2","Friends/relatives","Domestic","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Friends/relatives","Outbound","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Hotel/conference centre","Domestic","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Hotel/conference centre","Outbound","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Self catering/rented house","Domestic","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Self catering/rented house","Outbound","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Other","Domestic","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Other","Outbound","Thousand",""
"Number of Trips by Irish Residents","2020Q3","All types of accommodation","Domestic","Thousand","4188"
"Number of Trips by Irish Residents","2020Q3","All types of accommodation","Outbound","Thousand","530"
"Number of Trips by Irish Residents","2020Q3","Friends/relatives","Domestic","Thousand","1250"
"Number of Trips by Irish Residents","2020Q3","Friends/relatives","Outbound","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Hotel/conference centre","Domestic","Thousand","1362"
"Number of Trips by Irish Residents","2020Q3","Hotel/conference centre","Outbound","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Self catering/rented house","Domestic","Thousand","668"
"Number of Trips by Irish Residents","2020Q3","Self catering/rented house","Outbound","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Other","Domestic","Thousand","908"
"Number of Trips by Irish Residents","2020Q3","Other","Outbound","Thousand",""
"Number of Trips by Irish Residents","2020Q4","All types of accommodation","Domestic","Thousand","1136"
"Number of Trips by Irish Residents","2020Q4","All types of accommodation","Outbound","Thousand","200"
"Number of Trips by Irish Residents","2020Q4","Friends/relatives","Domestic","Thousand","595"
"Number of Trips by Irish Residents","2020Q4","Friends/relatives","Outbound","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Hotel/conference centre","Domestic","Thousand","325"
"Number of Trips by Irish Residents","2020Q4","Hotel/conference centre","Outbound","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Self catering/rented house","Domestic","Thousand","79"
"Number of Trips by Irish Residents","2020Q4","Self catering/rented house","Outbound","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Other","Domestic","Thousand","137"
"Number of Trips by Irish Residents","2020Q4","Other","Outbound","Thousand",""
"Number of Trips by Irish Residents","2021Q1","All types of accommodation","Domestic","Thousand","278"
"Number of Trips by Irish Residents","2021Q1","All types of accommodation","Outbound","Thousand","108"
"Number of Trips by Irish Residents","2021Q1","Friends/relatives","Domestic","Thousand","164"
"Number of Trips by Irish Residents","2021Q1","Friends/relatives","Outbound","Thousand","66"
"Number of Trips by Irish Residents","2021Q1","Hotel/conference centre","Domestic","Thousand","16"
"Number of Trips by Irish Residents","2021Q1","Hotel/conference centre","Outbound","Thousand","24"
"Number of Trips by Irish Residents","2021Q1","Self catering/rented house","Domestic","Thousand","47"
"Number of Trips by Irish Residents","2021Q1","Self catering/rented house","Outbound","Thousand","15"
"Number of Trips by Irish Residents","2021Q1","Other","Domestic","Thousand","51"
"Number of Trips by Irish Residents","2021Q1","Other","Outbound","Thousand","2"
"Number of Trips by Irish Residents","2021Q2","All types of accommodation","Domestic","Thousand","990"
"Number of Trips by Irish Residents","2021Q2","All types of accommodation","Outbound","Thousand","168"
"Number of Trips by Irish Residents","2021Q2","Friends/relatives","Domestic","Thousand","449"
"Number of Trips by Irish Residents","2021Q2","Friends/relatives","Outbound","Thousand","70"
"Number of Trips by Irish Residents","2021Q2","Hotel/conference centre","Domestic","Thousand","208"
"Number of Trips by Irish Residents","2021Q2","Hotel/conference centre","Outbound","Thousand","55"
"Number of Trips by Irish Residents","2021Q2","Self catering/rented house","Domestic","Thousand","90"
"Number of Trips by Irish Residents","2021Q2","Self catering/rented house","Outbound","Thousand","32"
"Number of Trips by Irish Residents","2021Q2","Other","Domestic","Thousand","243"
"Number of Trips by Irish Residents","2021Q2","Other","Outbound","Thousand","11"
"Number of Trips by Irish Residents","2021Q3","All types of accommodation","Domestic","Thousand","2808"
"Number of Trips by Irish Residents","2021Q3","All types of accommodation","Outbound","Thousand","907"
"Number of Trips by Irish Residents","2021Q3","Friends/relatives","Domestic","Thousand","836"
"Number of Trips by Irish Residents","2021Q3","Friends/relatives","Outbound","Thousand","289"
"Number of Trips by Irish Residents","2021Q3","Hotel/conference centre","Domestic","Thousand","971"
"Number of Trips by Irish Residents","2021Q3","Hotel/conference centre","Outbound","Thousand","324"
"Number of Trips by Irish Residents","2021Q3","Self catering/rented house","Domestic","Thousand","394"
"Number of Trips by Irish Residents","2021Q3","Self catering/rented house","Outbound","Thousand","136"
"Number of Trips by Irish Residents","2021Q3","Other","Domestic","Thousand","607"
"Number of Trips by Irish Residents","2021Q3","Other","Outbound","Thousand","158"
"Number of Trips by Irish Residents","2021Q4","All types of accommodation","Domestic","Thousand","1587"
"Number of Trips by Irish Residents","2021Q4","All types of accommodation","Outbound","Thousand","1094"
"Number of Trips by Irish Residents","2021Q4","Friends/relatives","Domestic","Thousand","652"
"Number of Trips by Irish Residents","2021Q4","Friends/relatives","Outbound","Thousand","375"
"Number of Trips by Irish Residents","2021Q4","Hotel/conference centre","Domestic","Thousand","629"
"Number of Trips by Irish Residents","2021Q4","Hotel/conference centre","Outbound","Thousand","537"
"Number of Trips by Irish Residents","2021Q4","Self catering/rented house","Domestic","Thousand","130"
"Number of Trips by Irish Residents","2021Q4","Self catering/rented house","Outbound","Thousand","92"
"Number of Trips by Irish Residents","2021Q4","Other","Domestic","Thousand","177"
"Number of Trips by Irish Residents","2021Q4","Other","Outbound","Thousand","90"
"Number of Trips by Irish Residents","2022Q1","All types of accommodation","Domestic","Thousand","2308"
"Number of Trips by Irish Residents","2022Q1","All types of accommodation","Outbound","Thousand","1063"
"Number of Trips by Irish Residents","2022Q1","Friends/relatives","Domestic","Thousand","949"
"Number of Trips by Irish Residents","2022Q1","Friends/relatives","Outbound","Thousand","305"
"Number of Trips by Irish Residents","2022Q1","Hotel/conference centre","Domestic","Thousand","897"
"Number of Trips by Irish Residents","2022Q1","Hotel/conference centre","Outbound","Thousand","580"
"Number of Trips by Irish Residents","2022Q1","Self catering/rented house","Domestic","Thousand","180"
"Number of Trips by Irish Residents","2022Q1","Self catering/rented house","Outbound","Thousand","110"
"Number of Trips by Irish Residents","2022Q1","Other","Domestic","Thousand","281"
"Number of Trips by Irish Residents","2022Q1","Other","Outbound","Thousand","68"
"Number of Trips by Irish Residents","2022Q2","All types of accommodation","Domestic","Thousand","3397"
"Number of Trips by Irish Residents","2022Q2","All types of accommodation","Outbound","Thousand","2175"
"Number of Trips by Irish Residents","2022Q2","Friends/relatives","Domestic","Thousand","1173"
"Number of Trips by Irish Residents","2022Q2","Friends/relatives","Outbound","Thousand","531"
"Number of Trips by Irish Residents","2022Q2","Hotel/conference centre","Domestic","Thousand","1088"
"Number of Trips by Irish Residents","2022Q2","Hotel/conference centre","Outbound","Thousand","923"
"Number of Trips by Irish Residents","2022Q2","Self catering/rented house","Domestic","Thousand","386"
"Number of Trips by Irish Residents","2022Q2","Self catering/rented house","Outbound","Thousand","422"
"Number of Trips by Irish Residents","2022Q2","Other","Domestic","Thousand","749"
"Number of Trips by Irish Residents","2022Q2","Other","Outbound","Thousand","299"
"Number of Trips by Irish Residents","2022Q3","All types of accommodation","Domestic","Thousand","4506"
"Number of Trips by Irish Residents","2022Q3","All types of accommodation","Outbound","Thousand","3020"
"Number of Trips by Irish Residents","2022Q3","Friends/relatives","Domestic","Thousand","1467"
"Number of Trips by Irish Residents","2022Q3","Friends/relatives","Outbound","Thousand","614"
"Number of Trips by Irish Residents","2022Q3","Hotel/conference centre","Domestic","Thousand","1334"
"Number of Trips by Irish Residents","2022Q3","Hotel/conference centre","Outbound","Thousand","1151"
"Number of Trips by Irish Residents","2022Q3","Self catering/rented house","Domestic","Thousand","563"
"Number of Trips by Irish Residents","2022Q3","Self catering/rented house","Outbound","Thousand","712"
"Number of Trips by Irish Residents","2022Q3","Other","Domestic","Thousand","1143"
"Number of Trips by Irish Residents","2022Q3","Other","Outbound","Thousand","542"
"Number of Trips by Irish Residents","2022Q4","All types of accommodation","Domestic","Thousand","3064"
"Number of Trips by Irish Residents","2022Q4","All types of accommodation","Outbound","Thousand","2287"
"Number of Trips by Irish Residents","2022Q4","Friends/relatives","Domestic","Thousand","1267"
"Number of Trips by Irish Residents","2022Q4","Friends/relatives","Outbound","Thousand","634"
"Number of Trips by Irish Residents","2022Q4","Hotel/conference centre","Domestic","Thousand","1170"
"Number of Trips by Irish Residents","2022Q4","Hotel/conference centre","Outbound","Thousand","1177"
"Number of Trips by Irish Residents","2022Q4","Self catering/rented house","Domestic","Thousand","225"
"Number of Trips by Irish Residents","2022Q4","Self catering/rented house","Outbound","Thousand","257"
"Number of Trips by Irish Residents","2022Q4","Other","Domestic","Thousand","401"
"Number of Trips by Irish Residents","2022Q4","Other","Outbound","Thousand","219"
"Number of Trips by Irish Residents","2023Q1","All types of accommodation","Domestic","Thousand","2571"
"Number of Trips by Irish Residents","2023Q1","All types of accommodation","Outbound","Thousand","2082"
"Number of Trips by Irish Residents","2023Q1","Friends/relatives","Domestic","Thousand","1034"
"Number of Trips by Irish Residents","2023Q1","Friends/relatives","Outbound","Thousand","589"
"Number of Trips by Irish Residents","2023Q1","Hotel/conference centre","Domestic","Thousand","1128"
"Number of Trips by Irish Residents","2023Q1","Hotel/conference centre","Outbound","Thousand","1121"
"Number of Trips by Irish Residents","2023Q1","Self catering/rented house","Domestic","Thousand","139"
"Number of Trips by Irish Residents","2023Q1","Self catering/rented house","Outbound","Thousand","238"
"Number of Trips by Irish Residents","2023Q1","Other","Domestic","Thousand","271"
"Number of Trips by Irish Residents","2023Q1","Other","Outbound","Thousand","133"
"Number of Trips by Irish Residents","2023Q2","All types of accommodation","Domestic","Thousand","3826"
"Number of Trips by Irish Residents","2023Q2","All types of accommodation","Outbound","Thousand","3699"
"Number of Trips by Irish Residents","2023Q2","Friends/relatives","Domestic","Thousand","1574"
"Number of Trips by Irish Residents","2023Q2","Friends/relatives","Outbound","Thousand","915"
"Number of Trips by Irish Residents","2023Q2","Hotel/conference centre","Domestic","Thousand","1388"
"Number of Trips by Irish Residents","2023Q2","Hotel/conference centre","Outbound","Thousand","1789"
"Number of Trips by Irish Residents","2023Q2","Self catering/rented house","Domestic","Thousand","302"
"Number of Trips by Irish Residents","2023Q2","Self catering/rented house","Outbound","Thousand","533"
"Number of Trips by Irish Residents","2023Q2","Other","Domestic","Thousand","562"
"Number of Trips by Irish Residents","2023Q2","Other","Outbound","Thousand","462"
"Number of Trips by Irish Residents","2023Q3","All types of accommodation","Domestic","Thousand","4518"
"Number of Trips by Irish Residents","2023Q3","All types of accommodation","Outbound","Thousand","3950"
"Number of Trips by Irish Residents","2023Q3","Friends/relatives","Domestic","Thousand","1755"
"Number of Trips by Irish Residents","2023Q3","Friends/relatives","Outbound","Thousand","978"
"Number of Trips by Irish Residents","2023Q3","Hotel/conference centre","Domestic","Thousand","1356"
"Number of Trips by Irish Residents","2023Q3","Hotel/conference centre","Outbound","Thousand","1655"
"Number of Trips by Irish Residents","2023Q3","Self catering/rented house","Domestic","Thousand","501"
"Number of Trips by Irish Residents","2023Q3","Self catering/rented house","Outbound","Thousand","747"
"Number of Trips by Irish Residents","2023Q3","Other","Domestic","Thousand","907"
"Number of Trips by Irish Residents","2023Q3","Other","Outbound","Thousand","569"
"Number of Nights by Irish Residents","2000Q1","All types of accommodation","Domestic","Thousand","3578"
"Number of Nights by Irish Residents","2000Q1","All types of accommodation","Outbound","Thousand","5518"
"Number of Nights by Irish Residents","2000Q1","Friends/relatives","Domestic","Thousand","1464"
"Number of Nights by Irish Residents","2000Q1","Friends/relatives","Outbound","Thousand","1759"
"Number of Nights by Irish Residents","2000Q1","Hotel/conference centre","Domestic","Thousand","1065"
"Number of Nights by Irish Residents","2000Q1","Hotel/conference centre","Outbound","Thousand","2087"
"Number of Nights by Irish Residents","2000Q1","Self catering/rented house","Domestic","Thousand","367"
"Number of Nights by Irish Residents","2000Q1","Self catering/rented house","Outbound","Thousand","873"
"Number of Nights by Irish Residents","2000Q1","Other","Domestic","Thousand","155"
"Number of Nights by Irish Residents","2000Q1","Other","Outbound","Thousand","434"
"Number of Nights by Irish Residents","2000Q2","All types of accommodation","Domestic","Thousand","4340"
"Number of Nights by Irish Residents","2000Q2","All types of accommodation","Outbound","Thousand","10537"
"Number of Nights by Irish Residents","2000Q2","Friends/relatives","Domestic","Thousand","1337"
"Number of Nights by Irish Residents","2000Q2","Friends/relatives","Outbound","Thousand","2168"
"Number of Nights by Irish Residents","2000Q2","Hotel/conference centre","Domestic","Thousand","1021"
"Number of Nights by Irish Residents","2000Q2","Hotel/conference centre","Outbound","Thousand","2989"
"Number of Nights by Irish Residents","2000Q2","Self catering/rented house","Domestic","Thousand","477"
"Number of Nights by Irish Residents","2000Q2","Self catering/rented house","Outbound","Thousand","3778"
"Number of Nights by Irish Residents","2000Q2","Other","Domestic","Thousand","305"
"Number of Nights by Irish Residents","2000Q2","Other","Outbound","Thousand","594"
"Number of Nights by Irish Residents","2000Q3","All types of accommodation","Domestic","Thousand","8957"
"Number of Nights by Irish Residents","2000Q3","All types of accommodation","Outbound","Thousand","13411"
"Number of Nights by Irish Residents","2000Q3","Friends/relatives","Domestic","Thousand","2128"
"Number of Nights by Irish Residents","2000Q3","Friends/relatives","Outbound","Thousand","2429"
"Number of Nights by Irish Residents","2000Q3","Hotel/conference centre","Domestic","Thousand","1400"
"Number of Nights by Irish Residents","2000Q3","Hotel/conference centre","Outbound","Thousand","3941"
"Number of Nights by Irish Residents","2000Q3","Self catering/rented house","Domestic","Thousand","1948"
"Number of Nights by Irish Residents","2000Q3","Self catering/rented house","Outbound","Thousand","4533"
"Number of Nights by Irish Residents","2000Q3","Other","Domestic","Thousand","508"
"Number of Nights by Irish Residents","2000Q3","Other","Outbound","Thousand","811"
"Number of Nights by Irish Residents","2000Q4","All types of accommodation","Domestic","Thousand","3828"
"Number of Nights by Irish Residents","2000Q4","All types of accommodation","Outbound","Thousand","6078"
"Number of Nights by Irish Residents","2000Q4","Friends/relatives","Domestic","Thousand","1665"
"Number of Nights by Irish Residents","2000Q4","Friends/relatives","Outbound","Thousand","2064"
"Number of Nights by Irish Residents","2000Q4","Hotel/conference centre","Domestic","Thousand","1202"
"Number of Nights by Irish Residents","2000Q4","Hotel/conference centre","Outbound","Thousand","2074"
"Number of Nights by Irish Residents","2000Q4","Self catering/rented house","Domestic","Thousand","297"
"Number of Nights by Irish Residents","2000Q4","Self catering/rented house","Outbound","Thousand","1115"
"Number of Nights by Irish Residents","2000Q4","Other","Domestic","Thousand","197"
"Number of Nights by Irish Residents","2000Q4","Other","Outbound","Thousand","431"
"Number of Nights by Irish Residents","2001Q1","All types of accommodation","Domestic","Thousand","3341"
"Number of Nights by Irish Residents","2001Q1","All types of accommodation","Outbound","Thousand","5523"
"Number of Nights by Irish Residents","2001Q1","Friends/relatives","Domestic","Thousand","1248"
"Number of Nights by Irish Residents","2001Q1","Friends/relatives","Outbound","Thousand","1421"
"Number of Nights by Irish Residents","2001Q1","Hotel/conference centre","Domestic","Thousand","1240"
"Number of Nights by Irish Residents","2001Q1","Hotel/conference centre","Outbound","Thousand","2244"
"Number of Nights by Irish Residents","2001Q1","Self catering/rented house","Domestic","Thousand","305"
"Number of Nights by Irish Residents","2001Q1","Self catering/rented house","Outbound","Thousand","962"
"Number of Nights by Irish Residents","2001Q1","Other","Domestic","Thousand","134"
"Number of Nights by Irish Residents","2001Q1","Other","Outbound","Thousand","521"
"Number of Nights by Irish Residents","2001Q2","All types of accommodation","Domestic","Thousand","4663"
"Number of Nights by Irish Residents","2001Q2","All types of accommodation","Outbound","Thousand","11221"
"Number of Nights by Irish Residents","2001Q2","Friends/relatives","Domestic","Thousand","1339"
"Number of Nights by Irish Residents","2001Q2","Friends/relatives","Outbound","Thousand","1786"
"Number of Nights by Irish Residents","2001Q2","Hotel/conference centre","Domestic","Thousand","1025"
"Number of Nights by Irish Residents","2001Q2","Hotel/conference centre","Outbound","Thousand","3181"
"Number of Nights by Irish Residents","2001Q2","Self catering/rented house","Domestic","Thousand","679"
"Number of Nights by Irish Residents","2001Q2","Self catering/rented house","Outbound","Thousand","4348"
"Number of Nights by Irish Residents","2001Q2","Other","Domestic","Thousand","351"
"Number of Nights by Irish Residents","2001Q2","Other","Outbound","Thousand","390"
"Number of Nights by Irish Residents","2001Q3","All types of accommodation","Domestic","Thousand","10899"
"Number of Nights by Irish Residents","2001Q3","All types of accommodation","Outbound","Thousand","14821"
"Number of Nights by Irish Residents","2001Q3","Friends/relatives","Domestic","Thousand","2583"
"Number of Nights by Irish Residents","2001Q3","Friends/relatives","Outbound","Thousand","2467"
"Number of Nights by Irish Residents","2001Q3","Hotel/conference centre","Domestic","Thousand","1737"
"Number of Nights by Irish Residents","2001Q3","Hotel/conference centre","Outbound","Thousand","3905"
"Number of Nights by Irish Residents","2001Q3","Self catering/rented house","Domestic","Thousand","2367"
"Number of Nights by Irish Residents","2001Q3","Self catering/rented house","Outbound","Thousand","4970"
"Number of Nights by Irish Residents","2001Q3","Other","Domestic","Thousand","605"
"Number of Nights by Irish Residents","2001Q3","Other","Outbound","Thousand","1191"
"Number of Nights by Irish Residents","2001Q4","All types of accommodation","Domestic","Thousand","4305"
"Number of Nights by Irish Residents","2001Q4","All types of accommodation","Outbound","Thousand","6388"
"Number of Nights by Irish Residents","2001Q4","Friends/relatives","Domestic","Thousand","1853"
"Number of Nights by Irish Residents","2001Q4","Friends/relatives","Outbound","Thousand","2184"
"Number of Nights by Irish Residents","2001Q4","Hotel/conference centre","Domestic","Thousand","1315"
"Number of Nights by Irish Residents","2001Q4","Hotel/conference centre","Outbound","Thousand","2035"
"Number of Nights by Irish Residents","2001Q4","Self catering/rented house","Domestic","Thousand","399"
"Number of Nights by Irish Residents","2001Q4","Self catering/rented house","Outbound","Thousand","1258"
"Number of Nights by Irish Residents","2001Q4","Other","Domestic","Thousand","231"
"Number of Nights by Irish Residents","2001Q4","Other","Outbound","Thousand","434"
"Number of Nights by Irish Residents","2002Q1","All types of accommodation","Domestic","Thousand","3645"
"Number of Nights by Irish Residents","2002Q1","All types of accommodation","Outbound","Thousand","6272"
"Number of Nights by Irish Residents","2002Q1","Friends/relatives","Domestic","Thousand","1414"
"Number of Nights by Irish Residents","2002Q1","Friends/relatives","Outbound","Thousand","1771"
"Number of Nights by Irish Residents","2002Q1","Hotel/conference centre","Domestic","Thousand","1109"
"Number of Nights by Irish Residents","2002Q1","Hotel/conference centre","Outbound","Thousand","2446"
"Number of Nights by Irish Residents","2002Q1","Self catering/rented house","Domestic","Thousand","280"
"Number of Nights by Irish Residents","2002Q1","Self catering/rented house","Outbound","Thousand","1278"
"Number of Nights by Irish Residents","2002Q1","Other","Domestic","Thousand","219"
"Number of Nights by Irish Residents","2002Q1","Other","Outbound","Thousand","372"
"Number of Nights by Irish Residents","2002Q2","All types of accommodation","Domestic","Thousand","4621"
"Number of Nights by Irish Residents","2002Q2","All types of accommodation","Outbound","Thousand","11081"
"Number of Nights by Irish Residents","2002Q2","Friends/relatives","Domestic","Thousand","1381"
"Number of Nights by Irish Residents","2002Q2","Friends/relatives","Outbound","Thousand","1782"
"Number of Nights by Irish Residents","2002Q2","Hotel/conference centre","Domestic","Thousand","1184"
"Number of Nights by Irish Residents","2002Q2","Hotel/conference centre","Outbound","Thousand","3262"
"Number of Nights by Irish Residents","2002Q2","Self catering/rented house","Domestic","Thousand","616"
"Number of Nights by Irish Residents","2002Q2","Self catering/rented house","Outbound","Thousand","3752"
"Number of Nights by Irish Residents","2002Q2","Other","Domestic","Thousand","336"
"Number of Nights by Irish Residents","2002Q2","Other","Outbound","Thousand","864"
"Number of Nights by Irish Residents","2002Q3","All types of accommodation","Domestic","Thousand","9818"
"Number of Nights by Irish Residents","2002Q3","All types of accommodation","Outbound","Thousand","16260"
"Number of Nights by Irish Residents","2002Q3","Friends/relatives","Domestic","Thousand","2241"
"Number of Nights by Irish Residents","2002Q3","Friends/relatives","Outbound","Thousand","3062"
"Number of Nights by Irish Residents","2002Q3","Hotel/conference centre","Domestic","Thousand","1770"
"Number of Nights by Irish Residents","2002Q3","Hotel/conference centre","Outbound","Thousand","4544"
"Number of Nights by Irish Residents","2002Q3","Self catering/rented house","Domestic","Thousand","1953"
"Number of Nights by Irish Residents","2002Q3","Self catering/rented house","Outbound","Thousand","4950"
"Number of Nights by Irish Residents","2002Q3","Other","Domestic","Thousand","569"
"Number of Nights by Irish Residents","2002Q3","Other","Outbound","Thousand","1068"
"Number of Nights by Irish Residents","2002Q4","All types of accommodation","Domestic","Thousand","4138"
"Number of Nights by Irish Residents","2002Q4","All types of accommodation","Outbound","Thousand","7047"
"Number of Nights by Irish Residents","2002Q4","Friends/relatives","Domestic","Thousand","1876"
"Number of Nights by Irish Residents","2002Q4","Friends/relatives","Outbound","Thousand","2381"
"Number of Nights by Irish Residents","2002Q4","Hotel/conference centre","Domestic","Thousand","1294"
"Number of Nights by Irish Residents","2002Q4","Hotel/conference centre","Outbound","Thousand","2319"
"Number of Nights by Irish Residents","2002Q4","Self catering/rented house","Domestic","Thousand","319"
"Number of Nights by Irish Residents","2002Q4","Self catering/rented house","Outbound","Thousand","1296"
"Number of Nights by Irish Residents","2002Q4","Other","Domestic","Thousand","174"
"Number of Nights by Irish Residents","2002Q4","Other","Outbound","Thousand","441"
"Number of Nights by Irish Residents","2003Q1","All types of accommodation","Domestic","Thousand","3819"
"Number of Nights by Irish Residents","2003Q1","All types of accommodation","Outbound","Thousand","6491"
"Number of Nights by Irish Residents","2003Q1","Friends/relatives","Domestic","Thousand","1371"
"Number of Nights by Irish Residents","2003Q1","Friends/relatives","Outbound","Thousand","1726"
"Number of Nights by Irish Residents","2003Q1","Hotel/conference centre","Domestic","Thousand","1253"
"Number of Nights by Irish Residents","2003Q1","Hotel/conference centre","Outbound","Thousand","2278"
"Number of Nights by Irish Residents","2003Q1","Self catering/rented house","Domestic","Thousand","353"
"Number of Nights by Irish Residents","2003Q1","Self catering/rented house","Outbound","Thousand","1397"
"Number of Nights by Irish Residents","2003Q1","Other","Domestic","Thousand","194"
"Number of Nights by Irish Residents","2003Q1","Other","Outbound","Thousand","522"
"Number of Nights by Irish Residents","2003Q2","All types of accommodation","Domestic","Thousand","4589"
"Number of Nights by Irish Residents","2003Q2","All types of accommodation","Outbound","Thousand","12331"
"Number of Nights by Irish Residents","2003Q2","Friends/relatives","Domestic","Thousand","1296"
"Number of Nights by Irish Residents","2003Q2","Friends/relatives","Outbound","Thousand","1759"
"Number of Nights by Irish Residents","2003Q2","Hotel/conference centre","Domestic","Thousand","1259"
"Number of Nights by Irish Residents","2003Q2","Hotel/conference centre","Outbound","Thousand","3456"
"Number of Nights by Irish Residents","2003Q2","Self catering/rented house","Domestic","Thousand","689"
"Number of Nights by Irish Residents","2003Q2","Self catering/rented house","Outbound","Thousand","4559"
"Number of Nights by Irish Residents","2003Q2","Other","Domestic","Thousand","385"
"Number of Nights by Irish Residents","2003Q2","Other","Outbound","Thousand","836"
"Number of Nights by Irish Residents","2003Q3","All types of accommodation","Domestic","Thousand","10346"
"Number of Nights by Irish Residents","2003Q3","All types of accommodation","Outbound","Thousand","16776"
"Number of Nights by Irish Residents","2003Q3","Friends/relatives","Domestic","Thousand","2332"
"Number of Nights by Irish Residents","2003Q3","Friends/relatives","Outbound","Thousand","3044"
"Number of Nights by Irish Residents","2003Q3","Hotel/conference centre","Domestic","Thousand","1760"
"Number of Nights by Irish Residents","2003Q3","Hotel/conference centre","Outbound","Thousand","4121"
"Number of Nights by Irish Residents","2003Q3","Self catering/rented house","Domestic","Thousand","2354"
"Number of Nights by Irish Residents","2003Q3","Self catering/rented house","Outbound","Thousand","5723"
"Number of Nights by Irish Residents","2003Q3","Other","Domestic","Thousand","594"
"Number of Nights by Irish Residents","2003Q3","Other","Outbound","Thousand","1321"
"Number of Nights by Irish Residents","2003Q4","All types of accommodation","Domestic","Thousand","4861"
"Number of Nights by Irish Residents","2003Q4","All types of accommodation","Outbound","Thousand","8104"
"Number of Nights by Irish Residents","2003Q4","Friends/relatives","Domestic","Thousand","2176"
"Number of Nights by Irish Residents","2003Q4","Friends/relatives","Outbound","Thousand","2525"
"Number of Nights by Irish Residents","2003Q4","Hotel/conference centre","Domestic","Thousand","1491"
"Number of Nights by Irish Residents","2003Q4","Hotel/conference centre","Outbound","Thousand","2405"
"Number of Nights by Irish Residents","2003Q4","Self catering/rented house","Domestic","Thousand","358"
"Number of Nights by Irish Residents","2003Q4","Self catering/rented house","Outbound","Thousand","1816"
"Number of Nights by Irish Residents","2003Q4","Other","Domestic","Thousand","235"
"Number of Nights by Irish Residents","2003Q4","Other","Outbound","Thousand","408"
"Number of Nights by Irish Residents","2004Q1","All types of accommodation","Domestic","Thousand","4174"
"Number of Nights by Irish Residents","2004Q1","All types of accommodation","Outbound","Thousand","7567"
"Number of Nights by Irish Residents","2004Q1","Friends/relatives","Domestic","Thousand","1701"
"Number of Nights by Irish Residents","2004Q1","Friends/relatives","Outbound","Thousand","1941"
"Number of Nights by Irish Residents","2004Q1","Hotel/conference centre","Domestic","Thousand","1396"
"Number of Nights by Irish Residents","2004Q1","Hotel/conference centre","Outbound","Thousand","2649"
"Number of Nights by Irish Residents","2004Q1","Self catering/rented house","Domestic","Thousand","244"
"Number of Nights by Irish Residents","2004Q1","Self catering/rented house","Outbound","Thousand","1601"
"Number of Nights by Irish Residents","2004Q1","Other","Domestic","Thousand","189"
"Number of Nights by Irish Residents","2004Q1","Other","Outbound","Thousand","447"
"Number of Nights by Irish Residents","2004Q2","All types of accommodation","Domestic","Thousand","4689"
"Number of Nights by Irish Residents","2004Q2","All types of accommodation","Outbound","Thousand","12688"
"Number of Nights by Irish Residents","2004Q2","Friends/relatives","Domestic","Thousand","1340"
"Number of Nights by Irish Residents","2004Q2","Friends/relatives","Outbound","Thousand","2462"
"Number of Nights by Irish Residents","2004Q2","Hotel/conference centre","Domestic","Thousand","1285"
"Number of Nights by Irish Residents","2004Q2","Hotel/conference centre","Outbound","Thousand","3729"
"Number of Nights by Irish Residents","2004Q2","Self catering/rented house","Domestic","Thousand","579"
"Number of Nights by Irish Residents","2004Q2","Self catering/rented house","Outbound","Thousand","3893"
"Number of Nights by Irish Residents","2004Q2","Other","Domestic","Thousand","370"
"Number of Nights by Irish Residents","2004Q2","Other","Outbound","Thousand","774"
