"Statistic Label","Quarter","Type of Accommodation Used","Domestic","UNIT","VALUE"
"Number of Trips by Irish Residents","2001Q3","Hotel/conference centre","Outbound","Thousand","473"
"Number of Trips by Irish Residents","2001Q3","Self catering/rented house","Domestic","Thousand","296"
"Number of Trips by Irish Residents","2001Q3","Self catering/rented house","Outbound","Thousand","395"
"Number of Trips by Irish Residents","2001Q3","Other","Domestic","Thousand","94"
"Number of Trips by Irish Residents","2001Q3","Other","Outbound","Thousand","70"
"Number of Trips by Irish Residents","2001Q4","All types of accommodation","Domestic","Thousand","1570"
"Number of Trips by Irish Residents","2001Q4","All types of accommodation","Outbound","Thousand","903"
"Number of Trips by Irish Residents","2001Q4","Friends/relatives","Domestic","Thousand","679"
"Number of Trips by Irish Residents","2001Q4","Friends/relatives","Outbound","Thousand","289"
"Number of Trips by Irish Residents","2001Q4","Hotel/conference centre","Domestic","Thousand","572"
"Number of Trips by Irish Residents","2001Q4","Hotel/conference centre","Outbound","Thousand","410"
"Number of Trips by Irish Residents","2001Q4","Self catering/rented house","Domestic","Thousand","84"
"Number of Trips by Irish Residents","2001Q4","Self catering/rented house","Outbound","Thousand","108"
"Number of Trips by Irish Residents","2001Q4","Other","Domestic","Thousand","64"
"Number of Trips by Irish Residents","2001Q4","Other","Outbound","Thousand","31"
"Number of Trips by Irish Residents","2002Q1","All types of accommodation","Domestic","Thousand","1360"
"Number of Trips by Irish Residents","2002Q1","All types of accommodation","Outbound","Thousand","884"
"Number of Trips by Irish Residents","2002Q1","Friends/relatives","Domestic","Thousand","562"
"Number of Trips by Irish Residents","2002Q1","Friends/relatives","Outbound","Thousand","246"
"Number of Trips by Irish Residents","2002Q1","Hotel/conference centre","Domestic","Thousand","472"
"Number of Trips by Irish Residents","2002Q1","Hotel/conference centre","Outbound","Thousand","439"
"Number of Trips by Irish Residents","2002Q1","Self catering/rented house","Domestic","Thousand","64"
"Number of Trips by Irish Residents","2002Q1","Self catering/rented house","Outbound","Thousand","104"
"Number of Trips by Irish Residents","2002Q1","Other","Domestic","Thousand","55"
"Number of Trips by Irish Residents","2002Q1","Other","Outbound","Thousand","35"
"Number of Trips by Irish Residents","2002Q2","All types of accommodation","Domestic","Thousand","1446"
"Number of Trips by Irish Residents","2002Q2","All types of accommodation","Outbound","Thousand","1177"
"Number of Trips by Irish Residents","2002Q2","Friends/relatives","Domestic","Thousand","496"
"Number of Trips by Irish Residents","2002Q2","Friends/relatives","Outbound","Thousand","221"
"Number of Trips by Irish Residents","2002Q2","Hotel/conference centre","Domestic","Thousand","455"
"Number of Trips by Irish Residents","2002Q2","Hotel/conference centre","Outbound","Thousand","459"
"Number of Trips by Irish Residents","2002Q2","Self catering/rented house","Domestic","Thousand","114"
"Number of Trips by Irish Residents","2002Q2","Self catering/rented house","Outbound","Thousand","309"
"Number of Trips by Irish Residents","2002Q2","Other","Domestic","Thousand","58"
"Number of Trips by Irish Residents","2002Q2","Other","Outbound","Thousand","59"
"Number of Trips by Irish Residents","2002Q3","All types of accommodation","Domestic","Thousand","2070"
"Number of Trips by Irish Residents","2002Q3","All types of accommodation","Outbound","Thousand","1539"
"Number of Trips by Irish Residents","2002Q3","Friends/relatives","Domestic","Thousand","607"
"Number of Trips by Irish Residents","2002Q3","Friends/relatives","Outbound","Thousand","317"
"Number of Trips by Irish Residents","2002Q3","Hotel/conference centre","Domestic","Thousand","552"
"Number of Trips by Irish Residents","2002Q3","Hotel/conference centre","Outbound","Thousand","544"
"Number of Trips by Irish Residents","2002Q3","Self catering/rented house","Domestic","Thousand","246"
"Number of Trips by Irish Residents","2002Q3","Self catering/rented house","Outbound","Thousand","392"
"Number of Trips by Irish Residents","2002Q3","Other","Domestic","Thousand","90"
"Number of Trips by Irish Residents","2002Q3","Other","Outbound","Thousand","73"
"Number of Trips by Irish Residents","2002Q4","All types of accommodation","Domestic","Thousand","1575"
"Number of Trips by Irish Residents","2002Q4","All types of accommodation","Outbound","Thousand","997"
"Number of Trips by Irish Residents","2002Q4","Friends/relatives","Domestic","Thousand","694"
"Number of Trips by Irish Residents","2002Q4","Friends/relatives","Outbound","Thousand","311"
"Number of Trips by Irish Residents","2002Q4","Hotel/conference centre","Domestic","Thousand","561"
"Number of Trips by Irish Residents","2002Q4","Hotel/conference centre","Outbound","Thousand","425"
"Number of Trips by Irish Residents","2002Q4","Self catering/rented house","Domestic","Thousand","70"
"Number of Trips by Irish Residents","2002Q4","Self catering/rented house","Outbound","Thousand","129"
"Number of Trips by Irish Residents","2002Q4","Other","Domestic","Thousand","44"
"Number of Trips by Irish Residents","2002Q4","Other","Outbound","Thousand","39"
"Number of Trips by Irish Residents","2003Q1","All types of accommodation","Domestic","Thousand","1447"
"Number of Trips by Irish Residents","2003Q1","All types of accommodation","Outbound","Thousand","954"
"Number of Trips by Irish Residents","2003Q1","Friends/relatives","Domestic","Thousand","584"
"Number of Trips by Irish Residents","2003Q1","Friends/relatives","Outbound","Thousand","243"
"Number of Trips by Irish Residents","2003Q1","Hotel/conference centre","Domestic","Thousand","521"
"Number of Trips by Irish Residents","2003Q1","Hotel/conference centre","Outbound","Thousand","454"
"Number of Trips by Irish Residents","2003Q1","Self catering/rented house","Domestic","Thousand","67"
"Number of Trips by Irish Residents","2003Q1","Self catering/rented house","Outbound","Thousand","123"
"Number of Trips by Irish Residents","2003Q1","Other","Domestic","Thousand","59"
"Number of Trips by Irish Residents","2003Q1","Other","Outbound","Thousand","46"
"Number of Trips by Irish Residents","2003Q2","All types of accommodation","Domestic","Thousand","1509"
"Number of Trips by Irish Residents","2003Q2","All types of accommodation","Outbound","Thousand","1330"
"Number of Trips by Irish Residents","2003Q2","Friends/relatives","Domestic","Thousand","490"
"Number of Trips by Irish Residents","2003Q2","Friends/relatives","Outbound","Thousand","253"
"Number of Trips by Irish Residents","2003Q2","Hotel/conference centre","Domestic","Thousand","487"
"Number of Trips by Irish Residents","2003Q2","Hotel/conference centre","Outbound","Thousand","501"
"Number of Trips by Irish Residents","2003Q2","Self catering/rented house","Domestic","Thousand","128"
"Number of Trips by Irish Residents","2003Q2","Self catering/rented house","Outbound","Thousand","361"
"Number of Trips by Irish Residents","2003Q2","Other","Domestic","Thousand","93"
"Number of Trips by Irish Residents","2003Q2","Other","Outbound","Thousand","67"
"Number of Trips by Irish Residents","2003Q3","All types of accommodation","Domestic","Thousand","2087"
"Number of Trips by Irish Residents","2003Q3","All types of accommodation","Outbound","Thousand","1595"
"Number of Trips by Irish Residents","2003Q3","Friends/relatives","Domestic","Thousand","585"
"Number of Trips by Irish Residents","2003Q3","Friends/relatives","Outbound","Thousand","302"
"Number of Trips by Irish Residents","2003Q3","Hotel/conference centre","Domestic","Thousand","579"
"Number of Trips by Irish Residents","2003Q3","Hotel/conference centre","Outbound","Thousand","535"
"Number of Trips by Irish Residents","2003Q3","Self catering/rented house","Domestic","Thousand","312"
"Number of Trips by Irish Residents","2003Q3","Self catering/rented house","Outbound","Thousand","450"
"Number of Trips by Irish Residents","2003Q3","Other","Domestic","Thousand","90"
