freq,animals,month,unit,geo\TIME_PERIOD	1959 	1960 	1961 	1962 	1963 	1964 	1965 	1966 	1967 	1968 	1969 	1970 	1971 	1972 	1973 	1974 	1975 	1976 	1977 	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,A2030,M12,THS_HD,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	417.00 	: 	: 	: 	: 	: 	398.30 	389.60 	407.20 	410.50 	409.18 	388.91 	391.48 	380.62 	358.95 	341.75 	359.19 	366.59 	349.72 	373.83 	376.37 	388.24 	387.25 	386.45 	375.23 	369.00 	405.92 	422.75 	402.25 	398.11 p
A,A2030,M12,THS_HD,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	812.88 	806.83 	805.05 	794.98 	787.31 	775.87 	772.90 	768.56 	770.65 
A,A2030,M12,THS_HD,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	25.81 	24.36 	23.84 	24.68 	26.53 	27.04 	26.32 	24.83 	24.13 	25.31 	24.82 	24.70 	24.83 	25.96 	26.30 	26.89 	27.55 	28.72 	31.63 	32.91 	34.87 	37.91 	42.48 	42.70 	41.94 	43.23 
A,A2030,M12,THS_HD,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1464.00 	1452.00 	1450.00 	1407.00 	1231.00 	1106.00 	974.00 	902.00 	882.00 	828.00 	763.00 	759.00 	724.00 	725.00 	695.00 	669.00 	679.00 	654.10 	641.70 	655.10 	643.60 	640.53 	647.09 	628.65 	647.83 	627.84 	641.93 	649.15 	653.70 	647.52 	660.43 	657.34 	657.25 	640.01 	654.82 	669.43 	657.91 
A,A2030,M12,THS_HD,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8044.04 	7179.22 	6944.03 	6891.68 	6954.60 	6996.41 	6982.60 	6838.72 	6726.71 	6574.41 	6550.27 	6447.98 	6245.56 	6140.78 	5997.79 	5860.88 	5760.56 	5757.98 	5885.67 	5849.94 	5822.61 	5746.03 	5698.51 	5793.01 	5822.76 	5805.97 	5712.04 	5672.72 	5536.32 	5402.85 	5258.32 	5115.94 	5089.05 	5038.57 
A,A2030,M12,THS_HD,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1369.00 	1441.00 	1399.00 	1370.00 	1363.00 	1357.00 	1308.00 	1279.00 	1244.00 	1233.00 	1195.00 	1135.00 	1116.00 	1053.00 	989.00 	952.00 	956.00 	970.00 	952.00 	927.00 	930.00 	928.00 	943.00 	928.00 	926.00 	923.00 	935.00 	915.00 	900.00 	857.00 	818.00 	772.00 	751.00 	745.00 	743.00 	764.00 	766.00 	760.00 	758.00 	748.00 	736.00 	713.00 	726.00 	715.00 	723.00 	712.00 	698.00 	697.00 	684.00 	675.00 	660.53 
A,A2030,M12,THS_HD,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	154.50 	146.90 	141.80 	128.80 	132.10 	132.50 	131.30 	127.70 	124.90 	125.30 	123.30 	125.90 	128.40 	131.00 	137.10 	137.60 	133.30 	130.20 	131.50 	132.10 	133.20 	131.80 	131.10 	131.55 	127.69 
A,A2030,M12,THS_HD,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	412.00 	397.12 	399.72 	401.28 	396.82 	403.25 	401.67 	363.94 	373.62 	368.13 	340.00 	337.00 	331.00 	284.47 	301.00 	321.00 	320.00 	327.00 	335.00 	312.00 	331.00 	326.00 	340.00 	337.00 	312.27 	365.54 	355.00 	351.00 	359.00 	361.00 	365.00 	351.00 	357.00 	365.00 	325.00 	306.00 	303.00 	305.00 	283.00 	324.70 	324.00 	318.90 	318.40 p
A,A2030,M12,THS_HD,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3007.82 	3035.84 	2992.89 	3049.62 	3021.10 	3077.71 	2952.08 	2990.68 	3014.42 	3001.00 	3087.00 	3103.00 	3312.00 	3207.00 	3258.00 	3371.00 	3346.80 	3449.39 	3548.57 	3585.48 	3583.94 	3470.19 	3196.00 	3380.36 	3233.55 	3281.21 	3258.23 	3070.37 	2976.61 	2999.35 	3030.92 	3071.89 	3110.12 	3151.47 	3169.74 	3214.46 	3242.41 p	3240.41 p	3181.44 	3124.42 p
A,A2030,M12,THS_HD,EU15	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	41621.48 	41813.82 	41609.81 	41329.58 	41085.38 	40821.01 	39624.95 	39764.29 	39086.75 	38573.17 	38065.69 	37290.00 	36738.74 	37083.90 	37181.40 	37300.58 	36905.50 b	35960.92 	35886.00 	36336.65 	36507.95 	36620.15 	36566.77 	36416.00 	35834.36 	35366.58 	: 	: 	: 	: 
A,A2030,M12,THS_HD,EU25	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	45507.18 	44776.38 	44143.93 	43499.12 	42692.14 	42023.53 	42384.37 	42532.07 	42513.58 	42065.98 b	41078.65 	40915.16 	41388.85 	41567.19 	41531.51 	41470.32 	41367.73 	40859.34 	40399.15 	: 	: 	: 	: 
A,A2030,M12,THS_HD,EU27_2007	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	45730.60 	44952.15 	44287.27 	44560.29 	44593.92 	44482.32 	43765.87 b	42762.14 	42580.88 	43093.29 	43295.96 	43276.26 	43209.77 	43084.48 	42552.97 	42067.75 	: 	: 	: 	: 
A,A2030,M12,THS_HD,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	41086.97 	40323.90 	39680.49 	40042.75 	40197.32 	40067.72 	39344.07 b	38498.54 	38355.88 	38830.29 	38996.96 	39004.26 	38991.77 	38862.48 	38381.97 	37965.75 	37502.79 	36908.14 p	36627.20 	36195.38 
A,A2030,M12,THS_HD,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	46004.97 	45225.90 	44557.49 	44817.75 	44844.32 	44722.72 	43996.07 b	42972.54 	42788.88 	43298.29 	43516.96 	43481.26 	43410.77 	43279.48 	42717.97 	42229.75 	: 	: 	: 	: 
A,A2030,M12,THS_HD,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	501.20 	497.70 	495.40 	490.80 	473.80 	466.40 	453.50 	446.80 	434.00 	421.30 	414.03 	404.73 	391.90 	384.35 	385.00 	377.87 	370.62 	376.44 	378.49 	380.23 	376.68 	375.72 	377.90 	377.87 	374.28 	366.66 	362.63 	353.93 	348.81 	344.31 	337.83 	335.90 	327.06 
A,A2030,M12,THS_HD,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13250.00 	13394.00 	13514.00 	13587.00 	13465.70 	13482.10 	13381.10 	13061.10 	12774.70 	13023.30 	13037.50 	12811.05 	12800.20 	12268.20 	11607.90 	11679.00 	11520.53 	11627.00 	11310.00 	11214.00 	11079.00 	11289.28 	11495.80 	11321.60 	11361.40 	11073.78 	11050.35 	11002.25 	11112.84 	10984.00 	10688.00 	10477.00 	10397.51 	10349.00 	10443.00 	10696.00 	10704.00 	10631.00 	10292.00 	10133.00 	10287.11 	10309.66 	10324.31 	10324.31 	10301.37 	10128.65 	9865.00 d	9633.91 d	9364.04 p	9126.55 	9021.05 p
A,A2030,M12,THS_HD,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	289.14 	282.20 	279.31 	281.64 	274.37 	273.75 	270.22 	257.46 	250.40 	240.40 	230.20 	210.40 	208.00 	205.00 	221.00 	205.00 	201.00 	195.00 	165.00 b	162.00 	166.00 	165.00 	161.00 b	155.00 p
A,A2030,M12,THS_HD,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	431.00 	414.00 	408.00 	393.00 	389.00 	374.00 	362.00 	365.00 	365.00 	355.00 	357.00 	372.00 	389.00 	393.00 	407.00 	421.00 	438.00 	448.00 	451.00 	458.00 	471.60 b	487.40 	477.30 	459.50 
A,A2030,M12,THS_HD,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3465.00 	3517.00 	3290.00 	3410.00 	3383.00 	3362.00 	3366.00 	3098.20 	3047.60 	3045.40 	3079.20 	3073.60 	3040.10 	2958.20 	2928.80 	2972.50 	3107.30 	3159.60 	3141.34 	3252.13 	3204.36 	3249.19 	3285.35 	3339.57 	3402.44 	3461.80 	3317.38 	3222.07 	3045.78 	3007.40 	2992.60 	3045.67 	2684.68 	2776.18 	2757.89 	2750.76 	2787.02 	2702.61 	2615.43 	2649.53 	2701.35 	2708.59 	2736.57 	2758.81 	2794.88 	2803.92 	2855.89 	2764.83 	2766.38 	2746.13 	2747.59 
A,A2030,M12,THS_HD,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	37.70 	32.50 	32.90 	33.20 	34.20 	36.90 	37.70 	38.50 	37.80 	37.00 	: 	37.49 	: 
A,A2030,M12,THS_HD,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4636.00 	4459.00 	4401.00 	4501.00 	4492.60 	4584.70 	4644.80 	4572.70 	4605.50 	4655.30 	4696.70 	4386.90 	4327.70 	4275.70 	4285.70 	4160.60 	4071.90 	3988.60 	3794.00 	3587.00 	3467.00 	3390.00 	3363.00 	3425.00 	3383.00 	3390.00 	3398.00 	2761.04 	3232.51 	3020.95 	2993.89 	2861.00 	2920.30 	2760.25 	2918.00 	2794.03 	2881.87 	2704.29 b	2720.78 	3072.28 	3112.45 	3105.79 	3098.58 	3121.62 	3110.85 	3070.80 	3029.90 	3031.02 	2996.82 	2966.00 b	2904.00 
A,A2030,M12,THS_HD,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	650.20 	585.10 	543.30 	472.70 	477.90 	481.70 	491.60 	477.20 	463.10 	457.10 	455.50 	447.50 	429.20 	420.00 	407.60 	391.10 	383.40 	395.10 	385.40 	373.00 	361.60 	347.60 	336.20 	332.40 	328.40 	339.19 	328.46 p
A,A2030,M12,THS_HD,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	101.00 	104.00 	97.00 	95.00 	99.18 	103.97 	108.62 	109.85 	105.61 	113.52 	115.00 	115.00 	116.25 	113.43 	109.95 	109.20 	108.03 	111.84 	105.69 	103.56 	104.31 	103.35 	103.72 	104.67 	103.79 	102.30 	102.55 	101.04 	100.54 	96.77 	94.05 	92.82 	92.82 	93.45 	96.25 	98.22 	99.28 	98.35 	93.43 	93.26 	97.77 	100.18 	102.33 	103.66 	103.33 	102.63 	101.17 	100.10 	98.13 	98.03 	98.32 
A,A2030,M12,THS_HD,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	295.70 	282.50 	259.20 	218.30 	217.20 	223.70 	217.10 	202.80 	204.10 	206.70 	206.76 	211.36 	205.62 	203.97 	206.31 	210.01 	214.65 	221.90 	228.79 	229.32 	226.80 	227.93 	224.53 	222.43 	222.05 	218.84 	218.52 	207.80 p
A,A2030,M12,THS_HD,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	66.00 	69.00 	70.00 	68.00 	66.00 p	66.00 p	64.50 p	62.10 p	59.63 p	53.94 p	52.57 p	: 
A,A2030,M12,THS_HD,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	167.00 	160.00 	161.00 	165.00 	168.00 	171.00 	168.00 	141.00 	150.00 	120.00 	118.00 	: 
A,A2030,M12,THS_HD,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10.05 	8.78 	8.09 	8.57 	8.87 	8.69 	9.15 	8.73 	8.26 	7.25 	7.11 	7.08 	7.16 	7.24 	7.20 	7.28 	6.92 	6.97 	6.88 	6.95 	6.67 	6.89 	6.70 
A,A2030,M12,THS_HD,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2303.00 	2374.00 	2366.00 	2343.00 	2390.00 	2482.00 	2522.00 	2554.00 	2624.00 	2703.00 	2733.00 	2664.00 	2569.00 	2452.00 	2223.47 	2180.00 	2166.00 	2171.00 	2157.00 	2122.00 	2101.00 	2035.00 	2045.00 	1930.00 	1944.00 	1885.00 	1834.00 	1784.00 	1787.00 	1779.00 	1790.27 	1730.00 	1688.00 	1629.00 	1695.00 	1799.00 	1775.00 	1766.00 	1740.00 	1760.00 	1810.00 	1836.00 	1948.00 	1985.00 	1860.00 	1715.00 	1752.00 	1716.00 	1704.00 	1719.00 	1704.00 
A,A2030,M12,THS_HD,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3779.10 	3602.40 	3311.00 	3235.56 	3221.40 	3143.39 	3068.64 	3084.26 	2990.70 	3008.26 	3082.76 	2978.26 	2948.35 	2883.11 	2808.56 	2809.31 	2765.40 	2614.10 	2615.10 	2653.90 	2742.30 	2757.50 	2744.30 	2662.10 	2821.17 	2849.91 p
A,A2030,M12,THS_HD,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	731.00 	714.00 	748.00 	706.00 	713.00 	704.00 	738.41 	745.41 	769.41 	790.41 	796.41 	809.41 	801.51 	783.20 	784.05 	784.44 	792.44 	821.59 	834.40 	829.33 	840.44 	845.20 	848.32 	861.59 	847.39 	840.46 	833.99 	847.62 	855.80 	869.22 	899.59 	899.44 	903.46 	908.73 	898.74 p	862.44 	827.56 p
A,A2030,M12,THS_HD,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1822.30 	1871.10 	1872.26 	1795.30 	1702.90 	1627.00 	1340.70 	1316.90 	1316.00 	1330.60 	1352.40 	1356.50 	1352.20 	1330.30 	1318.40 	1299.60 	1281.10 	1258.00 	1259.20 	1248.00 p
A,A2030,M12,THS_HD,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	672.00 	660.00 	625.00 	593.00 	561.00 	545.00 	554.00 	488.00 	502.00 	493.00 	472.00 	477.00 	506.00 	492.00 	486.00 	472.00 	423.58 	393.70 
A,A2030,M12,THS_HD,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	776.00 	753.90 	749.70 	746.10 	756.30 	729.50 	707.00 	701.19 	678.70 	668.60 	671.56 	665.54 	660.51 	668.29 	662.66 	649.25 	650.54 	639.64 	629.96 	632.05 	628.66 	619.01 	624.04 	632.86 	625.01 	612.71 	603.14 	595.71 	596.70 	585.00 
A,A2030,M12,THS_HD,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	222.00 	216.00 	212.00 	219.77 	220.74 	212.67 	216.39 	206.56 	202.54 	198.03 	196.60 	204.93 	202.70 	202.54 	200.95 	197.04 	193.49 	193.76 	198.30 	202.30 	202.78 	197.90 	195.85 	196.52 	199.23 	195.31 	185.94 	185.90 
A,A2030,M12,THS_HD,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	688.00 	691.00 	684.00 	665.00 	598.00 	518.00 	461.00 	: 	418.00 	405.00 	377.00 	345.00 	332.24 	325.93 	307.52 	311.94 	287.17 	270.45 	269.35 	256.00 	252.47 	247.69 	240.68 	241.25 	238.69 	240.13 	237.75 	243.12 	236.33 	231.25 	230.65 	232.42 	226.68 	229.26 	227.58 	225.44 	223.46 p
A,A2030,M12,THS_HD,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6955.57 	7226.41 	7170.88 	7142.09 	7006.62 p	7606.91 p	8159.75 p	8521.98 	8878.21 	8803.75 	8371.06 	: 
A,A2030,M12,THS_HD,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7012.00 	7003.00 	6674.00 	6604.00 	6527.67 	6581.96 	6396.54 	6167.00 	6153.79 	6202.57 	6173.21 	6019.56 	5924.43 	5854.28 	5594.45 	5654.81 	5677.08 	5662.05 	5569.62 	5574.39 	5673.86 	5694.94 	5572.94 	5374.10 	5313.60 	5397.33 	5415.08 	5130.27 	4937.19 	4919.31 	4891.67 	4918.00 	4902.00 	4877.00 	4775.00 	4647.00 	4655.00 	4652.00 	4474.00 	4433.00 	4468.00 	4520.00 	4477.00 	4419.00 	4417.00 	4336.00 	4264.00 	: 	: 	: 	: 
A,A2030,M12,THS_HD,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	153.00 	154.42 	155.68 	150.45 	150.45 	148.46 	151.69 	150.45 	147.71 	: 
A,A2110C,M05_M06,THS_HD,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	316.93 	316.65 	319.15 	308.28 	283.76 	283.25 	277.00 	285.19 	272.94 	296.52 	262.05 	272.91 	264.68 	250.76 	235.52 	222.30 	208.05 	191.08 	187.44 	185.73 	181.15 	183.70 	185.09 	178.87 	181.70 	177.11 	172.93 	169.82 	172.47 	259.10 	249.27 
A,A2110C,M05_M06,THS_HD,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	282.00 	273.00 	266.00 	263.00 	265.98 	272.27 	262.89 	262.54 	259.95 	260.94 	255.97 	251.30 	253.70 	259.22 	261.93 	276.19 	324.83 	332.76 	336.00 	337.91 	336.92 	333.75 	326.85 	301.90 	294.70 	294.30 	288.26 	275.65 	251.83 	240.50 	241.63 	229.27 	218.84 	223.76 	214.02 	216.09 	206.39 	204.61 	181.68 	169.87 	194.16 	190.66 	188.50 	173.39 	170.03 	169.66 	170.17 	158.87 	146.40 	149.97 
A,A2110C,M05_M06,THS_HD,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	59.90 	56.60 	62.80 	65.40 	: 	55.26 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2110C,M05_M06,THS_HD,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	39.97 	39.11 	38.39 	37.47 	37.49 	36.47 p	36.92 	39.80 	41.59 
A,A2110C,M05_M06,THS_HD,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	160.00 	156.60 	145.40 	145.34 	149.78 	141.11 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2110C,M05_M06,THS_HD,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2389.10 	2452.40 	2453.60 	2432.60 	2500.80 	2519.60 	2522.55 	2513.15 	2434.72 	2497.55 	2615.00 	2662.65 	2515.86 	2473.97 	2433.64 	2449.54 	2398.00 	2987.34 b	2636.05 	2509.27 	2468.77 	2389.61 	2309.27 	2204.88 	2153.81 	1964.89 	1923.51 	1928.58 	1853.59 	1804.45 	1712.14 	1713.52 	1620.96 	1655.88 	1718.50 	1629.55 	1579.86 	1524.20 	1519.79 	1522.03 	1513.62 	1466.16 	1436.04 	1407.87 	1355.06 	1310.31 	1273.82 	1276.09 	1235.95 	1222.92 
A,A2110C,M05_M06,THS_HD,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	534.00 	521.00 	546.00 	555.00 	549.00 	539.00 	530.00 	538.00 	527.00 	520.00 	508.00 	481.00 	455.00 	432.00 	408.00 	400.00 	402.00 	400.00 	394.00 	391.00 	358.00 	336.00 	337.00 	305.00 	288.00 	268.00 	259.00 	253.00 	236.00 	228.00 	237.00 	219.00 	234.00 	221.00 	221.00 	272.00 	6.00 	6.00 	6.00 	6.00 	6.00 	6.00 	6.00 	6.00 	6.00 	6.00 	6.00 	6.00 	6.00 	6.00 
A,A2110C,M05_M06,THS_HD,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	49.10 	55.04 	53.21 	64.76 	58.00 	52.00 	47.58 	36.87 	46.42 	41.00 	39.00 	46.00 	57.00 	61.00 	57.00 	57.00 	62.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2110C,M05_M06,THS_HD,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	256.65 	252.70 	301.96 	301.23 	367.79 	348.74 	308.09 	302.42 	160.58 	168.98 	155.15 	161.00 	207.00 	247.00 	247.00 	215.00 	233.43 	274.00 	269.89 	287.81 	262.00 	254.25 	325.00 	332.40 	324.31 	336.77 	305.12 	256.62 	269.39 	244.51 	256.44 	283.78 	207.41 	195.28 	202.10 	211.80 	228.47 p	223.19 	326.96 	282.22 
A,A2110C,M05_M06,THS_HD,EU15	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9846.15 	9906.20 	9790.38 	9844.65 	9550.29 	9197.46 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
