"Statistic Label","Month","Main Reason for Travel","UNIT","VALUE"
"Percentage of Overnight Trips by Foreign Visitors","2023 June","Visit to friends/relatives","%","33.1"
"Percentage of Overnight Trips by Foreign Visitors","2023 June","Other reason for journey","%","10"
"Percentage of Overnight Trips by Foreign Visitors","2023 June","All reasons for journey","%","100"
"Percentage of Overnight Trips by Foreign Visitors","2023 July","Business","%","11"
"Percentage of Overnight Trips by Foreign Visitors","2023 July","Holiday/leisure/recreation","%","45"
"Percentage of Overnight Trips by Foreign Visitors","2023 July","Visit to friends/relatives","%","34.9"
"Percentage of Overnight Trips by Foreign Visitors","2023 July","Other reason for journey","%","9"
"Percentage of Overnight Trips by Foreign Visitors","2023 July","All reasons for journey","%","100"
"Percentage of Overnight Trips by Foreign Visitors","2023 August","Business","%","11.1"
"Percentage of Overnight Trips by Foreign Visitors","2023 August","Holiday/leisure/recreation","%","47.2"
"Percentage of Overnight Trips by Foreign Visitors","2023 August","Visit to friends/relatives","%","33.8"
"Percentage of Overnight Trips by Foreign Visitors","2023 August","Other reason for journey","%","8"
"Percentage of Overnight Trips by Foreign Visitors","2023 August","All reasons for journey","%","100"
"Percentage of Overnight Trips by Foreign Visitors","2023 September","Business","%","16.6"
"Percentage of Overnight Trips by Foreign Visitors","2023 September","Holiday/leisure/recreation","%","47.4"
"Percentage of Overnight Trips by Foreign Visitors","2023 September","Visit to friends/relatives","%","31.7"
"Percentage of Overnight Trips by Foreign Visitors","2023 September","Other reason for journey","%","4.3"
"Percentage of Overnight Trips by Foreign Visitors","2023 September","All reasons for journey","%","100"
"Percentage of Overnight Trips by Foreign Visitors","2023 October","Business","%","15.9"
"Percentage of Overnight Trips by Foreign Visitors","2023 October","Holiday/leisure/recreation","%","46.5"
"Percentage of Overnight Trips by Foreign Visitors","2023 October","Visit to friends/relatives","%","31.4"
"Percentage of Overnight Trips by Foreign Visitors","2023 October","Other reason for journey","%","6.2"
"Percentage of Overnight Trips by Foreign Visitors","2023 October","All reasons for journey","%","100"
"Percentage of Overnight Trips by Foreign Visitors","2023 November","Business","%","18.9"
