"Statistic Label","Month","Main Accommodation Type","UNIT","VALUE"
"Number of Overnight Trips by Foreign Visitors","2024 January","Other private tourism accommodation n.e.c.","Thousand","17.2"
"Number of Overnight Trips by Foreign Visitors","2024 January","All types of accommodation","Thousand","451.9"
"Percentage of Overnight Trips by Foreign Visitors","2023 April","Hotel/conference centre","%","39.4"
"Percentage of Overnight Trips by Foreign Visitors","2023 April","Guest house/bed & breakfast","%","3.3"
"Percentage of Overnight Trips by Foreign Visitors","2023 April","Friends/relatives/own property","%","47.7"
"Percentage of Overnight Trips by Foreign Visitors","2023 April","Self catering/rented house","%","5.7"
"Percentage of Overnight Trips by Foreign Visitors","2023 April","Other private tourism accommodation n.e.c.","%","3.9"
"Percentage of Overnight Trips by Foreign Visitors","2023 April","All types of accommodation","%","100"
"Percentage of Overnight Trips by Foreign Visitors","2023 May","Hotel/conference centre","%","40.8"
"Percentage of Overnight Trips by Foreign Visitors","2023 May","Guest house/bed & breakfast","%","4.5"
"Percentage of Overnight Trips by Foreign Visitors","2023 May","Friends/relatives/own property","%","42.2"
"Percentage of Overnight Trips by Foreign Visitors","2023 May","Self catering/rented house","%","5.4"
"Percentage of Overnight Trips by Foreign Visitors","2023 May","Other private tourism accommodation n.e.c.","%","7.1"
"Percentage of Overnight Trips by Foreign Visitors","2023 May","All types of accommodation","%","100"
"Percentage of Overnight Trips by Foreign Visitors","2023 June","Hotel/conference centre","%","46.2"
"Percentage of Overnight Trips by Foreign Visitors","2023 June","Guest house/bed & breakfast","%","4"
"Percentage of Overnight Trips by Foreign Visitors","2023 June","Friends/relatives/own property","%","37.4"
"Percentage of Overnight Trips by Foreign Visitors","2023 June","Self catering/rented house","%","5.6"
"Percentage of Overnight Trips by Foreign Visitors","2023 June","Other private tourism accommodation n.e.c.","%","6.8"
"Percentage of Overnight Trips by Foreign Visitors","2023 June","All types of accommodation","%","100"
"Percentage of Overnight Trips by Foreign Visitors","2023 July","Hotel/conference centre","%","42.5"
"Percentage of Overnight Trips by Foreign Visitors","2023 July","Guest house/bed & breakfast","%","4.1"
"Percentage of Overnight Trips by Foreign Visitors","2023 July","Friends/relatives/own property","%","40.1"
"Percentage of Overnight Trips by Foreign Visitors","2023 July","Self catering/rented house","%","6.3"
"Percentage of Overnight Trips by Foreign Visitors","2023 July","Other private tourism accommodation n.e.c.","%","7"
"Percentage of Overnight Trips by Foreign Visitors","2023 July","All types of accommodation","%","100"
"Percentage of Overnight Trips by Foreign Visitors","2023 August","Hotel/conference centre","%","40.3"
"Percentage of Overnight Trips by Foreign Visitors","2023 August","Guest house/bed & breakfast","%","6.2"
"Percentage of Overnight Trips by Foreign Visitors","2023 August","Friends/relatives/own property","%","40.1"
"Percentage of Overnight Trips by Foreign Visitors","2023 August","Self catering/rented house","%","5"
"Percentage of Overnight Trips by Foreign Visitors","2023 August","Other private tourism accommodation n.e.c.","%","8.5"
"Percentage of Overnight Trips by Foreign Visitors","2023 August","All types of accommodation","%","100"
"Percentage of Overnight Trips by Foreign Visitors","2023 September","Hotel/conference centre","%","46.4"
"Percentage of Overnight Trips by Foreign Visitors","2023 September","Guest house/bed & breakfast","%","8.1"
"Percentage of Overnight Trips by Foreign Visitors","2023 September","Friends/relatives/own property","%","36.1"
"Percentage of Overnight Trips by Foreign Visitors","2023 September","Self catering/rented house","%","4.9"
"Percentage of Overnight Trips by Foreign Visitors","2023 September","Other private tourism accommodation n.e.c.","%","4.6"
"Percentage of Overnight Trips by Foreign Visitors","2023 September","All types of accommodation","%","100"
"Percentage of Overnight Trips by Foreign Visitors","2023 October","Hotel/conference centre","%","46.1"
"Percentage of Overnight Trips by Foreign Visitors","2023 October","Guest house/bed & breakfast","%","5.3"
"Percentage of Overnight Trips by Foreign Visitors","2023 October","Friends/relatives/own property","%","37.8"
"Percentage of Overnight Trips by Foreign Visitors","2023 October","Self catering/rented house","%","5.2"
"Percentage of Overnight Trips by Foreign Visitors","2023 October","Other private tourism accommodation n.e.c.","%","5.7"
"Percentage of Overnight Trips by Foreign Visitors","2023 October","All types of accommodation","%","100"
"Percentage of Overnight Trips by Foreign Visitors","2023 November","Hotel/conference centre","%","46.5"
"Percentage of Overnight Trips by Foreign Visitors","2023 November","Guest house/bed & breakfast","%","3.7"
"Percentage of Overnight Trips by Foreign Visitors","2023 November","Friends/relatives/own property","%","40.8"
"Percentage of Overnight Trips by Foreign Visitors","2023 November","Self catering/rented house","%","3.9"
"Percentage of Overnight Trips by Foreign Visitors","2023 November","Other private tourism accommodation n.e.c.","%","5.1"
"Percentage of Overnight Trips by Foreign Visitors","2023 November","All types of accommodation","%","100"
"Percentage of Overnight Trips by Foreign Visitors","2023 December","Hotel/conference centre","%","40.5"
"Percentage of Overnight Trips by Foreign Visitors","2023 December","Guest house/bed & breakfast","%","2.6"
"Percentage of Overnight Trips by Foreign Visitors","2023 December","Friends/relatives/own property","%","45.8"
"Percentage of Overnight Trips by Foreign Visitors","2023 December","Self catering/rented house","%","3.5"
"Percentage of Overnight Trips by Foreign Visitors","2023 December","Other private tourism accommodation n.e.c.","%","7.5"
"Percentage of Overnight Trips by Foreign Visitors","2023 December","All types of accommodation","%","100"
"Percentage of Overnight Trips by Foreign Visitors","2024 January","Hotel/conference centre","%","36"
"Percentage of Overnight Trips by Foreign Visitors","2024 January","Guest house/bed & breakfast","%","2.5"
"Percentage of Overnight Trips by Foreign Visitors","2024 January","Friends/relatives/own property","%","54.5"
"Percentage of Overnight Trips by Foreign Visitors","2024 January","Self catering/rented house","%","3.2"
"Percentage of Overnight Trips by Foreign Visitors","2024 January","Other private tourism accommodation n.e.c.","%","3.8"
"Percentage of Overnight Trips by Foreign Visitors","2024 January","All types of accommodation","%","100"
"Number of Nights by Foreign Visitors","2023 April","Hotel/conference centre","Thousand","803.4"
"Number of Nights by Foreign Visitors","2023 April","Guest house/bed & breakfast","Thousand","88.5"
"Number of Nights by Foreign Visitors","2023 April","Friends/relatives/own property","Thousand","1904.8"
"Number of Nights by Foreign Visitors","2023 April","Self catering/rented house","Thousand","387"
"Number of Nights by Foreign Visitors","2023 April","Other private tourism accommodation n.e.c.","Thousand","483.8"
"Number of Nights by Foreign Visitors","2023 April","All types of accommodation","Thousand","3667.5"
"Number of Nights by Foreign Visitors","2023 May","Hotel/conference centre","Thousand","1148"
"Number of Nights by Foreign Visitors","2023 May","Guest house/bed & breakfast","Thousand","171"
"Number of Nights by Foreign Visitors","2023 May","Friends/relatives/own property","Thousand","1703.4"
"Number of Nights by Foreign Visitors","2023 May","Self catering/rented house","Thousand","363.2"
"Number of Nights by Foreign Visitors","2023 May","Other private tourism accommodation n.e.c.","Thousand","1090.4"
