"Statistic Label","Month","Detailed Residency","UNIT","VALUE"
"Number of Overnight Trips by Foreign Visitors","2023 August","Canada","Thousand","22.7"
"Number of Overnight Trips by Foreign Visitors","2023 August","United States","Thousand","142.6"
"Number of Overnight Trips by Foreign Visitors","2023 August","Other Residencies","Thousand","23.6"
"Number of Overnight Trips by Foreign Visitors","2023 August","All Residencies","Thousand","737.6"
"Number of Overnight Trips by Foreign Visitors","2023 September","Great Britain (England, Scotland & Wales)","Thousand","205.9"
"Number of Overnight Trips by Foreign Visitors","2023 September","Belgium/Netherlands/Luxembourg","Thousand","21.2"
"Number of Overnight Trips by Foreign Visitors","2023 September","Denmark/Norway/Sweden/Finland","Thousand","13.4"
"Number of Overnight Trips by Foreign Visitors","2023 September","France","Thousand","28.8"
"Number of Overnight Trips by Foreign Visitors","2023 September","Germany","Thousand","46.8"
"Number of Overnight Trips by Foreign Visitors","2023 September","Italy","Thousand","18.3"
"Number of Overnight Trips by Foreign Visitors","2023 September","Spain/Portugal","Thousand","32.8"
"Number of Overnight Trips by Foreign Visitors","2023 September","Other Europe (2)","Thousand","35.9"
"Number of Overnight Trips by Foreign Visitors","2023 September","Australia/New Zealand","Thousand","17.9"
"Number of Overnight Trips by Foreign Visitors","2023 September","Canada","Thousand","22.8"
"Number of Overnight Trips by Foreign Visitors","2023 September","United States","Thousand","117.4"
"Number of Overnight Trips by Foreign Visitors","2023 September","Other Residencies","Thousand","20.7"
"Number of Overnight Trips by Foreign Visitors","2023 September","All Residencies","Thousand","582.1"
"Number of Overnight Trips by Foreign Visitors","2023 October","Great Britain (England, Scotland & Wales)","Thousand","204.7"
"Number of Overnight Trips by Foreign Visitors","2023 October","Belgium/Netherlands/Luxembourg","Thousand","22.6"
"Number of Overnight Trips by Foreign Visitors","2023 October","Denmark/Norway/Sweden/Finland","Thousand","18.3"
"Number of Overnight Trips by Foreign Visitors","2023 October","France","Thousand","29.2"
"Number of Overnight Trips by Foreign Visitors","2023 October","Germany","Thousand","44.9"
"Number of Overnight Trips by Foreign Visitors","2023 October","Italy","Thousand","20.4"
"Number of Overnight Trips by Foreign Visitors","2023 October","Spain/Portugal","Thousand","35.5"
"Number of Overnight Trips by Foreign Visitors","2023 October","Other Europe (2)","Thousand","30.4"
"Number of Overnight Trips by Foreign Visitors","2023 October","Australia/New Zealand","Thousand","13.2"
"Number of Overnight Trips by Foreign Visitors","2023 October","Canada","Thousand","18.8"
"Number of Overnight Trips by Foreign Visitors","2023 October","United States","Thousand","122.1"
"Number of Overnight Trips by Foreign Visitors","2023 October","Other Residencies","Thousand","17"
"Number of Overnight Trips by Foreign Visitors","2023 October","All Residencies","Thousand","577.4"
"Number of Overnight Trips by Foreign Visitors","2023 November","Great Britain (England, Scotland & Wales)","Thousand","182.8"
"Number of Overnight Trips by Foreign Visitors","2023 November","Belgium/Netherlands/Luxembourg","Thousand","21.4"
"Number of Overnight Trips by Foreign Visitors","2023 November","Denmark/Norway/Sweden/Finland","Thousand","10.6"
"Number of Overnight Trips by Foreign Visitors","2023 November","France","Thousand","22.2"
"Number of Overnight Trips by Foreign Visitors","2023 November","Germany","Thousand","29.6"
"Number of Overnight Trips by Foreign Visitors","2023 November","Italy","Thousand","14.6"
"Number of Overnight Trips by Foreign Visitors","2023 November","Spain/Portugal","Thousand","26.4"
"Number of Overnight Trips by Foreign Visitors","2023 November","Other Europe (2)","Thousand","35.1"
"Number of Overnight Trips by Foreign Visitors","2023 November","Australia/New Zealand","Thousand","7.3"
"Number of Overnight Trips by Foreign Visitors","2023 November","Canada","Thousand","5.7"
"Number of Overnight Trips by Foreign Visitors","2023 November","United States","Thousand","75.1"
"Number of Overnight Trips by Foreign Visitors","2023 November","Other Residencies","Thousand","16.7"
"Number of Overnight Trips by Foreign Visitors","2023 November","All Residencies","Thousand","447.5"
"Number of Overnight Trips by Foreign Visitors","2023 December","Great Britain (England, Scotland & Wales)","Thousand","187"
"Number of Overnight Trips by Foreign Visitors","2023 December","Belgium/Netherlands/Luxembourg","Thousand","23.6"
"Number of Overnight Trips by Foreign Visitors","2023 December","Denmark/Norway/Sweden/Finland","Thousand","10.8"
"Number of Overnight Trips by Foreign Visitors","2023 December","France","Thousand","27.2"
"Number of Overnight Trips by Foreign Visitors","2023 December","Germany","Thousand","25.8"
"Number of Overnight Trips by Foreign Visitors","2023 December","Italy","Thousand","16.6"
"Number of Overnight Trips by Foreign Visitors","2023 December","Spain/Portugal","Thousand","38.2"
"Number of Overnight Trips by Foreign Visitors","2023 December","Other Europe (2)","Thousand","32.6"
"Number of Overnight Trips by Foreign Visitors","2023 December","Australia/New Zealand","Thousand","9"
"Number of Overnight Trips by Foreign Visitors","2023 December","Canada","Thousand","6.3"
"Number of Overnight Trips by Foreign Visitors","2023 December","United States","Thousand","53.3"
"Number of Overnight Trips by Foreign Visitors","2023 December","Other Residencies","Thousand","14.7"
"Number of Overnight Trips by Foreign Visitors","2023 December","All Residencies","Thousand","445.2"
"Number of Overnight Trips by Foreign Visitors","2024 January","Great Britain (England, Scotland & Wales)","Thousand","191.2"
"Number of Overnight Trips by Foreign Visitors","2024 January","Belgium/Netherlands/Luxembourg","Thousand","25.9"
"Number of Overnight Trips by Foreign Visitors","2024 January","Denmark/Norway/Sweden/Finland","Thousand","10.5"
"Number of Overnight Trips by Foreign Visitors","2024 January","France","Thousand","21.5"
"Number of Overnight Trips by Foreign Visitors","2024 January","Germany","Thousand","26.2"
"Number of Overnight Trips by Foreign Visitors","2024 January","Italy","Thousand","22"
"Number of Overnight Trips by Foreign Visitors","2024 January","Spain/Portugal","Thousand","21.8"
"Number of Overnight Trips by Foreign Visitors","2024 January","Other Europe (2)","Thousand","44.7"
"Number of Overnight Trips by Foreign Visitors","2024 January","Australia/New Zealand","Thousand","10.9"
"Number of Overnight Trips by Foreign Visitors","2024 January","Canada","Thousand","6.4"
"Number of Overnight Trips by Foreign Visitors","2024 January","United States","Thousand","50.2"
"Number of Overnight Trips by Foreign Visitors","2024 January","Other Residencies","Thousand","20.5"
"Number of Overnight Trips by Foreign Visitors","2024 January","All Residencies","Thousand","451.9"
"Percentage of Overnight Trips by Foreign Visitors","2023 April","Great Britain (England, Scotland & Wales)","%","41.1"
"Percentage of Overnight Trips by Foreign Visitors","2023 April","Belgium/Netherlands/Luxembourg","%","4.9"
"Percentage of Overnight Trips by Foreign Visitors","2023 April","Denmark/Norway/Sweden/Finland","%","2.5"
"Percentage of Overnight Trips by Foreign Visitors","2023 April","France","%","7"
"Percentage of Overnight Trips by Foreign Visitors","2023 April","Germany","%","9.1"
"Percentage of Overnight Trips by Foreign Visitors","2023 April","Italy","%","2.5"
"Percentage of Overnight Trips by Foreign Visitors","2023 April","Spain/Portugal","%","4.6"
"Percentage of Overnight Trips by Foreign Visitors","2023 April","Other Europe (2)","%","6.7"
"Percentage of Overnight Trips by Foreign Visitors","2023 April","Australia/New Zealand","%","1.5"
"Percentage of Overnight Trips by Foreign Visitors","2023 April","Canada","%","1.6"
"Percentage of Overnight Trips by Foreign Visitors","2023 April","United States","%","16"
"Percentage of Overnight Trips by Foreign Visitors","2023 April","Other Residencies","%","2.3"
"Percentage of Overnight Trips by Foreign Visitors","2023 April","All Residencies","%","100"
"Percentage of Overnight Trips by Foreign Visitors","2023 May","Great Britain (England, Scotland & Wales)","%","34.8"
"Percentage of Overnight Trips by Foreign Visitors","2023 May","Belgium/Netherlands/Luxembourg","%","4"
"Percentage of Overnight Trips by Foreign Visitors","2023 May","Denmark/Norway/Sweden/Finland","%","3.3"
"Percentage of Overnight Trips by Foreign Visitors","2023 May","France","%","8.1"
"Percentage of Overnight Trips by Foreign Visitors","2023 May","Germany","%","7.7"
"Percentage of Overnight Trips by Foreign Visitors","2023 May","Italy","%","4"
"Percentage of Overnight Trips by Foreign Visitors","2023 May","Spain/Portugal","%","3.1"
"Percentage of Overnight Trips by Foreign Visitors","2023 May","Other Europe (2)","%","9.3"
"Percentage of Overnight Trips by Foreign Visitors","2023 May","Australia/New Zealand","%","1.4"
