"Statistic Label","Detailed Area of Residence","Quarter","UNIT","VALUE"
"Overseas Trips to Ireland","Norway, Sweden, Finland and Denmark","2010Q4","Thousand","41.8"
"Overseas Trips to Ireland","Norway, Sweden, Finland and Denmark","2011Q1","Thousand","31.4"
"Overseas Trips to Ireland","Norway, Sweden, Finland and Denmark","2011Q2","Thousand","50.8"
"Overseas Trips to Ireland","Norway, Sweden, Finland and Denmark","2011Q3","Thousand","58.4"
"Overseas Trips to Ireland","Norway, Sweden, Finland and Denmark","2011Q4","Thousand","41.1"
"Overseas Trips to Ireland","Norway, Sweden, Finland and Denmark","2012Q1","Thousand","30"
"Overseas Trips to Ireland","Norway, Sweden, Finland and Denmark","2012Q2","Thousand","57"
"Overseas Trips to Ireland","Norway, Sweden, Finland and Denmark","2012Q3","Thousand","58.4"
"Overseas Trips to Ireland","Norway, Sweden, Finland and Denmark","2012Q4","Thousand","45.6"
"Overseas Trips to Ireland","Norway, Sweden, Finland and Denmark","2013Q1","Thousand","39.2"
"Overseas Trips to Ireland","Norway, Sweden, Finland and Denmark","2013Q2","Thousand","59.3"
"Overseas Trips to Ireland","Norway, Sweden, Finland and Denmark","2013Q3","Thousand","65.8"
"Overseas Trips to Ireland","Norway, Sweden, Finland and Denmark","2013Q4","Thousand","45.2"
"Overseas Trips to Ireland","Norway, Sweden, Finland and Denmark","2014Q1","Thousand","35"
"Overseas Trips to Ireland","Norway, Sweden, Finland and Denmark","2014Q2","Thousand","64.2"
"Overseas Trips to Ireland","Norway, Sweden, Finland and Denmark","2014Q3","Thousand","58.2"
"Overseas Trips to Ireland","Norway, Sweden, Finland and Denmark","2014Q4","Thousand","42.9"
"Overseas Trips to Ireland","Norway, Sweden, Finland and Denmark","2015Q1","Thousand","35.8"
"Overseas Trips to Ireland","Norway, Sweden, Finland and Denmark","2015Q2","Thousand","68.5"
"Overseas Trips to Ireland","Norway, Sweden, Finland and Denmark","2015Q3","Thousand","69"
"Overseas Trips to Ireland","Norway, Sweden, Finland and Denmark","2015Q4","Thousand","60.6"
"Overseas Trips to Ireland","Norway, Sweden, Finland and Denmark","2016Q1","Thousand","44.6"
"Overseas Trips to Ireland","Norway, Sweden, Finland and Denmark","2016Q2","Thousand","62"
"Overseas Trips to Ireland","Norway, Sweden, Finland and Denmark","2016Q3","Thousand","65.7"
"Overseas Trips to Ireland","Norway, Sweden, Finland and Denmark","2016Q4","Thousand","50.8"
"Overseas Trips to Ireland","Norway, Sweden, Finland and Denmark","2017Q1","Thousand","37.6"
"Overseas Trips to Ireland","Norway, Sweden, Finland and Denmark","2017Q2","Thousand","75.8"
"Overseas Trips to Ireland","Norway, Sweden, Finland and Denmark","2017Q3","Thousand","75.5"
"Overseas Trips to Ireland","Norway, Sweden, Finland and Denmark","2017Q4","Thousand","64.2"
"Overseas Trips to Ireland","Norway, Sweden, Finland and Denmark","2018Q1","Thousand","47.7"
"Overseas Trips to Ireland","Norway, Sweden, Finland and Denmark","2018Q2","Thousand","77.3"
"Overseas Trips to Ireland","Norway, Sweden, Finland and Denmark","2018Q3","Thousand","77.3"
"Overseas Trips to Ireland","Norway, Sweden, Finland and Denmark","2018Q4","Thousand","56.9"
"Overseas Trips to Ireland","Norway, Sweden, Finland and Denmark","2019Q1","Thousand","47"
"Overseas Trips to Ireland","Norway, Sweden, Finland and Denmark","2019Q2","Thousand","69.2"
"Overseas Trips to Ireland","Norway, Sweden, Finland and Denmark","2019Q3","Thousand","74.1"
"Overseas Trips to Ireland","Norway, Sweden, Finland and Denmark","2019Q4","Thousand","62.5"
"Overseas Trips to Ireland","Other Europe (29)","2010Q1","Thousand","114.2"
"Overseas Trips to Ireland","Other Europe (29)","2010Q2","Thousand","119.7"
"Overseas Trips to Ireland","Other Europe (29)","2010Q3","Thousand","154.6"
"Overseas Trips to Ireland","Other Europe (29)","2010Q4","Thousand","129.3"
"Overseas Trips to Ireland","Other Europe (29)","2011Q1","Thousand","109.4"
"Overseas Trips to Ireland","Other Europe (29)","2011Q2","Thousand","172.3"
"Overseas Trips to Ireland","Other Europe (29)","2011Q3","Thousand","181.4"
"Overseas Trips to Ireland","Other Europe (29)","2011Q4","Thousand","114"
"Overseas Trips to Ireland","Other Europe (29)","2012Q1","Thousand","102.5"
"Overseas Trips to Ireland","Other Europe (29)","2012Q2","Thousand","152.3"
"Overseas Trips to Ireland","Other Europe (29)","2012Q3","Thousand","179.8"
"Overseas Trips to Ireland","Other Europe (29)","2012Q4","Thousand","135.3"
"Overseas Trips to Ireland","Other Europe (29)","2013Q1","Thousand","117"
"Overseas Trips to Ireland","Other Europe (29)","2013Q2","Thousand","155.2"
"Overseas Trips to Ireland","Other Europe (29)","2013Q3","Thousand","167.6"
"Overseas Trips to Ireland","Other Europe (29)","2013Q4","Thousand","135.2"
"Overseas Trips to Ireland","Other Europe (29)","2014Q1","Thousand","114.8"
"Overseas Trips to Ireland","Other Europe (29)","2014Q2","Thousand","166.8"
"Overseas Trips to Ireland","Other Europe (29)","2014Q3","Thousand","182.2"
"Overseas Trips to Ireland","Other Europe (29)","2014Q4","Thousand","137.8"
"Overseas Trips to Ireland","Other Europe (29)","2015Q1","Thousand","133"
"Overseas Trips to Ireland","Other Europe (29)","2015Q2","Thousand","176.5"
"Overseas Trips to Ireland","Other Europe (29)","2015Q3","Thousand","214.2"
"Overseas Trips to Ireland","Other Europe (29)","2015Q4","Thousand","161.2"
"Overseas Trips to Ireland","Other Europe (29)","2016Q1","Thousand","140.5"
"Overseas Trips to Ireland","Other Europe (29)","2016Q2","Thousand","212.6"
"Overseas Trips to Ireland","Other Europe (29)","2016Q3","Thousand","238.7"
"Overseas Trips to Ireland","Other Europe (29)","2016Q4","Thousand","179.7"
"Overseas Trips to Ireland","Other Europe (29)","2017Q1","Thousand","138.3"
"Overseas Trips to Ireland","Other Europe (29)","2017Q2","Thousand","226.4"
"Overseas Trips to Ireland","Other Europe (29)","2017Q3","Thousand","235.3"
"Overseas Trips to Ireland","Other Europe (29)","2017Q4","Thousand","200.2"
"Overseas Trips to Ireland","Other Europe (29)","2018Q1","Thousand","175.7"
"Overseas Trips to Ireland","Other Europe (29)","2018Q2","Thousand","253.8"
"Overseas Trips to Ireland","Other Europe (29)","2018Q3","Thousand","265"
"Overseas Trips to Ireland","Other Europe (29)","2018Q4","Thousand","218"
"Overseas Trips to Ireland","Other Europe (29)","2019Q1","Thousand","198.1"
"Overseas Trips to Ireland","Other Europe (29)","2019Q2","Thousand","285.9"
"Overseas Trips to Ireland","Other Europe (29)","2019Q3","Thousand","298.2"
"Overseas Trips to Ireland","Other Europe (29)","2019Q4","Thousand","251.3"
"Overseas Trips to Ireland","Other Areas  (28)","2010Q1","Thousand",""
"Overseas Trips to Ireland","Other Areas  (28)","2010Q2","Thousand",""
"Overseas Trips to Ireland","Other Areas  (28)","2010Q3","Thousand",""
"Overseas Trips to Ireland","Other Areas  (28)","2010Q4","Thousand",""
"Overseas Trips to Ireland","Other Areas  (28)","2011Q1","Thousand",""
"Overseas Trips to Ireland","Other Areas  (28)","2011Q2","Thousand",""
"Overseas Trips to Ireland","Other Areas  (28)","2011Q3","Thousand","70"
"Overseas Trips to Ireland","Other Areas  (28)","2011Q4","Thousand","46.6"
"Overseas Trips to Ireland","Other Areas  (28)","2012Q1","Thousand","43.6"
"Overseas Trips to Ireland","Other Areas  (28)","2012Q2","Thousand","60.7"
"Overseas Trips to Ireland","Other Areas  (28)","2012Q3","Thousand","67.9"
"Overseas Trips to Ireland","Other Areas  (28)","2012Q4","Thousand","50.7"
"Overseas Trips to Ireland","Other Areas  (28)","2013Q1","Thousand","42.5"
"Overseas Trips to Ireland","Other Areas  (28)","2013Q2","Thousand","60.8"
"Overseas Trips to Ireland","Other Areas  (28)","2013Q3","Thousand","85.9"
"Overseas Trips to Ireland","Other Areas  (28)","2013Q4","Thousand","59"
"Overseas Trips to Ireland","Other Areas  (28)","2014Q1","Thousand","51"
"Overseas Trips to Ireland","Other Areas  (28)","2014Q2","Thousand","71.1"
"Overseas Trips to Ireland","Other Areas  (28)","2014Q3","Thousand","97.5"
"Overseas Trips to Ireland","Other Areas  (28)","2014Q4","Thousand","64.3"
"Overseas Trips to Ireland","Other Areas  (28)","2015Q1","Thousand","57.3"
"Overseas Trips to Ireland","Other Areas  (28)","2015Q2","Thousand","84.8"
"Overseas Trips to Ireland","Other Areas  (28)","2015Q3","Thousand","107.7"
"Overseas Trips to Ireland","Other Areas  (28)","2015Q4","Thousand","81.3"
"Overseas Trips to Ireland","Other Areas  (28)","2016Q1","Thousand","64.1"
"Overseas Trips to Ireland","Other Areas  (28)","2016Q2","Thousand","85.5"
"Overseas Trips to Ireland","Other Areas  (28)","2016Q3","Thousand","117"
"Overseas Trips to Ireland","Other Areas  (28)","2016Q4","Thousand","79.1"
"Overseas Trips to Ireland","Other Areas  (28)","2017Q1","Thousand","75.8"
"Overseas Trips to Ireland","Other Areas  (28)","2017Q2","Thousand","115"
"Overseas Trips to Ireland","Other Areas  (28)","2017Q3","Thousand","134.8"
"Overseas Trips to Ireland","Other Areas  (28)","2017Q4","Thousand","85.2"
"Overseas Trips to Ireland","Other Areas  (28)","2018Q1","Thousand","77.5"
"Overseas Trips to Ireland","Other Areas  (28)","2018Q2","Thousand","111.9"
"Overseas Trips to Ireland","Other Areas  (28)","2018Q3","Thousand","149.2"
"Overseas Trips to Ireland","Other Areas  (28)","2018Q4","Thousand","93.7"
"Overseas Trips to Ireland","Other Areas  (28)","2019Q1","Thousand","87.8"
"Overseas Trips to Ireland","Other Areas  (28)","2019Q2","Thousand","127.1"
"Overseas Trips to Ireland","Other Areas  (28)","2019Q3","Thousand","154.6"
"Overseas Trips to Ireland","Other Areas  (28)","2019Q4","Thousand","103.1"
"Overseas Trips to Ireland","Other Areas (29)","2010Q1","Thousand",""
"Overseas Trips to Ireland","Other Areas (29)","2010Q2","Thousand",""
"Overseas Trips to Ireland","Other Areas (29)","2010Q3","Thousand",""
"Overseas Trips to Ireland","Other Areas (29)","2010Q4","Thousand","45"
"Overseas Trips to Ireland","Other Areas (29)","2011Q1","Thousand","44.2"
"Overseas Trips to Ireland","Other Areas (29)","2011Q2","Thousand","54.7"
"Overseas Trips to Ireland","Other Areas (29)","2011Q3","Thousand",""
"Overseas Trips to Ireland","Other Areas (29)","2011Q4","Thousand",""
"Overseas Trips to Ireland","Other Areas (29)","2012Q1","Thousand",""
"Overseas Trips to Ireland","Other Areas (29)","2012Q2","Thousand",""
"Overseas Trips to Ireland","Other Areas (29)","2012Q3","Thousand",""
"Overseas Trips to Ireland","Other Areas (29)","2012Q4","Thousand",""
"Overseas Trips to Ireland","Other Areas (29)","2013Q1","Thousand",""
"Overseas Trips to Ireland","Other Areas (29)","2013Q2","Thousand",""
"Overseas Trips to Ireland","Other Areas (29)","2013Q3","Thousand",""
"Overseas Trips to Ireland","Other Areas (29)","2013Q4","Thousand",""
"Overseas Trips to Ireland","Other Areas (29)","2014Q1","Thousand",""
"Overseas Trips to Ireland","Other Areas (29)","2014Q2","Thousand",""
"Overseas Trips to Ireland","Other Areas (29)","2014Q3","Thousand",""
"Overseas Trips to Ireland","Other Areas (29)","2014Q4","Thousand",""
"Overseas Trips to Ireland","Other Areas (29)","2015Q1","Thousand",""
"Overseas Trips to Ireland","Other Areas (29)","2015Q2","Thousand",""
"Overseas Trips to Ireland","Other Areas (29)","2015Q3","Thousand",""
"Overseas Trips to Ireland","Other Areas (29)","2015Q4","Thousand",""
"Overseas Trips to Ireland","Other Areas (29)","2016Q1","Thousand",""
"Overseas Trips to Ireland","Other Areas (29)","2016Q2","Thousand",""
"Overseas Trips to Ireland","Other Areas (29)","2016Q3","Thousand",""
"Overseas Trips to Ireland","Other Areas (29)","2016Q4","Thousand",""
"Overseas Trips to Ireland","Other Areas (29)","2017Q1","Thousand",""
"Overseas Trips to Ireland","Other Areas (29)","2017Q2","Thousand",""
"Overseas Trips to Ireland","Other Areas (29)","2017Q3","Thousand",""
"Overseas Trips to Ireland","Other Areas (29)","2017Q4","Thousand",""
"Overseas Trips to Ireland","Other Areas (29)","2018Q1","Thousand",""
"Overseas Trips to Ireland","Other Areas (29)","2018Q2","Thousand",""
"Overseas Trips to Ireland","Other Areas (29)","2018Q3","Thousand",""
"Overseas Trips to Ireland","Other Areas (29)","2018Q4","Thousand",""
"Overseas Trips to Ireland","Other Areas (29)","2019Q1","Thousand",""
"Overseas Trips to Ireland","Other Areas (29)","2019Q2","Thousand",""
"Overseas Trips to Ireland","Other Areas (29)","2019Q3","Thousand",""
"Overseas Trips to Ireland","Other Areas (29)","2019Q4","Thousand",""
"Overseas Trips to Ireland","Other Areas (30)","2010Q1","Thousand","35.1"
"Overseas Trips to Ireland","Other Areas (30)","2010Q2","Thousand","42.1"
"Overseas Trips to Ireland","Other Areas (30)","2010Q3","Thousand","60.3"
"Overseas Trips to Ireland","Other Areas (30)","2010Q4","Thousand",""
"Overseas Trips to Ireland","Other Areas (30)","2011Q1","Thousand",""
"Overseas Trips to Ireland","Other Areas (30)","2011Q2","Thousand",""
"Overseas Trips to Ireland","Other Areas (30)","2011Q3","Thousand",""
"Overseas Trips to Ireland","Other Areas (30)","2011Q4","Thousand",""
"Overseas Trips to Ireland","Other Areas (30)","2012Q1","Thousand",""
"Overseas Trips to Ireland","Other Areas (30)","2012Q2","Thousand",""
"Overseas Trips to Ireland","Other Areas (30)","2012Q3","Thousand",""
"Overseas Trips to Ireland","Other Areas (30)","2012Q4","Thousand",""
"Overseas Trips to Ireland","Other Areas (30)","2013Q1","Thousand",""
"Overseas Trips to Ireland","Other Areas (30)","2013Q2","Thousand",""
"Overseas Trips to Ireland","Other Areas (30)","2013Q3","Thousand",""
"Overseas Trips to Ireland","Other Areas (30)","2013Q4","Thousand",""
"Overseas Trips to Ireland","Other Areas (30)","2014Q1","Thousand",""
"Overseas Trips to Ireland","Other Areas (30)","2014Q2","Thousand",""
"Overseas Trips to Ireland","Other Areas (30)","2014Q3","Thousand",""
"Overseas Trips to Ireland","Other Areas (30)","2014Q4","Thousand",""
"Overseas Trips to Ireland","Other Areas (30)","2015Q1","Thousand",""
"Overseas Trips to Ireland","Other Areas (30)","2015Q2","Thousand",""
"Overseas Trips to Ireland","Other Areas (30)","2015Q3","Thousand",""
"Overseas Trips to Ireland","Other Areas (30)","2015Q4","Thousand",""
"Overseas Trips to Ireland","Other Areas (30)","2016Q1","Thousand",""
"Overseas Trips to Ireland","Other Areas (30)","2016Q2","Thousand",""
"Overseas Trips to Ireland","Other Areas (30)","2016Q3","Thousand",""
"Overseas Trips to Ireland","Other Areas (30)","2016Q4","Thousand",""
"Overseas Trips to Ireland","Other Areas (30)","2017Q1","Thousand",""
"Overseas Trips to Ireland","Other Areas (30)","2017Q2","Thousand",""
"Overseas Trips to Ireland","Other Areas (30)","2017Q3","Thousand",""
"Overseas Trips to Ireland","Other Areas (30)","2017Q4","Thousand",""
"Overseas Trips to Ireland","Other Areas (30)","2018Q1","Thousand",""
"Overseas Trips to Ireland","Other Areas (30)","2018Q2","Thousand",""
"Overseas Trips to Ireland","Other Areas (30)","2018Q3","Thousand",""
"Overseas Trips to Ireland","Other Areas (30)","2018Q4","Thousand",""
"Overseas Trips to Ireland","Other Areas (30)","2019Q1","Thousand",""
"Overseas Trips to Ireland","Other Areas (30)","2019Q2","Thousand",""
"Overseas Trips to Ireland","Other Areas (30)","2019Q3","Thousand",""
"Overseas Trips to Ireland","Other Areas (30)","2019Q4","Thousand",""
