"Statistic Label","Detailed Area of Residence","Quarter","UNIT","VALUE"
"Overseas Trips to Ireland","Spain","2011Q3","Thousand","88.4"
"Overseas Trips to Ireland","Spain","2011Q4","Thousand","50.4"
"Overseas Trips to Ireland","Spain","2012Q1","Thousand","43.1"
"Overseas Trips to Ireland","Spain","2012Q2","Thousand","63.3"
"Overseas Trips to Ireland","Spain","2012Q3","Thousand","91.1"
"Overseas Trips to Ireland","Spain","2012Q4","Thousand","55.5"
"Overseas Trips to Ireland","Spain","2013Q1","Thousand","42.5"
"Overseas Trips to Ireland","Spain","2013Q2","Thousand","65.7"
"Overseas Trips to Ireland","Spain","2013Q3","Thousand","97.6"
"Overseas Trips to Ireland","Spain","2013Q4","Thousand","57.2"
"Overseas Trips to Ireland","Spain","2014Q1","Thousand","49.1"
"Overseas Trips to Ireland","Spain","2014Q2","Thousand","83.2"
"Overseas Trips to Ireland","Spain","2014Q3","Thousand","100.1"
"Overseas Trips to Ireland","Spain","2014Q4","Thousand","58.5"
"Overseas Trips to Ireland","Spain","2015Q1","Thousand","62.9"
"Overseas Trips to Ireland","Spain","2015Q2","Thousand","89.4"
"Overseas Trips to Ireland","Spain","2015Q3","Thousand","122"
"Overseas Trips to Ireland","Spain","2015Q4","Thousand","68.9"
"Overseas Trips to Ireland","Spain","2016Q1","Thousand","71.3"
"Overseas Trips to Ireland","Spain","2016Q2","Thousand","100.1"
"Overseas Trips to Ireland","Spain","2016Q3","Thousand","136.9"
"Overseas Trips to Ireland","Spain","2016Q4","Thousand","86.7"
"Overseas Trips to Ireland","Spain","2017Q1","Thousand","74.5"
"Overseas Trips to Ireland","Spain","2017Q2","Thousand","134.7"
"Overseas Trips to Ireland","Spain","2017Q3","Thousand","146.7"
"Overseas Trips to Ireland","Spain","2017Q4","Thousand","87.3"
"Overseas Trips to Ireland","Spain","2018Q1","Thousand","78.4"
"Overseas Trips to Ireland","Spain","2018Q2","Thousand","127"
"Overseas Trips to Ireland","Spain","2018Q3","Thousand","148.5"
"Overseas Trips to Ireland","Spain","2018Q4","Thousand","89.2"
"Overseas Trips to Ireland","Spain","2019Q1","Thousand","87.1"
"Overseas Trips to Ireland","Spain","2019Q2","Thousand","120"
"Overseas Trips to Ireland","Spain","2019Q3","Thousand","136.8"
"Overseas Trips to Ireland","Spain","2019Q4","Thousand","99.3"
"Overseas Trips to Ireland","France","2010Q1","Thousand","54"
"Overseas Trips to Ireland","France","2010Q2","Thousand","92.8"
"Overseas Trips to Ireland","France","2010Q3","Thousand","119.9"
"Overseas Trips to Ireland","France","2010Q4","Thousand","75.7"
"Overseas Trips to Ireland","France","2011Q1","Thousand","68.7"
"Overseas Trips to Ireland","France","2011Q2","Thousand","126.5"
"Overseas Trips to Ireland","France","2011Q3","Thousand","136.7"
"Overseas Trips to Ireland","France","2011Q4","Thousand","69.6"
"Overseas Trips to Ireland","France","2012Q1","Thousand","66.6"
"Overseas Trips to Ireland","France","2012Q2","Thousand","129"
"Overseas Trips to Ireland","France","2012Q3","Thousand","129.4"
"Overseas Trips to Ireland","France","2012Q4","Thousand","71.3"
"Overseas Trips to Ireland","France","2013Q1","Thousand","84.3"
"Overseas Trips to Ireland","France","2013Q2","Thousand","144.5"
"Overseas Trips to Ireland","France","2013Q3","Thousand","129.5"
"Overseas Trips to Ireland","France","2013Q4","Thousand","75.4"
"Overseas Trips to Ireland","France","2014Q1","Thousand","69.4"
"Overseas Trips to Ireland","France","2014Q2","Thousand","149"
