"Trips","Month","Statistic Label","UNIT","VALUE"
"All Trips","2018M09","Overseas Trips to and from Ireland","Thousand","1763.4"
"All Trips","2018M09","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1598.1"
"All Trips","2018M10","Overseas Trips to and from Ireland","Thousand","1649.8"
"All Trips","2018M10","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1608.3"
"All Trips","2018M11","Overseas Trips to and from Ireland","Thousand","1309.9"
"All Trips","2018M11","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1596.4"
"All Trips","2018M12","Overseas Trips to and from Ireland","Thousand","1311.1"
"All Trips","2018M12","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1603.9"
"All Trips","2019M01","Overseas Trips to and from Ireland","Thousand","1188.2"
"All Trips","2019M01","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1607.4"
"All Trips","2019M02","Overseas Trips to and from Ireland","Thousand","1147"
"All Trips","2019M02","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1618"
"All Trips","2019M03","Overseas Trips to and from Ireland","Thousand","1418.6"
"All Trips","2019M03","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1623.3"
"All Trips","2019M04","Overseas Trips to and from Ireland","Thousand","1683.3"
"All Trips","2019M04","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1636.3"
"All Trips","2019M05","Overseas Trips to and from Ireland","Thousand","1787.6"
"All Trips","2019M05","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1650.9"
"All Trips","2019M06","Overseas Trips to and from Ireland","Thousand","1954.4"
"All Trips","2019M06","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1644"
"All Trips","2019M07","Overseas Trips to and from Ireland","Thousand","2124"
"All Trips","2019M07","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1654.3"
"All Trips","2019M08","Overseas Trips to and from Ireland","Thousand","2164.2"
"All Trips","2019M08","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1660.1"
"All Trips","2019M09","Overseas Trips to and from Ireland","Thousand","1820.2"
"All Trips","2019M09","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1651.1"
"All Trips","2019M10","Overseas Trips to and from Ireland","Thousand","1689.8"
"All Trips","2019M10","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1642.3"
"All Trips","2019M11","Overseas Trips to and from Ireland","Thousand","1300.9"
"All Trips","2019M11","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1598.6"
"All Trips","2019M12","Overseas Trips to and from Ireland","Thousand","1343.7"
"All Trips","2019M12","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1636.5"
"All Trips","2020M01","Overseas Trips to and from Ireland","Thousand","1203"
"All Trips","2020M01","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1626"
"All Trips","2020M02","Overseas Trips to and from Ireland","Thousand","1174.2"
"All Trips","2020M02","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1622.5"
"Overseas Trips by Irish Residents","2016M01","Overseas Trips to and from Ireland","Thousand","469.1"
"Overseas Trips by Irish Residents","2016M01","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","601.8"
"Overseas Trips by Irish Residents","2016M02","Overseas Trips to and from Ireland","Thousand","440.7"
"Overseas Trips by Irish Residents","2016M02","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","604.1"
"Overseas Trips by Irish Residents","2016M03","Overseas Trips to and from Ireland","Thousand","567.9"
"Overseas Trips by Irish Residents","2016M03","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","621.5"
"Overseas Trips by Irish Residents","2016M04","Overseas Trips to and from Ireland","Thousand","544.7"
"Overseas Trips by Irish Residents","2016M04","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","582.1"
"Overseas Trips by Irish Residents","2016M05","Overseas Trips to and from Ireland","Thousand","650.3"
"Overseas Trips by Irish Residents","2016M05","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","623.6"
"Overseas Trips by Irish Residents","2016M06","Overseas Trips to and from Ireland","Thousand","780.3"
"Overseas Trips by Irish Residents","2016M06","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","623.8"
"Overseas Trips by Irish Residents","2016M07","Overseas Trips to and from Ireland","Thousand","822.2"
"Overseas Trips by Irish Residents","2016M07","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","592.9"
"Overseas Trips by Irish Residents","2016M08","Overseas Trips to and from Ireland","Thousand","755.1"
"Overseas Trips by Irish Residents","2016M08","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","586.7"
"Overseas Trips by Irish Residents","2016M09","Overseas Trips to and from Ireland","Thousand","675.6"
"Overseas Trips by Irish Residents","2016M09","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","628.1"
"Overseas Trips by Irish Residents","2016M10","Overseas Trips to and from Ireland","Thousand","655.8"
"Overseas Trips by Irish Residents","2016M10","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","636"
"Overseas Trips by Irish Residents","2016M11","Overseas Trips to and from Ireland","Thousand","527.4"
"Overseas Trips by Irish Residents","2016M11","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","655.9"
"Overseas Trips by Irish Residents","2016M12","Overseas Trips to and from Ireland","Thousand","515.5"
"Overseas Trips by Irish Residents","2016M12","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","652.1"
"Overseas Trips by Irish Residents","2017M01","Overseas Trips to and from Ireland","Thousand","508.5"
"Overseas Trips by Irish Residents","2017M01","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","648.9"
"Overseas Trips by Irish Residents","2017M02","Overseas Trips to and from Ireland","Thousand","506.9"
"Overseas Trips by Irish Residents","2017M02","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","665.5"
"Overseas Trips by Irish Residents","2017M03","Overseas Trips to and from Ireland","Thousand","553.3"
"Overseas Trips by Irish Residents","2017M03","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","662.8"
"Overseas Trips by Irish Residents","2017M04","Overseas Trips to and from Ireland","Thousand","677.2"
"Overseas Trips by Irish Residents","2017M04","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","648.9"
"Overseas Trips by Irish Residents","2017M05","Overseas Trips to and from Ireland","Thousand","639.4"
"Overseas Trips by Irish Residents","2017M05","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","622.2"
"Overseas Trips by Irish Residents","2017M06","Overseas Trips to and from Ireland","Thousand","802.4"
"Overseas Trips by Irish Residents","2017M06","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","644.9"
"Overseas Trips by Irish Residents","2017M07","Overseas Trips to and from Ireland","Thousand","925.7"
"Overseas Trips by Irish Residents","2017M07","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","692.8"
"Overseas Trips by Irish Residents","2017M08","Overseas Trips to and from Ireland","Thousand","856.6"
"Overseas Trips by Irish Residents","2017M08","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","680.8"
"Overseas Trips by Irish Residents","2017M09","Overseas Trips to and from Ireland","Thousand","712.8"
"Overseas Trips by Irish Residents","2017M09","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","649.5"
"Overseas Trips by Irish Residents","2017M10","Overseas Trips to and from Ireland","Thousand","674.7"
"Overseas Trips by Irish Residents","2017M10","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","661.1"
"Overseas Trips by Irish Residents","2017M11","Overseas Trips to and from Ireland","Thousand","523.3"
"Overseas Trips by Irish Residents","2017M11","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","658.5"
"Overseas Trips by Irish Residents","2017M12","Overseas Trips to and from Ireland","Thousand","558.2"
"Overseas Trips by Irish Residents","2017M12","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","691.7"
"Overseas Trips by Irish Residents","2018M01","Overseas Trips to and from Ireland","Thousand","548"
"Overseas Trips by Irish Residents","2018M01","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","700.8"
"Overseas Trips by Irish Residents","2018M02","Overseas Trips to and from Ireland","Thousand","492.4"
"Overseas Trips by Irish Residents","2018M02","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","661"
"Overseas Trips by Irish Residents","2018M03","Overseas Trips to and from Ireland","Thousand","558.6"
"Overseas Trips by Irish Residents","2018M03","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","595.5"
"Overseas Trips by Irish Residents","2018M04","Overseas Trips to and from Ireland","Thousand","658.4"
"Overseas Trips by Irish Residents","2018M04","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","699.9"
"Overseas Trips by Irish Residents","2018M05","Overseas Trips to and from Ireland","Thousand","711.2"
"Overseas Trips by Irish Residents","2018M05","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","694.9"
"Overseas Trips by Irish Residents","2018M06","Overseas Trips to and from Ireland","Thousand","878.5"
"Overseas Trips by Irish Residents","2018M06","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","715.6"
"Overseas Trips by Irish Residents","2018M07","Overseas Trips to and from Ireland","Thousand","905.4"
"Overseas Trips by Irish Residents","2018M07","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","677.7"
"Overseas Trips by Irish Residents","2018M08","Overseas Trips to and from Ireland","Thousand","870.4"
"Overseas Trips by Irish Residents","2018M08","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","683.5"
"Overseas Trips by Irish Residents","2018M09","Overseas Trips to and from Ireland","Thousand","795.1"
"Overseas Trips by Irish Residents","2018M09","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","711.9"
"Overseas Trips by Irish Residents","2018M10","Overseas Trips to and from Ireland","Thousand","716.3"
"Overseas Trips by Irish Residents","2018M10","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","709.8"
"Overseas Trips by Irish Residents","2018M11","Overseas Trips to and from Ireland","Thousand","568.9"
"Overseas Trips by Irish Residents","2018M11","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","704.6"
"Overseas Trips by Irish Residents","2018M12","Overseas Trips to and from Ireland","Thousand","572.9"
"Overseas Trips by Irish Residents","2018M12","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","711.6"
"Overseas Trips by Irish Residents","2019M01","Overseas Trips to and from Ireland","Thousand","536.9"
"Overseas Trips by Irish Residents","2019M01","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","703.9"
"Overseas Trips by Irish Residents","2019M02","Overseas Trips to and from Ireland","Thousand","556.3"
"Overseas Trips by Irish Residents","2019M02","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","728.2"
"Overseas Trips by Irish Residents","2019M03","Overseas Trips to and from Ireland","Thousand","634"
"Overseas Trips by Irish Residents","2019M03","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","724"
"Overseas Trips by Irish Residents","2019M04","Overseas Trips to and from Ireland","Thousand","745.1"
"Overseas Trips by Irish Residents","2019M04","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","730.9"
"Overseas Trips by Irish Residents","2019M05","Overseas Trips to and from Ireland","Thousand","765.9"
"Overseas Trips by Irish Residents","2019M05","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","748.9"
"Overseas Trips by Irish Residents","2019M06","Overseas Trips to and from Ireland","Thousand","892.6"
"Overseas Trips by Irish Residents","2019M06","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","723.9"
"Overseas Trips by Irish Residents","2019M07","Overseas Trips to and from Ireland","Thousand","968.9"
"Overseas Trips by Irish Residents","2019M07","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","747.5"
"Overseas Trips by Irish Residents","2019M08","Overseas Trips to and from Ireland","Thousand","973.6"
"Overseas Trips by Irish Residents","2019M08","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","770.7"
"Overseas Trips by Irish Residents","2019M09","Overseas Trips to and from Ireland","Thousand","831.5"
"Overseas Trips by Irish Residents","2019M09","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","747.1"
"Overseas Trips by Irish Residents","2019M10","Overseas Trips to and from Ireland","Thousand","733"
"Overseas Trips by Irish Residents","2019M10","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","726.9"
"Overseas Trips by Irish Residents","2019M11","Overseas Trips to and from Ireland","Thousand","612.3"
"Overseas Trips by Irish Residents","2019M11","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","741.3"
"Overseas Trips by Irish Residents","2019M12","Overseas Trips to and from Ireland","Thousand","564.5"
"Overseas Trips by Irish Residents","2019M12","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","715.3"
"Overseas Trips by Irish Residents","2020M01","Overseas Trips to and from Ireland","Thousand","548.5"
"Overseas Trips by Irish Residents","2020M01","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","725.8"
"Overseas Trips by Irish Residents","2020M02","Overseas Trips to and from Ireland","Thousand","559"
"Overseas Trips by Irish Residents","2020M02","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","736.8"
