"Trips","Month","Statistic Label","UNIT","VALUE"
"Overseas Trips to Ireland by Non-Residents","2018M11","Overseas Trips to and from Ireland","Thousand","741"
"Overseas Trips to Ireland by Non-Residents","2018M11","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","888.6"
"Overseas Trips to Ireland by Non-Residents","2018M12","Overseas Trips to and from Ireland","Thousand","738.3"
"Overseas Trips to Ireland by Non-Residents","2018M12","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","892.4"
"Overseas Trips to Ireland by Non-Residents","2019M01","Overseas Trips to and from Ireland","Thousand","651.3"
"Overseas Trips to Ireland by Non-Residents","2019M01","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","907.7"
"Overseas Trips to Ireland by Non-Residents","2019M02","Overseas Trips to and from Ireland","Thousand","590.7"
"Overseas Trips to Ireland by Non-Residents","2019M02","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","896.5"
"Overseas Trips to Ireland by Non-Residents","2019M03","Overseas Trips to and from Ireland","Thousand","784.7"
"Overseas Trips to Ireland by Non-Residents","2019M03","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","891.7"
"Overseas Trips to Ireland by Non-Residents","2019M04","Overseas Trips to and from Ireland","Thousand","938.3"
"Overseas Trips to Ireland by Non-Residents","2019M04","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","901.6"
"Overseas Trips to Ireland by Non-Residents","2019M05","Overseas Trips to and from Ireland","Thousand","1021.7"
"Overseas Trips to Ireland by Non-Residents","2019M05","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","891.9"
"Overseas Trips to Ireland by Non-Residents","2019M06","Overseas Trips to and from Ireland","Thousand","1061.8"
"Overseas Trips to Ireland by Non-Residents","2019M06","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","926.1"
"Overseas Trips to Ireland by Non-Residents","2019M07","Overseas Trips to and from Ireland","Thousand","1155.1"
"Overseas Trips to Ireland by Non-Residents","2019M07","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","905.2"
"Overseas Trips to Ireland by Non-Residents","2019M08","Overseas Trips to and from Ireland","Thousand","1190.6"
"Overseas Trips to Ireland by Non-Residents","2019M08","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","900.6"
"Overseas Trips to Ireland by Non-Residents","2019M09","Overseas Trips to and from Ireland","Thousand","988.7"
"Overseas Trips to Ireland by Non-Residents","2019M09","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","907.4"
"Overseas Trips to Ireland by Non-Residents","2019M10","Overseas Trips to and from Ireland","Thousand","956.8"
"Overseas Trips to Ireland by Non-Residents","2019M10","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","917.5"
"Overseas Trips to Ireland by Non-Residents","2019M11","Overseas Trips to and from Ireland","Thousand","688.6"
"Overseas Trips to Ireland by Non-Residents","2019M11","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","843.8"
"Overseas Trips to Ireland by Non-Residents","2019M12","Overseas Trips to and from Ireland","Thousand","779.2"
"Overseas Trips to Ireland by Non-Residents","2019M12","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","919.6"
"Overseas Trips to Ireland by Non-Residents","2020M01","Overseas Trips to and from Ireland","Thousand","654.5"
"Overseas Trips to Ireland by Non-Residents","2020M01","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","904.9"
"Overseas Trips to Ireland by Non-Residents","2020M02","Overseas Trips to and from Ireland","Thousand","615.2"
"Overseas Trips to Ireland by Non-Residents","2020M02","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","898.2"
