"Area of Residence","Month","Statistic Label","UNIT","VALUE"
"Other Europe (27)","2016M12","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","277.5"
"Other Europe (27)","2017M01","Overseas Trips to Ireland","Thousand","176.6"
"Other Europe (27)","2017M01","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","276"
"Other Europe (27)","2017M02","Overseas Trips to Ireland","Thousand","170.9"
"Other Europe (27)","2017M02","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","272"
"Other Europe (27)","2017M03","Overseas Trips to Ireland","Thousand","248.5"
"Other Europe (27)","2017M03","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","279.6"
"Other Europe (27)","2017M04","Overseas Trips to Ireland","Thousand","322.4"
"Other Europe (27)","2017M04","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","290.9"
"Other Europe (27)","2017M05","Overseas Trips to Ireland","Thousand","342.9"
"Other Europe (27)","2017M05","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","289"
"Other Europe (27)","2017M06","Overseas Trips to Ireland","Thousand","356.7"
"Other Europe (27)","2017M06","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","313.2"
"Other Europe (27)","2017M07","Overseas Trips to Ireland","Thousand","375.9"
"Other Europe (27)","2017M07","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","281.3"
"Other Europe (27)","2017M08","Overseas Trips to Ireland","Thousand","389.6"
"Other Europe (27)","2017M08","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","284.7"
"Other Europe (27)","2017M09","Overseas Trips to Ireland","Thousand","321.4"
"Other Europe (27)","2017M09","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","294.8"
"Other Europe (27)","2017M10","Overseas Trips to Ireland","Thousand","311.8"
"Other Europe (27)","2017M10","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","301"
"Other Europe (27)","2017M11","Overseas Trips to Ireland","Thousand","250.9"
"Other Europe (27)","2017M11","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","309.1"
"Other Europe (27)","2017M12","Overseas Trips to Ireland","Thousand","214.9"
"Other Europe (27)","2017M12","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","288.4"
"Other Europe (27)","2018M01","Overseas Trips to Ireland","Thousand","206.5"
"Other Europe (27)","2018M01","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","305.2"
"Other Europe (27)","2018M02","Overseas Trips to Ireland","Thousand","202.1"
"Other Europe (27)","2018M02","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","309.6"
"Other Europe (27)","2018M03","Overseas Trips to Ireland","Thousand","269.7"
"Other Europe (27)","2018M03","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","304.9"
"Other Europe (27)","2018M04","Overseas Trips to Ireland","Thousand","352.9"
"Other Europe (27)","2018M04","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","316.2"
"Other Europe (27)","2018M05","Overseas Trips to Ireland","Thousand","385.3"
"Other Europe (27)","2018M05","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","331.1"
"Other Europe (27)","2018M06","Overseas Trips to Ireland","Thousand","366.3"
"Other Europe (27)","2018M06","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","320.3"
"Other Europe (27)","2018M07","Overseas Trips to Ireland","Thousand","422.8"
"Other Europe (27)","2018M07","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","326.7"
"Other Europe (27)","2018M08","Overseas Trips to Ireland","Thousand","427.2"
"Other Europe (27)","2018M08","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","323.7"
"Other Europe (27)","2018M09","Overseas Trips to Ireland","Thousand","343.5"
"Other Europe (27)","2018M09","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","318.6"
"Other Europe (27)","2018M10","Overseas Trips to Ireland","Thousand","328.6"
"Other Europe (27)","2018M10","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","315.6"
"Other Europe (27)","2018M11","Overseas Trips to Ireland","Thousand","257.6"
"Other Europe (27)","2018M11","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","317.6"
"Other Europe (27)","2018M12","Overseas Trips to Ireland","Thousand","250.4"
"Other Europe (27)","2018M12","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","321.3"
"Other Europe (27)","2019M01","Overseas Trips to Ireland","Thousand","231.6"
"Other Europe (27)","2019M01","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","329.2"
"Other Europe (27)","2019M02","Overseas Trips to Ireland","Thousand","208.9"
"Other Europe (27)","2019M02","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","321.4"
"Other Europe (27)","2019M03","Overseas Trips to Ireland","Thousand","289.5"
"Other Europe (27)","2019M03","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","325.3"
"Other Europe (27)","2019M04","Overseas Trips to Ireland","Thousand","364.6"
"Other Europe (27)","2019M04","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","325.3"
"Other Europe (27)","2019M05","Overseas Trips to Ireland","Thousand","367.4"
"Other Europe (27)","2019M05","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","313"
"Other Europe (27)","2019M06","Overseas Trips to Ireland","Thousand","372.8"
"Other Europe (27)","2019M06","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","325.6"
"Other Europe (27)","2019M07","Overseas Trips to Ireland","Thousand","419.7"
"Other Europe (27)","2019M07","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","325.1"
"Other Europe (27)","2019M08","Overseas Trips to Ireland","Thousand","427.9"
"Other Europe (27)","2019M08","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","325.7"
"Other Europe (27)","2019M09","Overseas Trips to Ireland","Thousand","355.7"
"Other Europe (27)","2019M09","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","331.5"
"Other Europe (27)","2019M10","Overseas Trips to Ireland","Thousand","355.9"
"Other Europe (27)","2019M10","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","341.5"
"Other Europe (27)","2019M11","Overseas Trips to Ireland","Thousand","240"
"Other Europe (27)","2019M11","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","299.9"
"Other Europe (27)","2019M12","Overseas Trips to Ireland","Thousand","276.1"
"Other Europe (27)","2019M12","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","343.2"
"Other Europe (27)","2020M01","Overseas Trips to Ireland","Thousand","232"
"Other Europe (27)","2020M01","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","331"
"Other Europe (27)","2020M02","Overseas Trips to Ireland","Thousand","217.8"
"Other Europe (27)","2020M02","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","332.9"
"Other Areas  (27)","2016M01","Overseas Trips to Ireland","Thousand","36.1"
"Other Areas  (27)","2016M01","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","43.7"
"Other Areas  (27)","2016M02","Overseas Trips to Ireland","Thousand","22.2"
"Other Areas  (27)","2016M02","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","42.9"
"Other Areas  (27)","2016M03","Overseas Trips to Ireland","Thousand","37.1"
"Other Areas  (27)","2016M03","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","48.9"
"Other Areas  (27)","2016M04","Overseas Trips to Ireland","Thousand","34.6"
"Other Areas  (27)","2016M04","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","44.1"
"Other Areas  (27)","2016M05","Overseas Trips to Ireland","Thousand","44.8"
"Other Areas  (27)","2016M05","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","42.8"
"Other Areas  (27)","2016M06","Overseas Trips to Ireland","Thousand","57.2"
"Other Areas  (27)","2016M06","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","44.6"
"Other Areas  (27)","2016M07","Overseas Trips to Ireland","Thousand","68.7"
"Other Areas  (27)","2016M07","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","46"
"Other Areas  (27)","2016M08","Overseas Trips to Ireland","Thousand","65.8"
"Other Areas  (27)","2016M08","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","44.1"
"Other Areas  (27)","2016M09","Overseas Trips to Ireland","Thousand","55.7"
"Other Areas  (27)","2016M09","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","45.3"
"Other Areas  (27)","2016M10","Overseas Trips to Ireland","Thousand","45.3"
"Other Areas  (27)","2016M10","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","48.6"
"Other Areas  (27)","2016M11","Overseas Trips to Ireland","Thousand","36"
"Other Areas  (27)","2016M11","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","49.7"
"Other Areas  (27)","2016M12","Overseas Trips to Ireland","Thousand","46.4"
"Other Areas  (27)","2016M12","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","49.1"
"Other Areas  (27)","2017M01","Overseas Trips to Ireland","Thousand","43.9"
"Other Areas  (27)","2017M01","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","51.3"
"Other Areas  (27)","2017M02","Overseas Trips to Ireland","Thousand","32.7"
"Other Areas  (27)","2017M02","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","53.5"
"Other Areas  (27)","2017M03","Overseas Trips to Ireland","Thousand","34.1"
"Other Areas  (27)","2017M03","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","51.7"
"Other Areas  (27)","2017M04","Overseas Trips to Ireland","Thousand","42.8"
"Other Areas  (27)","2017M04","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","49.5"
"Other Areas  (27)","2017M05","Overseas Trips to Ireland","Thousand","59.3"
"Other Areas  (27)","2017M05","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","58.2"
"Other Areas  (27)","2017M06","Overseas Trips to Ireland","Thousand","67.1"
"Other Areas  (27)","2017M06","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","53"
"Other Areas  (27)","2017M07","Overseas Trips to Ireland","Thousand","73.4"
"Other Areas  (27)","2017M07","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","48.1"
"Other Areas  (27)","2017M08","Overseas Trips to Ireland","Thousand","75.2"
"Other Areas  (27)","2017M08","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","50.8"
"Other Areas  (27)","2017M09","Overseas Trips to Ireland","Thousand","62.4"
"Other Areas  (27)","2017M09","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","52.6"
"Other Areas  (27)","2017M10","Overseas Trips to Ireland","Thousand","45.6"
"Other Areas  (27)","2017M10","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","48.7"
"Other Areas  (27)","2017M11","Overseas Trips to Ireland","Thousand","33"
"Other Areas  (27)","2017M11","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","48.7"
"Other Areas  (27)","2017M12","Overseas Trips to Ireland","Thousand","49.7"
"Other Areas  (27)","2017M12","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","52.7"
"Other Areas  (27)","2018M01","Overseas Trips to Ireland","Thousand","43.6"
"Other Areas  (27)","2018M01","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","52.1"
"Other Areas  (27)","2018M02","Overseas Trips to Ireland","Thousand","30.1"
"Other Areas  (27)","2018M02","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","51.1"
"Other Areas  (27)","2018M03","Overseas Trips to Ireland","Thousand","38.7"
"Other Areas  (27)","2018M03","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","54.1"
"Other Areas  (27)","2018M04","Overseas Trips to Ireland","Thousand","45.7"
"Other Areas  (27)","2018M04","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","56.5"
"Other Areas  (27)","2018M05","Overseas Trips to Ireland","Thousand","55.8"
"Other Areas  (27)","2018M05","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","54.3"
"Other Areas  (27)","2018M06","Overseas Trips to Ireland","Thousand","69"
"Other Areas  (27)","2018M06","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","54"
"Other Areas  (27)","2018M07","Overseas Trips to Ireland","Thousand","85.2"
"Other Areas  (27)","2018M07","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","57.5"
"Other Areas  (27)","2018M08","Overseas Trips to Ireland","Thousand","83.2"
"Other Areas  (27)","2018M08","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","57.9"
"Other Areas  (27)","2018M09","Overseas Trips to Ireland","Thousand","65.7"
"Other Areas  (27)","2018M09","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","55.9"
"Other Areas  (27)","2018M10","Overseas Trips to Ireland","Thousand","53.4"
"Other Areas  (27)","2018M10","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","56.8"
"Other Areas  (27)","2018M11","Overseas Trips to Ireland","Thousand","38.6"
"Other Areas  (27)","2018M11","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","55.6"
"Other Areas  (27)","2018M12","Overseas Trips to Ireland","Thousand","51.8"
"Other Areas  (27)","2018M12","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","54.5"
"Other Areas  (27)","2019M01","Overseas Trips to Ireland","Thousand","47.7"
"Other Areas  (27)","2019M01","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","56.3"
"Other Areas  (27)","2019M02","Overseas Trips to Ireland","Thousand","36.9"
"Other Areas  (27)","2019M02","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","57.7"
"Other Areas  (27)","2019M03","Overseas Trips to Ireland","Thousand","35.6"
"Other Areas  (27)","2019M03","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","56.2"
"Other Areas  (27)","2019M04","Overseas Trips to Ireland","Thousand","49.4"
"Other Areas  (27)","2019M04","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","57.3"
"Other Areas  (27)","2019M05","Overseas Trips to Ireland","Thousand","59.7"
"Other Areas  (27)","2019M05","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","59.1"
"Other Areas  (27)","2019M06","Overseas Trips to Ireland","Thousand","76.4"
"Other Areas  (27)","2019M06","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","60"
"Other Areas  (27)","2019M07","Overseas Trips to Ireland","Thousand","88.7"
"Other Areas  (27)","2019M07","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","60.1"
"Other Areas  (27)","2019M08","Overseas Trips to Ireland","Thousand","86.3"
"Other Areas  (27)","2019M08","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","59.1"
"Other Areas  (27)","2019M09","Overseas Trips to Ireland","Thousand","66.4"
"Other Areas  (27)","2019M09","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","57.3"
"Other Areas  (27)","2019M10","Overseas Trips to Ireland","Thousand","55.7"
"Other Areas  (27)","2019M10","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","58.4"
"Other Areas  (27)","2019M11","Overseas Trips to Ireland","Thousand","40"
"Other Areas  (27)","2019M11","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","57.7"
"Other Areas  (27)","2019M12","Overseas Trips to Ireland","Thousand","54.2"
"Other Areas  (27)","2019M12","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","57.1"
"Other Areas  (27)","2020M01","Overseas Trips to Ireland","Thousand","47.2"
"Other Areas  (27)","2020M01","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","57.1"
"Other Areas  (27)","2020M02","Overseas Trips to Ireland","Thousand","33.9"
"Other Areas  (27)","2020M02","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","74.8"
