"Area of Residence","Month","Statistic Label","UNIT","VALUE"
"All trips to Ireland","2019M01","Overseas Trips to Ireland","Thousand","651.3"
"All trips to Ireland","2019M01","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","907.7"
"All trips to Ireland","2019M02","Overseas Trips to Ireland","Thousand","590.7"
"All trips to Ireland","2019M02","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","896.5"
"All trips to Ireland","2019M03","Overseas Trips to Ireland","Thousand","784.7"
"All trips to Ireland","2019M03","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","891.7"
"All trips to Ireland","2019M04","Overseas Trips to Ireland","Thousand","938.3"
"All trips to Ireland","2019M04","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","901.6"
"All trips to Ireland","2019M05","Overseas Trips to Ireland","Thousand","1021.7"
"All trips to Ireland","2019M05","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","891.9"
"All trips to Ireland","2019M06","Overseas Trips to Ireland","Thousand","1061.8"
"All trips to Ireland","2019M06","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","926.1"
"All trips to Ireland","2019M07","Overseas Trips to Ireland","Thousand","1155.1"
"All trips to Ireland","2019M07","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","905.2"
"All trips to Ireland","2019M08","Overseas Trips to Ireland","Thousand","1190.6"
"All trips to Ireland","2019M08","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","900.6"
"All trips to Ireland","2019M09","Overseas Trips to Ireland","Thousand","988.7"
"All trips to Ireland","2019M09","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","907.4"
"All trips to Ireland","2019M10","Overseas Trips to Ireland","Thousand","956.8"
"All trips to Ireland","2019M10","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","917.5"
"All trips to Ireland","2019M11","Overseas Trips to Ireland","Thousand","688.6"
"All trips to Ireland","2019M11","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","843.8"
"All trips to Ireland","2019M12","Overseas Trips to Ireland","Thousand","779.2"
"All trips to Ireland","2019M12","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","919.6"
"All trips to Ireland","2020M01","Overseas Trips to Ireland","Thousand","654.5"
"All trips to Ireland","2020M01","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","904.9"
"All trips to Ireland","2020M02","Overseas Trips to Ireland","Thousand","615.2"
"All trips to Ireland","2020M02","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","898.2"
"USA and Canada","2016M01","Overseas Trips to Ireland","Thousand","69.7"
"USA and Canada","2016M01","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","136.1"
"USA and Canada","2016M02","Overseas Trips to Ireland","Thousand","52.1"
"USA and Canada","2016M02","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","125"
"USA and Canada","2016M03","Overseas Trips to Ireland","Thousand","116.4"
"USA and Canada","2016M03","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","142.7"
"USA and Canada","2016M04","Overseas Trips to Ireland","Thousand","116.3"
"USA and Canada","2016M04","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","133.7"
"USA and Canada","2016M05","Overseas Trips to Ireland","Thousand","181.5"
"USA and Canada","2016M05","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","145.6"
"USA and Canada","2016M06","Overseas Trips to Ireland","Thousand","222.4"
"USA and Canada","2016M06","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","145.3"
"USA and Canada","2016M07","Overseas Trips to Ireland","Thousand","231.7"
"USA and Canada","2016M07","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","152.5"
"USA and Canada","2016M08","Overseas Trips to Ireland","Thousand","213.5"
"USA and Canada","2016M08","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","148.7"
"USA and Canada","2016M09","Overseas Trips to Ireland","Thousand","192.3"
"USA and Canada","2016M09","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","149.5"
"USA and Canada","2016M10","Overseas Trips to Ireland","Thousand","188.7"
"USA and Canada","2016M10","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","177.4"
"USA and Canada","2016M11","Overseas Trips to Ireland","Thousand","114.5"
"USA and Canada","2016M11","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","170.6"
"USA and Canada","2016M12","Overseas Trips to Ireland","Thousand","108.9"
"USA and Canada","2016M12","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","171"
"USA and Canada","2017M01","Overseas Trips to Ireland","Thousand","91"
"USA and Canada","2017M01","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","176.9"
"USA and Canada","2017M02","Overseas Trips to Ireland","Thousand","75.5"
"USA and Canada","2017M02","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","181.4"
"USA and Canada","2017M03","Overseas Trips to Ireland","Thousand","126.8"
"USA and Canada","2017M03","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","154.4"
"USA and Canada","2017M04","Overseas Trips to Ireland","Thousand","155.7"
"USA and Canada","2017M04","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","177.4"
"USA and Canada","2017M05","Overseas Trips to Ireland","Thousand","213.8"
"USA and Canada","2017M05","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","171.7"
"USA and Canada","2017M06","Overseas Trips to Ireland","Thousand","259.5"
"USA and Canada","2017M06","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","171.8"
"USA and Canada","2017M07","Overseas Trips to Ireland","Thousand","240.4"
"USA and Canada","2017M07","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","159.5"
"USA and Canada","2017M08","Overseas Trips to Ireland","Thousand","256.7"
"USA and Canada","2017M08","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","179.2"
"USA and Canada","2017M09","Overseas Trips to Ireland","Thousand","235.5"
"USA and Canada","2017M09","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","183.8"
"USA and Canada","2017M10","Overseas Trips to Ireland","Thousand","190.4"
"USA and Canada","2017M10","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","177.9"
"USA and Canada","2017M11","Overseas Trips to Ireland","Thousand","136.8"
"USA and Canada","2017M11","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","201.2"
"USA and Canada","2017M12","Overseas Trips to Ireland","Thousand","119.4"
"USA and Canada","2017M12","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","184.3"
"USA and Canada","2018M01","Overseas Trips to Ireland","Thousand","93.8"
"USA and Canada","2018M01","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","182.1"
"USA and Canada","2018M02","Overseas Trips to Ireland","Thousand","79.6"
"USA and Canada","2018M02","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","190.8"
"USA and Canada","2018M03","Overseas Trips to Ireland","Thousand","158.2"
