"Statistic Label","Trips","Quarter","UNIT","VALUE"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2015Q1","Thousand","1306.1"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2015Q2","Thousand","1927.5"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2015Q3","Thousand","2186.5"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2015Q4","Thousand","1544.8"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2016Q1","Thousand","1477.7"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2016Q2","Thousand","1975.3"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2016Q3","Thousand","2252.9"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2016Q4","Thousand","1698.7"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2017Q1","Thousand","1568.7"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2017Q2","Thousand","2119"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2017Q3","Thousand","2495"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2017Q4","Thousand","1756.3"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2018Q1","Thousand","1599.1"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2018Q2","Thousand","2248.1"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2018Q3","Thousand","2571"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2018Q4","Thousand","1858"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2019Q1","Thousand","1727.2"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2019Q2","Thousand","2403.6"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2019Q3","Thousand","2773.9"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2019Q4","Thousand","1909.7"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2008Q1","Thousand","1542.2"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2008Q2","Thousand","2159.4"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2008Q3","Thousand","2472.4"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2008Q4","Thousand","1665"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2009Q1","Thousand","1402.2"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2009Q2","Thousand","1901.9"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2009Q3","Thousand","2177.3"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2009Q4","Thousand","1446.1"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2010Q1","Thousand","1084.8"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2010Q2","Thousand","1541.4"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2010Q3","Thousand","1996.6"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2010Q4","Thousand","1414.3"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2011Q1","Thousand","1178.8"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2011Q2","Thousand","1805"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2011Q3","Thousand","2151.7"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2011Q4","Thousand","1369.7"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2012Q1","Thousand","1165.1"
