"STATISTIC Label","Month","Direction","Mode","UNIT","VALUE"
"Air and Sea Travel","2011 January","Departures","Sea","Thousand","65.7"
"Air and Sea Travel","2011 February","Arrivals","All modes of transport","Thousand","774.4"
"Air and Sea Travel","2011 February","Arrivals","Air","Thousand","722.1"
"Air and Sea Travel","2011 February","Arrivals","Sea","Thousand","52.3"
"Air and Sea Travel","2011 February","Departures","All modes of transport","Thousand","775"
"Air and Sea Travel","2011 February","Departures","Air","Thousand","724"
"Air and Sea Travel","2011 February","Departures","Sea","Thousand","51"
"Air and Sea Travel","2011 March","Arrivals","All modes of transport","Thousand","951.2"
"Air and Sea Travel","2011 March","Arrivals","Air","Thousand","880"
"Air and Sea Travel","2011 March","Arrivals","Sea","Thousand","71.2"
"Air and Sea Travel","2011 March","Departures","All modes of transport","Thousand","939"
"Air and Sea Travel","2011 March","Departures","Air","Thousand","869.6"
"Air and Sea Travel","2011 March","Departures","Sea","Thousand","69.4"
"Air and Sea Travel","2011 April","Arrivals","All modes of transport","Thousand","1106.2"
"Air and Sea Travel","2011 April","Arrivals","Air","Thousand","963.2"
"Air and Sea Travel","2011 April","Arrivals","Sea","Thousand","142.9"
"Air and Sea Travel","2011 April","Departures","All modes of transport","Thousand","1123.5"
"Air and Sea Travel","2011 April","Departures","Air","Thousand","987.9"
"Air and Sea Travel","2011 April","Departures","Sea","Thousand","135.6"
"Air and Sea Travel","2011 May","Arrivals","All modes of transport","Thousand","1214.8"
"Air and Sea Travel","2011 May","Arrivals","Air","Thousand","1080.9"
"Air and Sea Travel","2011 May","Arrivals","Sea","Thousand","133.9"
"Air and Sea Travel","2011 May","Departures","All modes of transport","Thousand","1213"
"Air and Sea Travel","2011 May","Departures","Air","Thousand","1084.2"
"Air and Sea Travel","2011 May","Departures","Sea","Thousand","128.8"
"Air and Sea Travel","2011 June","Arrivals","All modes of transport","Thousand","1240.4"
"Air and Sea Travel","2011 June","Arrivals","Air","Thousand","1114.2"
"Air and Sea Travel","2011 June","Arrivals","Sea","Thousand","126.2"
"Air and Sea Travel","2011 June","Departures","All modes of transport","Thousand","1353.5"
"Air and Sea Travel","2011 June","Departures","Air","Thousand","1198.5"
"Air and Sea Travel","2011 June","Departures","Sea","Thousand","154.9"
"Air and Sea Travel","2011 July","Arrivals","All modes of transport","Thousand","1523.2"
"Air and Sea Travel","2011 July","Arrivals","Air","Thousand","1302.3"
"Air and Sea Travel","2011 July","Arrivals","Sea","Thousand","220.9"
"Air and Sea Travel","2011 July","Departures","All modes of transport","Thousand","1486"
"Air and Sea Travel","2011 July","Departures","Air","Thousand","1288"
"Air and Sea Travel","2011 July","Departures","Sea","Thousand","198"
"Air and Sea Travel","2011 August","Arrivals","All modes of transport","Thousand","1534.9"
"Air and Sea Travel","2011 August","Arrivals","Air","Thousand","1285.4"
"Air and Sea Travel","2011 August","Arrivals","Sea","Thousand","249.4"
"Air and Sea Travel","2011 August","Departures","All modes of transport","Thousand","1493.3"
"Air and Sea Travel","2011 August","Departures","Air","Thousand","1247.8"
"Air and Sea Travel","2011 August","Departures","Sea","Thousand","245.5"
"Air and Sea Travel","2011 September","Arrivals","All modes of transport","Thousand","1196.8"
"Air and Sea Travel","2011 September","Arrivals","Air","Thousand","1073.9"
"Air and Sea Travel","2011 September","Arrivals","Sea","Thousand","123"
"Air and Sea Travel","2011 September","Departures","All modes of transport","Thousand","1204.4"
"Air and Sea Travel","2011 September","Departures","Air","Thousand","1070.3"
"Air and Sea Travel","2011 September","Departures","Sea","Thousand","134.1"
"Air and Sea Travel","2011 October","Arrivals","All modes of transport","Thousand","1060.7"
"Air and Sea Travel","2011 October","Arrivals","Air","Thousand","971.2"
"Air and Sea Travel","2011 October","Arrivals","Sea","Thousand","89.5"
"Air and Sea Travel","2011 October","Departures","All modes of transport","Thousand","1074.5"
"Air and Sea Travel","2011 October","Departures","Air","Thousand","978.7"
"Air and Sea Travel","2011 October","Departures","Sea","Thousand","95.9"
"Air and Sea Travel","2011 November","Arrivals","All modes of transport","Thousand","845.9"
"Air and Sea Travel","2011 November","Arrivals","Air","Thousand","785.8"
"Air and Sea Travel","2011 November","Arrivals","Sea","Thousand","60"
"Air and Sea Travel","2011 November","Departures","All modes of transport","Thousand","830.6"
"Air and Sea Travel","2011 November","Departures","Air","Thousand","774.3"
"Air and Sea Travel","2011 November","Departures","Sea","Thousand","56.3"
"Air and Sea Travel","2011 December","Arrivals","All modes of transport","Thousand","838.6"
"Air and Sea Travel","2011 December","Arrivals","Air","Thousand","752.6"
"Air and Sea Travel","2011 December","Arrivals","Sea","Thousand","86"
"Air and Sea Travel","2011 December","Departures","All modes of transport","Thousand","821.6"
"Air and Sea Travel","2011 December","Departures","Air","Thousand","754.3"
"Air and Sea Travel","2011 December","Departures","Sea","Thousand","67.4"
"Air and Sea Travel","2012 January","Arrivals","All modes of transport","Thousand","725.8"
"Air and Sea Travel","2012 January","Arrivals","Air","Thousand","683.3"
"Air and Sea Travel","2012 January","Arrivals","Sea","Thousand","42.5"
"Air and Sea Travel","2012 January","Departures","All modes of transport","Thousand","760.9"
"Air and Sea Travel","2012 January","Departures","Air","Thousand","700.5"
"Air and Sea Travel","2012 January","Departures","Sea","Thousand","60.4"
"Air and Sea Travel","2012 February","Arrivals","All modes of transport","Thousand","767.1"
"Air and Sea Travel","2012 February","Arrivals","Air","Thousand","714.1"
"Air and Sea Travel","2012 February","Arrivals","Sea","Thousand","52.9"
"Air and Sea Travel","2012 February","Departures","All modes of transport","Thousand","757.6"
"Air and Sea Travel","2012 February","Departures","Air","Thousand","706.9"
"Air and Sea Travel","2012 February","Departures","Sea","Thousand","50.7"
"Air and Sea Travel","2012 March","Arrivals","All modes of transport","Thousand","945.2"
"Air and Sea Travel","2012 March","Arrivals","Air","Thousand","867.6"
"Air and Sea Travel","2012 March","Arrivals","Sea","Thousand","77.6"
"Air and Sea Travel","2012 March","Departures","All modes of transport","Thousand","947.1"
"Air and Sea Travel","2012 March","Departures","Air","Thousand","874.8"
"Air and Sea Travel","2012 March","Departures","Sea","Thousand","72.4"
"Air and Sea Travel","2012 April","Arrivals","All modes of transport","Thousand","1123.3"
"Air and Sea Travel","2012 April","Arrivals","Air","Thousand","996"
"Air and Sea Travel","2012 April","Arrivals","Sea","Thousand","127.3"
"Air and Sea Travel","2012 April","Departures","All modes of transport","Thousand","1101.6"
"Air and Sea Travel","2012 April","Departures","Air","Thousand","972.6"
"Air and Sea Travel","2012 April","Departures","Sea","Thousand","128.9"
"Air and Sea Travel","2012 May","Arrivals","All modes of transport","Thousand","1147.5"
"Air and Sea Travel","2012 May","Arrivals","Air","Thousand","1039.9"
"Air and Sea Travel","2012 May","Arrivals","Sea","Thousand","107.6"
"Air and Sea Travel","2012 May","Departures","All modes of transport","Thousand","1197.1"
"Air and Sea Travel","2012 May","Departures","Air","Thousand","1089.6"
"Air and Sea Travel","2012 May","Departures","Sea","Thousand","107.5"
"Air and Sea Travel","2012 June","Arrivals","All modes of transport","Thousand","1288.6"
"Air and Sea Travel","2012 June","Arrivals","Air","Thousand","1149.1"
"Air and Sea Travel","2012 June","Arrivals","Sea","Thousand","139.5"
"Air and Sea Travel","2012 June","Departures","All modes of transport","Thousand","1385.7"
"Air and Sea Travel","2012 June","Departures","Air","Thousand","1222.3"
"Air and Sea Travel","2012 June","Departures","Sea","Thousand","163.4"
"Air and Sea Travel","2012 July","Arrivals","All modes of transport","Thousand","1489"
"Air and Sea Travel","2012 July","Arrivals","Air","Thousand","1283.8"
"Air and Sea Travel","2012 July","Arrivals","Sea","Thousand","205.2"
"Air and Sea Travel","2012 July","Departures","All modes of transport","Thousand","1456.3"
"Air and Sea Travel","2012 July","Departures","Air","Thousand","1278.8"
"Air and Sea Travel","2012 July","Departures","Sea","Thousand","177.5"
"Air and Sea Travel","2012 August","Arrivals","All modes of transport","Thousand","1546.6"
"Air and Sea Travel","2012 August","Arrivals","Air","Thousand","1309.3"
"Air and Sea Travel","2012 August","Arrivals","Sea","Thousand","237.2"
"Air and Sea Travel","2012 August","Departures","All modes of transport","Thousand","1471.9"
"Air and Sea Travel","2012 August","Departures","Air","Thousand","1244.2"
"Air and Sea Travel","2012 August","Departures","Sea","Thousand","227.8"
"Air and Sea Travel","2012 September","Arrivals","All modes of transport","Thousand","1235.1"
"Air and Sea Travel","2012 September","Arrivals","Air","Thousand","1120.5"
"Air and Sea Travel","2012 September","Arrivals","Sea","Thousand","114.6"
"Air and Sea Travel","2012 September","Departures","All modes of transport","Thousand","1245"
"Air and Sea Travel","2012 September","Departures","Air","Thousand","1122.1"
"Air and Sea Travel","2012 September","Departures","Sea","Thousand","122.9"
"Air and Sea Travel","2012 October","Arrivals","All modes of transport","Thousand","1121.9"
