"STATISTIC Label","Year","Country","Direction","UNIT","VALUE"
"Air and Sea Travel","2011","Switzerland","Arrivals","Thousand","145.4"
"Air and Sea Travel","2011","Switzerland","Departures","Thousand","144.6"
"Air and Sea Travel","2011","Cyprus","Arrivals","Thousand","6.4"
"Air and Sea Travel","2011","Cyprus","Departures","Thousand","6.4"
"Air and Sea Travel","2011","Czech Republic","Arrivals","Thousand","43.2"
"Air and Sea Travel","2011","Czech Republic","Departures","Thousand","43.3"
"Air and Sea Travel","2011","Germany","Arrivals","Thousand","686"
"Air and Sea Travel","2011","Germany","Departures","Thousand","685.2"
"Air and Sea Travel","2011","Denmark","Arrivals","Thousand","100.4"
"Air and Sea Travel","2011","Denmark","Departures","Thousand","99.5"
"Air and Sea Travel","2011","Estonia","Arrivals","Thousand","23.6"
"Air and Sea Travel","2011","Estonia","Departures","Thousand","24.5"
"Air and Sea Travel","2011","Spain","Arrivals","Thousand","1430.6"
"Air and Sea Travel","2011","Spain","Departures","Thousand","1434.2"
"Air and Sea Travel","2011","Finland","Arrivals","Thousand","10.4"
"Air and Sea Travel","2011","Finland","Departures","Thousand","9.9"
"Air and Sea Travel","2011","France","Arrivals","Thousand","915.1"
"Air and Sea Travel","2011","France","Departures","Thousand","916.5"
"Air and Sea Travel","2011","Other UK (1)","Arrivals","Thousand","27.9"
"Air and Sea Travel","2011","Other UK (1)","Departures","Thousand","28.2"
"Air and Sea Travel","2011","Greece","Arrivals","Thousand","28.2"
"Air and Sea Travel","2011","Greece","Departures","Thousand","28.6"
"Air and Sea Travel","2011","Croatia","Arrivals","Thousand","34"
"Air and Sea Travel","2011","Croatia","Departures","Thousand","33.3"
"Air and Sea Travel","2011","Hungary","Arrivals","Thousand","87.1"
"Air and Sea Travel","2011","Hungary","Departures","Thousand","85.9"
"Air and Sea Travel","2011","Iceland","Arrivals","Thousand","1.4"
"Air and Sea Travel","2011","Iceland","Departures","Thousand","1.4"
"Air and Sea Travel","2011","Italy","Arrivals","Thousand","455"
"Air and Sea Travel","2011","Italy","Departures","Thousand","447.2"
"Air and Sea Travel","2011","Lithuania","Arrivals","Thousand","93"
"Air and Sea Travel","2011","Lithuania","Departures","Thousand","90.6"
"Air and Sea Travel","2011","Luxembourg","Arrivals","Thousand","5.8"
"Air and Sea Travel","2011","Luxembourg","Departures","Thousand","6.1"
"Air and Sea Travel","2011","Latvia","Arrivals","Thousand","60.8"
"Air and Sea Travel","2011","Latvia","Departures","Thousand","61.7"
"Air and Sea Travel","2011","Malta","Arrivals","Thousand","27.5"
"Air and Sea Travel","2011","Malta","Departures","Thousand","27.7"
"Air and Sea Travel","2011","Netherlands","Arrivals","Thousand","371.9"
"Air and Sea Travel","2011","Netherlands","Departures","Thousand","374.7"
"Air and Sea Travel","2011","Norway","Arrivals","Thousand","77.4"
"Air and Sea Travel","2011","Norway","Departures","Thousand","79.9"
"Air and Sea Travel","2011","Poland","Arrivals","Thousand","474.2"
"Air and Sea Travel","2011","Poland","Departures","Thousand","474.8"
"Air and Sea Travel","2011","Portugal","Arrivals","Thousand","298.7"
"Air and Sea Travel","2011","Portugal","Departures","Thousand","299.4"
"Air and Sea Travel","2011","Qatar","Arrivals","Thousand","0"
"Air and Sea Travel","2011","Qatar","Departures","Thousand","0"
"Air and Sea Travel","2011","Romania","Arrivals","Thousand","38.3"
"Air and Sea Travel","2011","Romania","Departures","Thousand","36.7"
"Air and Sea Travel","2011","Sweden","Arrivals","Thousand","62"
"Air and Sea Travel","2011","Sweden","Departures","Thousand","61.8"
"Air and Sea Travel","2011","Slovenia","Arrivals","Thousand","0.9"
"Air and Sea Travel","2011","Slovenia","Departures","Thousand","1"
"Air and Sea Travel","2011","Slovakia","Arrivals","Thousand","44.8"
"Air and Sea Travel","2011","Slovakia","Departures","Thousand","44.2"
"Air and Sea Travel","2011","Turkey","Arrivals","Thousand","101.2"
"Air and Sea Travel","2011","Turkey","Departures","Thousand","100.9"
"Air and Sea Travel","2011","United States","Arrivals","Thousand","882.9"
"Air and Sea Travel","2011","United States","Departures","Thousand","900.2"
"Air and Sea Travel","2011","Great Britain","Arrivals","Thousand","6074.6"
"Air and Sea Travel","2011","Great Britain","Departures","Thousand","6119.3"
"Air and Sea Travel","2011","Other Europe (33)","Arrivals","Thousand","5.3"
"Air and Sea Travel","2011","Other Europe (33)","Departures","Thousand","4.7"
"Air and Sea Travel","2011","Other Countries(43)","Arrivals","Thousand","16.1"
"Air and Sea Travel","2011","Other Countries(43)","Departures","Thousand","16.3"
"Air and Sea Travel","2011","Other transatlantic countries(2)","Arrivals","Thousand","0.7"
"Air and Sea Travel","2011","Other transatlantic countries(2)","Departures","Thousand","0.7"
"Air and Sea Travel","2012","All countries","Arrivals","Thousand","13142"
"Air and Sea Travel","2012","All countries","Departures","Thousand","13161.6"
"Air and Sea Travel","2012","United Arab Emirates","Arrivals","Thousand","216.9"
"Air and Sea Travel","2012","United Arab Emirates","Departures","Thousand","224"
"Air and Sea Travel","2012","Austria","Arrivals","Thousand","61.7"
"Air and Sea Travel","2012","Austria","Departures","Thousand","63"
"Air and Sea Travel","2012","Belgium","Arrivals","Thousand","183.4"
"Air and Sea Travel","2012","Belgium","Departures","Thousand","183.5"
"Air and Sea Travel","2012","Bulgaria","Arrivals","Thousand","16.4"
"Air and Sea Travel","2012","Bulgaria","Departures","Thousand","16.3"
"Air and Sea Travel","2012","Canada","Arrivals","Thousand","58.4"
"Air and Sea Travel","2012","Canada","Departures","Thousand","59.2"
"Air and Sea Travel","2012","Switzerland","Arrivals","Thousand","158.1"
"Air and Sea Travel","2012","Switzerland","Departures","Thousand","157.9"
"Air and Sea Travel","2012","Cyprus","Arrivals","Thousand","3.7"
"Air and Sea Travel","2012","Cyprus","Departures","Thousand","3.7"
"Air and Sea Travel","2012","Czech Republic","Arrivals","Thousand","51"
"Air and Sea Travel","2012","Czech Republic","Departures","Thousand","51.1"
"Air and Sea Travel","2012","Germany","Arrivals","Thousand","722.1"
"Air and Sea Travel","2012","Germany","Departures","Thousand","718.1"
"Air and Sea Travel","2012","Denmark","Arrivals","Thousand","100.2"
"Air and Sea Travel","2012","Denmark","Departures","Thousand","99.4"
"Air and Sea Travel","2012","Estonia","Arrivals","Thousand","15.5"
"Air and Sea Travel","2012","Estonia","Departures","Thousand","15"
"Air and Sea Travel","2012","Spain","Arrivals","Thousand","1459.7"
"Air and Sea Travel","2012","Spain","Departures","Thousand","1451.9"
"Air and Sea Travel","2012","Finland","Arrivals","Thousand","14.1"
"Air and Sea Travel","2012","Finland","Departures","Thousand","13.3"
"Air and Sea Travel","2012","France","Arrivals","Thousand","930.4"
"Air and Sea Travel","2012","France","Departures","Thousand","930.5"
"Air and Sea Travel","2012","Other UK (1)","Arrivals","Thousand","26"
"Air and Sea Travel","2012","Other UK (1)","Departures","Thousand","25.8"
"Air and Sea Travel","2012","Greece","Arrivals","Thousand","25.5"
"Air and Sea Travel","2012","Greece","Departures","Thousand","25.9"
"Air and Sea Travel","2012","Croatia","Arrivals","Thousand","29.1"
"Air and Sea Travel","2012","Croatia","Departures","Thousand","28.8"
"Air and Sea Travel","2012","Hungary","Arrivals","Thousand","97.3"
"Air and Sea Travel","2012","Hungary","Departures","Thousand","94.3"
"Air and Sea Travel","2012","Iceland","Arrivals","Thousand","2"
"Air and Sea Travel","2012","Iceland","Departures","Thousand","2.3"
"Air and Sea Travel","2012","Italy","Arrivals","Thousand","484.4"
"Air and Sea Travel","2012","Italy","Departures","Thousand","477.7"
