"Method of Booking","Domestic or Outbound","Year","Statistic Label","UNIT","VALUE"
"Travel agent","Outbound","2004","Average Length of Stay by Irish Residents","Nights per Trip","10.2"
"Travel agent","Outbound","2005","Number of Trips by Irish Residents","Thousand","1654"
"Travel agent","Outbound","2005","Number of Nights by Irish Residents","Thousand","16936"
"Travel agent","Outbound","2005","Average Length of Stay by Irish Residents","Nights per Trip","10.2"
"Travel agent","Outbound","2006","Number of Trips by Irish Residents","Thousand","1638"
"Travel agent","Outbound","2006","Number of Nights by Irish Residents","Thousand","16109"
"Travel agent","Outbound","2006","Average Length of Stay by Irish Residents","Nights per Trip","9.8"
"Travel agent","Outbound","2007","Number of Trips by Irish Residents","Thousand","1698"
"Travel agent","Outbound","2007","Number of Nights by Irish Residents","Thousand","17320"
"Travel agent","Outbound","2007","Average Length of Stay by Irish Residents","Nights per Trip","10.2"
"Travel agent","Outbound","2008","Number of Trips by Irish Residents","Thousand","1541"
"Travel agent","Outbound","2008","Number of Nights by Irish Residents","Thousand","15721"
"Travel agent","Outbound","2008","Average Length of Stay by Irish Residents","Nights per Trip","10.2"
"Travel agent","Outbound","2009","Number of Trips by Irish Residents","Thousand","998"
"Travel agent","Outbound","2009","Number of Nights by Irish Residents","Thousand","11038"
"Travel agent","Outbound","2009","Average Length of Stay by Irish Residents","Nights per Trip","11.1"
"No pre-booking","Domestic","2003","Number of Trips by Irish Residents","Thousand",""
"No pre-booking","Domestic","2003","Number of Nights by Irish Residents","Thousand",""
"No pre-booking","Domestic","2003","Average Length of Stay by Irish Residents","Nights per Trip",""
"No pre-booking","Domestic","2004","Number of Trips by Irish Residents","Thousand",""
"No pre-booking","Domestic","2004","Number of Nights by Irish Residents","Thousand",""
"No pre-booking","Domestic","2004","Average Length of Stay by Irish Residents","Nights per Trip",""
"No pre-booking","Domestic","2005","Number of Trips by Irish Residents","Thousand","5859"
"No pre-booking","Domestic","2005","Number of Nights by Irish Residents","Thousand","21150"
"No pre-booking","Domestic","2005","Average Length of Stay by Irish Residents","Nights per Trip","3.6"
"No pre-booking","Domestic","2006","Number of Trips by Irish Residents","Thousand","3339"
"No pre-booking","Domestic","2006","Number of Nights by Irish Residents","Thousand","12332"
