"Region of Residence","Region Visited","Year","Statistic Label","UNIT","VALUE"
"State","West","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand","1249"
"State","West","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand","4491"
"State","West","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.6"
"State","West","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand","1251"
"State","West","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand","4339"
"State","West","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.5"
"State","West","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","1232"
"State","West","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","4452"
"State","West","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.6"
"State","West","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","1229"
"State","West","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","4294"
"State","West","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.5"
"State","West","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"State","West","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"State","West","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"State","West","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"State","West","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"State","West","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"State","West","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"State","West","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"State","West","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"State","Southern and Eastern","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"State","Southern and Eastern","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"State","Southern and Eastern","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"State","Southern and Eastern","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"State","Southern and Eastern","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"State","Southern and Eastern","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"State","Southern and Eastern","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","4807"
"State","Southern and Eastern","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","16408"
"State","Southern and Eastern","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.4"
"State","Southern and Eastern","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","5009"
"State","Southern and Eastern","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","16665"
"State","Southern and Eastern","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.3"
"State","Southern and Eastern","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand","5463"
"State","Southern and Eastern","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand","18381"
"State","Southern and Eastern","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.4"
"State","Southern and Eastern","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand","5770"
"State","Southern and Eastern","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand","18178"
"State","Southern and Eastern","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.2"
"State","Southern and Eastern","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand","5704"
"State","Southern and Eastern","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand","17622"
"State","Southern and Eastern","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.1"
"State","Dublin","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand","893"
"State","Dublin","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand","2544"
"State","Dublin","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.9"
"State","Dublin","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand","976"
"State","Dublin","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand","2639"
"State","Dublin","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.7"
"State","Dublin","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","1054"
"State","Dublin","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","2817"
"State","Dublin","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.7"
"State","Dublin","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","1207"
"State","Dublin","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","2983"
"State","Dublin","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.5"
"State","Dublin","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"State","Dublin","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"State","Dublin","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"State","Dublin","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"State","Dublin","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"State","Dublin","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"State","Dublin","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"State","Dublin","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"State","Dublin","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"State","Mid-East","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand","395"
"State","Mid-East","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand","1049"
"State","Mid-East","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.7"
"State","Mid-East","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand","414"
"State","Mid-East","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand","1125"
"State","Mid-East","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.7"
"State","Mid-East","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","430"
"State","Mid-East","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","1364"
"State","Mid-East","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.2"
"State","Mid-East","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","412"
"State","Mid-East","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","1089"
"State","Mid-East","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.6"
"State","Mid-East","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"State","Mid-East","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"State","Mid-East","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"State","Mid-East","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"State","Mid-East","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"State","Mid-East","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"State","Mid-East","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"State","Mid-East","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"State","Mid-East","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"State","Mid-West","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand","692"
"State","Mid-West","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand","2644"
"State","Mid-West","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.8"
"State","Mid-West","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand","658"
"State","Mid-West","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand","2340"
"State","Mid-West","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.6"
"State","Mid-West","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","699"
"State","Mid-West","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","2294"
"State","Mid-West","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.3"
"State","Mid-West","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","736"
"State","Mid-West","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","2500"
"State","Mid-West","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.4"
"State","Mid-West","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"State","Mid-West","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"State","Mid-West","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"State","Mid-West","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"State","Mid-West","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"State","Mid-West","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"State","Mid-West","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"State","Mid-West","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"State","Mid-West","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"State","South-East","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand","1042"
"State","South-East","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand","3764"
"State","South-East","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.6"
"State","South-East","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand","1113"
"State","South-East","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand","4128"
"State","South-East","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.7"
"State","South-East","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","1099"
"State","South-East","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","3988"
"State","South-East","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.6"
"State","South-East","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","1044"
"State","South-East","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","3811"
"State","South-East","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.7"
"State","South-East","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"State","South-East","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"State","South-East","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"State","South-East","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"State","South-East","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"State","South-East","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"State","South-East","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"State","South-East","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"State","South-East","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"State","South-West","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand","1400"
"State","South-West","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand","5814"
"State","South-West","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","4.2"
"State","South-West","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand","1547"
"State","South-West","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand","6300"
"State","South-West","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","4.1"
"State","South-West","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","1525"
"State","South-West","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","5945"
"State","South-West","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.9"
"State","South-West","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","1610"
"State","South-West","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","6282"
"State","South-West","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.9"
"State","South-West","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"State","South-West","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"State","South-West","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"State","South-West","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
