"Region of Residence","Region Visited","Year","Statistic Label","UNIT","VALUE"
"Border","West","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand","146"
"Border","West","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand","447"
"Border","West","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.1"
"Border","West","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand","141"
"Border","West","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand","467"
"Border","West","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.3"
"Border","West","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","139"
"Border","West","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","546"
"Border","West","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.9"
"Border","West","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","157"
"Border","West","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","446"
"Border","West","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.8"
"Border","West","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border","West","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border","West","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border","West","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border","West","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border","West","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border","West","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border","West","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border","West","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border","Southern and Eastern","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border","Southern and Eastern","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border","Southern and Eastern","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border","Southern and Eastern","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border","Southern and Eastern","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border","Southern and Eastern","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border","Southern and Eastern","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border","Southern and Eastern","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border","Southern and Eastern","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border","Southern and Eastern","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border","Southern and Eastern","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border","Southern and Eastern","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border","Southern and Eastern","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border","Southern and Eastern","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border","Southern and Eastern","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border","Southern and Eastern","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border","Southern and Eastern","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border","Southern and Eastern","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border","Southern and Eastern","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border","Southern and Eastern","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border","Southern and Eastern","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border","Dublin","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand","121"
"Border","Dublin","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand","383"
"Border","Dublin","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.2"
"Border","Dublin","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand","148"
"Border","Dublin","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand","441"
"Border","Dublin","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3"
"Border","Dublin","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","144"
"Border","Dublin","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","556"
"Border","Dublin","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.9"
"Border","Dublin","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","166"
"Border","Dublin","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","404"
"Border","Dublin","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.4"
"Border","Dublin","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border","Dublin","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border","Dublin","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border","Dublin","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border","Dublin","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border","Dublin","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border","Dublin","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border","Dublin","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border","Dublin","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border","Mid-East","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand","19"
"Border","Mid-East","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand","63"
"Border","Mid-East","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.3"
"Border","Mid-East","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand","46"
"Border","Mid-East","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand","149"
"Border","Mid-East","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.2"
"Border","Mid-East","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","35"
"Border","Mid-East","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","130"
"Border","Mid-East","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.7"
"Border","Mid-East","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","26"
"Border","Mid-East","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","57"
"Border","Mid-East","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.2"
"Border","Mid-East","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border","Mid-East","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border","Mid-East","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border","Mid-East","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border","Mid-East","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border","Mid-East","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border","Mid-East","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border","Mid-East","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border","Mid-East","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border","Mid-West","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand","34"
"Border","Mid-West","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand","128"
"Border","Mid-West","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.8"
"Border","Mid-West","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand","51"
"Border","Mid-West","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand","190"
"Border","Mid-West","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.7"
"Border","Mid-West","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","45"
"Border","Mid-West","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","177"
"Border","Mid-West","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.9"
"Border","Mid-West","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","42"
"Border","Mid-West","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","113"
"Border","Mid-West","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.7"
"Border","Mid-West","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border","Mid-West","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border","Mid-West","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border","Mid-West","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border","Mid-West","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border","Mid-West","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border","Mid-West","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border","Mid-West","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border","Mid-West","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border","South-East","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand","36"
"Border","South-East","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand","109"
"Border","South-East","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3"
"Border","South-East","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand","38"
"Border","South-East","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand","135"
"Border","South-East","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.6"
"Border","South-East","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","33"
"Border","South-East","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","124"
"Border","South-East","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.8"
"Border","South-East","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","48"
"Border","South-East","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","173"
"Border","South-East","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.6"
"Border","South-East","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border","South-East","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border","South-East","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border","South-East","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border","South-East","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border","South-East","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border","South-East","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border","South-East","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border","South-East","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border","South-West","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand","48"
"Border","South-West","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand","246"
"Border","South-West","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","5.1"
"Border","South-West","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand","48"
"Border","South-West","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand","207"
"Border","South-West","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","4.3"
"Border","South-West","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","63"
"Border","South-West","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","284"
"Border","South-West","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","4.5"
"Border","South-West","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","58"
"Border","South-West","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","336"
"Border","South-West","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","5.8"
"Border","South-West","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border","South-West","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border","South-West","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border","South-West","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border","South-West","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border","South-West","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border","South-West","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border","South-West","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border","South-West","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Midland","Border, Midland and Western","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Midland","Border, Midland and Western","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Midland","Border, Midland and Western","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Midland","Border, Midland and Western","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Midland","Border, Midland and Western","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Midland","Border, Midland and Western","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Midland","Border, Midland and Western","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Midland","Border, Midland and Western","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Midland","Border, Midland and Western","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Midland","Border, Midland and Western","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Midland","Border, Midland and Western","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Midland","Border, Midland and Western","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Midland","Border, Midland and Western","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Midland","Border, Midland and Western","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Midland","Border, Midland and Western","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Midland","Border, Midland and Western","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Midland","Border, Midland and Western","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Midland","Border, Midland and Western","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Midland","Border, Midland and Western","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Midland","Border, Midland and Western","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Midland","Border, Midland and Western","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Midland","Border","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand","31"
"Midland","Border","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand","107"
"Midland","Border","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.5"
"Midland","Border","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand","34"
"Midland","Border","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand","83"
"Midland","Border","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.4"
"Midland","Border","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","58"
"Midland","Border","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","253"
"Midland","Border","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","4.4"
"Midland","Border","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","48"
"Midland","Border","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","142"
"Midland","Border","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3"
"Midland","Border","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Midland","Border","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Midland","Border","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Midland","Border","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Midland","Border","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Midland","Border","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Midland","Border","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Midland","Border","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Midland","Border","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Midland","Midland","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand","25"
"Midland","Midland","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand","62"
"Midland","Midland","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.5"
"Midland","Midland","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand","38"
"Midland","Midland","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand","88"
"Midland","Midland","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.3"
"Midland","Midland","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","21"
"Midland","Midland","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","35"
"Midland","Midland","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","1.7"
"Midland","Midland","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","18"
"Midland","Midland","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","62"
"Midland","Midland","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.4"
"Midland","Midland","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Midland","Midland","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Midland","Midland","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Midland","Midland","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Midland","Midland","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Midland","Midland","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Midland","Midland","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Midland","Midland","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Midland","Midland","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Midland","West","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand","88"
"Midland","West","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand","297"
"Midland","West","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.4"
"Midland","West","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand","111"
"Midland","West","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand","381"
"Midland","West","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.4"
"Midland","West","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","77"
"Midland","West","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","292"
"Midland","West","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.8"
"Midland","West","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","91"
"Midland","West","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","317"
"Midland","West","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.5"
"Midland","West","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Midland","West","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Midland","West","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Midland","West","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Midland","West","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Midland","West","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Midland","West","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Midland","West","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Midland","West","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Midland","Southern and Eastern","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Midland","Southern and Eastern","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Midland","Southern and Eastern","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Midland","Southern and Eastern","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Midland","Southern and Eastern","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Midland","Southern and Eastern","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Midland","Southern and Eastern","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Midland","Southern and Eastern","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Midland","Southern and Eastern","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Midland","Southern and Eastern","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Midland","Southern and Eastern","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Midland","Southern and Eastern","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Midland","Southern and Eastern","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Midland","Southern and Eastern","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Midland","Southern and Eastern","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Midland","Southern and Eastern","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Midland","Southern and Eastern","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Midland","Southern and Eastern","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Midland","Southern and Eastern","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Midland","Southern and Eastern","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Midland","Southern and Eastern","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Midland","Dublin","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand","51"
"Midland","Dublin","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand","120"
"Midland","Dublin","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.4"
"Midland","Dublin","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand","55"
"Midland","Dublin","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand","129"
"Midland","Dublin","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.3"
"Midland","Dublin","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","54"
"Midland","Dublin","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","134"
"Midland","Dublin","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.5"
"Midland","Dublin","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","67"
"Midland","Dublin","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","161"
"Midland","Dublin","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.4"
"Midland","Dublin","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Midland","Dublin","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Midland","Dublin","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Midland","Dublin","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Midland","Dublin","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Midland","Dublin","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Midland","Dublin","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Midland","Dublin","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Midland","Dublin","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Midland","Mid-East","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand","24"
"Midland","Mid-East","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand","67"
"Midland","Mid-East","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.8"
"Midland","Mid-East","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand","23"
"Midland","Mid-East","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand","59"
"Midland","Mid-East","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.6"
"Midland","Mid-East","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","13"
"Midland","Mid-East","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","33"
"Midland","Mid-East","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.5"
"Midland","Mid-East","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","21"
"Midland","Mid-East","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","47"
"Midland","Mid-East","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.2"
"Midland","Mid-East","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Midland","Mid-East","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Midland","Mid-East","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Midland","Mid-East","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Midland","Mid-East","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Midland","Mid-East","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Midland","Mid-East","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Midland","Mid-East","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Midland","Mid-East","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Midland","Mid-West","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand","44"
"Midland","Mid-West","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand","171"
"Midland","Mid-West","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.9"
"Midland","Mid-West","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand","29"
"Midland","Mid-West","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand","76"
"Midland","Mid-West","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.6"
"Midland","Mid-West","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","27"
"Midland","Mid-West","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","92"
"Midland","Mid-West","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.4"
"Midland","Mid-West","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","33"
"Midland","Mid-West","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","161"
"Midland","Mid-West","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","4.9"
"Midland","Mid-West","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Midland","Mid-West","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Midland","Mid-West","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Midland","Mid-West","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Midland","Mid-West","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Midland","Mid-West","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Midland","Mid-West","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Midland","Mid-West","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
