"Statistic Label","Year","Type of Accommodation Used","Domestic","UNIT","VALUE"
"Number of Trips by Irish Residents","2021","Self catering/rented house","Outbound","Thousand","276"
"Number of Trips by Irish Residents","2021","Other","Domestic","Thousand","541"
"Number of Trips by Irish Residents","2021","Other","Outbound","Thousand","116"
"Number of Trips by Irish Residents","2022","All types of accommodation","Domestic","Thousand","13274"
"Number of Trips by Irish Residents","2022","All types of accommodation","Outbound","Thousand","8546"
"Number of Trips by Irish Residents","2022","Caravan/camping","Domestic","Thousand",""
"Number of Trips by Irish Residents","2022","Caravan/camping","Outbound","Thousand",""
"Number of Trips by Irish Residents","2022","Friends/relatives","Domestic","Thousand","4856"
"Number of Trips by Irish Residents","2022","Friends/relatives","Outbound","Thousand","2085"
"Number of Trips by Irish Residents","2022","Own holiday home","Domestic","Thousand","799"
"Number of Trips by Irish Residents","2022","Own holiday home","Outbound","Thousand","241"
"Number of Trips by Irish Residents","2022","Guest house/bed &breakfast","Domestic","Thousand","697"
"Number of Trips by Irish Residents","2022","Guest house/bed &breakfast","Outbound","Thousand","391"
"Number of Trips by Irish Residents","2022","Hotel/conference centre","Domestic","Thousand","4490"
"Number of Trips by Irish Residents","2022","Hotel/conference centre","Outbound","Thousand","3831"
"Number of Trips by Irish Residents","2022","Self catering/rented house","Domestic","Thousand","1354"
"Number of Trips by Irish Residents","2022","Self catering/rented house","Outbound","Thousand","1502"
"Number of Trips by Irish Residents","2022","Other","Domestic","Thousand","1078"
"Number of Trips by Irish Residents","2022","Other","Outbound","Thousand","496"
"Number of Nights by Irish Residents","2000","All types of accommodation","Domestic","Thousand","20703"
"Number of Nights by Irish Residents","2000","All types of accommodation","Outbound","Thousand","35544"
"Number of Nights by Irish Residents","2000","Caravan/camping","Domestic","Thousand","1808"
"Number of Nights by Irish Residents","2000","Caravan/camping","Outbound","Thousand","1546"
"Number of Nights by Irish Residents","2000","Friends/relatives","Domestic","Thousand","6594"
"Number of Nights by Irish Residents","2000","Friends/relatives","Outbound","Thousand","8421"
"Number of Nights by Irish Residents","2000","Own holiday home","Domestic","Thousand","1082"
"Number of Nights by Irish Residents","2000","Own holiday home","Outbound","Thousand","500"
"Number of Nights by Irish Residents","2000","Guest house/bed &breakfast","Domestic","Thousand","2275"
"Number of Nights by Irish Residents","2000","Guest house/bed &breakfast","Outbound","Thousand","1418"
"Number of Nights by Irish Residents","2000","Hotel/conference centre","Domestic","Thousand","4689"
"Number of Nights by Irish Residents","2000","Hotel/conference centre","Outbound","Thousand","11090"
"Number of Nights by Irish Residents","2000","Self catering/rented house","Domestic","Thousand","3090"
"Number of Nights by Irish Residents","2000","Self catering/rented house","Outbound","Thousand","10298"
"Number of Nights by Irish Residents","2000","Other","Domestic","Thousand","1165"
"Number of Nights by Irish Residents","2000","Other","Outbound","Thousand","2271"
"Number of Nights by Irish Residents","2001","All types of accommodation","Domestic","Thousand","23207"
"Number of Nights by Irish Residents","2001","All types of accommodation","Outbound","Thousand","37953"
"Number of Nights by Irish Residents","2001","Caravan/camping","Domestic","Thousand","2177"
"Number of Nights by Irish Residents","2001","Caravan/camping","Outbound","Thousand","2547"
"Number of Nights by Irish Residents","2001","Friends/relatives","Domestic","Thousand","7023"
"Number of Nights by Irish Residents","2001","Friends/relatives","Outbound","Thousand","7858"
"Number of Nights by Irish Residents","2001","Own holiday home","Domestic","Thousand","1405"
"Number of Nights by Irish Residents","2001","Own holiday home","Outbound","Thousand","639"
"Number of Nights by Irish Residents","2001","Guest house/bed &breakfast","Domestic","Thousand","2217"
"Number of Nights by Irish Residents","2001","Guest house/bed &breakfast","Outbound","Thousand","1469"
"Number of Nights by Irish Residents","2001","Hotel/conference centre","Domestic","Thousand","5316"
"Number of Nights by Irish Residents","2001","Hotel/conference centre","Outbound","Thousand","11367"
"Number of Nights by Irish Residents","2001","Self catering/rented house","Domestic","Thousand","3749"
"Number of Nights by Irish Residents","2001","Self catering/rented house","Outbound","Thousand","11538"
"Number of Nights by Irish Residents","2001","Other","Domestic","Thousand","1320"
"Number of Nights by Irish Residents","2001","Other","Outbound","Thousand","2535"
"Number of Nights by Irish Residents","2002","All types of accommodation","Domestic","Thousand","22222"
"Number of Nights by Irish Residents","2002","All types of accommodation","Outbound","Thousand","40660"
"Number of Nights by Irish Residents","2002","Caravan/camping","Domestic","Thousand","1706"
"Number of Nights by Irish Residents","2002","Caravan/camping","Outbound","Thousand","2231"
"Number of Nights by Irish Residents","2002","Friends/relatives","Domestic","Thousand","6912"
"Number of Nights by Irish Residents","2002","Friends/relatives","Outbound","Thousand","8996"
"Number of Nights by Irish Residents","2002","Own holiday home","Domestic","Thousand","1742"
"Number of Nights by Irish Residents","2002","Own holiday home","Outbound","Thousand","969"
"Number of Nights by Irish Residents","2002","Guest house/bed &breakfast","Domestic","Thousand","2038"
"Number of Nights by Irish Residents","2002","Guest house/bed &breakfast","Outbound","Thousand","1873"
"Number of Nights by Irish Residents","2002","Hotel/conference centre","Domestic","Thousand","5357"
"Number of Nights by Irish Residents","2002","Hotel/conference centre","Outbound","Thousand","12570"
"Number of Nights by Irish Residents","2002","Self catering/rented house","Domestic","Thousand","3168"
"Number of Nights by Irish Residents","2002","Self catering/rented house","Outbound","Thousand","11276"
"Number of Nights by Irish Residents","2002","Other","Domestic","Thousand","1298"
"Number of Nights by Irish Residents","2002","Other","Outbound","Thousand","2745"
"Number of Nights by Irish Residents","2003","All types of accommodation","Domestic","Thousand","23616"
"Number of Nights by Irish Residents","2003","All types of accommodation","Outbound","Thousand","43702"
"Number of Nights by Irish Residents","2003","Caravan/camping","Domestic","Thousand","1879"
"Number of Nights by Irish Residents","2003","Caravan/camping","Outbound","Thousand","2285"
"Number of Nights by Irish Residents","2003","Friends/relatives","Domestic","Thousand","7175"
"Number of Nights by Irish Residents","2003","Friends/relatives","Outbound","Thousand","9055"
"Number of Nights by Irish Residents","2003","Own holiday home","Domestic","Thousand","1572"
"Number of Nights by Irish Residents","2003","Own holiday home","Outbound","Thousand","1410"
"Number of Nights by Irish Residents","2003","Guest house/bed &breakfast","Domestic","Thousand","2067"
"Number of Nights by Irish Residents","2003","Guest house/bed &breakfast","Outbound","Thousand","2112"
"Number of Nights by Irish Residents","2003","Hotel/conference centre","Domestic","Thousand","5762"
"Number of Nights by Irish Residents","2003","Hotel/conference centre","Outbound","Thousand","12260"
"Number of Nights by Irish Residents","2003","Self catering/rented house","Domestic","Thousand","3754"
"Number of Nights by Irish Residents","2003","Self catering/rented house","Outbound","Thousand","13494"
"Number of Nights by Irish Residents","2003","Other","Domestic","Thousand","1407"
"Number of Nights by Irish Residents","2003","Other","Outbound","Thousand","3087"
"Number of Nights by Irish Residents","2004","All types of accommodation","Domestic","Thousand","24189"
"Number of Nights by Irish Residents","2004","All types of accommodation","Outbound","Thousand","46302"
"Number of Nights by Irish Residents","2004","Caravan/camping","Domestic","Thousand","1635"
"Number of Nights by Irish Residents","2004","Caravan/camping","Outbound","Thousand","2776"
"Number of Nights by Irish Residents","2004","Friends/relatives","Domestic","Thousand","7736"
"Number of Nights by Irish Residents","2004","Friends/relatives","Outbound","Thousand","10206"
"Number of Nights by Irish Residents","2004","Own holiday home","Domestic","Thousand","2014"
"Number of Nights by Irish Residents","2004","Own holiday home","Outbound","Thousand","1392"
"Number of Nights by Irish Residents","2004","Guest house/bed &breakfast","Domestic","Thousand","1963"
"Number of Nights by Irish Residents","2004","Guest house/bed &breakfast","Outbound","Thousand","2065"
"Number of Nights by Irish Residents","2004","Hotel/conference centre","Domestic","Thousand","5836"
"Number of Nights by Irish Residents","2004","Hotel/conference centre","Outbound","Thousand","14351"
"Number of Nights by Irish Residents","2004","Self catering/rented house","Domestic","Thousand","3701"
"Number of Nights by Irish Residents","2004","Self catering/rented house","Outbound","Thousand","12503"
"Number of Nights by Irish Residents","2004","Other","Domestic","Thousand","1303"
"Number of Nights by Irish Residents","2004","Other","Outbound","Thousand","3009"
"Number of Nights by Irish Residents","2005","All types of accommodation","Domestic","Thousand","24607"
"Number of Nights by Irish Residents","2005","All types of accommodation","Outbound","Thousand","51503"
"Number of Nights by Irish Residents","2005","Caravan/camping","Domestic","Thousand","1595"
"Number of Nights by Irish Residents","2005","Caravan/camping","Outbound","Thousand","2609"
"Number of Nights by Irish Residents","2005","Friends/relatives","Domestic","Thousand","7562"
"Number of Nights by Irish Residents","2005","Friends/relatives","Outbound","Thousand","11617"
"Number of Nights by Irish Residents","2005","Own holiday home","Domestic","Thousand","2174"
"Number of Nights by Irish Residents","2005","Own holiday home","Outbound","Thousand","2369"
"Number of Nights by Irish Residents","2005","Guest house/bed &breakfast","Domestic","Thousand","1816"
"Number of Nights by Irish Residents","2005","Guest house/bed &breakfast","Outbound","Thousand","1766"
"Number of Nights by Irish Residents","2005","Hotel/conference centre","Domestic","Thousand","6358"
"Number of Nights by Irish Residents","2005","Hotel/conference centre","Outbound","Thousand","16965"
"Number of Nights by Irish Residents","2005","Self catering/rented house","Domestic","Thousand","3582"
"Number of Nights by Irish Residents","2005","Self catering/rented house","Outbound","Thousand","12601"
"Number of Nights by Irish Residents","2005","Other","Domestic","Thousand","1520"
"Number of Nights by Irish Residents","2005","Other","Outbound","Thousand","3579"
"Number of Nights by Irish Residents","2006","All types of accommodation","Domestic","Thousand","24203"
"Number of Nights by Irish Residents","2006","All types of accommodation","Outbound","Thousand","54266"
"Number of Nights by Irish Residents","2006","Caravan/camping","Domestic","Thousand","1693"
"Number of Nights by Irish Residents","2006","Caravan/camping","Outbound","Thousand","2349"
"Number of Nights by Irish Residents","2006","Friends/relatives","Domestic","Thousand","7653"
"Number of Nights by Irish Residents","2006","Friends/relatives","Outbound","Thousand","12716"
"Number of Nights by Irish Residents","2006","Own holiday home","Domestic","Thousand","2459"
"Number of Nights by Irish Residents","2006","Own holiday home","Outbound","Thousand","3578"
"Number of Nights by Irish Residents","2006","Guest house/bed &breakfast","Domestic","Thousand","1542"
"Number of Nights by Irish Residents","2006","Guest house/bed &breakfast","Outbound","Thousand","1653"
"Number of Nights by Irish Residents","2006","Hotel/conference centre","Domestic","Thousand","6436"
"Number of Nights by Irish Residents","2006","Hotel/conference centre","Outbound","Thousand","18289"
"Number of Nights by Irish Residents","2006","Self catering/rented house","Domestic","Thousand","3298"
"Number of Nights by Irish Residents","2006","Self catering/rented house","Outbound","Thousand","12675"
"Number of Nights by Irish Residents","2006","Other","Domestic","Thousand","1122"
"Number of Nights by Irish Residents","2006","Other","Outbound","Thousand","3006"
"Number of Nights by Irish Residents","2007","All types of accommodation","Domestic","Thousand","26328"
"Number of Nights by Irish Residents","2007","All types of accommodation","Outbound","Thousand","62236"
"Number of Nights by Irish Residents","2007","Caravan/camping","Domestic","Thousand","2077"
"Number of Nights by Irish Residents","2007","Caravan/camping","Outbound","Thousand","2647"
"Number of Nights by Irish Residents","2007","Friends/relatives","Domestic","Thousand","7812"
"Number of Nights by Irish Residents","2007","Friends/relatives","Outbound","Thousand","13509"
"Number of Nights by Irish Residents","2007","Own holiday home","Domestic","Thousand","2772"
"Number of Nights by Irish Residents","2007","Own holiday home","Outbound","Thousand","4031"
"Number of Nights by Irish Residents","2007","Guest house/bed &breakfast","Domestic","Thousand","1432"
"Number of Nights by Irish Residents","2007","Guest house/bed &breakfast","Outbound","Thousand","1836"
"Number of Nights by Irish Residents","2007","Hotel/conference centre","Domestic","Thousand","7359"
"Number of Nights by Irish Residents","2007","Hotel/conference centre","Outbound","Thousand","22623"
"Number of Nights by Irish Residents","2007","Self catering/rented house","Domestic","Thousand","3500"
"Number of Nights by Irish Residents","2007","Self catering/rented house","Outbound","Thousand","14272"
"Number of Nights by Irish Residents","2007","Other","Domestic","Thousand","1376"
"Number of Nights by Irish Residents","2007","Other","Outbound","Thousand","3319"
"Number of Nights by Irish Residents","2008","All types of accommodation","Domestic","Thousand","26195"
"Number of Nights by Irish Residents","2008","All types of accommodation","Outbound","Thousand","63498"
"Number of Nights by Irish Residents","2008","Caravan/camping","Domestic","Thousand","1930"
"Number of Nights by Irish Residents","2008","Caravan/camping","Outbound","Thousand","2833"
"Number of Nights by Irish Residents","2008","Friends/relatives","Domestic","Thousand","7986"
"Number of Nights by Irish Residents","2008","Friends/relatives","Outbound","Thousand","14996"
"Number of Nights by Irish Residents","2008","Own holiday home","Domestic","Thousand","3048"
"Number of Nights by Irish Residents","2008","Own holiday home","Outbound","Thousand","4035"
"Number of Nights by Irish Residents","2008","Guest house/bed &breakfast","Domestic","Thousand","1178"
"Number of Nights by Irish Residents","2008","Guest house/bed &breakfast","Outbound","Thousand","1768"
"Number of Nights by Irish Residents","2008","Hotel/conference centre","Domestic","Thousand","7616"
"Number of Nights by Irish Residents","2008","Hotel/conference centre","Outbound","Thousand","21634"
"Number of Nights by Irish Residents","2008","Self catering/rented house","Domestic","Thousand","3238"
"Number of Nights by Irish Residents","2008","Self catering/rented house","Outbound","Thousand","14528"
"Number of Nights by Irish Residents","2008","Other","Domestic","Thousand","1198"
"Number of Nights by Irish Residents","2008","Other","Outbound","Thousand","3706"
"Number of Nights by Irish Residents","2009","All types of accommodation","Domestic","Thousand","26027"
"Number of Nights by Irish Residents","2009","All types of accommodation","Outbound","Thousand","55667"
"Number of Nights by Irish Residents","2009","Caravan/camping","Domestic","Thousand","1512"
"Number of Nights by Irish Residents","2009","Caravan/camping","Outbound","Thousand","2899"
"Number of Nights by Irish Residents","2009","Friends/relatives","Domestic","Thousand","8187"
"Number of Nights by Irish Residents","2009","Friends/relatives","Outbound","Thousand","14809"
"Number of Nights by Irish Residents","2009","Own holiday home","Domestic","Thousand","3074"
"Number of Nights by Irish Residents","2009","Own holiday home","Outbound","Thousand","3629"
"Number of Nights by Irish Residents","2009","Guest house/bed &breakfast","Domestic","Thousand","1013"
"Number of Nights by Irish Residents","2009","Guest house/bed &breakfast","Outbound","Thousand","1570"
"Number of Nights by Irish Residents","2009","Hotel/conference centre","Domestic","Thousand","7438"
"Number of Nights by Irish Residents","2009","Hotel/conference centre","Outbound","Thousand","16893"
"Number of Nights by Irish Residents","2009","Self catering/rented house","Domestic","Thousand","3171"
"Number of Nights by Irish Residents","2009","Self catering/rented house","Outbound","Thousand","12396"
"Number of Nights by Irish Residents","2009","Other","Domestic","Thousand","1631"
"Number of Nights by Irish Residents","2009","Other","Outbound","Thousand","3471"
"Number of Nights by Irish Residents","2010","All types of accommodation","Domestic","Thousand","22540"
"Number of Nights by Irish Residents","2010","All types of accommodation","Outbound","Thousand","57473"
"Number of Nights by Irish Residents","2010","Caravan/camping","Domestic","Thousand","2618"
"Number of Nights by Irish Residents","2010","Caravan/camping","Outbound","Thousand","3779"
"Number of Nights by Irish Residents","2010","Friends/relatives","Domestic","Thousand","6036"
"Number of Nights by Irish Residents","2010","Friends/relatives","Outbound","Thousand","14532"
"Number of Nights by Irish Residents","2010","Own holiday home","Domestic","Thousand","2886"
"Number of Nights by Irish Residents","2010","Own holiday home","Outbound","Thousand","2558"
"Number of Nights by Irish Residents","2010","Guest house/bed &breakfast","Domestic","Thousand","735"
"Number of Nights by Irish Residents","2010","Guest house/bed &breakfast","Outbound","Thousand","1364"
"Number of Nights by Irish Residents","2010","Hotel/conference centre","Domestic","Thousand","6590"
"Number of Nights by Irish Residents","2010","Hotel/conference centre","Outbound","Thousand","18389"
"Number of Nights by Irish Residents","2010","Self catering/rented house","Domestic","Thousand","2891"
"Number of Nights by Irish Residents","2010","Self catering/rented house","Outbound","Thousand","13982"
"Number of Nights by Irish Residents","2010","Other","Domestic","Thousand","783"
"Number of Nights by Irish Residents","2010","Other","Outbound","Thousand","2870"
"Number of Nights by Irish Residents","2011","All types of accommodation","Domestic","Thousand","21628"
"Number of Nights by Irish Residents","2011","All types of accommodation","Outbound","Thousand","54014"
"Number of Nights by Irish Residents","2011","Caravan/camping","Domestic","Thousand","1815"
"Number of Nights by Irish Residents","2011","Caravan/camping","Outbound","Thousand","1867"
"Number of Nights by Irish Residents","2011","Friends/relatives","Domestic","Thousand","6579"
"Number of Nights by Irish Residents","2011","Friends/relatives","Outbound","Thousand","15318"
"Number of Nights by Irish Residents","2011","Own holiday home","Domestic","Thousand","2785"
"Number of Nights by Irish Residents","2011","Own holiday home","Outbound","Thousand","3012"
"Number of Nights by Irish Residents","2011","Guest house/bed &breakfast","Domestic","Thousand","718"
"Number of Nights by Irish Residents","2011","Guest house/bed &breakfast","Outbound","Thousand","1488"
"Number of Nights by Irish Residents","2011","Hotel/conference centre","Domestic","Thousand","5959"
"Number of Nights by Irish Residents","2011","Hotel/conference centre","Outbound","Thousand","16170"
"Number of Nights by Irish Residents","2011","Self catering/rented house","Domestic","Thousand","3040"
"Number of Nights by Irish Residents","2011","Self catering/rented house","Outbound","Thousand","13595"
"Number of Nights by Irish Residents","2011","Other","Domestic","Thousand","731"
"Number of Nights by Irish Residents","2011","Other","Outbound","Thousand","2562"
"Number of Nights by Irish Residents","2012","All types of accommodation","Domestic","Thousand","23703"
"Number of Nights by Irish Residents","2012","All types of accommodation","Outbound","Thousand","53112"
"Number of Nights by Irish Residents","2012","Caravan/camping","Domestic","Thousand",""
"Number of Nights by Irish Residents","2012","Caravan/camping","Outbound","Thousand",""
"Number of Nights by Irish Residents","2012","Friends/relatives","Domestic","Thousand","7935"
"Number of Nights by Irish Residents","2012","Friends/relatives","Outbound","Thousand","14344"
"Number of Nights by Irish Residents","2012","Own holiday home","Domestic","Thousand","1787"
"Number of Nights by Irish Residents","2012","Own holiday home","Outbound","Thousand","2571"
"Number of Nights by Irish Residents","2012","Guest house/bed &breakfast","Domestic","Thousand","934"
"Number of Nights by Irish Residents","2012","Guest house/bed &breakfast","Outbound","Thousand","1931"
"Number of Nights by Irish Residents","2012","Hotel/conference centre","Domestic","Thousand","6977"
"Number of Nights by Irish Residents","2012","Hotel/conference centre","Outbound","Thousand","14492"
"Number of Nights by Irish Residents","2012","Self catering/rented house","Domestic","Thousand","3237"
"Number of Nights by Irish Residents","2012","Self catering/rented house","Outbound","Thousand","14081"
"Number of Nights by Irish Residents","2012","Other","Domestic","Thousand","2833"
"Number of Nights by Irish Residents","2012","Other","Outbound","Thousand","5692"
"Number of Nights by Irish Residents","2013","All types of accommodation","Domestic","Thousand","24195"
"Number of Nights by Irish Residents","2013","All types of accommodation","Outbound","Thousand","51985"
"Number of Nights by Irish Residents","2013","Caravan/camping","Domestic","Thousand",""
"Number of Nights by Irish Residents","2013","Caravan/camping","Outbound","Thousand",""
"Number of Nights by Irish Residents","2013","Friends/relatives","Domestic","Thousand","7695"
"Number of Nights by Irish Residents","2013","Friends/relatives","Outbound","Thousand","13875"
"Number of Nights by Irish Residents","2013","Own holiday home","Domestic","Thousand","2246"
"Number of Nights by Irish Residents","2013","Own holiday home","Outbound","Thousand","2722"
"Number of Nights by Irish Residents","2013","Guest house/bed &breakfast","Domestic","Thousand","845"
"Number of Nights by Irish Residents","2013","Guest house/bed &breakfast","Outbound","Thousand","1022"
"Number of Nights by Irish Residents","2013","Hotel/conference centre","Domestic","Thousand","6781"
"Number of Nights by Irish Residents","2013","Hotel/conference centre","Outbound","Thousand","15416"
"Number of Nights by Irish Residents","2013","Self catering/rented house","Domestic","Thousand","3714"
"Number of Nights by Irish Residents","2013","Self catering/rented house","Outbound","Thousand","13705"
"Number of Nights by Irish Residents","2013","Other","Domestic","Thousand","2913"
"Number of Nights by Irish Residents","2013","Other","Outbound","Thousand","5245"
"Number of Nights by Irish Residents","2014","All types of accommodation","Domestic","Thousand","26086"
"Number of Nights by Irish Residents","2014","All types of accommodation","Outbound","Thousand","53652"
"Number of Nights by Irish Residents","2014","Caravan/camping","Domestic","Thousand",""
"Number of Nights by Irish Residents","2014","Caravan/camping","Outbound","Thousand",""
"Number of Nights by Irish Residents","2014","Friends/relatives","Domestic","Thousand","8157"
"Number of Nights by Irish Residents","2014","Friends/relatives","Outbound","Thousand","14160"
"Number of Nights by Irish Residents","2014","Own holiday home","Domestic","Thousand","2018"
"Number of Nights by Irish Residents","2014","Own holiday home","Outbound","Thousand","1698"
"Number of Nights by Irish Residents","2014","Guest house/bed &breakfast","Domestic","Thousand","1100"
"Number of Nights by Irish Residents","2014","Guest house/bed &breakfast","Outbound","Thousand","1376"
"Number of Nights by Irish Residents","2014","Hotel/conference centre","Domestic","Thousand","7207"
"Number of Nights by Irish Residents","2014","Hotel/conference centre","Outbound","Thousand","18078"
"Number of Nights by Irish Residents","2014","Self catering/rented house","Domestic","Thousand","4240"
"Number of Nights by Irish Residents","2014","Self catering/rented house","Outbound","Thousand","11720"
"Number of Nights by Irish Residents","2014","Other","Domestic","Thousand","3364"
"Number of Nights by Irish Residents","2014","Other","Outbound","Thousand","6621"
"Number of Nights by Irish Residents","2015","All types of accommodation","Domestic","Thousand","25267"
"Number of Nights by Irish Residents","2015","All types of accommodation","Outbound","Thousand","53515"
"Number of Nights by Irish Residents","2015","Caravan/camping","Domestic","Thousand",""
"Number of Nights by Irish Residents","2015","Caravan/camping","Outbound","Thousand",""
"Number of Nights by Irish Residents","2015","Friends/relatives","Domestic","Thousand","7917"
"Number of Nights by Irish Residents","2015","Friends/relatives","Outbound","Thousand","14341"
"Number of Nights by Irish Residents","2015","Own holiday home","Domestic","Thousand","2942"
"Number of Nights by Irish Residents","2015","Own holiday home","Outbound","Thousand","1390"
"Number of Nights by Irish Residents","2015","Guest house/bed &breakfast","Domestic","Thousand","1007"
"Number of Nights by Irish Residents","2015","Guest house/bed &breakfast","Outbound","Thousand","955"
"Number of Nights by Irish Residents","2015","Hotel/conference centre","Domestic","Thousand","7133"
"Number of Nights by Irish Residents","2015","Hotel/conference centre","Outbound","Thousand","18192"
"Number of Nights by Irish Residents","2015","Self catering/rented house","Domestic","Thousand","3896"
"Number of Nights by Irish Residents","2015","Self catering/rented house","Outbound","Thousand","12151"
"Number of Nights by Irish Residents","2015","Other","Domestic","Thousand","2372"
"Number of Nights by Irish Residents","2015","Other","Outbound","Thousand","6486"
"Number of Nights by Irish Residents","2016","All types of accommodation","Domestic","Thousand","25589"
"Number of Nights by Irish Residents","2016","All types of accommodation","Outbound","Thousand","56748"
"Number of Nights by Irish Residents","2016","Caravan/camping","Domestic","Thousand",""
"Number of Nights by Irish Residents","2016","Caravan/camping","Outbound","Thousand",""
"Number of Nights by Irish Residents","2016","Friends/relatives","Domestic","Thousand","8543"
"Number of Nights by Irish Residents","2016","Friends/relatives","Outbound","Thousand","13841"
"Number of Nights by Irish Residents","2016","Own holiday home","Domestic","Thousand","2196"
"Number of Nights by Irish Residents","2016","Own holiday home","Outbound","Thousand","2290"
"Number of Nights by Irish Residents","2016","Guest house/bed &breakfast","Domestic","Thousand","983"
"Number of Nights by Irish Residents","2016","Guest house/bed &breakfast","Outbound","Thousand","1361"
"Number of Nights by Irish Residents","2016","Hotel/conference centre","Domestic","Thousand","7143"
"Number of Nights by Irish Residents","2016","Hotel/conference centre","Outbound","Thousand","18936"
"Number of Nights by Irish Residents","2016","Self catering/rented house","Domestic","Thousand","3822"
"Number of Nights by Irish Residents","2016","Self catering/rented house","Outbound","Thousand","14858"
"Number of Nights by Irish Residents","2016","Other","Domestic","Thousand","2903"
"Number of Nights by Irish Residents","2016","Other","Outbound","Thousand","5462"
"Number of Nights by Irish Residents","2017","All types of accommodation","Domestic","Thousand","25539"
"Number of Nights by Irish Residents","2017","All types of accommodation","Outbound","Thousand","57698"
"Number of Nights by Irish Residents","2017","Caravan/camping","Domestic","Thousand",""
"Number of Nights by Irish Residents","2017","Caravan/camping","Outbound","Thousand",""
"Number of Nights by Irish Residents","2017","Friends/relatives","Domestic","Thousand","8305"
"Number of Nights by Irish Residents","2017","Friends/relatives","Outbound","Thousand","12558"
"Number of Nights by Irish Residents","2017","Own holiday home","Domestic","Thousand","1716"
"Number of Nights by Irish Residents","2017","Own holiday home","Outbound","Thousand","1525"
"Number of Nights by Irish Residents","2017","Guest house/bed &breakfast","Domestic","Thousand","1139"
"Number of Nights by Irish Residents","2017","Guest house/bed &breakfast","Outbound","Thousand","1598"
"Number of Nights by Irish Residents","2017","Hotel/conference centre","Domestic","Thousand","7228"
"Number of Nights by Irish Residents","2017","Hotel/conference centre","Outbound","Thousand","19439"
"Number of Nights by Irish Residents","2017","Self catering/rented house","Domestic","Thousand","3952"
"Number of Nights by Irish Residents","2017","Self catering/rented house","Outbound","Thousand","15324"
"Number of Nights by Irish Residents","2017","Other","Domestic","Thousand","3198"
"Number of Nights by Irish Residents","2017","Other","Outbound","Thousand","7252"
"Number of Nights by Irish Residents","2018","All types of accommodation","Domestic","Thousand","28393"
"Number of Nights by Irish Residents","2018","All types of accommodation","Outbound","Thousand","60623"
"Number of Nights by Irish Residents","2018","Caravan/camping","Domestic","Thousand",""
"Number of Nights by Irish Residents","2018","Caravan/camping","Outbound","Thousand",""
"Number of Nights by Irish Residents","2018","Friends/relatives","Domestic","Thousand","9459"
"Number of Nights by Irish Residents","2018","Friends/relatives","Outbound","Thousand","14695"
"Number of Nights by Irish Residents","2018","Own holiday home","Domestic","Thousand","3741"
"Number of Nights by Irish Residents","2018","Own holiday home","Outbound","Thousand","2332"
"Number of Nights by Irish Residents","2018","Guest house/bed &breakfast","Domestic","Thousand","983"
"Number of Nights by Irish Residents","2018","Guest house/bed &breakfast","Outbound","Thousand","1487"
"Number of Nights by Irish Residents","2018","Hotel/conference centre","Domestic","Thousand","7837"
"Number of Nights by Irish Residents","2018","Hotel/conference centre","Outbound","Thousand","22257"
"Number of Nights by Irish Residents","2018","Self catering/rented house","Domestic","Thousand","3537"
"Number of Nights by Irish Residents","2018","Self catering/rented house","Outbound","Thousand","13046"
"Number of Nights by Irish Residents","2018","Other","Domestic","Thousand","2835"
"Number of Nights by Irish Residents","2018","Other","Outbound","Thousand","6806"
"Number of Nights by Irish Residents","2019","All types of accommodation","Domestic","Thousand","29469"
"Number of Nights by Irish Residents","2019","All types of accommodation","Outbound","Thousand","66927"
"Number of Nights by Irish Residents","2019","Caravan/camping","Domestic","Thousand",""
"Number of Nights by Irish Residents","2019","Caravan/camping","Outbound","Thousand",""
"Number of Nights by Irish Residents","2019","Friends/relatives","Domestic","Thousand","10156"
"Number of Nights by Irish Residents","2019","Friends/relatives","Outbound","Thousand","14634"
"Number of Nights by Irish Residents","2019","Own holiday home","Domestic","Thousand","2882"
"Number of Nights by Irish Residents","2019","Own holiday home","Outbound","Thousand","2089"
"Number of Nights by Irish Residents","2019","Guest house/bed &breakfast","Domestic","Thousand","1265"
"Number of Nights by Irish Residents","2019","Guest house/bed &breakfast","Outbound","Thousand","1501"
"Number of Nights by Irish Residents","2019","Hotel/conference centre","Domestic","Thousand","8297"
"Number of Nights by Irish Residents","2019","Hotel/conference centre","Outbound","Thousand","23295"
"Number of Nights by Irish Residents","2019","Self catering/rented house","Domestic","Thousand","3503"
"Number of Nights by Irish Residents","2019","Self catering/rented house","Outbound","Thousand","16616"
"Number of Nights by Irish Residents","2019","Other","Domestic","Thousand","3366"
"Number of Nights by Irish Residents","2019","Other","Outbound","Thousand","8791"
"Number of Nights by Irish Residents","2020","All types of accommodation","Domestic","Thousand","23518"
"Number of Nights by Irish Residents","2020","All types of accommodation","Outbound","Thousand","15597"
"Number of Nights by Irish Residents","2020","Caravan/camping","Domestic","Thousand",""
"Number of Nights by Irish Residents","2020","Caravan/camping","Outbound","Thousand",""
"Number of Nights by Irish Residents","2020","Friends/relatives","Domestic","Thousand","8769"
"Number of Nights by Irish Residents","2020","Friends/relatives","Outbound","Thousand",""
"Number of Nights by Irish Residents","2020","Own holiday home","Domestic","Thousand","2212"
"Number of Nights by Irish Residents","2020","Own holiday home","Outbound","Thousand",""
"Number of Nights by Irish Residents","2020","Guest house/bed &breakfast","Domestic","Thousand","935"
