"Statistic Label","Year","Type of Accommodation Used","Domestic","UNIT","VALUE"
"Number of Trips by Irish Residents","2004","Other","Outbound","Thousand","237"
"Number of Trips by Irish Residents","2005","All types of accommodation","Domestic","Thousand","7173"
"Number of Trips by Irish Residents","2005","All types of accommodation","Outbound","Thousand","6189"
"Number of Trips by Irish Residents","2005","Caravan/camping","Domestic","Thousand","298"
"Number of Trips by Irish Residents","2005","Caravan/camping","Outbound","Thousand","208"
"Number of Trips by Irish Residents","2005","Friends/relatives","Domestic","Thousand","2430"
"Number of Trips by Irish Residents","2005","Friends/relatives","Outbound","Thousand","1401"
"Number of Trips by Irish Residents","2005","Own holiday home","Domestic","Thousand","365"
"Number of Trips by Irish Residents","2005","Own holiday home","Outbound","Thousand","175"
"Number of Trips by Irish Residents","2005","Guest house/bed &breakfast","Domestic","Thousand","661"
"Number of Trips by Irish Residents","2005","Guest house/bed &breakfast","Outbound","Thousand","261"
"Number of Trips by Irish Residents","2005","Hotel/conference centre","Domestic","Thousand","2597"
"Number of Trips by Irish Residents","2005","Hotel/conference centre","Outbound","Thousand","2800"
"Number of Trips by Irish Residents","2005","Self catering/rented house","Domestic","Thousand","547"
"Number of Trips by Irish Residents","2005","Self catering/rented house","Outbound","Thousand","1099"
"Number of Trips by Irish Residents","2005","Other","Domestic","Thousand","278"
"Number of Trips by Irish Residents","2005","Other","Outbound","Thousand","245"
"Number of Trips by Irish Residents","2006","All types of accommodation","Domestic","Thousand","7310"
"Number of Trips by Irish Residents","2006","All types of accommodation","Outbound","Thousand","6981"
"Number of Trips by Irish Residents","2006","Caravan/camping","Domestic","Thousand","279"
"Number of Trips by Irish Residents","2006","Caravan/camping","Outbound","Thousand","187"
"Number of Trips by Irish Residents","2006","Friends/relatives","Domestic","Thousand","2529"
"Number of Trips by Irish Residents","2006","Friends/relatives","Outbound","Thousand","1636"
"Number of Trips by Irish Residents","2006","Own holiday home","Domestic","Thousand","419"
"Number of Trips by Irish Residents","2006","Own holiday home","Outbound","Thousand","282"
"Number of Trips by Irish Residents","2006","Guest house/bed &breakfast","Domestic","Thousand","531"
"Number of Trips by Irish Residents","2006","Guest house/bed &breakfast","Outbound","Thousand","231"
"Number of Trips by Irish Residents","2006","Hotel/conference centre","Domestic","Thousand","2847"
"Number of Trips by Irish Residents","2006","Hotel/conference centre","Outbound","Thousand","3179"
"Number of Trips by Irish Residents","2006","Self catering/rented house","Domestic","Thousand","480"
"Number of Trips by Irish Residents","2006","Self catering/rented house","Outbound","Thousand","1212"
"Number of Trips by Irish Residents","2006","Other","Domestic","Thousand","224"
"Number of Trips by Irish Residents","2006","Other","Outbound","Thousand","253"
"Number of Trips by Irish Residents","2007","All types of accommodation","Domestic","Thousand","7942"
"Number of Trips by Irish Residents","2007","All types of accommodation","Outbound","Thousand","7830"
"Number of Trips by Irish Residents","2007","Caravan/camping","Domestic","Thousand","305"
"Number of Trips by Irish Residents","2007","Caravan/camping","Outbound","Thousand","215"
"Number of Trips by Irish Residents","2007","Friends/relatives","Domestic","Thousand","2653"
"Number of Trips by Irish Residents","2007","Friends/relatives","Outbound","Thousand","1721"
"Number of Trips by Irish Residents","2007","Own holiday home","Domestic","Thousand","489"
