"Statistic Label","Year","Reason for Journey","Region Visited","UNIT","VALUE"
"Number of Trips by Irish Residents on Outbound Travel Travel","2020","All reasons for journey","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2020","All reasons for journey","Other Europe (21)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2020","All reasons for journey","Other countries (24)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2020","Holiday","All Countries","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2020","Holiday","United States and Canada","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2020","Holiday","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2020","Holiday","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2020","Holiday","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2020","Holiday","Other Europe (21)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2020","Holiday","Other countries (24)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2020","Business","All Countries","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2020","Business","United States and Canada","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2020","Business","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2020","Business","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2020","Business","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2020","Business","Other Europe (21)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2020","Business","Other countries (24)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2020","Visiting friends/relatives","All Countries","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2020","Visiting friends/relatives","United States and Canada","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2020","Visiting friends/relatives","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2020","Visiting friends/relatives","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2020","Visiting friends/relatives","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2020","Visiting friends/relatives","Other Europe (21)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2020","Visiting friends/relatives","Other countries (24)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2020","Other reasons","All Countries","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2020","Other reasons","United States and Canada","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2020","Other reasons","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2020","Other reasons","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2020","Other reasons","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2020","Other reasons","Other Europe (21)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2020","Other reasons","Other countries (24)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","All reasons for journey","All Countries","Thousand","2276"
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","All reasons for journey","United States and Canada","Thousand","48"
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","All reasons for journey","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","All reasons for journey","EU27 excluding Ireland","Thousand","995"
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","All reasons for journey","Other Europe (20)","Thousand","1138"
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","All reasons for journey","Other Europe (21)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","All reasons for journey","Other countries (24)","Thousand","96"
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","Holiday","All Countries","Thousand","1080"
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","Holiday","United States and Canada","Thousand","31"
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","Holiday","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","Holiday","EU27 excluding Ireland","Thousand","571"
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","Holiday","Other Europe (20)","Thousand","418"
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","Holiday","Other Europe (21)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","Holiday","Other countries (24)","Thousand","61"
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","Business","All Countries","Thousand","171"
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","Business","United States and Canada","Thousand","10"
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","Business","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","Business","EU27 excluding Ireland","Thousand","51"
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","Business","Other Europe (20)","Thousand","104"
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","Business","Other Europe (21)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","Business","Other countries (24)","Thousand","6"
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","Visiting friends/relatives","All Countries","Thousand","742"
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","Visiting friends/relatives","United States and Canada","Thousand","6"
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","Visiting friends/relatives","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","Visiting friends/relatives","EU27 excluding Ireland","Thousand","219"
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","Visiting friends/relatives","Other Europe (20)","Thousand","499"
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","Visiting friends/relatives","Other Europe (21)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","Visiting friends/relatives","Other countries (24)","Thousand","19"
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","Other reasons","All Countries","Thousand","283"
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","Other reasons","United States and Canada","Thousand","1"
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","Other reasons","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","Other reasons","EU27 excluding Ireland","Thousand","154"
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","Other reasons","Other Europe (20)","Thousand","118"
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","Other reasons","Other Europe (21)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","Other reasons","Other countries (24)","Thousand","10"
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","All reasons for journey","All Countries","Thousand","8546"
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","All reasons for journey","United States and Canada","Thousand","426"
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","All reasons for journey","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","All reasons for journey","EU27 excluding Ireland","Thousand","4995"
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","All reasons for journey","Other Europe (20)","Thousand","2759"
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","All reasons for journey","Other Europe (21)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","All reasons for journey","Other countries (24)","Thousand","366"
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","Holiday","All Countries","Thousand","5385"
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","Holiday","United States and Canada","Thousand","245"
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","Holiday","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","Holiday","EU27 excluding Ireland","Thousand","3859"
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","Holiday","Other Europe (20)","Thousand","1029"
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","Holiday","Other Europe (21)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","Holiday","Other countries (24)","Thousand","253"
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","Business","All Countries","Thousand","502"
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","Business","United States and Canada","Thousand","74"
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","Business","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","Business","EU27 excluding Ireland","Thousand","171"
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","Business","Other Europe (20)","Thousand","247"
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","Business","Other Europe (21)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","Business","Other countries (24)","Thousand","10"
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","Visiting friends/relatives","All Countries","Thousand","2082"
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","Visiting friends/relatives","United States and Canada","Thousand","100"
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","Visiting friends/relatives","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","Visiting friends/relatives","EU27 excluding Ireland","Thousand","716"
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","Visiting friends/relatives","Other Europe (20)","Thousand","1177"
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","Visiting friends/relatives","Other Europe (21)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","Visiting friends/relatives","Other countries (24)","Thousand","90"
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","Other reasons","All Countries","Thousand","576"
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","Other reasons","United States and Canada","Thousand","6"
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","Other reasons","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","Other reasons","EU27 excluding Ireland","Thousand","250"
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","Other reasons","Other Europe (20)","Thousand","307"
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","Other reasons","Other Europe (21)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","Other reasons","Other countries (24)","Thousand","14"
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","All reasons for journey","All Countries","Thousand","57473"
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","All reasons for journey","United States and Canada","Thousand","5947"
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","All reasons for journey","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","All reasons for journey","EU27 excluding Ireland","Thousand","42235"
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","All reasons for journey","Other Europe (20)","Thousand","2369"
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","All reasons for journey","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","All reasons for journey","Other countries (24)","Thousand","6923"
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","Holiday","All Countries","Thousand","37657"
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","Holiday","United States and Canada","Thousand","3144"
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","Holiday","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","Holiday","EU27 excluding Ireland","Thousand","29161"
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","Holiday","Other Europe (20)","Thousand","1514"
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","Holiday","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","Holiday","Other countries (24)","Thousand","3838"
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","Business","All Countries","Thousand","2495"
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","Business","United States and Canada","Thousand","484"
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","Business","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","Business","EU27 excluding Ireland","Thousand","1459"
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","Business","Other Europe (20)","Thousand","145"
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","Business","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","Business","Other countries (24)","Thousand","407"
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","Visiting friends/relatives","All Countries","Thousand","12415"
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","Visiting friends/relatives","United States and Canada","Thousand","1559"
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","Visiting friends/relatives","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","Visiting friends/relatives","EU27 excluding Ireland","Thousand","8171"
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","Visiting friends/relatives","Other Europe (20)","Thousand","595"
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","Visiting friends/relatives","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","Visiting friends/relatives","Other countries (24)","Thousand","2090"
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","Other reasons","All Countries","Thousand","4907"
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","Other reasons","United States and Canada","Thousand","760"
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","Other reasons","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","Other reasons","EU27 excluding Ireland","Thousand","3444"
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","Other reasons","Other Europe (20)","Thousand","114"
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","Other reasons","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","Other reasons","Other countries (24)","Thousand","589"
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","All reasons for journey","All Countries","Thousand","54014"
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","All reasons for journey","United States and Canada","Thousand","5725"
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","All reasons for journey","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","All reasons for journey","EU27 excluding Ireland","Thousand","40038"
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","All reasons for journey","Other Europe (20)","Thousand","1966"
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","All reasons for journey","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","All reasons for journey","Other countries (24)","Thousand","6285"
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","Holiday","All Countries","Thousand","32183"
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","Holiday","United States and Canada","Thousand","2784"
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","Holiday","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","Holiday","EU27 excluding Ireland","Thousand","25373"
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","Holiday","Other Europe (20)","Thousand","1426"
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","Holiday","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","Holiday","Other countries (24)","Thousand","2600"
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","Business","All Countries","Thousand","2714"
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","Business","United States and Canada","Thousand","586"
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","Business","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","Business","EU27 excluding Ireland","Thousand","1637"
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","Business","Other Europe (20)","Thousand","115"
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","Business","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","Business","Other countries (24)","Thousand","376"
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","Visiting friends/relatives","All Countries","Thousand","13462"
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","Visiting friends/relatives","United States and Canada","Thousand","1990"
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","Visiting friends/relatives","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","Visiting friends/relatives","EU27 excluding Ireland","Thousand","9120"
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","Visiting friends/relatives","Other Europe (20)","Thousand","283"
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","Visiting friends/relatives","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","Visiting friends/relatives","Other countries (24)","Thousand","2069"
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","Other reasons","All Countries","Thousand","5654"
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","Other reasons","United States and Canada","Thousand","364"
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","Other reasons","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","Other reasons","EU27 excluding Ireland","Thousand","3908"
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","Other reasons","Other Europe (20)","Thousand","142"
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","Other reasons","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","Other reasons","Other countries (24)","Thousand","1241"
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","All reasons for journey","All Countries","Thousand","53112"
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","All reasons for journey","United States and Canada","Thousand","5838"
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","All reasons for journey","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","All reasons for journey","EU27 excluding Ireland","Thousand","38988"
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","All reasons for journey","Other Europe (20)","Thousand","1348"
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","All reasons for journey","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","All reasons for journey","Other countries (24)","Thousand","6939"
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","Holiday","All Countries","Thousand","34462"
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","Holiday","United States and Canada","Thousand","3043"
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","Holiday","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","Holiday","EU27 excluding Ireland","Thousand","26881"
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","Holiday","Other Europe (20)","Thousand","841"
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","Holiday","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","Holiday","Other countries (24)","Thousand","3697"
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","Business","All Countries","Thousand","2199"
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","Business","United States and Canada","Thousand","405"
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","Business","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","Business","EU27 excluding Ireland","Thousand","1428"
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","Business","Other Europe (20)","Thousand","37"
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","Business","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","Business","Other countries (24)","Thousand","328"
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","Visiting friends/relatives","All Countries","Thousand","10502"
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","Visiting friends/relatives","United States and Canada","Thousand","1339"
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","Visiting friends/relatives","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","Visiting friends/relatives","EU27 excluding Ireland","Thousand","6863"
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","Visiting friends/relatives","Other Europe (20)","Thousand","354"
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","Visiting friends/relatives","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","Visiting friends/relatives","Other countries (24)","Thousand","1946"
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","Other reasons","All Countries","Thousand","5950"
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","Other reasons","United States and Canada","Thousand","1051"
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","Other reasons","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","Other reasons","EU27 excluding Ireland","Thousand","3816"
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","Other reasons","Other Europe (20)","Thousand","116"
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","Other reasons","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","Other reasons","Other countries (24)","Thousand","968"
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","All reasons for journey","All Countries","Thousand","51985"
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","All reasons for journey","United States and Canada","Thousand","5691"
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","All reasons for journey","EU28 excluding Ireland","Thousand","37103"
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","All reasons for journey","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","All reasons for journey","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","All reasons for journey","Other Europe (21)","Thousand","1641"
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","All reasons for journey","Other countries (24)","Thousand","7550"
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","Holiday","All Countries","Thousand","31726"
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","Holiday","United States and Canada","Thousand","2564"
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","Holiday","EU28 excluding Ireland","Thousand","25182"
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","Holiday","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","Holiday","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","Holiday","Other Europe (21)","Thousand","1057"
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","Holiday","Other countries (24)","Thousand","2922"
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","Business","All Countries","Thousand","2394"
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","Business","United States and Canada","Thousand","393"
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","Business","EU28 excluding Ireland","Thousand","1306"
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","Business","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","Business","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","Business","Other Europe (21)","Thousand","116"
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","Business","Other countries (24)","Thousand","578"
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","Visiting friends/relatives","All Countries","Thousand","12141"
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","Visiting friends/relatives","United States and Canada","Thousand","1401"
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","Visiting friends/relatives","EU28 excluding Ireland","Thousand","7495"
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","Visiting friends/relatives","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","Visiting friends/relatives","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","Visiting friends/relatives","Other Europe (21)","Thousand","414"
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","Visiting friends/relatives","Other countries (24)","Thousand","2830"
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","Other reasons","All Countries","Thousand","5725"
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","Other reasons","United States and Canada","Thousand","1332"
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","Other reasons","EU28 excluding Ireland","Thousand","3119"
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","Other reasons","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","Other reasons","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","Other reasons","Other Europe (21)","Thousand","54"
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","Other reasons","Other countries (24)","Thousand","1220"
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","All reasons for journey","All Countries","Thousand","53652"
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","All reasons for journey","United States and Canada","Thousand","6295"
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","All reasons for journey","EU28 excluding Ireland","Thousand","40237"
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","All reasons for journey","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","All reasons for journey","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","All reasons for journey","Other Europe (21)","Thousand","1460"
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","All reasons for journey","Other countries (24)","Thousand","5660"
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","Holiday","All Countries","Thousand","33095"
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","Holiday","United States and Canada","Thousand","3207"
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","Holiday","EU28 excluding Ireland","Thousand","27170"
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","Holiday","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","Holiday","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","Holiday","Other Europe (21)","Thousand","639"
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","Holiday","Other countries (24)","Thousand","2079"
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","Business","All Countries","Thousand","2980"
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","Business","United States and Canada","Thousand","392"
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","Business","EU28 excluding Ireland","Thousand","1969"
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","Business","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","Business","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","Business","Other Europe (21)","Thousand","85"
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","Business","Other countries (24)","Thousand","534"
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","Visiting friends/relatives","All Countries","Thousand","12763"
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","Visiting friends/relatives","United States and Canada","Thousand","1621"
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","Visiting friends/relatives","EU28 excluding Ireland","Thousand","7808"
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","Visiting friends/relatives","EU27 excluding Ireland","Thousand",""
