"Statistic Label","Year","Reason for Journey","Region Visited","UNIT","VALUE"
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","Visiting friends/relatives","Other Europe (20)","Thousand","29"
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","Visiting friends/relatives","Other Europe (21)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","Visiting friends/relatives","Other countries (24)","Thousand","88"
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","Other reasons","All Countries","Thousand","769"
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","Other reasons","United States and Canada","Thousand","28"
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","Other reasons","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","Other reasons","EU27 excluding Ireland","Thousand","668"
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","Other reasons","Other Europe (20)","Thousand","19"
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","Other reasons","Other Europe (21)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","Other reasons","Other countries (24)","Thousand","53"
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","All reasons for journey","All Countries","Thousand","6623"
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","All reasons for journey","United States and Canada","Thousand","388"
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","All reasons for journey","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","All reasons for journey","EU27 excluding Ireland","Thousand","5647"
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","All reasons for journey","Other Europe (20)","Thousand","194"
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","All reasons for journey","Other Europe (21)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","All reasons for journey","Other countries (24)","Thousand","394"
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","Holiday","All Countries","Thousand","3817"
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","Holiday","United States and Canada","Thousand","205"
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","Holiday","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","Holiday","EU27 excluding Ireland","Thousand","3292"
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","Holiday","Other Europe (20)","Thousand","111"
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","Holiday","Other Europe (21)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","Holiday","Other countries (24)","Thousand","209"
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","Business","All Countries","Thousand","584"
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","Business","United States and Canada","Thousand","52"
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","Business","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","Business","EU27 excluding Ireland","Thousand","477"
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","Business","Other Europe (20)","Thousand","12"
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","Business","Other Europe (21)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","Business","Other countries (24)","Thousand","42"
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","Visiting friends/relatives","All Countries","Thousand","1472"
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","Visiting friends/relatives","United States and Canada","Thousand","96"
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","Visiting friends/relatives","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","Visiting friends/relatives","EU27 excluding Ireland","Thousand","1221"
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","Visiting friends/relatives","Other Europe (20)","Thousand","55"
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","Visiting friends/relatives","Other Europe (21)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","Visiting friends/relatives","Other countries (24)","Thousand","101"
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","Other reasons","All Countries","Thousand","750"
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","Other reasons","United States and Canada","Thousand","34"
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","Other reasons","EU28 excluding Ireland","Thousand",""
