"Statistic Label","Year","Domestic","Mode of Transport","UNIT","VALUE"
"Number of Nights by Irish Residents","2006","Domestic","All modes of transport","Thousand","24203"
"Number of Nights by Irish Residents","2006","Domestic","Air","Thousand","523"
"Number of Nights by Irish Residents","2006","Domestic","Bus/rail","Thousand","2450"
"Number of Nights by Irish Residents","2006","Domestic","Private vehicle","Thousand","20313"
"Number of Nights by Irish Residents","2006","Domestic","Sea/Cruise","Thousand",""
"Number of Nights by Irish Residents","2006","Domestic","Other than: Air; bus/rail; private vehicle","Thousand","918"
"Number of Nights by Irish Residents","2006","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand",""
"Number of Nights by Irish Residents","2006","Outbound","All modes of transport","Thousand","54266"
"Number of Nights by Irish Residents","2006","Outbound","Air","Thousand","47570"
"Number of Nights by Irish Residents","2006","Outbound","Bus/rail","Thousand","1107"
"Number of Nights by Irish Residents","2006","Outbound","Private vehicle","Thousand","1751"
"Number of Nights by Irish Residents","2006","Outbound","Sea/Cruise","Thousand","3055"
"Number of Nights by Irish Residents","2006","Outbound","Other than: Air; bus/rail; private vehicle","Thousand",""
"Number of Nights by Irish Residents","2006","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand","783"
"Number of Nights by Irish Residents","2007","Domestic","All modes of transport","Thousand","26328"
"Number of Nights by Irish Residents","2007","Domestic","Air","Thousand","626"
"Number of Nights by Irish Residents","2007","Domestic","Bus/rail","Thousand","2907"
"Number of Nights by Irish Residents","2007","Domestic","Private vehicle","Thousand","22066"
"Number of Nights by Irish Residents","2007","Domestic","Sea/Cruise","Thousand",""
"Number of Nights by Irish Residents","2007","Domestic","Other than: Air; bus/rail; private vehicle","Thousand","730"
"Number of Nights by Irish Residents","2007","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand",""
"Number of Nights by Irish Residents","2007","Outbound","All modes of transport","Thousand","62236"
"Number of Nights by Irish Residents","2007","Outbound","Air","Thousand","55602"
"Number of Nights by Irish Residents","2007","Outbound","Bus/rail","Thousand","875"
"Number of Nights by Irish Residents","2007","Outbound","Private vehicle","Thousand","2048"
"Number of Nights by Irish Residents","2007","Outbound","Sea/Cruise","Thousand","2894"
"Number of Nights by Irish Residents","2007","Outbound","Other than: Air; bus/rail; private vehicle","Thousand",""
"Number of Nights by Irish Residents","2007","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand","817"
"Number of Nights by Irish Residents","2008","Domestic","All modes of transport","Thousand","26195"
"Number of Nights by Irish Residents","2008","Domestic","Air","Thousand","508"
"Number of Nights by Irish Residents","2008","Domestic","Bus/rail","Thousand","2829"
"Number of Nights by Irish Residents","2008","Domestic","Private vehicle","Thousand","21777"
"Number of Nights by Irish Residents","2008","Domestic","Sea/Cruise","Thousand",""
"Number of Nights by Irish Residents","2008","Domestic","Other than: Air; bus/rail; private vehicle","Thousand","1080"
"Number of Nights by Irish Residents","2008","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand",""
"Number of Nights by Irish Residents","2008","Outbound","All modes of transport","Thousand","63498"
"Number of Nights by Irish Residents","2008","Outbound","Air","Thousand","57071"
"Number of Nights by Irish Residents","2008","Outbound","Bus/rail","Thousand","843"
"Number of Nights by Irish Residents","2008","Outbound","Private vehicle","Thousand","2046"
"Number of Nights by Irish Residents","2008","Outbound","Sea/Cruise","Thousand","2908"
"Number of Nights by Irish Residents","2008","Outbound","Other than: Air; bus/rail; private vehicle","Thousand",""
"Number of Nights by Irish Residents","2008","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand","631"
"Number of Nights by Irish Residents","2009","Domestic","All modes of transport","Thousand","26027"
"Number of Nights by Irish Residents","2009","Domestic","Air","Thousand","295"
"Number of Nights by Irish Residents","2009","Domestic","Bus/rail","Thousand","2291"
"Number of Nights by Irish Residents","2009","Domestic","Private vehicle","Thousand","22691"
"Number of Nights by Irish Residents","2009","Domestic","Sea/Cruise","Thousand",""
"Number of Nights by Irish Residents","2009","Domestic","Other than: Air; bus/rail; private vehicle","Thousand","748"
"Number of Nights by Irish Residents","2009","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand",""
"Number of Nights by Irish Residents","2009","Outbound","All modes of transport","Thousand","55667"
"Number of Nights by Irish Residents","2009","Outbound","Air","Thousand","47962"
"Number of Nights by Irish Residents","2009","Outbound","Bus/rail","Thousand","705"
"Number of Nights by Irish Residents","2009","Outbound","Private vehicle","Thousand","2709"
"Number of Nights by Irish Residents","2009","Outbound","Sea/Cruise","Thousand","3604"
"Number of Nights by Irish Residents","2009","Outbound","Other than: Air; bus/rail; private vehicle","Thousand",""
"Number of Nights by Irish Residents","2009","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand","688"
"Number of Nights by Irish Residents","2010","Domestic","All modes of transport","Thousand","22540"
"Number of Nights by Irish Residents","2010","Domestic","Air","Thousand","133"
"Number of Nights by Irish Residents","2010","Domestic","Bus/rail","Thousand","2469"
"Number of Nights by Irish Residents","2010","Domestic","Private vehicle","Thousand","19737"
"Number of Nights by Irish Residents","2010","Domestic","Sea/Cruise","Thousand",""
"Number of Nights by Irish Residents","2010","Domestic","Other than: Air; bus/rail; private vehicle","Thousand","201"
"Number of Nights by Irish Residents","2010","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand",""
"Number of Nights by Irish Residents","2010","Outbound","All modes of transport","Thousand","57473"
"Number of Nights by Irish Residents","2010","Outbound","Air","Thousand","50252"
"Number of Nights by Irish Residents","2010","Outbound","Bus/rail","Thousand","398"
"Number of Nights by Irish Residents","2010","Outbound","Private vehicle","Thousand","1054"
"Number of Nights by Irish Residents","2010","Outbound","Sea/Cruise","Thousand","5647"
"Number of Nights by Irish Residents","2010","Outbound","Other than: Air; bus/rail; private vehicle","Thousand",""
"Number of Nights by Irish Residents","2010","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand","122"
"Number of Nights by Irish Residents","2011","Domestic","All modes of transport","Thousand","21628"
"Number of Nights by Irish Residents","2011","Domestic","Air","Thousand","230"
"Number of Nights by Irish Residents","2011","Domestic","Bus/rail","Thousand","2137"
"Number of Nights by Irish Residents","2011","Domestic","Private vehicle","Thousand","18950"
"Number of Nights by Irish Residents","2011","Domestic","Sea/Cruise","Thousand",""
"Number of Nights by Irish Residents","2011","Domestic","Other than: Air; bus/rail; private vehicle","Thousand","312"
"Number of Nights by Irish Residents","2011","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand",""
"Number of Nights by Irish Residents","2011","Outbound","All modes of transport","Thousand","54014"
"Number of Nights by Irish Residents","2011","Outbound","Air","Thousand","48517"
"Number of Nights by Irish Residents","2011","Outbound","Bus/rail","Thousand","166"
"Number of Nights by Irish Residents","2011","Outbound","Private vehicle","Thousand","1024"
"Number of Nights by Irish Residents","2011","Outbound","Sea/Cruise","Thousand","4278"
"Number of Nights by Irish Residents","2011","Outbound","Other than: Air; bus/rail; private vehicle","Thousand",""
"Number of Nights by Irish Residents","2011","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand","29"
"Number of Nights by Irish Residents","2012","Domestic","All modes of transport","Thousand","23703"
"Number of Nights by Irish Residents","2012","Domestic","Air","Thousand","119"
"Number of Nights by Irish Residents","2012","Domestic","Bus/rail","Thousand","2340"
"Number of Nights by Irish Residents","2012","Domestic","Private vehicle","Thousand","20782"
"Number of Nights by Irish Residents","2012","Domestic","Sea/Cruise","Thousand",""
"Number of Nights by Irish Residents","2012","Domestic","Other than: Air; bus/rail; private vehicle","Thousand","463"
"Number of Nights by Irish Residents","2012","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand",""
"Number of Nights by Irish Residents","2012","Outbound","All modes of transport","Thousand","53112"
"Number of Nights by Irish Residents","2012","Outbound","Air","Thousand","45886"
"Number of Nights by Irish Residents","2012","Outbound","Bus/rail","Thousand","813"
"Number of Nights by Irish Residents","2012","Outbound","Private vehicle","Thousand","1938"
"Number of Nights by Irish Residents","2012","Outbound","Sea/Cruise","Thousand","4334"
"Number of Nights by Irish Residents","2012","Outbound","Other than: Air; bus/rail; private vehicle","Thousand",""
"Number of Nights by Irish Residents","2012","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand","142"
"Number of Nights by Irish Residents","2013","Domestic","All modes of transport","Thousand","24195"
"Number of Nights by Irish Residents","2013","Domestic","Air","Thousand","112"
"Number of Nights by Irish Residents","2013","Domestic","Bus/rail","Thousand","2197"
"Number of Nights by Irish Residents","2013","Domestic","Private vehicle","Thousand","21511"
"Number of Nights by Irish Residents","2013","Domestic","Sea/Cruise","Thousand",""
"Number of Nights by Irish Residents","2013","Domestic","Other than: Air; bus/rail; private vehicle","Thousand","375"
"Number of Nights by Irish Residents","2013","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand",""
"Number of Nights by Irish Residents","2013","Outbound","All modes of transport","Thousand","51985"
"Number of Nights by Irish Residents","2013","Outbound","Air","Thousand","45313"
"Number of Nights by Irish Residents","2013","Outbound","Bus/rail","Thousand","780"
"Number of Nights by Irish Residents","2013","Outbound","Private vehicle","Thousand","1741"
"Number of Nights by Irish Residents","2013","Outbound","Sea/Cruise","Thousand","3795"
"Number of Nights by Irish Residents","2013","Outbound","Other than: Air; bus/rail; private vehicle","Thousand",""
"Number of Nights by Irish Residents","2013","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand","355"
"Number of Nights by Irish Residents","2014","Domestic","All modes of transport","Thousand","26086"
"Number of Nights by Irish Residents","2014","Domestic","Air","Thousand","411"
"Number of Nights by Irish Residents","2014","Domestic","Bus/rail","Thousand","2277"
"Number of Nights by Irish Residents","2014","Domestic","Private vehicle","Thousand","22964"
"Number of Nights by Irish Residents","2014","Domestic","Sea/Cruise","Thousand",""
"Number of Nights by Irish Residents","2014","Domestic","Other than: Air; bus/rail; private vehicle","Thousand","435"
"Number of Nights by Irish Residents","2014","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand",""
"Number of Nights by Irish Residents","2014","Outbound","All modes of transport","Thousand","53652"
"Number of Nights by Irish Residents","2014","Outbound","Air","Thousand","47287"
"Number of Nights by Irish Residents","2014","Outbound","Bus/rail","Thousand","856"
"Number of Nights by Irish Residents","2014","Outbound","Private vehicle","Thousand","1901"
"Number of Nights by Irish Residents","2014","Outbound","Sea/Cruise","Thousand","3327"
"Number of Nights by Irish Residents","2014","Outbound","Other than: Air; bus/rail; private vehicle","Thousand",""
"Number of Nights by Irish Residents","2014","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand","280"
"Number of Nights by Irish Residents","2015","Domestic","All modes of transport","Thousand","25267"
"Number of Nights by Irish Residents","2015","Domestic","Air","Thousand","24"
"Number of Nights by Irish Residents","2015","Domestic","Bus/rail","Thousand","2285"
"Number of Nights by Irish Residents","2015","Domestic","Private vehicle","Thousand","22650"
"Number of Nights by Irish Residents","2015","Domestic","Sea/Cruise","Thousand",""
"Number of Nights by Irish Residents","2015","Domestic","Other than: Air; bus/rail; private vehicle","Thousand","307"
"Number of Nights by Irish Residents","2015","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand",""
"Number of Nights by Irish Residents","2015","Outbound","All modes of transport","Thousand","53515"
"Number of Nights by Irish Residents","2015","Outbound","Air","Thousand","47322"
"Number of Nights by Irish Residents","2015","Outbound","Bus/rail","Thousand","648"
"Number of Nights by Irish Residents","2015","Outbound","Private vehicle","Thousand","1672"
"Number of Nights by Irish Residents","2015","Outbound","Sea/Cruise","Thousand","3204"
"Number of Nights by Irish Residents","2015","Outbound","Other than: Air; bus/rail; private vehicle","Thousand",""
"Number of Nights by Irish Residents","2015","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand","670"
"Number of Nights by Irish Residents","2016","Domestic","All modes of transport","Thousand","25589"
"Number of Nights by Irish Residents","2016","Domestic","Air","Thousand","178"
"Number of Nights by Irish Residents","2016","Domestic","Bus/rail","Thousand","2460"
"Number of Nights by Irish Residents","2016","Domestic","Private vehicle","Thousand","22577"
"Number of Nights by Irish Residents","2016","Domestic","Sea/Cruise","Thousand",""
"Number of Nights by Irish Residents","2016","Domestic","Other than: Air; bus/rail; private vehicle","Thousand","374"
"Number of Nights by Irish Residents","2016","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand",""
"Number of Nights by Irish Residents","2016","Outbound","All modes of transport","Thousand","56748"
"Number of Nights by Irish Residents","2016","Outbound","Air","Thousand","50959"
"Number of Nights by Irish Residents","2016","Outbound","Bus/rail","Thousand","284"
"Number of Nights by Irish Residents","2016","Outbound","Private vehicle","Thousand","1664"
"Number of Nights by Irish Residents","2016","Outbound","Sea/Cruise","Thousand","3642"
"Number of Nights by Irish Residents","2016","Outbound","Other than: Air; bus/rail; private vehicle","Thousand",""
"Number of Nights by Irish Residents","2016","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand","200"
"Number of Nights by Irish Residents","2017","Domestic","All modes of transport","Thousand","25539"
"Number of Nights by Irish Residents","2017","Domestic","Air","Thousand","61"
"Number of Nights by Irish Residents","2017","Domestic","Bus/rail","Thousand","2346"
"Number of Nights by Irish Residents","2017","Domestic","Private vehicle","Thousand","22569"
"Number of Nights by Irish Residents","2017","Domestic","Sea/Cruise","Thousand",""
"Number of Nights by Irish Residents","2017","Domestic","Other than: Air; bus/rail; private vehicle","Thousand","563"
"Number of Nights by Irish Residents","2017","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand",""
"Number of Nights by Irish Residents","2017","Outbound","All modes of transport","Thousand","57698"
"Number of Nights by Irish Residents","2017","Outbound","Air","Thousand","52176"
"Number of Nights by Irish Residents","2017","Outbound","Bus/rail","Thousand","688"
"Number of Nights by Irish Residents","2017","Outbound","Private vehicle","Thousand","1364"
"Number of Nights by Irish Residents","2017","Outbound","Sea/Cruise","Thousand","2968"
"Number of Nights by Irish Residents","2017","Outbound","Other than: Air; bus/rail; private vehicle","Thousand",""
"Number of Nights by Irish Residents","2017","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand","501"
"Number of Nights by Irish Residents","2018","Domestic","All modes of transport","Thousand","28393"
"Number of Nights by Irish Residents","2018","Domestic","Air","Thousand","215"
"Number of Nights by Irish Residents","2018","Domestic","Bus/rail","Thousand","2757"
"Number of Nights by Irish Residents","2018","Domestic","Private vehicle","Thousand","24864"
"Number of Nights by Irish Residents","2018","Domestic","Sea/Cruise","Thousand",""
"Number of Nights by Irish Residents","2018","Domestic","Other than: Air; bus/rail; private vehicle","Thousand","557"
"Number of Nights by Irish Residents","2018","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand",""
"Number of Nights by Irish Residents","2018","Outbound","All modes of transport","Thousand","60623"
"Number of Nights by Irish Residents","2018","Outbound","Air","Thousand","55002"
"Number of Nights by Irish Residents","2018","Outbound","Bus/rail","Thousand","662"
"Number of Nights by Irish Residents","2018","Outbound","Private vehicle","Thousand","1635"
"Number of Nights by Irish Residents","2018","Outbound","Sea/Cruise","Thousand","3246"
"Number of Nights by Irish Residents","2018","Outbound","Other than: Air; bus/rail; private vehicle","Thousand",""
"Number of Nights by Irish Residents","2018","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand","78"
"Number of Nights by Irish Residents","2019","Domestic","All modes of transport","Thousand","29469"
"Number of Nights by Irish Residents","2019","Domestic","Air","Thousand","126"
"Number of Nights by Irish Residents","2019","Domestic","Bus/rail","Thousand","2845"
"Number of Nights by Irish Residents","2019","Domestic","Private vehicle","Thousand","25890"
"Number of Nights by Irish Residents","2019","Domestic","Sea/Cruise","Thousand",""
"Number of Nights by Irish Residents","2019","Domestic","Other than: Air; bus/rail; private vehicle","Thousand","609"
"Number of Nights by Irish Residents","2019","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand",""
"Number of Nights by Irish Residents","2019","Outbound","All modes of transport","Thousand","66927"
"Number of Nights by Irish Residents","2019","Outbound","Air","Thousand","59917"
"Number of Nights by Irish Residents","2019","Outbound","Bus/rail","Thousand","652"
"Number of Nights by Irish Residents","2019","Outbound","Private vehicle","Thousand","2047"
"Number of Nights by Irish Residents","2019","Outbound","Sea/Cruise","Thousand","4157"
"Number of Nights by Irish Residents","2019","Outbound","Other than: Air; bus/rail; private vehicle","Thousand",""
"Number of Nights by Irish Residents","2019","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand","154"
"Number of Nights by Irish Residents","2020","Domestic","All modes of transport","Thousand","23518"
"Number of Nights by Irish Residents","2020","Domestic","Air","Thousand","219"
"Number of Nights by Irish Residents","2020","Domestic","Bus/rail","Thousand","1541"
"Number of Nights by Irish Residents","2020","Domestic","Private vehicle","Thousand","21282"
"Number of Nights by Irish Residents","2020","Domestic","Sea/Cruise","Thousand",""
"Number of Nights by Irish Residents","2020","Domestic","Other than: Air; bus/rail; private vehicle","Thousand","477"
"Number of Nights by Irish Residents","2020","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand",""
"Number of Nights by Irish Residents","2020","Outbound","All modes of transport","Thousand","15597"
"Number of Nights by Irish Residents","2020","Outbound","Air","Thousand",""
"Number of Nights by Irish Residents","2020","Outbound","Bus/rail","Thousand",""
"Number of Nights by Irish Residents","2020","Outbound","Private vehicle","Thousand",""
"Number of Nights by Irish Residents","2020","Outbound","Sea/Cruise","Thousand",""
"Number of Nights by Irish Residents","2020","Outbound","Other than: Air; bus/rail; private vehicle","Thousand",""
"Number of Nights by Irish Residents","2020","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand",""
"Number of Nights by Irish Residents","2021","Domestic","All modes of transport","Thousand","17886"
"Number of Nights by Irish Residents","2021","Domestic","Air","Thousand","11"
"Number of Nights by Irish Residents","2021","Domestic","Bus/rail","Thousand","1243"
"Number of Nights by Irish Residents","2021","Domestic","Private vehicle","Thousand","16262"
"Number of Nights by Irish Residents","2021","Domestic","Sea/Cruise","Thousand",""
"Number of Nights by Irish Residents","2021","Domestic","Other than: Air; bus/rail; private vehicle","Thousand","370"
"Number of Nights by Irish Residents","2021","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand",""
"Number of Nights by Irish Residents","2021","Outbound","All modes of transport","Thousand","17443"
"Number of Nights by Irish Residents","2021","Outbound","Air","Thousand","14605"
"Number of Nights by Irish Residents","2021","Outbound","Bus/rail","Thousand","340"
"Number of Nights by Irish Residents","2021","Outbound","Private vehicle","Thousand","1497"
"Number of Nights by Irish Residents","2021","Outbound","Sea/Cruise","Thousand","998"
"Number of Nights by Irish Residents","2021","Outbound","Other than: Air; bus/rail; private vehicle","Thousand",""
"Number of Nights by Irish Residents","2021","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand","3"
"Number of Nights by Irish Residents","2022","Domestic","All modes of transport","Thousand","34236"
"Number of Nights by Irish Residents","2022","Domestic","Air","Thousand","92"
"Number of Nights by Irish Residents","2022","Domestic","Bus/rail","Thousand","4938"
"Number of Nights by Irish Residents","2022","Domestic","Private vehicle","Thousand","28640"
"Number of Nights by Irish Residents","2022","Domestic","Sea/Cruise","Thousand",""
"Number of Nights by Irish Residents","2022","Domestic","Other than: Air; bus/rail; private vehicle","Thousand","566"
"Number of Nights by Irish Residents","2022","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand",""
"Number of Nights by Irish Residents","2022","Outbound","All modes of transport","Thousand","61205"
"Number of Nights by Irish Residents","2022","Outbound","Air","Thousand","56269"
"Number of Nights by Irish Residents","2022","Outbound","Bus/rail","Thousand","988"
"Number of Nights by Irish Residents","2022","Outbound","Private vehicle","Thousand","1884"
"Number of Nights by Irish Residents","2022","Outbound","Sea/Cruise","Thousand","2000"
"Number of Nights by Irish Residents","2022","Outbound","Other than: Air; bus/rail; private vehicle","Thousand",""
"Number of Nights by Irish Residents","2022","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand","62"
"Average Length of Stay by Irish Residents","2003","Domestic","All modes of transport","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents","2003","Domestic","Air","Nights per Trip","5"
"Average Length of Stay by Irish Residents","2003","Domestic","Bus/rail","Nights per Trip","3.9"
"Average Length of Stay by Irish Residents","2003","Domestic","Private vehicle","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents","2003","Domestic","Sea/Cruise","Nights per Trip",""
"Average Length of Stay by Irish Residents","2003","Domestic","Other than: Air; bus/rail; private vehicle","Nights per Trip","4.2"
"Average Length of Stay by Irish Residents","2003","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Nights per Trip",""
"Average Length of Stay by Irish Residents","2003","Outbound","All modes of transport","Nights per Trip","8.8"
"Average Length of Stay by Irish Residents","2003","Outbound","Air","Nights per Trip","8.9"
"Average Length of Stay by Irish Residents","2003","Outbound","Bus/rail","Nights per Trip",""
"Average Length of Stay by Irish Residents","2003","Outbound","Private vehicle","Nights per Trip","6.14"
"Average Length of Stay by Irish Residents","2003","Outbound","Sea/Cruise","Nights per Trip","9.05"
"Average Length of Stay by Irish Residents","2003","Outbound","Other than: Air; bus/rail; private vehicle","Nights per Trip",""
"Average Length of Stay by Irish Residents","2003","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Nights per Trip","11.1"
"Average Length of Stay by Irish Residents","2004","Domestic","All modes of transport","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents","2004","Domestic","Air","Nights per Trip","4.5"
"Average Length of Stay by Irish Residents","2004","Domestic","Bus/rail","Nights per Trip","3.7"
"Average Length of Stay by Irish Residents","2004","Domestic","Private vehicle","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents","2004","Domestic","Sea/Cruise","Nights per Trip",""
"Average Length of Stay by Irish Residents","2004","Domestic","Other than: Air; bus/rail; private vehicle","Nights per Trip","4.5"
"Average Length of Stay by Irish Residents","2004","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Nights per Trip",""
"Average Length of Stay by Irish Residents","2004","Outbound","All modes of transport","Nights per Trip","8.5"
"Average Length of Stay by Irish Residents","2004","Outbound","Air","Nights per Trip","8.6"
"Average Length of Stay by Irish Residents","2004","Outbound","Bus/rail","Nights per Trip","7.4"
"Average Length of Stay by Irish Residents","2004","Outbound","Private vehicle","Nights per Trip","5.3"
"Average Length of Stay by Irish Residents","2004","Outbound","Sea/Cruise","Nights per Trip","9.6"
"Average Length of Stay by Irish Residents","2004","Outbound","Other than: Air; bus/rail; private vehicle","Nights per Trip",""
"Average Length of Stay by Irish Residents","2004","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Nights per Trip","10.7"
"Average Length of Stay by Irish Residents","2005","Domestic","All modes of transport","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents","2005","Domestic","Air","Nights per Trip","5.1"
"Average Length of Stay by Irish Residents","2005","Domestic","Bus/rail","Nights per Trip","3.6"
"Average Length of Stay by Irish Residents","2005","Domestic","Private vehicle","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents","2005","Domestic","Sea/Cruise","Nights per Trip",""
"Average Length of Stay by Irish Residents","2005","Domestic","Other than: Air; bus/rail; private vehicle","Nights per Trip","4.5"
"Average Length of Stay by Irish Residents","2005","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Nights per Trip",""
"Average Length of Stay by Irish Residents","2005","Outbound","All modes of transport","Nights per Trip","8.3"
"Average Length of Stay by Irish Residents","2005","Outbound","Air","Nights per Trip","8.5"
"Average Length of Stay by Irish Residents","2005","Outbound","Bus/rail","Nights per Trip","9.7"
"Average Length of Stay by Irish Residents","2005","Outbound","Private vehicle","Nights per Trip","5.5"
"Average Length of Stay by Irish Residents","2005","Outbound","Sea/Cruise","Nights per Trip","8.1"
"Average Length of Stay by Irish Residents","2005","Outbound","Other than: Air; bus/rail; private vehicle","Nights per Trip",""
"Average Length of Stay by Irish Residents","2005","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Nights per Trip","10.8"
"Average Length of Stay by Irish Residents","2006","Domestic","All modes of transport","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents","2006","Domestic","Air","Nights per Trip","3.6"
"Average Length of Stay by Irish Residents","2006","Domestic","Bus/rail","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents","2006","Domestic","Private vehicle","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents","2006","Domestic","Sea/Cruise","Nights per Trip",""
"Average Length of Stay by Irish Residents","2006","Domestic","Other than: Air; bus/rail; private vehicle","Nights per Trip","3.9"
"Average Length of Stay by Irish Residents","2006","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Nights per Trip",""
"Average Length of Stay by Irish Residents","2006","Outbound","All modes of transport","Nights per Trip","7.8"
"Average Length of Stay by Irish Residents","2006","Outbound","Air","Nights per Trip","7.9"
"Average Length of Stay by Irish Residents","2006","Outbound","Bus/rail","Nights per Trip","8.6"
"Average Length of Stay by Irish Residents","2006","Outbound","Private vehicle","Nights per Trip","5.1"
"Average Length of Stay by Irish Residents","2006","Outbound","Sea/Cruise","Nights per Trip","8.3"
"Average Length of Stay by Irish Residents","2006","Outbound","Other than: Air; bus/rail; private vehicle","Nights per Trip",""
"Average Length of Stay by Irish Residents","2006","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Nights per Trip","9.1"
"Average Length of Stay by Irish Residents","2007","Domestic","All modes of transport","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents","2007","Domestic","Air","Nights per Trip","4.1"
"Average Length of Stay by Irish Residents","2007","Domestic","Bus/rail","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents","2007","Domestic","Private vehicle","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents","2007","Domestic","Sea/Cruise","Nights per Trip",""
"Average Length of Stay by Irish Residents","2007","Domestic","Other than: Air; bus/rail; private vehicle","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2007","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Nights per Trip",""
"Average Length of Stay by Irish Residents","2007","Outbound","All modes of transport","Nights per Trip","7.9"
"Average Length of Stay by Irish Residents","2007","Outbound","Air","Nights per Trip","8.1"
"Average Length of Stay by Irish Residents","2007","Outbound","Bus/rail","Nights per Trip","6.4"
"Average Length of Stay by Irish Residents","2007","Outbound","Private vehicle","Nights per Trip","5.3"
"Average Length of Stay by Irish Residents","2007","Outbound","Sea/Cruise","Nights per Trip","8.9"
"Average Length of Stay by Irish Residents","2007","Outbound","Other than: Air; bus/rail; private vehicle","Nights per Trip",""
"Average Length of Stay by Irish Residents","2007","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Nights per Trip","10.1"
"Average Length of Stay by Irish Residents","2008","Domestic","All modes of transport","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2008","Domestic","Air","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents","2008","Domestic","Bus/rail","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2008","Domestic","Private vehicle","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2008","Domestic","Sea/Cruise","Nights per Trip",""
