"Statistic Label","Year","Region Visited","UNIT","VALUE"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","Other America (6)","Nights per Trip","12.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","EU28 excluding Ireland","Nights per Trip","6.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","Other Europe (20)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","Other Europe (21)","Nights per Trip","8.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","All Countries","Nights per Trip","8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","United States and Canada","Nights per Trip","13.9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","Africa (8)","Nights per Trip","16"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","Asia (7)","Nights per Trip","14.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","Australia, New Zealand and other oceanic countries","Nights per Trip","22.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","Other America (6)","Nights per Trip","16.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","EU28 excluding Ireland","Nights per Trip","7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","Other Europe (20)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","Other Europe (21)","Nights per Trip","10.3"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","All Countries","Nights per Trip","7.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","United States and Canada","Nights per Trip","13.9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","Africa (8)","Nights per Trip","15.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","Asia (7)","Nights per Trip","17"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","Australia, New Zealand and other oceanic countries","Nights per Trip","25.7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","Other America (6)","Nights per Trip","15.8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","EU28 excluding Ireland","Nights per Trip","6.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","Other Europe (20)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","Other Europe (21)","Nights per Trip","7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","All Countries","Nights per Trip","7.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","United States and Canada","Nights per Trip","12.9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","Africa (8)","Nights per Trip","19.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","Asia (7)","Nights per Trip","14.9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","Australia, New Zealand and other oceanic countries","Nights per Trip","22"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","Other America (6)","Nights per Trip","15.7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","EU28 excluding Ireland","Nights per Trip","6.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","Other Europe (20)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","Other Europe (21)","Nights per Trip","7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","All Countries","Nights per Trip","7.1"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","United States and Canada","Nights per Trip","12.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","Africa (8)","Nights per Trip","14.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","Asia (7)","Nights per Trip","15.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","Australia, New Zealand and other oceanic countries","Nights per Trip","25.7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","Other America (6)","Nights per Trip","15.3"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","EU28 excluding Ireland","Nights per Trip","6.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","Other Europe (20)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","Other Europe (21)","Nights per Trip","7.1"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","All Countries","Nights per Trip","7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","United States and Canada","Nights per Trip","11.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","Africa (8)","Nights per Trip","13.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","Asia (7)","Nights per Trip","16.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","Australia, New Zealand and other oceanic countries","Nights per Trip","33.3"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","Other America (6)","Nights per Trip","15.7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","EU28 excluding Ireland","Nights per Trip","6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","Other Europe (20)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","Other Europe (21)","Nights per Trip","8.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","All Countries","Nights per Trip","7.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","United States and Canada","Nights per Trip","13.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","Africa (8)","Nights per Trip","18.8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","Asia (7)","Nights per Trip","14.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","Australia, New Zealand and other oceanic countries","Nights per Trip","20.8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","Other America (6)","Nights per Trip","13.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","EU28 excluding Ireland","Nights per Trip","6.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","Other Europe (20)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","Other Europe (21)","Nights per Trip","6.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2020","All Countries","Nights per Trip","6.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2020","United States and Canada","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2020","Africa (8)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2020","Asia (7)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2020","Australia, New Zealand and other oceanic countries","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2020","Other America (6)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2020","EU28 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2020","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2020","Other Europe (20)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2020","Other Europe (21)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","All Countries","Nights per Trip","7.7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","United States and Canada","Nights per Trip","7.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","Africa (8)","Nights per Trip","26.1"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","Asia (7)","Nights per Trip","16.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","Australia, New Zealand and other oceanic countries","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","Other America (6)","Nights per Trip","16"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","EU28 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","EU27 excluding Ireland","Nights per Trip","9.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","Other Europe (20)","Nights per Trip","4.8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","Other Europe (21)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","All Countries","Nights per Trip","7.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","United States and Canada","Nights per Trip","9.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","Africa (8)","Nights per Trip","11.3"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","Asia (7)","Nights per Trip","15.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","Australia, New Zealand and other oceanic countries","Nights per Trip","25.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","Other America (6)","Nights per Trip","18.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","EU28 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","EU27 excluding Ireland","Nights per Trip","8.3"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","Other Europe (20)","Nights per Trip","3.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","Other Europe (21)","Nights per Trip",""
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2010","All Countries","Euro Million","5895.7"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2010","United States and Canada","Euro Million","876.5"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2010","Africa (8)","Euro Million","182.6"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2010","Asia (7)","Euro Million","411.9"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2010","Australia, New Zealand and other oceanic countries","Euro Million","135.1"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2010","Other America (6)","Euro Million","150.7"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2010","EU28 excluding Ireland","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2010","EU27 excluding Ireland","Euro Million","3901.5"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2010","Other Europe (20)","Euro Million","237.4"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2010","Other Europe (21)","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2011","All Countries","Euro Million","5408.1"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2011","United States and Canada","Euro Million","785.1"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2011","Africa (8)","Euro Million","136.6"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2011","Asia (7)","Euro Million","332.7"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2011","Australia, New Zealand and other oceanic countries","Euro Million","195.6"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2011","Other America (6)","Euro Million","127.3"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2011","EU28 excluding Ireland","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2011","EU27 excluding Ireland","Euro Million","3628.6"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2011","Other Europe (20)","Euro Million","202.2"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2011","Other Europe (21)","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2012","All Countries","Euro Million","5342.5"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2012","United States and Canada","Euro Million","787"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2012","Africa (8)","Euro Million","120"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2012","Asia (7)","Euro Million","346.2"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2012","Australia, New Zealand and other oceanic countries","Euro Million","218.5"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2012","Other America (6)","Euro Million","142.1"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2012","EU28 excluding Ireland","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2012","EU27 excluding Ireland","Euro Million","3590.5"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2012","Other Europe (20)","Euro Million","138.1"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2012","Other Europe (21)","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2013","All Countries","Euro Million","5384.2"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2013","United States and Canada","Euro Million","819"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2013","Africa (8)","Euro Million","111.4"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2013","Asia (7)","Euro Million","371.6"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2013","Australia, New Zealand and other oceanic countries","Euro Million","376"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2013","Other America (6)","Euro Million","77"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2013","EU28 excluding Ireland","Euro Million","3456.2"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2013","EU27 excluding Ireland","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2013","Other Europe (20)","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2013","Other Europe (21)","Euro Million","173.1"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2014","All Countries","Euro Million","5590.2"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2014","United States and Canada","Euro Million","890.2"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2014","Africa (8)","Euro Million","142.3"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2014","Asia (7)","Euro Million","347"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2014","Australia, New Zealand and other oceanic countries","Euro Million","134.2"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2014","Other America (6)","Euro Million","88.6"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2014","EU28 excluding Ireland","Euro Million","3831.3"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2014","EU27 excluding Ireland","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2014","Other Europe (20)","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2014","Other Europe (21)","Euro Million","156.4"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2015","All Countries","Euro Million","6022.1"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2015","United States and Canada","Euro Million","925.7"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2015","Africa (8)","Euro Million","168.4"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2015","Asia (7)","Euro Million","368.5"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2015","Australia, New Zealand and other oceanic countries","Euro Million","119.4"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2015","Other America (6)","Euro Million","96.1"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2015","EU28 excluding Ireland","Euro Million","4185.9"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2015","EU27 excluding Ireland","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2015","Other Europe (20)","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2015","Other Europe (21)","Euro Million","158.1"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2016","All Countries","Euro Million","6539"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2016","United States and Canada","Euro Million","1051.1"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2016","Africa (8)","Euro Million","117.5"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2016","Asia (7)","Euro Million","472.4"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2016","Australia, New Zealand and other oceanic countries","Euro Million","187"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2016","Other America (6)","Euro Million","150.5"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2016","EU28 excluding Ireland","Euro Million","4438.2"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2016","EU27 excluding Ireland","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2016","Other Europe (20)","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2016","Other Europe (21)","Euro Million","122.4"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2017","All Countries","Euro Million","6890.7"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2017","United States and Canada","Euro Million","1137.9"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2017","Africa (8)","Euro Million","122.3"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2017","Asia (7)","Euro Million","477"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2017","Australia, New Zealand and other oceanic countries","Euro Million","99.3"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2017","Other America (6)","Euro Million","73.7"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2017","EU28 excluding Ireland","Euro Million","4830.9"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2017","EU27 excluding Ireland","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2017","Other Europe (20)","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2017","Other Europe (21)","Euro Million","149.7"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2018","All Countries","Euro Million","7434.6"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2018","United States and Canada","Euro Million","1203.3"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2018","Africa (8)","Euro Million","154.6"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2018","Asia (7)","Euro Million","587.7"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2018","Australia, New Zealand and other oceanic countries","Euro Million","169.4"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2018","Other America (6)","Euro Million","166.6"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2018","EU28 excluding Ireland","Euro Million","4964.1"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2018","EU27 excluding Ireland","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2018","Other Europe (20)","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2018","Other Europe (21)","Euro Million","188.9"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2019","All Countries","Euro Million","8252.6"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2019","United States and Canada","Euro Million","1331.7"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2019","Africa (8)","Euro Million","94.5"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2019","Asia (7)","Euro Million","798.4"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2019","Australia, New Zealand and other oceanic countries","Euro Million","189.7"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2019","Other America (6)","Euro Million","111.6"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2019","EU28 excluding Ireland","Euro Million","5506.8"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2019","EU27 excluding Ireland","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2019","Other Europe (20)","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2019","Other Europe (21)","Euro Million","219.9"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2020","All Countries","Euro Million","2122"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2020","United States and Canada","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2020","Africa (8)","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2020","Asia (7)","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2020","Australia, New Zealand and other oceanic countries","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2020","Other America (6)","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2020","EU28 excluding Ireland","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2020","EU27 excluding Ireland","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2020","Other Europe (20)","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2020","Other Europe (21)","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2021","All Countries","Euro Million","1958"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2021","United States and Canada","Euro Million","104"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2021","Africa (8)","Euro Million","49"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2021","Asia (7)","Euro Million","55"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2021","Australia, New Zealand and other oceanic countries","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2021","Other America (6)","Euro Million","4"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2021","EU28 excluding Ireland","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2021","EU27 excluding Ireland","Euro Million","1005"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2021","Other Europe (20)","Euro Million","741"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2021","Other Europe (21)","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2022","All Countries","Euro Million","8518"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2022","United States and Canada","Euro Million","1162"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2022","Africa (8)","Euro Million","328"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2022","Asia (7)","Euro Million","255"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2022","Australia, New Zealand and other oceanic countries","Euro Million","140"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2022","Other America (6)","Euro Million","103"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2022","EU28 excluding Ireland","Euro Million",""
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2022","EU27 excluding Ireland","Euro Million","5092"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2022","Other Europe (20)","Euro Million","1439"
"Estimated Expenditure by Irish Residents on Outbound Travel Travel","2022","Other Europe (21)","Euro Million",""
