"Statistic Label","Year","Region Visited","UNIT","VALUE"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Other Europe (21)","Thousand","142"
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","All Countries","Thousand","8171"
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","United States and Canada","Thousand","558"
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","Africa (8)","Thousand","63"
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","Asia (7)","Thousand","221"
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","Australia, New Zealand and other oceanic countries","Thousand","32"
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","Other America (6)","Thousand","30"
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","EU28 excluding Ireland","Thousand","7116"
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","Other Europe (21)","Thousand","151"
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","All Countries","Thousand","8643"
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","United States and Canada","Thousand","546"
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","Africa (8)","Thousand","65"
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","Asia (7)","Thousand","256"
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","Australia, New Zealand and other oceanic countries","Thousand","62"
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","Other America (6)","Thousand","79"
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","EU28 excluding Ireland","Thousand","7443"
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","Other Europe (21)","Thousand","193"
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","All Countries","Thousand","9350"
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","United States and Canada","Thousand","584"
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","Africa (8)","Thousand","57"
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","Asia (7)","Thousand","301"
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","Australia, New Zealand and other oceanic countries","Thousand","73"
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","Other America (6)","Thousand","63"
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","EU28 excluding Ireland","Thousand","8065"
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","Other Europe (21)","Thousand","208"
"Number of Trips by Irish Residents on Outbound Travel Travel","2020","All Countries","Thousand","2365"
"Number of Trips by Irish Residents on Outbound Travel Travel","2020","United States and Canada","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2020","Africa (8)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2020","Asia (7)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2020","Australia, New Zealand and other oceanic countries","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2020","Other America (6)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2020","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2020","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2020","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2020","Other Europe (21)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","All Countries","Thousand","2276"
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","United States and Canada","Thousand","48"
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","Africa (8)","Thousand","58"
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","Asia (7)","Thousand","37"
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","Australia, New Zealand and other oceanic countries","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","Other America (6)","Thousand","1"
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","EU27 excluding Ireland","Thousand","995"
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","Other Europe (20)","Thousand","1138"
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","Other Europe (21)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","All Countries","Thousand","8546"
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","United States and Canada","Thousand","426"
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","Africa (8)","Thousand","146"
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","Asia (7)","Thousand","90"
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","Australia, New Zealand and other oceanic countries","Thousand","50"
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","Other America (6)","Thousand","80"
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","EU27 excluding Ireland","Thousand","4995"
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","Other Europe (20)","Thousand","2759"
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","All Countries","Thousand","57473"
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","United States and Canada","Thousand","5947"
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","Africa (8)","Thousand","1582"
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","Asia (7)","Thousand","3001"
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","Australia, New Zealand and other oceanic countries","Thousand","1515"
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","Other America (6)","Thousand","825"
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","EU27 excluding Ireland","Thousand","42235"
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","Other Europe (20)","Thousand","2369"
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","All Countries","Thousand","54014"
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","United States and Canada","Thousand","5725"
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","Africa (8)","Thousand","1344"
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","Asia (7)","Thousand","2232"
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","Australia, New Zealand and other oceanic countries","Thousand","1805"
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","Other America (6)","Thousand","904"
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","EU27 excluding Ireland","Thousand","40038"
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","Other Europe (20)","Thousand","1966"
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","All Countries","Thousand","53112"
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","United States and Canada","Thousand","5838"
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","Africa (8)","Thousand","1029"
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","Asia (7)","Thousand","2977"
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","Australia, New Zealand and other oceanic countries","Thousand","1883"
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","Other America (6)","Thousand","1050"
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","EU27 excluding Ireland","Thousand","38988"
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","Other Europe (20)","Thousand","1348"
"Number of Nights by Irish Residents on Outbound TravelTravel","2012","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","All Countries","Thousand","51985"
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","United States and Canada","Thousand","5691"
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","Africa (8)","Thousand","950"
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","Asia (7)","Thousand","2467"
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","Australia, New Zealand and other oceanic countries","Thousand","3642"
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","Other America (6)","Thousand","492"
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","EU28 excluding Ireland","Thousand","37103"
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2013","Other Europe (21)","Thousand","1641"
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","All Countries","Thousand","53652"
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","United States and Canada","Thousand","6295"
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","Africa (8)","Thousand","1386"
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","Asia (7)","Thousand","2492"
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","Australia, New Zealand and other oceanic countries","Thousand","1256"
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","Other America (6)","Thousand","526"
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","EU28 excluding Ireland","Thousand","40237"
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2014","Other Europe (21)","Thousand","1460"
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","All Countries","Thousand","53515"
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","United States and Canada","Thousand","5877"
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","Africa (8)","Thousand","1244"
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","Asia (7)","Thousand","2811"
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","Australia, New Zealand and other oceanic countries","Thousand","1127"
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","Other America (6)","Thousand","629"
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","EU28 excluding Ireland","Thousand","40564"
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2015","Other Europe (21)","Thousand","1263"
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","All Countries","Thousand","56748"
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","United States and Canada","Thousand","6334"
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","Africa (8)","Thousand","1278"
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","Asia (7)","Thousand","3311"
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","Australia, New Zealand and other oceanic countries","Thousand","1550"
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","Other America (6)","Thousand","869"
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","EU28 excluding Ireland","Thousand","42416"
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","Other Europe (21)","Thousand","989"
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","All Countries","Thousand","57698"
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","United States and Canada","Thousand","6929"
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","Africa (8)","Thousand","926"
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","Asia (7)","Thousand","3435"
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","Australia, New Zealand and other oceanic countries","Thousand","822"
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","Other America (6)","Thousand","462"
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","EU28 excluding Ireland","Thousand","44048"
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","Other Europe (21)","Thousand","1075"
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","All Countries","Thousand","60623"
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","United States and Canada","Thousand","6347"
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","Africa (8)","Thousand","875"
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","Asia (7)","Thousand","4150"
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","Australia, New Zealand and other oceanic countries","Thousand","2079"
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","Other America (6)","Thousand","1234"
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","EU28 excluding Ireland","Thousand","44319"
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","Other Europe (21)","Thousand","1618"
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","All Countries","Thousand","66927"
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","United States and Canada","Thousand","7952"
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","Africa (8)","Thousand","1077"
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","Asia (7)","Thousand","4323"
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","Australia, New Zealand and other oceanic countries","Thousand","1514"
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","Other America (6)","Thousand","830"
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","EU28 excluding Ireland","Thousand","49886"
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","Other Europe (21)","Thousand","1344"
"Number of Nights by Irish Residents on Outbound TravelTravel","2020","All Countries","Thousand","15597"
"Number of Nights by Irish Residents on Outbound TravelTravel","2020","United States and Canada","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2020","Africa (8)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2020","Asia (7)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2020","Australia, New Zealand and other oceanic countries","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2020","Other America (6)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2020","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2020","EU27 excluding Ireland","Thousand",""
