"Statistic Label","Year","Country and Region Visited","UNIT","VALUE"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","Germany","Thousand","220"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","Spain","Thousand","1290"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","France","Thousand","586"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","2355"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","Italy","Thousand","274"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","Netherlands","Thousand","92"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","Poland","Thousand","104"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","Portugal","Thousand","370"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","Great Britain","Thousand","1965"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","Northern Ireland","Thousand","390"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","Denmark/Finland/Sweden","Thousand","56"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","EU28 excluding Ireland","Thousand","5735"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","Other EU28 (1)","Thousand","266"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","Other EU27 (6)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Austria","Thousand","38"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Belgium","Thousand","125"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Germany","Thousand","203"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Spain","Thousand","1552"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","France","Thousand","632"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","2269"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Italy","Thousand","418"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Netherlands","Thousand","136"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Poland","Thousand","82"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Portugal","Thousand","313"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Great Britain","Thousand","1933"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Northern Ireland","Thousand","336"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Denmark/Finland/Sweden","Thousand","114"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","EU28 excluding Ireland","Thousand","6161"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Other EU28 (1)","Thousand","279"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Other EU27 (6)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Austria","Thousand","67"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Belgium","Thousand","134"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Germany","Thousand","230"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Spain","Thousand","1587"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","France","Thousand","610"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","2463"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Italy","Thousand","362"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Netherlands","Thousand","156"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Poland","Thousand","113"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Portugal","Thousand","479"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Great Britain","Thousand","2009"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Northern Ireland","Thousand","454"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Denmark/Finland/Sweden","Thousand","63"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","EU28 excluding Ireland","Thousand","6597"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Other EU28 (1)","Thousand","332"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Other EU27 (6)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","Austria","Thousand","96"
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","Belgium","Thousand","92"
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","Germany","Thousand","261"
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","Spain","Thousand","1758"
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","France","Thousand","550"
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","2597"
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","Italy","Thousand","440"
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","Netherlands","Thousand","241"
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","Poland","Thousand","112"
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","Portugal","Thousand","526"
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","Great Britain","Thousand","2114"
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","Northern Ireland","Thousand","482"
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","Denmark/Finland/Sweden","Thousand","59"
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","EU28 excluding Ireland","Thousand","7116"
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","Other EU28 (1)","Thousand","383"
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2017","Other EU27 (6)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","Austria","Thousand","69"
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","Belgium","Thousand","94"
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","Germany","Thousand","366"
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","Spain","Thousand","1786"
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","France","Thousand","651"
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","2728"
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","Italy","Thousand","448"
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","Netherlands","Thousand","210"
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","Poland","Thousand","141"
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","Portugal","Thousand","418"
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","Great Britain","Thousand","2137"
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","Northern Ireland","Thousand","591"
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","Denmark/Finland/Sweden","Thousand","81"
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","EU28 excluding Ireland","Thousand","7443"
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","Other EU28 (1)","Thousand","452"
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2018","Other EU27 (6)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","Austria","Thousand","89"
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","Belgium","Thousand","99"
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","Germany","Thousand","261"
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","Spain","Thousand","1881"
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","France","Thousand","610"
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","3059"
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","Italy","Thousand","590"
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","Netherlands","Thousand","205"
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","Poland","Thousand","171"
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","Portugal","Thousand","522"
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","Great Britain","Thousand","2304"
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","Northern Ireland","Thousand","756"
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","Denmark/Finland/Sweden","Thousand","83"
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","EU28 excluding Ireland","Thousand","8065"
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","Other EU28 (1)","Thousand","494"
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2019","Other EU27 (6)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","Austria","Thousand","34"
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","Belgium","Thousand","9"
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","Germany","Thousand","56"
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","Spain","Thousand","272"
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","France","Thousand","149"
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","United Kingdom (includes Great Britain & Northern Ireland)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","Italy","Thousand","60"
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","Netherlands","Thousand","11"
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","Poland","Thousand","61"
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","Portugal","Thousand","116"
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","Great Britain","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","Northern Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","Denmark/Finland/Sweden","Thousand","14"
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","Other EU28 (1)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","EU27 excluding Ireland","Thousand","995"
"Number of Trips by Irish Residents on Outbound Travel Travel","2021","Other EU27 (6)","Thousand","213"
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","Austria","Thousand","82"
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","Belgium","Thousand","122"
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","Germany","Thousand","256"
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","Spain","Thousand","1669"
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","France","Thousand","598"
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","United Kingdom (includes Great Britain & Northern Ireland)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","Italy","Thousand","566"
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","Netherlands","Thousand","253"
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","Poland","Thousand","212"
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","Portugal","Thousand","481"
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","Great Britain","Thousand",""
