"Statistic Label","Year","Country and Region Visited","UNIT","VALUE"
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","Germany","Thousand","1135"
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","Spain","Thousand","14652"
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","France","Thousand","5345"
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","9040"
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","Italy","Thousand","2916"
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","Netherlands","Thousand","679"
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","Poland","Thousand","734"
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","Portugal","Thousand","3909"
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","Great Britain","Thousand","8038"
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","Northern Ireland","Thousand","1002"
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","Denmark/Finland/Sweden","Thousand","273"
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","EU28 excluding Ireland","Thousand","42416"
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","Other EU28 (1)","Thousand","2827"
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2016","Other EU27 (6)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","Austria","Thousand","525"
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","Belgium","Thousand","293"
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","Germany","Thousand","1286"
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","Spain","Thousand","14579"
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","France","Thousand","5208"
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","9072"
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","Italy","Thousand","3522"
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","Netherlands","Thousand","952"
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","Poland","Thousand","958"
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","Portugal","Thousand","4330"
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","Great Britain","Thousand","8026"
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","Northern Ireland","Thousand","1046"
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","Denmark/Finland/Sweden","Thousand","387"
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","EU28 excluding Ireland","Thousand","44048"
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","Other EU28 (1)","Thousand","2937"
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","Other EU27 (6)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","Austria","Thousand","424"
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","Belgium","Thousand","326"
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","Germany","Thousand","1923"
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","Spain","Thousand","15072"
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","France","Thousand","5041"
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","9107"
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","Italy","Thousand","3330"
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","Netherlands","Thousand","743"
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","Poland","Thousand","862"
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","Portugal","Thousand","3329"
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","Great Britain","Thousand","7601"
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","Northern Ireland","Thousand","1506"
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","Denmark/Finland/Sweden","Thousand","391"
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","EU28 excluding Ireland","Thousand","44319"
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","Other EU28 (1)","Thousand","3772"
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","Other EU27 (6)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","Austria","Thousand","496"
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","Belgium","Thousand","320"
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","Germany","Thousand","1289"
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","Spain","Thousand","16389"
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","France","Thousand","5224"
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","10640"
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","Italy","Thousand","4449"
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","Netherlands","Thousand","1215"
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","Poland","Thousand","1243"
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","Portugal","Thousand","3922"
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","Great Britain","Thousand","8782"
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","Northern Ireland","Thousand","1859"
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","Denmark/Finland/Sweden","Thousand","553"
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","EU28 excluding Ireland","Thousand","49886"
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","Other EU28 (1)","Thousand","4145"
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","Other EU27 (6)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","Austria","Thousand","213"
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","Belgium","Thousand","23"
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","Germany","Thousand","195"
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","Spain","Thousand","2453"
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","France","Thousand","1072"
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","United Kingdom (includes Great Britain & Northern Ireland)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","Italy","Thousand","725"
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","Netherlands","Thousand","75"
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","Poland","Thousand","740"
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","Portugal","Thousand","806"
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","Great Britain","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","Northern Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","Denmark/Finland/Sweden","Thousand","68"
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","Other EU28 (1)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","EU27 excluding Ireland","Thousand","9509"
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","Other EU27 (6)","Thousand","3138"
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","Austria","Thousand","249"
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","Belgium","Thousand","669"
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","Germany","Thousand","1539"
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","Spain","Thousand","15044"
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","France","Thousand","5640"
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","United Kingdom (includes Great Britain & Northern Ireland)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","Italy","Thousand","3914"
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","Netherlands","Thousand","1054"
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","Poland","Thousand","1916"
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","Portugal","Thousand","3724"
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","Great Britain","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","Northern Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","Denmark/Finland/Sweden","Thousand","410"
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","Other EU28 (1)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","EU27 excluding Ireland","Thousand","41682"
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","Other EU27 (6)","Thousand","7523"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","Austria","Nights per Trip","7.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","Belgium","Nights per Trip","4.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","Germany","Nights per Trip","6.1"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","Spain","Nights per Trip","10.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","France","Nights per Trip","9.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","United Kingdom (includes Great Britain & Northern Ireland)","Nights per Trip","4.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","Italy","Nights per Trip","8.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","Netherlands","Nights per Trip","4.7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","Poland","Nights per Trip","8.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","Portugal","Nights per Trip","9.1"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","Great Britain","Nights per Trip","4.8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","Northern Ireland","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","Denmark/Finland/Sweden","Nights per Trip","7.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","EU28 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","Other EU28 (1)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","EU27 excluding Ireland","Nights per Trip","7.3"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","Other EU27 (6)","Nights per Trip","9.9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","Austria","Nights per Trip","8.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","Belgium","Nights per Trip","3.8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","Germany","Nights per Trip","6.1"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","Spain","Nights per Trip","9.9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","France","Nights per Trip","9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","United Kingdom (includes Great Britain & Northern Ireland)","Nights per Trip","4.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","Italy","Nights per Trip","9.3"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","Netherlands","Nights per Trip","5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","Poland","Nights per Trip","7.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","Portugal","Nights per Trip","9.7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","Great Britain","Nights per Trip","4.9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","Northern Ireland","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","Denmark/Finland/Sweden","Nights per Trip","7.1"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","EU28 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","Other EU28 (1)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","EU27 excluding Ireland","Nights per Trip","7.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","Other EU27 (6)","Nights per Trip","9.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","Austria","Nights per Trip","7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","Belgium","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","Germany","Nights per Trip","5.7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","Spain","Nights per Trip","9.3"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","France","Nights per Trip","9.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","United Kingdom (includes Great Britain & Northern Ireland)","Nights per Trip","4.1"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","Italy","Nights per Trip","8.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","Netherlands","Nights per Trip","5.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","Poland","Nights per Trip","8.1"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","Portugal","Nights per Trip","9.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","Great Britain","Nights per Trip","4.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","Northern Ireland","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","Denmark/Finland/Sweden","Nights per Trip","4.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","EU28 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","Other EU28 (1)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","EU27 excluding Ireland","Nights per Trip","6.9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","Other EU27 (6)","Nights per Trip","10.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","Austria","Nights per Trip","7.1"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","Belgium","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","Germany","Nights per Trip","4.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","Spain","Nights per Trip","9.3"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","France","Nights per Trip","9.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","United Kingdom (includes Great Britain & Northern Ireland)","Nights per Trip","4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","Italy","Nights per Trip","7.7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","Netherlands","Nights per Trip","3.9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","Poland","Nights per Trip","7.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","Portugal","Nights per Trip","8.9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","Great Britain","Nights per Trip","4.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","Northern Ireland","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","Denmark/Finland/Sweden","Nights per Trip","8.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","EU28 excluding Ireland","Nights per Trip","6.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","Other EU28 (1)","Nights per Trip","9.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","Other EU27 (6)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","Austria","Nights per Trip","8.1"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","Belgium","Nights per Trip","5.8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","Germany","Nights per Trip","5.9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","Spain","Nights per Trip","10"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","France","Nights per Trip","8.7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","United Kingdom (includes Great Britain & Northern Ireland)","Nights per Trip","4.1"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","Italy","Nights per Trip","8.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","Netherlands","Nights per Trip","8.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","Poland","Nights per Trip","9.8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","Portugal","Nights per Trip","9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","Great Britain","Nights per Trip","4.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","Northern Ireland","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","Denmark/Finland/Sweden","Nights per Trip","6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","EU28 excluding Ireland","Nights per Trip","7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","Other EU28 (1)","Nights per Trip","9.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2014","Other EU27 (6)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","Austria","Nights per Trip","6.8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","Belgium","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","Germany","Nights per Trip","6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","Spain","Nights per Trip","9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","France","Nights per Trip","8.8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","United Kingdom (includes Great Britain & Northern Ireland)","Nights per Trip","3.9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","Italy","Nights per Trip","7.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","Netherlands","Nights per Trip","4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","Poland","Nights per Trip","9.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","Portugal","Nights per Trip","8.8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","Great Britain","Nights per Trip","4.1"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","Northern Ireland","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","Denmark/Finland/Sweden","Nights per Trip","6.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","EU28 excluding Ireland","Nights per Trip","6.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","Other EU28 (1)","Nights per Trip","8.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2015","Other EU27 (6)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","Austria","Nights per Trip","5.3"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","Belgium","Nights per Trip","4.1"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","Germany","Nights per Trip","4.9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","Spain","Nights per Trip","9.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","France","Nights per Trip","8.8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","United Kingdom (includes Great Britain & Northern Ireland)","Nights per Trip","3.7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","Italy","Nights per Trip","8.1"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","Netherlands","Nights per Trip","4.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","Poland","Nights per Trip","6.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","Portugal","Nights per Trip","8.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","Great Britain","Nights per Trip","4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","Northern Ireland","Nights per Trip","2.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","Denmark/Finland/Sweden","Nights per Trip","4.3"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","EU28 excluding Ireland","Nights per Trip","6.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","Other EU28 (1)","Nights per Trip","8.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2016","Other EU27 (6)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","Austria","Nights per Trip","5.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","Belgium","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","Germany","Nights per Trip","4.9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","Spain","Nights per Trip","8.3"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","France","Nights per Trip","9.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","United Kingdom (includes Great Britain & Northern Ireland)","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","Italy","Nights per Trip","8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","Netherlands","Nights per Trip","4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","Poland","Nights per Trip","8.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","Portugal","Nights per Trip","8.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","Great Britain","Nights per Trip","3.8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","Northern Ireland","Nights per Trip","2.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","Denmark/Finland/Sweden","Nights per Trip","6.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","EU28 excluding Ireland","Nights per Trip","6.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","Other EU28 (1)","Nights per Trip","7.7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2017","Other EU27 (6)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","Austria","Nights per Trip","6.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","Belgium","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","Germany","Nights per Trip","5.3"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","Spain","Nights per Trip","8.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","France","Nights per Trip","7.7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","United Kingdom (includes Great Britain & Northern Ireland)","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","Italy","Nights per Trip","7.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","Netherlands","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","Poland","Nights per Trip","6.1"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","Portugal","Nights per Trip","8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","Great Britain","Nights per Trip","3.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","Northern Ireland","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","Denmark/Finland/Sweden","Nights per Trip","4.8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","EU28 excluding Ireland","Nights per Trip","6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","Other EU28 (1)","Nights per Trip","8.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2018","Other EU27 (6)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","Austria","Nights per Trip","5.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","Belgium","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","Germany","Nights per Trip","4.9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","Spain","Nights per Trip","8.7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","France","Nights per Trip","8.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","United Kingdom (includes Great Britain & Northern Ireland)","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","Italy","Nights per Trip","7.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","Netherlands","Nights per Trip","5.9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","Poland","Nights per Trip","7.3"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","Portugal","Nights per Trip","7.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","Great Britain","Nights per Trip","3.8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","Northern Ireland","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","Denmark/Finland/Sweden","Nights per Trip","6.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","EU28 excluding Ireland","Nights per Trip","6.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","Other EU28 (1)","Nights per Trip","8.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2019","Other EU27 (6)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","Austria","Nights per Trip","6.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","Belgium","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","Germany","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","Spain","Nights per Trip","9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","France","Nights per Trip","7.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","United Kingdom (includes Great Britain & Northern Ireland)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","Italy","Nights per Trip","12.1"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","Netherlands","Nights per Trip","6.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","Poland","Nights per Trip","12.1"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","Portugal","Nights per Trip","7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","Great Britain","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","Northern Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","Denmark/Finland/Sweden","Nights per Trip","4.7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","EU28 excluding Ireland","Nights per Trip",""
