"Statistic Label","Year","Region Visited","UNIT","VALUE"
"Number of Trips by Irish Residents on Domestic Travel","2000","State","Thousand","5478"
"Number of Trips by Irish Residents on Domestic Travel","2000","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents on Domestic Travel","2000","Border","Thousand","597"
"Number of Trips by Irish Residents on Domestic Travel","2000","Midland","Thousand","209"
"Number of Trips by Irish Residents on Domestic Travel","2000","West","Thousand","944"
"Number of Trips by Irish Residents on Domestic Travel","2000","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents on Domestic Travel","2000","Dublin","Thousand","722"
"Number of Trips by Irish Residents on Domestic Travel","2000","Mid-East","Thousand","313"
"Number of Trips by Irish Residents on Domestic Travel","2000","Mid-West","Thousand","583"
"Number of Trips by Irish Residents on Domestic Travel","2000","South-East","Thousand","882"
"Number of Trips by Irish Residents on Domestic Travel","2000","South-West","Thousand","1227"
"Number of Trips by Irish Residents on Domestic Travel","2001","State","Thousand","6307"
"Number of Trips by Irish Residents on Domestic Travel","2001","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents on Domestic Travel","2001","Border","Thousand","682"
"Number of Trips by Irish Residents on Domestic Travel","2001","Midland","Thousand","225"
"Number of Trips by Irish Residents on Domestic Travel","2001","West","Thousand","1171"
"Number of Trips by Irish Residents on Domestic Travel","2001","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents on Domestic Travel","2001","Dublin","Thousand","843"
"Number of Trips by Irish Residents on Domestic Travel","2001","Mid-East","Thousand","352"
"Number of Trips by Irish Residents on Domestic Travel","2001","Mid-West","Thousand","685"
"Number of Trips by Irish Residents on Domestic Travel","2001","South-East","Thousand","1008"
"Number of Trips by Irish Residents on Domestic Travel","2001","South-West","Thousand","1341"
"Number of Trips by Irish Residents on Domestic Travel","2002","State","Thousand","6452"
"Number of Trips by Irish Residents on Domestic Travel","2002","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents on Domestic Travel","2002","Border","Thousand","675"
"Number of Trips by Irish Residents on Domestic Travel","2002","Midland","Thousand","270"
"Number of Trips by Irish Residents on Domestic Travel","2002","West","Thousand","1144"
"Number of Trips by Irish Residents on Domestic Travel","2002","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents on Domestic Travel","2002","Dublin","Thousand","856"
"Number of Trips by Irish Residents on Domestic Travel","2002","Mid-East","Thousand","368"
"Number of Trips by Irish Residents on Domestic Travel","2002","Mid-West","Thousand","689"
"Number of Trips by Irish Residents on Domestic Travel","2002","South-East","Thousand","1024"
"Number of Trips by Irish Residents on Domestic Travel","2002","South-West","Thousand","1425"
"Number of Trips by Irish Residents on Domestic Travel","2003","State","Thousand","6657"
"Number of Trips by Irish Residents on Domestic Travel","2003","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents on Domestic Travel","2003","Border","Thousand","699"
"Number of Trips by Irish Residents on Domestic Travel","2003","Midland","Thousand","287"
"Number of Trips by Irish Residents on Domestic Travel","2003","West","Thousand","1249"
"Number of Trips by Irish Residents on Domestic Travel","2003","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents on Domestic Travel","2003","Dublin","Thousand","893"
"Number of Trips by Irish Residents on Domestic Travel","2003","Mid-East","Thousand","395"
"Number of Trips by Irish Residents on Domestic Travel","2003","Mid-West","Thousand","692"
"Number of Trips by Irish Residents on Domestic Travel","2003","South-East","Thousand","1042"
"Number of Trips by Irish Residents on Domestic Travel","2003","South-West","Thousand","1400"
"Number of Trips by Irish Residents on Domestic Travel","2004","State","Thousand","7001"
"Number of Trips by Irish Residents on Domestic Travel","2004","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents on Domestic Travel","2004","Border","Thousand","709"
"Number of Trips by Irish Residents on Domestic Travel","2004","Midland","Thousand","335"
"Number of Trips by Irish Residents on Domestic Travel","2004","West","Thousand","1251"
"Number of Trips by Irish Residents on Domestic Travel","2004","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents on Domestic Travel","2004","Dublin","Thousand","976"
"Number of Trips by Irish Residents on Domestic Travel","2004","Mid-East","Thousand","414"
"Number of Trips by Irish Residents on Domestic Travel","2004","Mid-West","Thousand","658"
"Number of Trips by Irish Residents on Domestic Travel","2004","South-East","Thousand","1113"
"Number of Trips by Irish Residents on Domestic Travel","2004","South-West","Thousand","1547"
"Number of Trips by Irish Residents on Domestic Travel","2005","State","Thousand","7173"
"Number of Trips by Irish Residents on Domestic Travel","2005","Border, Midland and Western","Thousand","2366"
"Number of Trips by Irish Residents on Domestic Travel","2005","Border","Thousand","793"
"Number of Trips by Irish Residents on Domestic Travel","2005","Midland","Thousand","341"
"Number of Trips by Irish Residents on Domestic Travel","2005","West","Thousand","1232"
"Number of Trips by Irish Residents on Domestic Travel","2005","Southern and Eastern","Thousand","4807"
"Number of Trips by Irish Residents on Domestic Travel","2005","Dublin","Thousand","1054"
"Number of Trips by Irish Residents on Domestic Travel","2005","Mid-East","Thousand","430"
"Number of Trips by Irish Residents on Domestic Travel","2005","Mid-West","Thousand","699"
"Number of Trips by Irish Residents on Domestic Travel","2005","South-East","Thousand","1099"
"Number of Trips by Irish Residents on Domestic Travel","2005","South-West","Thousand","1525"
