"Statistic Label","Year","Sex","Domestic","UNIT","VALUE"
"Average Length of Stay by Irish Residents","2015","Male","Outbound","Nights per Trip","7.2"
"Average Length of Stay by Irish Residents","2015","Female","Domestic","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2015","Female","Outbound","Nights per Trip","7.9"
"Average Length of Stay by Irish Residents","2016","Both sexes","Domestic","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2016","Both sexes","Outbound","Nights per Trip","7.4"
"Average Length of Stay by Irish Residents","2016","Male","Domestic","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2016","Male","Outbound","Nights per Trip","7.3"
"Average Length of Stay by Irish Residents","2016","Female","Domestic","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2016","Female","Outbound","Nights per Trip","7.5"
"Average Length of Stay by Irish Residents","2017","Both sexes","Domestic","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2017","Both sexes","Outbound","Nights per Trip","7.1"
"Average Length of Stay by Irish Residents","2017","Male","Domestic","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2017","Male","Outbound","Nights per Trip","6.9"
"Average Length of Stay by Irish Residents","2017","Female","Domestic","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2017","Female","Outbound","Nights per Trip","7.3"
"Average Length of Stay by Irish Residents","2018","Both sexes","Domestic","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2018","Both sexes","Outbound","Nights per Trip","7"
"Average Length of Stay by Irish Residents","2018","Male","Domestic","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2018","Male","Outbound","Nights per Trip","7"
"Average Length of Stay by Irish Residents","2018","Female","Domestic","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2018","Female","Outbound","Nights per Trip","7"
"Average Length of Stay by Irish Residents","2019","Both sexes","Domestic","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2019","Both sexes","Outbound","Nights per Trip","7.2"
"Average Length of Stay by Irish Residents","2019","Male","Domestic","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2019","Male","Outbound","Nights per Trip","7.2"
"Average Length of Stay by Irish Residents","2019","Female","Domestic","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2019","Female","Outbound","Nights per Trip","7.2"
"Average Length of Stay by Irish Residents","2020","Both sexes","Domestic","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2020","Both sexes","Outbound","Nights per Trip","6.6"
"Average Length of Stay by Irish Residents","2020","Male","Domestic","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2020","Male","Outbound","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020","Female","Domestic","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2020","Female","Outbound","Nights per Trip",""
"Average Length of Stay by Irish Residents","2021","Both sexes","Domestic","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2021","Both sexes","Outbound","Nights per Trip","7.7"
"Average Length of Stay by Irish Residents","2021","Male","Domestic","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2021","Male","Outbound","Nights per Trip","8.1"
"Average Length of Stay by Irish Residents","2021","Female","Domestic","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2021","Female","Outbound","Nights per Trip","7.3"
"Average Length of Stay by Irish Residents","2022","Both sexes","Domestic","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2022","Both sexes","Outbound","Nights per Trip","7.2"
"Average Length of Stay by Irish Residents","2022","Male","Domestic","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2022","Male","Outbound","Nights per Trip","7"
"Average Length of Stay by Irish Residents","2022","Female","Domestic","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2022","Female","Outbound","Nights per Trip","7.3"
