"Statistic Label","Year","Region Visited","UNIT","VALUE"
"Number of Trips by Irish Residents on Domestic Travel Travel","2018","State","Thousand","10919"
"Number of Trips by Irish Residents on Domestic Travel Travel","2018","Northern and Western","Thousand","2663"
"Number of Trips by Irish Residents on Domestic Travel Travel","2018","Border","Thousand","1001"
"Number of Trips by Irish Residents on Domestic Travel Travel","2018","West","Thousand","1662"
"Number of Trips by Irish Residents on Domestic Travel Travel","2018","Southern","Thousand","5174"
"Number of Trips by Irish Residents on Domestic Travel Travel","2018","Mid-West","Thousand","1090"
"Number of Trips by Irish Residents on Domestic Travel Travel","2018","South-East","Thousand","1683"
"Number of Trips by Irish Residents on Domestic Travel Travel","2018","South-West","Thousand","2401"
"Number of Trips by Irish Residents on Domestic Travel Travel","2018","Eastern and Midland","Thousand","3082"
"Number of Trips by Irish Residents on Domestic Travel Travel","2018","Dublin","Thousand","1700"
"Number of Trips by Irish Residents on Domestic Travel Travel","2018","Mid-East","Thousand","854"
"Number of Trips by Irish Residents on Domestic Travel Travel","2018","Midland","Thousand","527"
"Number of Trips by Irish Residents on Domestic Travel Travel","2019","State","Thousand","11621"
"Number of Trips by Irish Residents on Domestic Travel Travel","2019","Northern and Western","Thousand","3037"
"Number of Trips by Irish Residents on Domestic Travel Travel","2019","Border","Thousand","1189"
"Number of Trips by Irish Residents on Domestic Travel Travel","2019","West","Thousand","1848"
"Number of Trips by Irish Residents on Domestic Travel Travel","2019","Southern","Thousand","5308"
"Number of Trips by Irish Residents on Domestic Travel Travel","2019","Mid-West","Thousand","1197"
"Number of Trips by Irish Residents on Domestic Travel Travel","2019","South-East","Thousand","1795"
"Number of Trips by Irish Residents on Domestic Travel Travel","2019","South-West","Thousand","2316"
"Number of Trips by Irish Residents on Domestic Travel Travel","2019","Eastern and Midland","Thousand","3276"
"Number of Trips by Irish Residents on Domestic Travel Travel","2019","Dublin","Thousand","1763"
"Number of Trips by Irish Residents on Domestic Travel Travel","2019","Mid-East","Thousand","1053"
"Number of Trips by Irish Residents on Domestic Travel Travel","2019","Midland","Thousand","460"
"Number of Trips by Irish Residents on Domestic Travel Travel","2020","State","Thousand","7721"
"Number of Trips by Irish Residents on Domestic Travel Travel","2020","Northern and Western","Thousand","2222"
"Number of Trips by Irish Residents on Domestic Travel Travel","2020","Border","Thousand","887"
"Number of Trips by Irish Residents on Domestic Travel Travel","2020","West","Thousand","1335"
"Number of Trips by Irish Residents on Domestic Travel Travel","2020","Southern","Thousand","3659"
"Number of Trips by Irish Residents on Domestic Travel Travel","2020","Mid-West","Thousand","881"
"Number of Trips by Irish Residents on Domestic Travel Travel","2020","South-East","Thousand","1069"
"Number of Trips by Irish Residents on Domestic Travel Travel","2020","South-West","Thousand","1709"
"Number of Trips by Irish Residents on Domestic Travel Travel","2020","Eastern and Midland","Thousand","1840"
"Number of Trips by Irish Residents on Domestic Travel Travel","2020","Dublin","Thousand","892"
"Number of Trips by Irish Residents on Domestic Travel Travel","2020","Mid-East","Thousand","564"
"Number of Trips by Irish Residents on Domestic Travel Travel","2020","Midland","Thousand","384"
"Number of Trips by Irish Residents on Domestic Travel Travel","2021","State","Thousand","5663"
"Number of Trips by Irish Residents on Domestic Travel Travel","2021","Northern and Western","Thousand","1558"
"Number of Trips by Irish Residents on Domestic Travel Travel","2021","Border","Thousand","610"
"Number of Trips by Irish Residents on Domestic Travel Travel","2021","West","Thousand","947"
"Number of Trips by Irish Residents on Domestic Travel Travel","2021","Southern","Thousand","2581"
"Number of Trips by Irish Residents on Domestic Travel Travel","2021","Mid-West","Thousand","531"
"Number of Trips by Irish Residents on Domestic Travel Travel","2021","South-East","Thousand","795"
"Number of Trips by Irish Residents on Domestic Travel Travel","2021","South-West","Thousand","1255"
"Number of Trips by Irish Residents on Domestic Travel Travel","2021","Eastern and Midland","Thousand","1524"
"Number of Trips by Irish Residents on Domestic Travel Travel","2021","Dublin","Thousand","783"
"Number of Trips by Irish Residents on Domestic Travel Travel","2021","Mid-East","Thousand","491"
"Number of Trips by Irish Residents on Domestic Travel Travel","2021","Midland","Thousand","250"
"Number of Trips by Irish Residents on Domestic Travel Travel","2022","State","Thousand","13274"
"Number of Trips by Irish Residents on Domestic Travel Travel","2022","Northern and Western","Thousand","3472"
"Number of Trips by Irish Residents on Domestic Travel Travel","2022","Border","Thousand","1606"
"Number of Trips by Irish Residents on Domestic Travel Travel","2022","West","Thousand","1866"
"Number of Trips by Irish Residents on Domestic Travel Travel","2022","Southern","Thousand","5985"
"Number of Trips by Irish Residents on Domestic Travel Travel","2022","Mid-West","Thousand","1322"
"Number of Trips by Irish Residents on Domestic Travel Travel","2022","South-East","Thousand","1899"
"Number of Trips by Irish Residents on Domestic Travel Travel","2022","South-West","Thousand","2763"
"Number of Trips by Irish Residents on Domestic Travel Travel","2022","Eastern and Midland","Thousand","3817"
"Number of Trips by Irish Residents on Domestic Travel Travel","2022","Dublin","Thousand","1861"
"Number of Trips by Irish Residents on Domestic Travel Travel","2022","Mid-East","Thousand","1177"
"Number of Trips by Irish Residents on Domestic Travel Travel","2022","Midland","Thousand","780"
"Number of Nights by Irish Residents on Domestic TravelTravel","2018","State","Thousand","28393"
"Number of Nights by Irish Residents on Domestic TravelTravel","2018","Northern and Western","Thousand","7494"
"Number of Nights by Irish Residents on Domestic TravelTravel","2018","Border","Thousand","2995"
"Number of Nights by Irish Residents on Domestic TravelTravel","2018","West","Thousand","4499"
"Number of Nights by Irish Residents on Domestic TravelTravel","2018","Southern","Thousand","14604"
"Number of Nights by Irish Residents on Domestic TravelTravel","2018","Mid-West","Thousand","2893"
"Number of Nights by Irish Residents on Domestic TravelTravel","2018","South-East","Thousand","4728"
"Number of Nights by Irish Residents on Domestic TravelTravel","2018","South-West","Thousand","6983"
"Number of Nights by Irish Residents on Domestic TravelTravel","2018","Eastern and Midland","Thousand","6295"
"Number of Nights by Irish Residents on Domestic TravelTravel","2018","Dublin","Thousand","3673"
"Number of Nights by Irish Residents on Domestic TravelTravel","2018","Mid-East","Thousand","1688"
"Number of Nights by Irish Residents on Domestic TravelTravel","2018","Midland","Thousand","934"
"Number of Nights by Irish Residents on Domestic TravelTravel","2019","State","Thousand","29469"
"Number of Nights by Irish Residents on Domestic TravelTravel","2019","Northern and Western","Thousand","8280"
"Number of Nights by Irish Residents on Domestic TravelTravel","2019","Border","Thousand","3151"
"Number of Nights by Irish Residents on Domestic TravelTravel","2019","West","Thousand","5129"
"Number of Nights by Irish Residents on Domestic TravelTravel","2019","Southern","Thousand","14795"
"Number of Nights by Irish Residents on Domestic TravelTravel","2019","Mid-West","Thousand","2825"
"Number of Nights by Irish Residents on Domestic TravelTravel","2019","South-East","Thousand","4587"
"Number of Nights by Irish Residents on Domestic TravelTravel","2019","South-West","Thousand","7383"
"Number of Nights by Irish Residents on Domestic TravelTravel","2019","Eastern and Midland","Thousand","6395"
"Number of Nights by Irish Residents on Domestic TravelTravel","2019","Dublin","Thousand","3395"
"Number of Nights by Irish Residents on Domestic TravelTravel","2019","Mid-East","Thousand","2138"
"Number of Nights by Irish Residents on Domestic TravelTravel","2019","Midland","Thousand","861"
"Number of Nights by Irish Residents on Domestic TravelTravel","2020","State","Thousand","23518"
"Number of Nights by Irish Residents on Domestic TravelTravel","2020","Northern and Western","Thousand","7123"
"Number of Nights by Irish Residents on Domestic TravelTravel","2020","Border","Thousand","2824"
"Number of Nights by Irish Residents on Domestic TravelTravel","2020","West","Thousand","4299"
"Number of Nights by Irish Residents on Domestic TravelTravel","2020","Southern","Thousand","12194"
"Number of Nights by Irish Residents on Domestic TravelTravel","2020","Mid-West","Thousand","2722"
"Number of Nights by Irish Residents on Domestic TravelTravel","2020","South-East","Thousand","3182"
"Number of Nights by Irish Residents on Domestic TravelTravel","2020","South-West","Thousand","6289"
"Number of Nights by Irish Residents on Domestic TravelTravel","2020","Eastern and Midland","Thousand","4201"
"Number of Nights by Irish Residents on Domestic TravelTravel","2020","Dublin","Thousand","1885"
"Number of Nights by Irish Residents on Domestic TravelTravel","2020","Mid-East","Thousand","1204"
"Number of Nights by Irish Residents on Domestic TravelTravel","2020","Midland","Thousand","1112"
"Number of Nights by Irish Residents on Domestic TravelTravel","2021","State","Thousand","17886"
"Number of Nights by Irish Residents on Domestic TravelTravel","2021","Northern and Western","Thousand","5490"
"Number of Nights by Irish Residents on Domestic TravelTravel","2021","Border","Thousand","2399"
"Number of Nights by Irish Residents on Domestic TravelTravel","2021","West","Thousand","3091"
"Number of Nights by Irish Residents on Domestic TravelTravel","2021","Southern","Thousand","8780"
"Number of Nights by Irish Residents on Domestic TravelTravel","2021","Mid-West","Thousand","1731"
"Number of Nights by Irish Residents on Domestic TravelTravel","2021","South-East","Thousand","2398"
"Number of Nights by Irish Residents on Domestic TravelTravel","2021","South-West","Thousand","4651"
"Number of Nights by Irish Residents on Domestic TravelTravel","2021","Eastern and Midland","Thousand","3616"
"Number of Nights by Irish Residents on Domestic TravelTravel","2021","Dublin","Thousand","1840"
"Number of Nights by Irish Residents on Domestic TravelTravel","2021","Mid-East","Thousand","1221"
"Number of Nights by Irish Residents on Domestic TravelTravel","2021","Midland","Thousand","555"
"Number of Nights by Irish Residents on Domestic TravelTravel","2022","State","Thousand","34236"
"Number of Nights by Irish Residents on Domestic TravelTravel","2022","Northern and Western","Thousand","9368"
"Number of Nights by Irish Residents on Domestic TravelTravel","2022","Border","Thousand","4366"
"Number of Nights by Irish Residents on Domestic TravelTravel","2022","West","Thousand","5003"
"Number of Nights by Irish Residents on Domestic TravelTravel","2022","Southern","Thousand","16485"
"Number of Nights by Irish Residents on Domestic TravelTravel","2022","Mid-West","Thousand","3276"
"Number of Nights by Irish Residents on Domestic TravelTravel","2022","South-East","Thousand","5446"
"Number of Nights by Irish Residents on Domestic TravelTravel","2022","South-West","Thousand","7763"
"Number of Nights by Irish Residents on Domestic TravelTravel","2022","Eastern and Midland","Thousand","8384"
"Number of Nights by Irish Residents on Domestic TravelTravel","2022","Dublin","Thousand","3703"
"Number of Nights by Irish Residents on Domestic TravelTravel","2022","Mid-East","Thousand","2570"
"Number of Nights by Irish Residents on Domestic TravelTravel","2022","Midland","Thousand","2111"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2018","State","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2018","Northern and Western","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2018","Border","Nights per Trip","3"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2018","West","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2018","Southern","Nights per Trip","2.8"
